origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,Race,Poverty,origin_geoid_type,latitude,longitude
131210102123,2651.0,69.48,18.52,25.5,White,Low_poverty,LPW,33.898174,-84.3847827
131210065001,548.0,32.3,27.74,66.24,Minority,Low_poverty,LPM,33.7141682,-84.4037149
131210118003,781.0,18.69,13.19,71.96,Minority,Low_poverty,LPM,33.7667051,-84.4035412
131210078023,954.0,0.0,3.14,100.0,Minority,Low_poverty,LPM,33.6907403,-84.5294924
131210041001,598.0,0.84,41.21,85.62,Minority,High_poverty,HPM,33.7452497,-84.4271201
131210028002,518.0,6.56,29.73,92.28,Minority,Low_poverty,LPM,33.755892,-84.3767473
131210114172,1684.0,63.18,5.23,16.62,White,Low_poverty,LPW,34.0469482,-84.3525485
131210014001,1578.0,83.02,4.75,5.26,White,Low_poverty,LPW,33.7747066,-84.3619529
131210061003,1078.0,3.43,38.4,94.15,Minority,High_poverty,HPM,33.7249915,-84.4431379
131210112024,449.0,35.63,12.92,64.36,Minority,Low_poverty,LPM,33.6778959,-84.4491987
131210114115,2059.0,53.72,12.14,28.61,White,Low_poverty,LPW,33.9980491,-84.3071247
131210075001,895.0,15.2,43.36,84.8,Minority,High_poverty,HPM,33.6966847,-84.4081214
131210072002,357.0,4.76,22.41,93.28,Minority,Low_poverty,LPM,33.6542351,-84.3811484
131210073002,2840.0,2.25,26.73,95.29,Minority,Low_poverty,LPM,33.6653607,-84.3895645
131210080001,691.0,8.39,6.51,91.61,Minority,Low_poverty,LPM,33.7185517,-84.4357269
131210013003,1325.0,61.81,13.98,32.83,White,Low_poverty,LPW,33.7745405,-84.3743931
131210102044,771.0,100.0,0.0,0.0,White,Low_poverty,LPW,33.9219344,-84.4215634
131210118002,871.0,15.61,26.41,80.26,Minority,Low_poverty,LPM,33.774245,-84.412075
131210084002,653.0,2.45,47.78,97.55,Minority,High_poverty,HPM,33.7598946,-84.4343058
131210114113,1492.0,49.87,22.52,49.26,Other,Low_poverty,LPO,34.0145853,-84.3188094
131210114192,2052.0,66.03,1.12,22.71,White,Low_poverty,LPW,34.045539,-84.372937
131210096033,1514.0,66.31,12.02,28.53,White,Low_poverty,LPW,33.8332847,-84.3735742
131210005003,1317.0,85.8,1.67,1.14,White,Low_poverty,LPW,33.7998925,-84.3810348
131210112023,493.0,22.92,41.52,74.65,Minority,High_poverty,HPM,33.6775724,-84.4436869
131210064001,936.0,25.32,29.81,74.68,Minority,Low_poverty,LPM,33.7188154,-84.3735791
131210114233,1451.0,76.09,9.1,12.61,White,Low_poverty,LPW,34.0089298,-84.3941071
131210114202,3912.0,10.97,33.61,74.01,Minority,High_poverty,HPM,34.0271821,-84.3267537
131210113015,1205.0,2.74,2.07,95.44,Minority,Low_poverty,LPM,33.6856598,-84.4764613
131210062001,1310.0,3.21,18.93,96.18,Minority,Low_poverty,LPM,33.7300817,-84.4212207
131210102121,2234.0,3.98,33.53,94.77,Minority,High_poverty,HPM,33.9099293,-84.3834305
131210018002,798.0,12.03,83.08,81.33,Minority,High_poverty,HPM,33.7689746,-84.3753217
131210089024,3049.0,50.64,12.69,48.84,White,Low_poverty,LPW,33.8046976,-84.4172093
131210094032,1303.0,37.45,9.59,36.91,Other,Low_poverty,LPO,33.8262141,-84.3562001
131210071002,1409.0,7.67,40.31,92.33,Minority,High_poverty,HPM,33.7015535,-84.353533
131210053001,2037.0,49.83,16.12,47.13,Other,Low_poverty,LPO,33.7323967,-84.3647432
131210112011,1369.0,1.39,29.22,98.17,Minority,Low_poverty,LPM,33.6998553,-84.4443983
131210111003,820.0,42.2,10.37,57.8,Minority,Low_poverty,LPM,33.6847812,-84.4211972
131210114173,1600.0,51.0,6.31,29.0,White,Low_poverty,LPW,34.0564726,-84.3693574
131210114174,638.0,100.0,0.0,0.0,White,Low_poverty,LPW,34.0656928,-84.366356
131210100021,1994.0,99.2,0.65,0.0,White,Low_poverty,LPW,33.8754916,-84.3556386
131210089022,737.0,53.6,9.77,33.92,White,Low_poverty,LPW,33.7984986,-84.4022419
131210069002,1090.0,36.61,33.3,62.48,Minority,High_poverty,HPM,33.7137698,-84.3613513
131210029001,2425.0,47.96,15.22,42.31,Other,Low_poverty,LPO,33.7580053,-84.3693491
131210114234,1111.0,85.78,2.07,11.34,White,Low_poverty,LPW,34.0236858,-84.3780771
131210072001,1779.0,3.82,39.08,95.34,Minority,High_poverty,HPM,33.6628484,-84.3618557
131210031002,1004.0,54.58,14.54,43.63,White,Low_poverty,LPW,33.7551119,-84.3524611
131210098012,1182.0,99.07,2.88,0.93,White,Low_poverty,LPW,33.8455877,-84.4174201
131210084001,1100.0,7.18,44.0,92.82,Minority,High_poverty,HPM,33.7657523,-84.431268
131210100014,1503.0,80.11,6.32,15.84,White,Low_poverty,LPW,33.8616904,-84.3776605
131210089041,1531.0,85.5,5.09,12.93,White,Low_poverty,LPW,33.8184995,-84.4292275
131210040003,708.0,7.34,37.29,90.11,Minority,High_poverty,HPM,33.7495663,-84.4362443
131210017002,547.0,24.5,10.24,75.51,Minority,Low_poverty,LPM,33.7687268,-84.3703986
131210105122,1954.0,7.52,17.2,82.29,Minority,Low_poverty,LPM,33.593106,-84.539093
131210105113,893.0,13.1,9.88,86.9,Minority,Low_poverty,LPM,33.6011369,-84.5218529
131210067002,1715.0,6.18,38.83,91.89,Minority,High_poverty,HPM,33.7116501,-84.3976327
131210052001,1272.0,78.46,6.66,12.73,White,Low_poverty,LPW,33.7333289,-84.3542929
131210101061,2287.0,69.09,2.93,25.06,White,Low_poverty,LPW,33.988342,-84.332991
131210108005,768.0,44.92,43.49,47.01,Other,High_poverty,HPO,33.6612425,-84.3981286
131210024002,1251.0,4.96,46.42,93.13,Minority,High_poverty,HPM,33.7584703,-84.4282336
131210067001,733.0,0.0,50.61,100.0,Minority,High_poverty,HPM,33.7099709,-84.3814564
131210055011,830.0,22.65,34.34,70.36,Minority,High_poverty,HPM,33.7335812,-84.383908
131210106012,1577.0,5.58,87.57,94.42,Minority,High_poverty,HPM,33.6558095,-84.4558421
131210018001,2613.0,54.69,6.05,33.6,White,Low_poverty,LPW,33.7643538,-84.3786567
131210113034,1012.0,3.56,10.97,96.44,Minority,Low_poverty,LPM,33.6773531,-84.4620987
131210081011,1664.0,0.0,10.7,99.76,Minority,Low_poverty,LPM,33.7359326,-84.4538952
131210114242,1952.0,69.11,1.49,24.23,White,Low_poverty,LPW,33.989665,-84.2685243
131210105161,2091.0,8.8,13.77,87.9,Minority,Low_poverty,LPM,33.5779864,-84.4792768
131210065002,1454.0,8.73,17.06,84.59,Minority,Low_poverty,LPM,33.7089533,-84.4133952
131210052003,2536.0,70.5,17.5,26.35,White,Low_poverty,LPW,33.7415235,-84.3536891
131210108006,740.0,18.24,22.7,81.76,Minority,Low_poverty,LPM,33.6655739,-84.4047464
131210002004,1458.0,76.95,11.11,10.01,White,Low_poverty,LPW,33.7869776,-84.3634211
131210012022,1269.0,35.07,12.29,46.5,Other,Low_poverty,LPO,33.7729767,-84.3855264
131210108001,707.0,33.66,13.86,46.54,Other,Low_poverty,LPO,33.6587851,-84.40405
131210093004,888.0,97.18,4.95,2.82,White,Low_poverty,LPW,33.8258575,-84.3831801
131210084003,896.0,19.64,29.99,75.33,Minority,Low_poverty,LPM,33.7600003,-84.4401062
131210089043,1873.0,76.94,4.11,10.3,White,Low_poverty,LPW,33.8199847,-84.4408177
131210015001,1409.0,75.37,6.6,20.36,White,Low_poverty,LPW,33.7724685,-84.3543139
131210042002,1848.0,9.63,38.96,90.37,Minority,High_poverty,HPM,33.7378472,-84.4180927
131210106013,795.0,17.74,7.55,80.63,Minority,Low_poverty,LPM,33.6601725,-84.4619912
131210102112,1715.0,84.61,4.65,11.49,White,Low_poverty,LPW,33.882107,-84.3897616
131210083011,1558.0,3.27,39.99,95.19,Minority,High_poverty,HPM,33.7665641,-84.4568418
131210014002,767.0,88.92,1.3,8.21,White,Low_poverty,LPW,33.7798521,-84.3626265
131210114232,1459.0,92.12,2.33,5.28,White,Low_poverty,LPW,34.020195,-84.3920318
131210083022,1003.0,1.6,32.17,97.81,Minority,High_poverty,HPM,33.7584806,-84.4474038
131210060001,768.0,12.11,20.31,84.24,Minority,Low_poverty,LPM,33.7424348,-84.4416171
131210112021,530.0,34.53,4.34,61.7,Minority,Low_poverty,LPM,33.6826052,-84.4487814
131210095021,1005.0,70.85,1.59,12.84,White,Low_poverty,LPW,33.8457772,-84.3859359
131210093001,855.0,100.0,6.67,0.0,White,Low_poverty,LPW,33.8257279,-84.3745088
131210013002,1081.0,82.61,4.44,17.4,White,Low_poverty,LPW,33.7778779,-84.3738834
131210055012,1717.0,18.23,38.53,80.08,Minority,High_poverty,HPM,33.7269029,-84.3836007
131210070021,599.0,1.84,27.38,98.16,Minority,Low_poverty,LPM,33.6920865,-84.3682107
131210106042,340.0,7.65,21.47,92.36,Minority,Low_poverty,LPM,33.618048,-84.4661003
131210106014,909.0,31.35,30.21,67.33,Minority,High_poverty,HPM,33.6633486,-84.4486867
131210116102,2831.0,62.84,1.94,30.98,White,Low_poverty,LPW,34.0768633,-84.3143967
131210115052,1773.0,89.57,0.9,7.05,White,Low_poverty,LPW,34.071932,-84.375874
131210114193,2218.0,79.71,9.56,10.14,White,Low_poverty,LPW,34.0526905,-84.3915821
131210114251,1422.0,84.25,4.01,0.91,White,Low_poverty,LPW,34.0154817,-84.2475471
131210115061,1619.0,92.46,4.39,1.54,White,Low_poverty,LPW,34.0727047,-84.3938659
131210116231,3417.0,47.09,0.97,29.32,Other,Low_poverty,LPO,34.0538601,-84.2085048
131210091014,1655.0,60.12,7.49,18.37,White,Low_poverty,LPW,33.8022437,-84.395315
131210091021,645.0,90.54,6.2,9.46,White,Low_poverty,LPW,33.8058849,-84.3910433
131210096011,1136.0,81.95,1.67,12.24,White,Low_poverty,LPW,33.8441934,-84.3762183
131210106033,750.0,0.0,33.87,84.8,Minority,High_poverty,HPM,33.6492388,-84.4749646
131210116192,2276.0,45.12,4.48,20.08,Other,Low_poverty,LPO,34.0667902,-84.2448337
131210120001,2518.0,8.94,50.68,87.57,Minority,High_poverty,HPM,33.7385031,-84.3938523
131210037001,196.0,0.0,35.2,100.0,Minority,High_poverty,HPM,33.7489883,-84.4101331
131210119002,2428.0,31.14,38.42,64.21,Minority,High_poverty,HPM,33.754269,-84.3855177
131210086022,511.0,4.31,7.24,93.35,Minority,Low_poverty,LPM,33.7988625,-84.4964826
131210094022,1442.0,44.52,14.01,42.3,Other,Low_poverty,LPO,33.823998,-84.3613019
131210116221,2723.0,46.86,5.44,2.97,Other,Low_poverty,LPO,34.0408467,-84.1684262
131210004001,1044.0,84.29,3.22,9.77,White,Low_poverty,LPW,33.7909994,-84.3841093
131210102054,1747.0,85.52,10.59,7.73,White,Low_poverty,LPW,33.9178941,-84.3852252
131210006001,7952.0,45.52,42.34,24.87,Other,High_poverty,HPO,33.7853862,-84.4056539
131210055021,2846.0,7.66,41.41,92.34,Minority,High_poverty,HPM,33.7162175,-84.3867651
131210114162,2208.0,68.34,9.33,26.54,White,Low_poverty,LPW,34.0678423,-84.3551095
131210091012,1978.0,63.95,13.25,22.15,White,Low_poverty,LPW,33.8052531,-84.3985836
131210074002,1861.0,7.47,41.0,90.92,Minority,High_poverty,HPM,33.6785656,-84.4124739
131210123003,560.0,46.79,8.21,39.1,Other,Low_poverty,LPO,33.6667349,-84.4346271
131210012011,1940.0,85.52,3.2,3.3,White,Low_poverty,LPW,33.7787803,-84.3801626
131210089023,2077.0,60.95,5.73,31.44,White,Low_poverty,LPW,33.7947584,-84.4107374
131210113052,2808.0,2.96,15.53,93.06,Minority,Low_poverty,LPM,33.6465533,-84.4933437
131210049002,1616.0,71.72,10.4,20.55,White,Low_poverty,LPW,33.7416985,-84.3771493
131210050001,2586.0,55.61,5.72,38.13,White,Low_poverty,LPW,33.7420805,-84.3650954
131210063002,389.0,6.43,40.36,93.57,Minority,High_poverty,HPM,33.7272431,-84.4029541
131210076032,1299.0,2.31,66.29,93.92,Minority,High_poverty,HPM,33.7034746,-84.4551675
131210078063,1515.0,0.0,10.23,100.0,Minority,Low_poverty,LPM,33.7548602,-84.5132171
131210081022,1133.0,0.0,0.0,99.47,Minority,Low_poverty,LPM,33.7428344,-84.471418
131210082023,243.0,2.47,35.53,97.53,Minority,High_poverty,HPM,33.7805317,-84.4990262
131210094041,2036.0,67.24,4.72,22.89,White,Low_poverty,LPW,33.8356924,-84.3544182
131210096031,1952.0,64.04,13.88,22.8,White,Low_poverty,LPW,33.8392433,-84.3740787
131210101103,1940.0,61.39,6.03,36.34,White,Low_poverty,LPW,33.9153351,-84.372429
131210101231,2694.0,59.65,12.55,33.92,White,Low_poverty,LPW,33.9437071,-84.3676156
131210101183,1759.0,32.01,24.62,61.06,Minority,Low_poverty,LPM,33.970505,-84.3529628
131210102083,1563.0,54.77,5.57,38.71,White,Low_poverty,LPW,33.9859903,-84.3551822
131210060002,569.0,15.82,10.37,82.08,Minority,Low_poverty,LPM,33.7391118,-84.440481
131210112026,545.0,31.74,7.52,62.93,Minority,Low_poverty,LPM,33.6730669,-84.4485656
131210101232,1395.0,41.51,5.34,47.46,Other,Low_poverty,LPO,33.9511208,-84.3630596
131210114112,645.0,76.59,1.86,10.23,White,Low_poverty,LPW,34.0067226,-84.3054115
131210023002,412.0,13.35,36.65,83.25,Minority,High_poverty,HPM,33.7662526,-84.4164802
131210030001,1997.0,75.41,3.71,16.02,White,Low_poverty,LPW,33.75817,-84.3612411
131210086014,894.0,0.0,17.11,100.0,Minority,Low_poverty,LPM,33.7816078,-84.4621781
131210090002,1445.0,89.76,1.04,8.3,White,Low_poverty,LPW,33.814728,-84.4129254
131210094031,2820.0,41.99,17.66,47.84,Other,Low_poverty,LPO,33.8336947,-84.3583919
131210011002,1213.0,74.86,0.0,12.37,White,Low_poverty,LPW,33.7859452,-84.380559
131210060003,1098.0,4.01,8.74,94.81,Minority,Low_poverty,LPM,33.7354988,-84.4418285
131210114123,2922.0,64.99,0.0,13.21,White,Low_poverty,LPW,34.0284985,-84.3114161
131210040002,855.0,7.72,28.19,90.64,Minority,Low_poverty,LPM,33.7467419,-84.4377634
131210070023,647.0,3.09,6.8,95.05,Minority,Low_poverty,LPM,33.7003209,-84.3774545
131210114261,2465.0,63.41,4.64,24.74,White,Low_poverty,LPW,34.0371528,-84.2460359
131210023001,472.0,3.18,29.03,96.82,Minority,Low_poverty,LPM,33.7653748,-84.4113514
131210088002,1622.0,65.72,2.4,25.96,White,Low_poverty,LPW,33.8155865,-84.4737287
131210039001,1156.0,0.61,43.86,99.39,Minority,High_poverty,HPM,33.7516221,-84.4228765
131210024001,1651.0,4.42,26.59,95.22,Minority,Low_poverty,LPM,33.7588808,-84.421185
131210061002,1689.0,0.77,24.33,99.23,Minority,Low_poverty,LPM,33.7266158,-84.4324076
131210120002,793.0,10.97,15.36,89.03,Minority,Low_poverty,LPM,33.7298204,-84.3900701
131210118001,215.0,0.0,43.26,100.0,Minority,High_poverty,HPM,33.7686905,-84.4116347
131210087001,661.0,5.75,28.29,94.25,Minority,Low_poverty,LPM,33.8035647,-84.4789369
131210076023,1193.0,1.09,26.24,98.91,Minority,Low_poverty,LPM,33.7100922,-84.4682951
131210114181,1338.0,92.9,0.0,5.83,White,Low_poverty,LPW,34.0518784,-84.4066934
131210110003,1021.0,2.06,50.44,97.94,Minority,High_poverty,HPM,33.6752481,-84.4348511
131210075002,384.0,19.01,25.26,80.99,Minority,Low_poverty,LPM,33.6865394,-84.4133995
131210005001,2982.0,55.8,9.73,30.24,White,Low_poverty,LPW,33.7920665,-84.393208
131210116142,4108.0,45.89,0.83,42.21,Other,Low_poverty,LPO,34.1146981,-84.2650141
131210065004,1350.0,30.52,31.26,65.63,Minority,High_poverty,HPM,33.7163094,-84.4129938
131210101172,1086.0,28.55,4.7,40.61,Other,Low_poverty,LPO,33.9603446,-84.3612326
131210101063,1134.0,100.0,3.7,0.0,White,Low_poverty,LPW,33.9707506,-84.3220802
131210075003,1444.0,6.99,29.85,90.79,Minority,Low_poverty,LPM,33.6924551,-84.4127904
131210016001,2237.0,82.12,4.92,9.44,White,Low_poverty,LPW,33.766939,-84.3570136
131210105071,2000.0,6.3,9.98,92.7,Minority,Low_poverty,LPM,33.611455,-84.467944
131210083021,914.0,0.0,41.14,100.0,Minority,High_poverty,HPM,33.7564204,-84.4566238
131210048001,988.0,15.49,50.4,78.24,Minority,High_poverty,HPM,33.7443311,-84.3839375
131210096023,1628.0,86.36,2.58,4.12,White,Low_poverty,LPW,33.8407692,-84.3644666
131210113051,1005.0,1.79,9.25,96.32,Minority,Low_poverty,LPM,33.6567352,-84.4907517
131210053003,638.0,87.3,1.41,12.7,White,Low_poverty,LPW,33.7275232,-84.3738393
131210114212,1371.0,22.98,23.85,68.78,Minority,Low_poverty,LPM,34.0386366,-84.3228417
131210101171,3233.0,26.88,11.04,64.86,Minority,Low_poverty,LPM,33.964147,-84.3564544
131210095012,2168.0,95.06,2.03,3.42,White,Low_poverty,LPW,33.8251472,-84.3970231
131210041002,798.0,14.79,21.05,85.21,Minority,Low_poverty,LPM,33.742357,-84.4289044
131210031001,1047.0,77.27,6.67,22.45,White,Low_poverty,LPW,33.7495693,-84.353528
131210075004,625.0,3.36,34.72,86.24,Minority,High_poverty,HPM,33.6993732,-84.4234015
131210025002,745.0,5.64,40.06,92.62,Minority,High_poverty,HPM,33.7586916,-84.409973
131210101211,2095.0,82.34,5.39,10.74,White,Low_poverty,LPW,33.9311537,-84.3706421
131210101072,983.0,91.25,3.03,4.07,White,Low_poverty,LPW,33.9750648,-84.2948985
131210091023,1597.0,52.72,10.9,29.12,White,Low_poverty,LPW,33.8078688,-84.3882565
131210038001,4283.0,15.97,43.27,72.85,Minority,High_poverty,HPM,33.7508286,-84.412023
131210094043,502.0,50.2,17.53,45.42,White,Low_poverty,LPW,33.8327281,-84.3521963
131210102051,844.0,81.4,2.01,18.6,White,Low_poverty,LPW,33.9402529,-84.3816431
