origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,Race,Poverty,origin_geoid_type,latitude,longitude
250250101033,1527.0,63.65,73.83,14.54,White,High_poverty,HPW,42.3504864,-71.1056415
250250202001,1163.0,69.13,14.45,14.27,White,Low_poverty,LPW,42.3602741,-71.0659864
250250006023,1646.0,37.79,48.06,32.08,Other,High_poverty,HPO,42.3476014,-71.1449263
250251702002,1678.0,56.5,15.26,35.4,White,Low_poverty,LPW,42.4141403,-71.015668
250250703001,1160.0,63.71,22.41,9.56,White,Low_poverty,LPW,42.3502288,-71.0700637
250250006011,921.0,65.26,17.33,10.09,White,Low_poverty,LPW,42.352968,-71.1427061
250250504002,1829.0,43.08,9.29,53.74,Minority,Low_poverty,LPM,42.3676604,-71.0372538
250251402024,1679.0,31.86,13.82,66.05,Minority,Low_poverty,LPM,42.2482282,-71.1177336
250251304023,897.0,81.05,5.35,18.95,White,Low_poverty,LPW,42.2699953,-71.1685673
250251011022,1812.0,0.66,27.32,99.34,Minority,Low_poverty,LPM,42.2795081,-71.0913701
250250002014,948.0,56.96,4.54,30.17,White,Low_poverty,LPW,42.3507536,-71.1616549
250250502004,1220.0,15.82,13.3,84.18,Minority,Low_poverty,LPM,42.3778777,-71.0313282
250250817001,445.0,2.92,16.85,82.92,Minority,Low_poverty,LPM,42.3233267,-71.0833728
250250008021,1117.0,68.31,38.85,15.58,White,High_poverty,HPW,42.35523,-71.1287208
250251703006,1704.0,59.04,24.12,39.73,White,Low_poverty,LPW,42.4196865,-71.0105351
250250506002,1025.0,34.44,7.32,62.15,Minority,Low_poverty,LPM,42.370921,-71.0373551
250250103002,3992.0,69.79,5.21,12.96,White,Low_poverty,LPW,42.3398082,-71.1039946
250251701004,899.0,58.51,5.45,39.48,White,Low_poverty,LPW,42.4124023,-71.0238498
250251106071,1051.0,56.99,0.0,20.27,White,Low_poverty,LPW,42.2907944,-71.13624
250251604002,1828.0,15.81,17.61,82.66,Minority,Low_poverty,LPM,42.392321,-71.0363388
250250102043,832.0,57.69,53.39,10.58,White,High_poverty,HPW,42.3459611,-71.1020344
250250007042,781.0,50.32,26.5,6.27,White,Low_poverty,LPW,42.347237,-71.1344075
250251605014,952.0,31.09,30.04,57.99,Minority,High_poverty,HPM,42.3978397,-71.0326568
250250107021,798.0,84.21,0.9,8.52,White,Low_poverty,LPW,42.3509702,-71.0755578
250251204003,1166.0,70.58,5.49,14.32,White,Low_poverty,LPW,42.3094092,-71.1133069
250250502003,947.0,24.5,23.23,69.27,Minority,Low_poverty,LPM,42.3785549,-71.0321677
250251203012,811.0,27.0,9.12,71.64,Minority,Low_poverty,LPM,42.3127514,-71.0989754
250251401061,1501.0,23.78,21.32,71.61,Minority,Low_poverty,LPM,42.2738738,-71.1371416
250250004011,1379.0,81.07,10.3,9.43,White,Low_poverty,LPW,42.3430754,-71.1452014
250250921014,1427.0,19.2,32.38,32.16,Other,High_poverty,HPO,42.2979629,-71.0563418
250250901004,1081.0,0.0,28.86,92.13,Minority,Low_poverty,LPM,42.3006819,-71.0808396
250250104052,2376.0,57.32,57.2,21.46,White,High_poverty,HPW,42.3428715,-71.091054
250251302003,1771.0,84.08,10.16,8.53,White,Low_poverty,LPW,42.2882552,-71.1570262
250250923004,540.0,0.0,14.15,92.03,Minority,Low_poverty,LPM,42.2957884,-71.077318
250251304062,2579.0,44.09,11.66,40.09,Other,Low_poverty,LPO,42.2617617,-71.1513818
250251302002,1103.0,85.77,19.71,3.99,White,Low_poverty,LPW,42.2899692,-71.1523387
250250301002,959.0,93.22,4.9,4.38,White,Low_poverty,LPW,42.3664584,-71.0570515
250250403001,681.0,25.99,60.06,58.0,Minority,High_poverty,HPM,42.3793471,-71.0607392
250250203012,1746.0,60.08,9.56,23.82,White,Low_poverty,LPW,42.3644758,-71.0672581
250250812002,1433.0,45.08,25.33,43.12,Other,Low_poverty,LPO,42.3241734,-71.1063236
250250503002,2056.0,32.34,45.82,53.6,Minority,High_poverty,HPM,42.3683358,-71.0414912
250251010012,189.0,0.0,0.0,92.59,Minority,Low_poverty,LPM,42.2735389,-71.1045689
250250007044,1204.0,17.77,16.28,39.37,Other,Low_poverty,LPO,42.3496588,-71.1332243
250251701002,1041.0,63.69,2.31,36.31,White,Low_poverty,LPW,42.4081734,-71.0214058
250251304061,2995.0,7.91,15.93,89.41,Minority,Low_poverty,LPM,42.255985,-71.1462285
250250819004,1179.0,0.0,39.78,100.0,Minority,High_poverty,HPM,42.3123675,-71.0924702
250250913001,1365.0,14.21,11.5,74.8,Minority,Low_poverty,LPM,42.3193145,-71.0646522
250250711011,1689.0,52.75,18.4,7.75,White,Low_poverty,LPW,42.3373549,-71.0716955
250250003022,1879.0,60.46,2.87,15.92,White,Low_poverty,LPW,42.3452585,-71.1684298
250251206001,1027.0,57.25,2.34,33.69,White,Low_poverty,LPW,42.3205428,-71.1079039
250250403003,530.0,96.6,1.7,0.0,White,Low_poverty,LPW,42.3789261,-71.0634074
250250924002,875.0,5.37,50.97,89.48,Minority,High_poverty,HPM,42.2948437,-71.0831794
250250912001,1494.0,33.07,12.65,31.26,Other,Low_poverty,LPO,42.318368,-71.060973
250251302004,490.0,88.16,0.0,8.37,White,Low_poverty,LPW,42.2849451,-71.1600751
250259811004,438.0,21.0,15.24,76.49,Minority,Low_poverty,LPM,42.2881698,-71.1019239
250251706013,1292.0,62.46,2.63,34.21,White,Low_poverty,LPW,42.4090637,-71.0105125
250250104031,1216.0,32.73,42.68,38.74,Other,High_poverty,HPO,42.344408,-71.0884544
250250902003,1092.0,0.0,30.86,94.6,Minority,High_poverty,HPM,42.3082346,-71.0794732
250250920002,2046.0,10.07,12.9,64.22,Minority,Low_poverty,LPM,42.2985129,-71.0674002
250250810012,2434.0,21.28,28.96,44.99,Other,Low_poverty,LPO,42.3340274,-71.1093934
250250108012,1135.0,90.84,3.14,7.31,White,Low_poverty,LPW,42.3544121,-71.0764383
250250701018,438.0,75.11,10.27,11.18,White,Low_poverty,LPW,42.3552603,-71.0552023
250251404004,550.0,0.0,15.45,100.0,Minority,Low_poverty,LPM,42.2657754,-71.1087087
250251010016,1675.0,4.72,7.97,90.09,Minority,Low_poverty,LPM,42.2732562,-71.0983009
250250003013,784.0,65.69,4.08,18.88,White,Low_poverty,LPW,42.3523733,-71.1701145
250251103011,1332.0,15.54,10.89,80.85,Minority,Low_poverty,LPM,42.2849321,-71.1124095
250250002023,917.0,60.2,16.14,24.21,White,Low_poverty,LPW,42.3530967,-71.156904
250251708004,876.0,54.68,22.95,39.16,White,Low_poverty,LPW,42.3926179,-70.9861134
250250708003,883.0,75.54,14.61,16.42,White,Low_poverty,LPW,42.3424595,-71.0808874
250250108021,1166.0,83.45,7.58,9.69,White,Low_poverty,LPW,42.3515651,-71.0853117
250251302005,934.0,90.36,7.71,3.64,White,Low_poverty,LPW,42.2835735,-71.163678
250250811001,1171.0,49.7,52.24,28.95,Other,High_poverty,HPO,42.328249,-71.1041551
250250008022,1369.0,52.45,36.52,15.93,White,High_poverty,HPW,42.3548929,-71.134622
250250813001,1473.0,20.37,33.74,68.36,Minority,High_poverty,HPM,42.314771,-71.0964448
250251006011,1057.0,58.37,2.08,23.65,White,Low_poverty,LPW,42.29172,-71.0517464
250250510003,1189.0,55.34,5.38,26.07,White,Low_poverty,LPW,42.3841782,-71.0189873
250250601013,946.0,92.39,2.11,4.33,White,Low_poverty,LPW,42.3348243,-71.0277312
250250601012,771.0,98.57,5.84,1.43,White,Low_poverty,LPW,42.3336441,-71.0281344
250250604005,898.0,82.41,29.88,4.23,White,Low_poverty,LPW,42.3337719,-71.0457428
250250604002,1300.0,100.0,3.46,0.0,White,Low_poverty,LPW,42.332225,-71.0393789
250250605013,806.0,82.13,0.0,12.41,White,Low_poverty,LPW,42.3369024,-71.0417058
250250612003,1046.0,95.79,19.41,2.39,White,Low_poverty,LPW,42.3295055,-71.0550645
250250610001,1258.0,92.45,2.31,6.92,White,Low_poverty,LPW,42.3327461,-71.0487224
