origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,Race,Poverty,origin_geoid_type,latitude,longitude
170310633032,705.0,78.72,5.39,2.41,White,Low_poverty,LPW,41.9332411,-87.6314673
170310812024,850.0,80.82,5.29,4.12,White,Low_poverty,LPW,41.90281,-87.6265543
170312420003,963.0,42.68,12.15,45.79,Other,Low_poverty,LPO,41.9024823,-87.6650756
170318241132,1367.0,96.42,0.0,0.0,White,Low_poverty,LPW,41.6223338,-87.8996399
170318428005,1512.0,6.42,30.36,93.58,Minority,High_poverty,HPM,41.8102442,-87.696345
170318130001,800.0,40.13,3.5,52.88,Minority,Low_poverty,LPM,41.8782613,-87.777035
170312431002,699.0,55.22,8.15,34.19,White,Low_poverty,LPW,41.8909869,-87.6744667
170318310002,1236.0,88.03,1.38,3.56,White,Low_poverty,LPW,41.9160088,-87.675141
170318133011,1261.0,4.12,27.76,95.88,Minority,Low_poverty,LPM,41.8621421,-87.7556382
170318124002,1089.0,71.35,7.71,13.22,White,Low_poverty,LPW,41.893443,-87.7935479
170318143001,2107.0,1.14,12.72,98.86,Minority,Low_poverty,LPM,41.8373598,-87.756008
170318277002,1052.0,16.73,24.31,79.28,Minority,Low_poverty,LPM,41.5826668,-87.6723683
170318068022,1549.0,35.05,2.97,42.8,Other,Low_poverty,LPO,42.0461836,-87.7439572
170318146003,797.0,23.34,3.26,72.27,Minority,Low_poverty,LPM,41.8598062,-87.7862518
170312213001,1303.0,45.13,29.85,48.12,Other,Low_poverty,LPO,41.9232152,-87.6998306
170318034001,896.0,89.4,3.46,2.46,White,Low_poverty,LPW,42.0771542,-87.9591633
170317505002,733.0,5.73,5.17,91.54,Minority,Low_poverty,LPM,41.6811457,-87.6775758
170311403023,2001.0,31.38,21.75,39.38,Other,Low_poverty,LPO,41.9736151,-87.7254913
170310608001,1500.0,72.0,5.87,10.73,White,Low_poverty,LPW,41.9529983,-87.6487977
170312105011,738.0,26.96,13.96,61.92,Minority,Low_poverty,LPM,41.9374886,-87.7188946
170316009001,537.0,39.66,9.12,18.44,Other,Low_poverty,LPO,41.8361686,-87.6479495
170318005002,1012.0,96.34,0.2,3.06,White,Low_poverty,LPW,42.0977522,-87.7323889
170318096003,1128.0,13.21,16.22,77.66,Minority,Low_poverty,LPM,42.0446618,-87.7043573
170318174002,1391.0,17.97,11.05,79.94,Minority,Low_poverty,LPM,41.8960169,-87.8386326
170310306012,999.0,31.03,22.22,29.23,Other,Low_poverty,LPO,41.9886687,-87.6588466
170318231015,1141.0,80.02,6.92,14.9,White,Low_poverty,LPW,41.6836399,-87.7927321
170317608034,1180.0,93.39,5.85,1.69,White,Low_poverty,LPW,41.9720847,-87.8401934
170318188002,496.0,98.39,6.85,1.61,White,Low_poverty,LPW,41.8239389,-87.8501487
170317306002,1716.0,0.7,28.21,98.55,Minority,Low_poverty,LPM,41.7102605,-87.6509789
170312519004,1520.0,1.38,44.61,97.76,Minority,High_poverty,HPM,41.8822713,-87.762559
170318347001,519.0,0.0,36.99,100.0,Minority,High_poverty,HPM,41.7906504,-87.6462795
170311505022,1020.0,63.63,12.75,25.78,White,Low_poverty,LPW,41.9567998,-87.7781071
170311913013,2218.0,0.72,4.82,97.93,Minority,Low_poverty,LPM,41.9201298,-87.7830304
170318300051,2459.0,30.01,0.75,67.26,Minority,Low_poverty,LPM,41.5201609,-87.7013575
170318072005,874.0,70.71,11.56,5.15,White,Low_poverty,LPW,42.0381726,-87.7298373
170312504002,1011.0,15.13,38.38,84.87,Minority,High_poverty,HPM,41.91099,-87.7685513
