origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,Race,Poverty,origin_geoid_type,latitude,longitude
481130181302,2871.0,19.02,18.11,75.68,Minority,Low_poverty,LPM,32.8348192,-96.6258583
481130084006,1882.0,11.0,13.55,88.26,Minority,Low_poverty,LPM,32.7666157,-96.709693
481130193022,1362.0,76.14,12.67,15.2,White,Low_poverty,LPW,32.848749,-96.7824816
481130071011,1623.0,80.35,14.91,9.62,White,Low_poverty,LPW,32.8483277,-96.8170231
481130147022,580.0,36.72,1.72,62.76,Minority,Low_poverty,LPM,32.826436,-96.9294911
481130178083,2283.0,36.88,11.04,55.1,Minority,Low_poverty,LPM,32.8291502,-96.6067159
481130190371,814.0,76.41,0.0,0.0,White,Low_poverty,LPW,32.9702521,-96.6867605
481130076051,563.0,87.21,1.6,4.26,White,Low_poverty,LPW,32.8873608,-96.8168056
481130127023,1111.0,35.28,2.97,64.09,Minority,Low_poverty,LPM,32.8405819,-96.6700412
481130140012,1632.0,25.61,6.19,62.86,Minority,Low_poverty,LPM,32.9209509,-96.8846069
481130136231,1802.0,24.53,12.1,67.48,Minority,Low_poverty,LPM,32.9414012,-96.8114046
481130011022,614.0,62.05,3.42,26.39,White,Low_poverty,LPW,32.818635,-96.7572105
481130108031,1061.0,30.25,9.14,63.81,Minority,Low_poverty,LPM,32.701217,-96.8609501
481130144082,627.0,65.87,1.59,20.74,White,Low_poverty,LPW,32.8244702,-97.00701
481130109023,3753.0,1.6,46.95,97.42,Minority,High_poverty,HPM,32.6553655,-96.8724267
481130190142,1044.0,13.98,36.59,62.36,Minority,High_poverty,HPM,32.9295119,-96.6792008
481130132001,2132.0,59.47,1.41,38.55,White,Low_poverty,LPW,32.9210985,-96.7949776
481130122081,1817.0,6.0,29.44,94.0,Minority,Low_poverty,LPM,32.8005766,-96.7217837
481130141192,1442.0,54.65,3.94,19.97,White,Low_poverty,LPW,32.9657969,-96.9890716
481130091051,1941.0,4.07,32.15,95.93,Minority,High_poverty,HPM,32.738181,-96.6971957
481130078113,916.0,54.26,6.11,45.74,White,Low_poverty,LPW,32.8969249,-96.7210194
481130042021,661.0,41.91,11.65,56.13,Minority,Low_poverty,LPM,32.7515625,-96.8407489
481130190292,1438.0,43.53,9.04,40.34,Other,Low_poverty,LPO,32.9480555,-96.6694448
481130137272,1410.0,60.43,2.55,31.98,White,Low_poverty,LPW,32.9518499,-96.8455021
481130130072,1041.0,61.1,0.0,34.87,White,Low_poverty,LPW,32.8676192,-96.6969112
481130154041,3636.0,14.05,26.57,84.88,Minority,Low_poverty,LPM,32.7485711,-97.0320718
481130144061,1748.0,5.95,21.62,93.54,Minority,Low_poverty,LPM,32.8265784,-96.9796271
481130076042,853.0,91.56,0.0,5.51,White,Low_poverty,LPW,32.883037,-96.7915603
481130012041,1585.0,4.29,19.02,95.71,Minority,Low_poverty,LPM,32.8001255,-96.7500512
481130108013,3895.0,4.57,17.15,95.43,Minority,Low_poverty,LPM,32.7171961,-96.9069772
481130166051,1865.0,7.94,32.6,92.07,Minority,High_poverty,HPM,32.6367606,-96.8320258
481130130045,1205.0,78.34,9.54,20.75,White,Low_poverty,LPW,32.8675571,-96.7143403
481130182031,1877.0,12.57,0.53,71.92,Minority,Low_poverty,LPM,32.8966273,-96.6070315
481130101023,979.0,4.7,10.42,95.3,Minority,Low_poverty,LPM,32.7803779,-96.8399024
481130051001,1448.0,9.12,8.43,90.88,Minority,Low_poverty,LPM,32.7393908,-96.8409816
481130137182,1796.0,30.35,9.24,66.81,Minority,Low_poverty,LPM,32.9585116,-96.8927554
481130130052,1412.0,87.25,0.0,8.22,White,Low_poverty,LPW,32.875246,-96.704391
481130048003,231.0,0.0,6.93,100.0,Minority,Low_poverty,LPM,32.7447914,-96.8196777
481130077004,2278.0,91.26,13.52,3.38,White,Low_poverty,LPW,32.8694211,-96.7910598
481130158002,1455.0,7.63,6.46,92.03,Minority,Low_poverty,LPM,32.7554346,-96.9572104
481130180013,1119.0,58.36,1.52,36.46,White,Low_poverty,LPW,32.8348496,-96.6535921
481130098033,722.0,44.88,17.45,54.43,Minority,Low_poverty,LPM,32.8765278,-96.87201
481130078184,1077.0,13.65,22.93,79.11,Minority,Low_poverty,LPM,32.8684388,-96.7586296
481130049002,1612.0,0.68,30.97,98.45,Minority,High_poverty,HPM,32.7421186,-96.8043656
481130080002,974.0,73.92,0.0,2.67,White,Low_poverty,LPW,32.8370514,-96.7389207
481130136152,1361.0,0.0,31.3,100.0,Minority,High_poverty,HPM,32.9306548,-96.8078433
481130190265,846.0,41.96,14.78,45.27,Other,Low_poverty,LPO,32.9343537,-96.6438976
481130192032,856.0,94.04,5.37,4.44,White,Low_poverty,LPW,32.9595849,-96.7416353
481130180014,1043.0,18.02,42.67,81.97,Minority,High_poverty,HPM,32.8288694,-96.6486153
481130049003,866.0,5.08,19.63,94.92,Minority,Low_poverty,LPM,32.7373976,-96.8058137
481130079132,822.0,53.41,0.0,37.84,White,Low_poverty,LPW,32.847379,-96.766022
481130164014,524.0,40.84,2.67,49.43,Other,Low_poverty,LPO,32.7078736,-97.0262094
481130118004,1406.0,7.25,13.51,92.74,Minority,Low_poverty,LPM,32.726271,-96.6601524
481130190342,2936.0,14.78,20.82,75.96,Minority,Low_poverty,LPM,32.9196858,-96.7328053
481130188022,725.0,31.03,9.76,67.72,Minority,Low_poverty,LPM,32.9129778,-96.6347285
481130132004,1067.0,97.0,0.0,1.59,White,Low_poverty,LPW,32.9124928,-96.7952948
481130137144,1900.0,11.58,14.21,85.42,Minority,Low_poverty,LPM,32.9499947,-96.8860614
481130122102,2472.0,29.53,18.77,67.67,Minority,Low_poverty,LPM,32.8102819,-96.6935695
481130087011,1109.0,0.81,46.8,96.58,Minority,High_poverty,HPM,32.7121391,-96.766952
481130179002,1410.0,18.72,0.0,78.44,Minority,Low_poverty,LPM,32.8257432,-96.6564523
481130020002,781.0,18.57,45.97,81.44,Minority,High_poverty,HPM,32.7607426,-96.8128174
481130098043,2217.0,33.02,18.04,66.98,Minority,Low_poverty,LPM,32.8688085,-96.8664226
481130143022,881.0,45.86,21.63,52.21,Minority,Low_poverty,LPM,32.8462354,-96.9742787
481130192021,652.0,57.36,4.45,39.57,White,Low_poverty,LPW,32.9475706,-96.7405973
481130138042,1799.0,37.13,7.23,59.64,Minority,Low_poverty,LPM,32.9208232,-96.8607174
481130129002,607.0,92.26,0.0,7.74,White,Low_poverty,LPW,32.8580902,-96.7147647
481130045002,2590.0,7.61,29.46,92.39,Minority,Low_poverty,LPM,32.7473041,-96.8692432
481130166201,1321.0,22.79,48.83,77.21,Minority,High_poverty,HPM,32.5969031,-96.8538098
481130006062,789.0,82.13,1.65,14.32,White,Low_poverty,LPW,32.8149744,-96.8063635
481130190182,1413.0,31.35,12.03,44.23,Other,Low_poverty,LPO,32.9282849,-96.7152909
481130136062,1183.0,67.37,3.13,28.32,White,Low_poverty,LPW,32.9554857,-96.7947492
481130087015,1805.0,0.5,45.21,98.0,Minority,High_poverty,HPM,32.6930891,-96.7629832
481130199004,651.0,19.51,3.38,80.49,Minority,Low_poverty,LPM,32.7372259,-96.8835261
481130192043,549.0,76.14,0.0,14.57,White,Low_poverty,LPW,32.9489768,-96.7632922
481130141292,1912.0,4.92,0.0,21.29,Other,Low_poverty,LPO,32.9256942,-96.9544917
481130080004,728.0,77.75,0.0,15.53,White,Low_poverty,LPW,32.8374456,-96.7280615
481130088024,978.0,2.04,27.2,97.95,Minority,Low_poverty,LPM,32.7048304,-96.7921966
481130136081,1228.0,93.32,5.29,4.89,White,Low_poverty,LPW,32.9446922,-96.7949101
481130165094,602.0,35.22,4.15,62.79,Minority,Low_poverty,LPM,32.629857,-96.9154561
481130152043,540.0,30.0,2.22,70.0,Minority,Low_poverty,LPM,32.7946229,-96.9740801
481130130053,420.0,83.33,0.0,9.05,White,Low_poverty,LPW,32.8684346,-96.7027009
481130178122,1097.0,38.47,11.58,60.62,Minority,Low_poverty,LPM,32.816563,-96.6171498
481130194002,1406.0,84.57,5.55,2.63,White,Low_poverty,LPW,32.8477546,-96.791368
481130144053,1162.0,25.22,15.06,63.34,Minority,Low_poverty,LPM,32.8269306,-96.9875873
481130053002,1160.0,21.55,16.03,76.55,Minority,Low_poverty,LPM,32.7380201,-96.8662825
481130190271,890.0,54.61,23.26,41.01,White,Low_poverty,LPW,32.9646093,-96.6496879
481130162024,2221.0,2.48,30.12,96.76,Minority,High_poverty,HPM,32.7115074,-97.0113846
481130096052,1603.0,23.71,8.11,67.81,Minority,Low_poverty,LPM,32.9114294,-96.860051
481130044003,1117.0,26.14,20.5,67.06,Minority,Low_poverty,LPM,32.7611998,-96.8538975
481130171012,4796.0,21.1,18.68,77.86,Minority,Low_poverty,LPM,32.6911135,-96.5990867
481130165133,2876.0,24.03,6.71,70.23,Minority,Low_poverty,LPM,32.626121,-96.9367163
481130065022,2068.0,7.16,10.82,92.36,Minority,Low_poverty,LPM,32.7263609,-96.8867638
481130136074,809.0,51.79,0.0,41.66,White,Low_poverty,LPW,32.9533983,-96.7736646
481130045003,1740.0,30.46,18.16,66.67,Minority,Low_poverty,LPM,32.7445072,-96.8623583
481130091042,1803.0,11.04,16.69,88.96,Minority,Low_poverty,LPM,32.7457308,-96.6874376
481130181264,967.0,25.03,0.52,74.97,Minority,Low_poverty,LPM,32.8593211,-96.6289178
481130141303,1475.0,26.71,0.0,21.56,Other,Low_poverty,LPO,32.9242512,-96.9491128
481130042013,628.0,39.97,2.71,60.03,Minority,Low_poverty,LPM,32.758128,-96.8264191
481130190211,1234.0,42.3,3.97,49.92,Other,Low_poverty,LPO,32.9418539,-96.6506699
481130172022,1998.0,12.16,16.52,84.68,Minority,Low_poverty,LPM,32.7105121,-96.6176413
481130128005,1069.0,41.25,23.57,57.81,Minority,Low_poverty,LPM,32.8545119,-96.6803356
481130143073,710.0,66.2,5.07,13.52,White,Low_poverty,LPW,32.8532185,-96.9554844
481130166212,1342.0,16.54,1.27,81.29,Minority,Low_poverty,LPM,32.5711666,-96.8320915
481130143112,2002.0,1.7,5.54,6.35,Other,Low_poverty,LPO,32.8787109,-96.9710307
481130084003,1345.0,19.18,24.98,78.96,Minority,Low_poverty,LPM,32.7711032,-96.7153402
481130112003,1616.0,1.67,16.89,83.42,Minority,Low_poverty,LPM,32.6792041,-96.8103889
481130111011,1332.0,8.26,18.92,91.74,Minority,Low_poverty,LPM,32.6671623,-96.8495694
481130007022,1128.0,68.0,5.94,25.79,White,Low_poverty,LPW,32.8210513,-96.7905152
481130136193,1455.0,84.81,0.96,13.74,White,Low_poverty,LPW,32.9698269,-96.8013353
481130199002,1245.0,5.94,12.05,94.06,Minority,Low_poverty,LPM,32.7415174,-96.8919771
481130108042,2804.0,0.71,31.46,95.72,Minority,High_poverty,HPM,32.7066145,-96.8700861
481130079092,1368.0,48.32,19.01,24.12,Other,Low_poverty,LPO,32.8538325,-96.7678042
481130078183,776.0,27.84,36.08,65.47,Minority,High_poverty,HPM,32.869781,-96.7609358
481130166232,3019.0,11.76,5.33,85.63,Minority,Low_poverty,LPM,32.556376,-96.8808701
481130050002,1306.0,0.46,3.75,99.54,Minority,Low_poverty,LPM,32.7401266,-96.834907
481130165095,1101.0,60.04,5.63,39.96,White,Low_poverty,LPW,32.6235527,-96.9169492
481130136101,1878.0,29.98,16.19,64.0,Minority,Low_poverty,LPM,32.9354981,-96.7727025
481130042012,1207.0,24.86,33.67,75.15,Minority,High_poverty,HPM,32.7553975,-96.8338066
481130170043,4678.0,17.1,30.5,80.31,Minority,High_poverty,HPM,32.6869782,-96.5649006
481130006011,591.0,93.23,3.55,0.85,White,Low_poverty,LPW,32.8316275,-96.8218714
481130006015,1499.0,48.63,25.22,45.43,Other,Low_poverty,LPO,32.8207918,-96.8200669
481130184012,1842.0,27.58,26.49,70.25,Minority,Low_poverty,LPM,32.8706058,-96.6592241
481130047001,1133.0,17.83,41.13,81.91,Minority,High_poverty,HPM,32.7446955,-96.8265115
481130025001,1395.0,6.81,60.86,91.04,Minority,High_poverty,HPM,32.7811415,-96.7362025
481130165182,1268.0,32.02,4.65,62.7,Minority,Low_poverty,LPM,32.654336,-96.9194169
481130110012,903.0,0.0,2.99,100.0,Minority,Low_poverty,LPM,32.6866496,-96.8440143
481130012022,725.0,90.76,0.0,6.48,White,Low_poverty,LPW,32.8059963,-96.7405777
481130130042,1714.0,99.3,0.0,0.7,White,Low_poverty,LPW,32.8730004,-96.7214832
481130141383,738.0,14.23,2.06,18.29,Other,Low_poverty,LPO,32.9019876,-96.9376768
481130096033,1617.0,75.39,4.64,18.0,White,Low_poverty,LPW,32.9148967,-96.8229729
481130068003,1125.0,33.42,13.96,64.36,Minority,Low_poverty,LPM,32.7580036,-96.8595585
481130136252,2805.0,8.84,20.0,83.93,Minority,Low_poverty,LPM,32.9446588,-96.8207685
481130136212,2592.0,20.79,0.5,78.7,Minority,Low_poverty,LPM,32.9585377,-96.8064777
481130116023,2461.0,15.2,14.67,80.98,Minority,Low_poverty,LPM,32.6881652,-96.6489905
481130020005,1654.0,5.5,49.52,93.29,Minority,High_poverty,HPM,32.7558166,-96.8141917
481130072021,1256.0,14.81,17.44,81.69,Minority,Low_poverty,LPM,32.8627082,-96.8692479
481130170011,602.0,84.72,1.66,12.29,White,Low_poverty,LPW,32.6421137,-96.5282999
481130086042,1465.0,0.48,66.21,99.53,Minority,High_poverty,HPM,32.7198193,-96.7654076
481130166104,1802.0,4.66,25.47,91.4,Minority,Low_poverty,LPM,32.6086241,-96.8269319
481130190044,583.0,23.33,2.57,23.33,Other,Low_poverty,LPO,32.92415,-96.7030528
481130132002,2890.0,53.53,13.63,36.92,White,Low_poverty,LPW,32.9161808,-96.7708623
481130138053,1402.0,28.82,9.7,61.77,Minority,Low_poverty,LPM,32.9380735,-96.8526525
481130038003,665.0,2.86,31.13,97.15,Minority,High_poverty,HPM,32.7564964,-96.757657
481130143081,1257.0,17.26,11.76,78.92,Minority,Low_poverty,LPM,32.8470775,-96.9547554
481130020001,1889.0,37.16,2.25,48.86,Other,Low_poverty,LPO,32.7627292,-96.819531
481130187001,1640.0,19.88,26.22,80.12,Minority,Low_poverty,LPM,32.8962253,-96.6360515
481130137271,1868.0,37.37,6.26,47.59,Other,Low_poverty,LPO,32.9720841,-96.8358071
481130079133,962.0,75.26,2.81,19.86,White,Low_poverty,LPW,32.8484406,-96.7694351
481130181323,1525.0,31.54,3.54,57.38,Minority,Low_poverty,LPM,32.8377251,-96.5877732
481130081002,1172.0,71.93,2.65,28.08,White,Low_poverty,LPW,32.8269158,-96.7015172
481130141153,1459.0,8.02,0.0,60.59,Minority,Low_poverty,LPM,32.8489781,-97.0047275
481130165172,1712.0,16.41,17.11,77.51,Minority,Low_poverty,LPM,32.6436545,-96.9034354
481130192101,1257.0,76.77,9.31,13.76,White,Low_poverty,LPW,32.981445,-96.7199014
481130004012,1956.0,25.77,29.95,72.3,Minority,Low_poverty,LPM,32.811019,-96.8262803
481130165183,623.0,43.5,23.27,55.06,Minority,Low_poverty,LPM,32.6556198,-96.9105663
