origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,Race,Poverty,origin_geoid_type,latitude,longitude
261635243002,1237.0,12.29,33.47,87.07,Minority,High_poverty,HPM,42.2997259,-83.1373693
261635811002,2165.0,52.56,10.53,38.39,White,Low_poverty,LPW,42.2089429,-83.2137995
261635467001,215.0,9.3,71.63,61.86,Minority,High_poverty,HPM,42.3631145,-83.2206575
261635049002,695.0,4.46,53.09,82.88,Minority,High_poverty,HPM,42.4289517,-83.0074406
261635257003,1971.0,12.18,20.19,86.5,Minority,Low_poverty,LPM,42.3289932,-83.1253778
261635429004,999.0,6.31,1.7,92.69,Minority,Low_poverty,LPM,42.3972389,-83.2299702
261635564003,2451.0,81.15,0.69,2.94,White,Low_poverty,LPW,42.4338555,-83.3990697
261635627002,788.0,93.27,1.07,1.78,White,Low_poverty,LPW,42.3634466,-83.4631678
261635382002,1103.0,16.68,1.47,79.24,Minority,Low_poverty,LPM,42.4348827,-83.1252434
261635508002,719.0,87.48,4.87,5.98,White,Low_poverty,LPW,42.4210087,-82.9077337
261635014004,855.0,6.55,47.72,87.49,Minority,High_poverty,HPM,42.4125854,-82.940348
261635408001,662.0,1.21,20.85,98.34,Minority,Low_poverty,LPM,42.4405011,-83.2326012
261635980002,831.0,95.55,0.0,3.49,White,Low_poverty,LPW,42.0751631,-83.2509158
261635776004,874.0,65.9,54.0,32.15,White,High_poverty,HPW,42.2426871,-83.162094
261635363002,281.0,0.0,0.0,96.09,Minority,Low_poverty,LPM,42.4061088,-83.142917
261635549002,571.0,14.71,40.63,85.29,Minority,High_poverty,HPM,42.3827627,-83.2819505
261635544001,802.0,44.89,8.94,55.11,Minority,Low_poverty,LPM,42.4177685,-83.2895575
261635073001,1066.0,1.31,14.07,98.69,Minority,Low_poverty,LPM,42.4289892,-83.085161
261635041002,371.0,0.0,23.45,100.0,Minority,Low_poverty,LPM,42.4166612,-82.9683818
261635774001,745.0,62.28,12.98,37.72,White,Low_poverty,LPW,42.2495751,-83.1833955
261635143001,968.0,6.1,30.35,93.39,Minority,High_poverty,HPM,42.3906584,-82.9872595
261635561004,932.0,83.91,26.82,10.94,White,Low_poverty,LPW,42.4315419,-83.3195307
