origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,Race,Poverty,origin_geoid_type,latitude,longitude
482015115001,634.0,67.98,0.0,26.18,White,Low_poverty,LPW,29.8122353,-95.3864872
482013133001,1193.0,2.68,31.44,94.81,Minority,High_poverty,HPM,29.701912,-95.3319122
482013313003,1480.0,0.0,20.84,100.0,Minority,Low_poverty,LPM,29.6365158,-95.3827009
482012213003,1817.0,1.49,19.59,98.51,Minority,Low_poverty,LPM,29.8540194,-95.366572
482014224024,924.0,68.4,0.0,26.3,White,Low_poverty,LPW,29.6619278,-95.4944858
482013107002,2217.0,23.55,38.4,75.42,Minority,High_poverty,HPM,29.7192561,-95.3116879
482014319001,1068.0,46.16,2.34,10.02,Other,Low_poverty,LPO,29.7378926,-95.463933
482014539003,2376.0,3.07,27.86,44.49,Other,Low_poverty,LPO,29.6782442,-95.6187671
482015217002,2376.0,10.69,22.9,84.72,Minority,Low_poverty,LPM,29.847765,-95.5182628
482015518002,1267.0,91.4,0.88,7.02,White,Low_poverty,LPW,29.8916205,-95.557515
482013126004,1910.0,72.15,0.0,10.0,White,Low_poverty,LPW,29.725801,-95.3830479
482014222001,2646.0,6.35,31.9,92.6,Minority,High_poverty,HPM,29.6370837,-95.5018689
482014123005,1416.0,86.79,7.98,7.06,White,Low_poverty,LPW,29.7227396,-95.4260989
482012405021,1179.0,6.45,24.43,93.55,Minority,Low_poverty,LPM,29.946993,-95.392101
482015529003,2011.0,30.03,31.52,59.23,Minority,High_poverty,HPM,29.9938609,-95.5068515
482014123001,1391.0,79.22,1.08,3.16,White,Low_poverty,LPW,29.7201214,-95.4203617
482014323002,1199.0,17.01,36.7,72.14,Minority,High_poverty,HPM,29.7290374,-95.5413671
482013135002,961.0,1.04,62.96,98.96,Minority,High_poverty,HPM,29.6906182,-95.3483815
482012411021,1667.0,39.41,2.46,60.59,Minority,Low_poverty,LPM,30.044951,-95.3641619
482015524002,3070.0,40.33,3.94,41.24,Other,Low_poverty,LPO,29.9375221,-95.5963166
482013103002,964.0,13.9,34.34,85.17,Minority,High_poverty,HPM,29.7371952,-95.3311596
482014541002,2940.0,10.51,3.48,75.34,Minority,Low_poverty,LPM,29.7040557,-95.6582883
482014318022,3115.0,52.3,5.97,23.98,White,Low_poverty,LPW,29.7453818,-95.4624868
482015320014,2347.0,4.81,29.7,94.34,Minority,Low_poverty,LPM,29.8548819,-95.47267
482012202002,880.0,8.52,15.8,91.48,Minority,Low_poverty,LPM,29.8164073,-95.3571302
482013320004,845.0,2.84,29.94,96.09,Minority,Low_poverty,LPM,29.6731817,-95.3529477
482012527002,1667.0,51.77,23.76,44.69,White,Low_poverty,LPW,29.9126982,-95.056111
482013327002,1940.0,2.47,13.3,96.7,Minority,Low_poverty,LPM,29.6854314,-95.3166494
482013137002,1573.0,9.47,26.13,89.39,Minority,Low_poverty,LPM,29.699228,-95.3669298
482013304002,2031.0,5.17,19.25,94.83,Minority,Low_poverty,LPM,29.6188512,-95.4598487
482012529003,2710.0,36.64,1.85,58.85,Minority,Low_poverty,LPM,29.8018854,-95.0480851
482014124002,1566.0,87.87,0.0,7.85,White,Low_poverty,LPW,29.7203487,-95.4370598
482013339023,1649.0,26.99,12.61,65.19,Minority,Low_poverty,LPM,29.6241946,-95.2435337
482014226002,963.0,50.36,4.05,47.56,White,Low_poverty,LPW,29.685332,-95.501254
482015320013,1573.0,22.89,20.67,73.75,Minority,Low_poverty,LPM,29.8596111,-95.4682756
482014324002,2307.0,12.35,19.51,70.18,Minority,Low_poverty,LPM,29.7238351,-95.5519751
482015222022,1845.0,22.87,42.05,77.12,Minority,High_poverty,HPM,29.7977659,-95.5379697
482014305001,1310.0,64.05,4.43,17.48,White,Low_poverty,LPW,29.7788851,-95.5265743
482015214001,1142.0,0.0,38.0,97.99,Minority,High_poverty,HPM,29.8310523,-95.5079861
482013236004,1658.0,17.61,26.0,65.32,Minority,Low_poverty,LPM,29.6353888,-95.1871909
482012537002,1271.0,39.42,10.26,55.86,Minority,Low_poverty,LPM,29.7569699,-94.9679315
482012116001,1858.0,4.57,25.7,95.43,Minority,Low_poverty,LPM,29.7846713,-95.3115693
482014314021,1833.0,61.59,9.77,17.13,White,Low_poverty,LPW,29.7436082,-95.481055
482013315004,1696.0,0.0,17.04,100.0,Minority,Low_poverty,LPM,29.6310552,-95.3610544
482013403023,2673.0,58.74,5.57,35.31,White,Low_poverty,LPW,29.5990415,-95.1155966
482015320012,1141.0,22.61,31.11,71.34,Minority,High_poverty,HPM,29.8522333,-95.4690484
482012224023,2509.0,5.94,48.51,93.42,Minority,High_poverty,HPM,29.9076421,-95.3774956
482012535001,4179.0,25.17,27.5,61.71,Minority,Low_poverty,LPM,29.7720113,-94.9874193
482013339022,4436.0,14.43,10.64,81.15,Minority,Low_poverty,LPM,29.6119272,-95.246226
482013306001,1866.0,0.59,8.95,99.41,Minority,Low_poverty,LPM,29.6168537,-95.4250732
482013324002,1502.0,0.0,10.39,95.34,Minority,Low_poverty,LPM,29.6617121,-95.3326523
482014316003,1242.0,88.65,0.0,9.01,White,Low_poverty,LPW,29.7637343,-95.4895181
482014207003,1751.0,70.76,6.28,16.39,White,Low_poverty,LPW,29.6683491,-95.4718851
482012116002,1210.0,4.63,32.64,93.8,Minority,High_poverty,HPM,29.7782631,-95.3115277
482013128001,1763.0,7.49,68.34,83.78,Minority,High_poverty,HPM,29.7227174,-95.3604859
482012335003,2685.0,17.28,22.47,82.71,Minority,Low_poverty,LPM,29.7631534,-95.228294
482012522001,1895.0,16.99,0.0,79.84,Minority,Low_poverty,LPM,29.8553158,-95.1350123
482014126003,916.0,69.98,6.99,10.59,White,Low_poverty,LPW,29.7149697,-95.4445143
482013341001,1670.0,0.0,0.0,100.0,Minority,Low_poverty,LPM,29.6311798,-95.4391548
482014118002,1503.0,62.87,4.79,33.93,White,Low_poverty,LPW,29.7264031,-95.4328765
482014504002,1922.0,19.77,40.95,76.07,Minority,High_poverty,HPM,29.7749492,-95.60978
482012321002,3001.0,6.16,31.2,93.84,Minority,High_poverty,HPM,29.9007149,-95.3066347
482013129002,1418.0,13.05,7.76,78.91,Minority,Low_poverty,LPM,29.7157415,-95.3661642
482014230002,840.0,2.14,37.26,93.45,Minority,High_poverty,HPM,29.6760958,-95.5215429
482012507021,2469.0,49.7,1.05,48.64,Other,Low_poverty,LPO,30.0027211,-95.1868115
