origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,Race,Poverty,origin_geoid_type,latitude,longitude
60378004081,928.0,72.84,6.54,27.15,White,Low_poverty,LPW,34.0296286,-118.7693119
60372920001,1212.0,9.16,27.15,68.9,Minority,Low_poverty,LPM,33.839917,-118.3017723
60375702023,712.0,26.12,8.15,50.42,Minority,Low_poverty,LPM,33.8784368,-118.1797781
60374308013,2004.0,21.11,8.91,16.01,Other,Low_poverty,LPO,34.137888,-118.0282744
60374633002,830.0,56.63,2.41,10.48,White,Low_poverty,LPW,34.1392992,-118.1065171
60375337032,3248.0,0.0,7.88,100.0,Minority,Low_poverty,LPM,33.9819846,-118.1719805
60375507006,768.0,15.36,2.21,82.68,Minority,Low_poverty,LPM,33.9620994,-118.1344418
60375337021,2699.0,0.26,28.42,99.11,Minority,Low_poverty,LPM,33.983685,-118.1838168
60379104012,2719.0,27.58,6.03,55.2,Minority,Low_poverty,LPM,34.5704286,-118.1375172
60375313024,1406.0,0.57,28.21,99.43,Minority,Low_poverty,LPM,34.0176529,-118.1890795
60372965003,1119.0,5.81,6.43,75.96,Minority,Low_poverty,LPM,33.7504467,-118.2942782
60375519004,571.0,8.41,4.73,82.66,Minority,Low_poverty,LPM,33.9046777,-118.1017113
60375538011,1202.0,0.0,23.63,100.0,Minority,Low_poverty,LPM,33.8927166,-118.1633706
60375732022,2340.0,10.13,18.89,69.23,Minority,Low_poverty,LPM,33.7916718,-118.1861055
60371918102,1499.0,22.41,17.61,75.05,Minority,Low_poverty,LPM,34.0889242,-118.3271584
60373103001,918.0,52.4,6.31,26.36,White,Low_poverty,LPW,34.1957663,-118.3122171
60375705024,1364.0,7.55,0.67,62.47,Minority,Low_poverty,LPM,33.8667675,-118.1724213
60375336032,3053.0,11.2,23.39,87.19,Minority,Low_poverty,LPM,33.9724728,-118.195066
60374810013,1427.0,4.41,6.94,28.38,Other,Low_poverty,LPO,34.0826605,-118.1317958
60374051013,789.0,0.25,33.84,87.84,Minority,High_poverty,HPM,34.0942293,-117.9670749
60375358023,1756.0,5.75,14.07,94.25,Minority,Low_poverty,LPM,33.9389401,-118.2047628
60375301014,486.0,1.65,8.23,96.5,Minority,Low_poverty,LPM,34.0149649,-118.1043288
60372407003,1961.0,1.02,9.08,95.82,Minority,Low_poverty,LPM,33.948848,-118.2586188
60375329001,601.0,7.49,22.3,92.52,Minority,Low_poverty,LPM,33.9815028,-118.2499782
60372183001,1494.0,1.81,41.77,66.33,Minority,High_poverty,HPM,34.0431638,-118.3469147
60372183004,1318.0,9.71,22.69,77.47,Minority,Low_poverty,LPM,34.0413787,-118.3589953
60372409005,985.0,0.0,29.24,98.08,Minority,Low_poverty,LPM,33.9378423,-118.2673428
60372352013,945.0,1.27,11.11,93.33,Minority,Low_poverty,LPM,33.9750598,-118.3248569
60379106021,4433.0,16.58,25.38,77.44,Minority,Low_poverty,LPM,34.5769105,-118.07892
60375526014,1329.0,9.41,3.16,83.45,Minority,Low_poverty,LPM,33.8935117,-118.077954
60374009001,794.0,46.98,7.93,39.54,Other,Low_poverty,LPO,34.143294,-117.8768799
60372653031,1755.0,29.57,67.46,20.06,Other,High_poverty,HPO,34.06932,-118.4537428
60375550012,750.0,12.67,1.73,28.27,Other,Low_poverty,LPO,33.8478101,-118.0841879
60371918201,1139.0,58.12,9.28,25.11,White,Low_poverty,LPW,34.0852859,-118.3315058
60372171005,1125.0,54.67,9.51,15.29,White,Low_poverty,LPW,34.0525184,-118.35512
60371899052,1412.0,74.43,10.48,18.7,White,Low_poverty,LPW,34.0995882,-118.3510594
60375416053,1438.0,1.25,21.7,90.41,Minority,Low_poverty,LPM,33.8997464,-118.2144474
60375523022,493.0,19.88,5.88,65.11,Minority,Low_poverty,LPM,33.9078146,-118.0624089
60372110001,681.0,73.57,4.7,4.56,White,Low_poverty,LPW,34.0729269,-118.323586
60376201013,2337.0,49.08,1.75,15.58,Other,Low_poverty,LPO,33.9288913,-118.4258706
60375748003,673.0,78.16,5.5,13.82,White,Low_poverty,LPW,33.7863037,-118.1318266
60377025014,2194.0,62.85,0.82,21.15,White,Low_poverty,LPW,34.0112586,-118.3953631
60375027004,1000.0,6.2,3.2,90.8,Minority,Low_poverty,LPM,33.9525218,-118.0816916
60372379003,896.0,13.62,13.95,86.38,Minority,Low_poverty,LPM,33.9690966,-118.3144691
60375705014,1637.0,7.03,50.95,90.72,Minority,High_poverty,HPM,33.8655934,-118.1787981
60374071014,2173.0,0.41,11.41,92.82,Minority,Low_poverty,LPM,34.0447423,-117.9679519
60374329022,1213.0,6.68,4.78,16.57,Other,Low_poverty,LPO,34.0756325,-118.058125
60377016014,1007.0,75.67,0.0,9.53,White,Low_poverty,LPW,34.035527,-118.4834351
60377021025,422.0,96.21,6.87,0.0,White,Low_poverty,LPW,34.0030442,-118.4801879
60375707014,857.0,30.81,0.0,23.1,Other,Low_poverty,LPO,33.8522791,-118.1518825
60372073011,990.0,23.94,57.07,45.96,Other,High_poverty,HPO,34.0455853,-118.2521649
60375706012,2434.0,6.78,22.76,75.43,Minority,Low_poverty,LPM,33.8600079,-118.1811271
60376203032,1473.0,70.67,0.0,0.61,White,Low_poverty,LPW,33.8897206,-118.3994792
