origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,Race,Poverty,origin_geoid_type,latitude,longitude
120860045003,1161.0,39.36,33.16,59.0,Minority,High_poverty,HPM,25.7686746,-80.1361865
120860019032,1117.0,2.24,17.74,97.77,Minority,Low_poverty,LPM,25.829955,-80.2227478
120860076052,922.0,15.4,2.39,75.82,Minority,Low_poverty,LPM,25.7131171,-80.3042983
120860060013,1015.0,21.58,5.52,78.42,Minority,Low_poverty,LPM,25.7381331,-80.2959202
120860004051,1263.0,0.48,30.48,99.52,Minority,High_poverty,HPM,25.8967075,-80.2155875
120860106126,2071.0,15.79,3.81,76.44,Minority,Low_poverty,LPM,25.5661639,-80.3370143
120860118001,2334.0,4.41,4.57,88.94,Minority,Low_poverty,LPM,25.9538953,-80.3030585
120860059044,1566.0,4.21,14.81,95.79,Minority,Low_poverty,LPM,25.7519715,-80.301603
120860004023,1337.0,15.71,52.73,81.53,Minority,High_poverty,HPM,25.9191045,-80.236208
120860181003,1473.0,10.18,19.28,89.82,Minority,Low_poverty,LPM,25.6816104,-80.4344811
120860101981,2545.0,20.47,2.64,74.77,Minority,Low_poverty,LPM,25.6301451,-80.4429969
120860009012,1731.0,0.75,18.66,99.25,Minority,Low_poverty,LPM,25.856581,-80.2534343
120860121003,2832.0,4.59,8.33,95.41,Minority,Low_poverty,LPM,25.9339375,-80.3197675
120860082081,2333.0,12.6,12.43,69.91,Minority,Low_poverty,LPM,25.6156939,-80.3450313
120860007112,2639.0,1.14,22.96,97.57,Minority,Low_poverty,LPM,25.8516315,-80.2973784
120860085014,2505.0,12.14,16.13,87.86,Minority,Low_poverty,LPM,25.7294126,-80.3415945
120860097061,1900.0,21.84,13.89,78.16,Minority,Low_poverty,LPM,25.9545377,-80.1717345
120860084093,1978.0,19.41,11.48,70.38,Minority,Low_poverty,LPM,25.6547158,-80.342642
120860071042,1620.0,46.42,2.16,45.06,Other,Low_poverty,LPO,25.7347322,-80.2437012
120860084071,710.0,40.7,15.61,59.3,Minority,Low_poverty,LPM,25.6978589,-80.3545707
120860001134,1423.0,57.2,11.17,42.8,White,Low_poverty,LPW,25.9540604,-80.1302916
120860019043,1820.0,2.03,50.11,96.32,Minority,High_poverty,HPM,25.8227103,-80.2203189
120860046051,1037.0,26.42,7.43,72.23,Minority,Low_poverty,LPM,25.6997518,-80.158574
120860044052,1129.0,24.98,23.74,71.21,Minority,Low_poverty,LPM,25.776296,-80.1395594
120860018023,985.0,3.25,15.43,96.75,Minority,Low_poverty,LPM,25.8145969,-80.2261719
120860177001,2690.0,7.51,20.45,92.26,Minority,Low_poverty,LPM,25.6900758,-80.4431039
120860077043,936.0,3.31,5.02,96.69,Minority,Low_poverty,LPM,25.6942043,-80.3077814
120860030041,645.0,6.82,46.02,91.94,Minority,High_poverty,HPM,25.7924655,-80.2174229
120860002091,3162.0,1.23,29.32,98.77,Minority,Low_poverty,LPM,25.9108002,-80.1622165
120860044061,656.0,64.02,13.87,34.91,White,Low_poverty,LPW,25.7762968,-80.1415907
120860094002,2774.0,2.88,15.87,96.93,Minority,Low_poverty,LPM,25.9332109,-80.2476972
120860010022,1688.0,0.12,15.23,99.88,Minority,Low_poverty,LPM,25.8532486,-80.2237251
120860160002,3512.0,5.13,17.82,94.34,Minority,Low_poverty,LPM,25.7220618,-80.419834
120860075031,837.0,48.86,13.26,44.21,Other,Low_poverty,LPO,25.7147827,-80.2724794
120860082063,2276.0,37.92,3.47,52.15,Minority,Low_poverty,LPM,25.6328682,-80.3305602
120860076062,1093.0,24.25,5.76,72.92,Minority,Low_poverty,LPM,25.7151255,-80.2983056
120860100064,1078.0,17.63,27.02,75.79,Minority,Low_poverty,LPM,25.9354263,-80.2747965
120860087013,1114.0,10.23,6.64,88.78,Minority,Low_poverty,LPM,25.7250488,-80.3791691
120860072001,442.0,29.41,10.18,69.23,Minority,Low_poverty,LPM,25.7262435,-80.2469353
120860117003,1406.0,2.35,14.01,97.66,Minority,Low_poverty,LPM,25.9510376,-80.2996778
120860001323,1028.0,32.98,10.51,64.89,Minority,Low_poverty,LPM,25.9442398,-80.1452584
120860084073,2505.0,26.83,5.19,72.06,Minority,Low_poverty,LPM,25.6938995,-80.3391115
120860131001,2689.0,3.2,11.82,96.8,Minority,Low_poverty,LPM,25.8962969,-80.3445193
120860068023,1615.0,33.87,10.27,63.03,Minority,Low_poverty,LPM,25.7448743,-80.2103392
120860003062,458.0,15.5,31.0,84.5,Minority,High_poverty,HPM,25.8875061,-80.1929209
120860082073,1431.0,45.63,1.89,47.73,Other,Low_poverty,LPO,25.6223619,-80.3127774
120860004093,1137.0,1.76,25.51,90.77,Minority,Low_poverty,LPM,25.8800854,-80.2118161
120860100053,1526.0,4.59,8.58,95.41,Minority,Low_poverty,LPM,25.9272041,-80.2886955
120860006022,1120.0,0.0,8.77,100.0,Minority,Low_poverty,LPM,25.8737289,-80.2821052
120860082051,607.0,56.01,0.0,35.58,White,Low_poverty,LPW,25.6363612,-80.31242
120860004123,572.0,0.0,53.67,100.0,Minority,High_poverty,HPM,25.8626837,-80.2382348
120860039155,992.0,19.86,13.61,80.14,Minority,Low_poverty,LPM,25.8540825,-80.1301776
120860084057,2065.0,8.18,20.53,90.17,Minority,Low_poverty,LPM,25.6792369,-80.3535923
120860039151,1142.0,37.48,3.15,62.53,Minority,Low_poverty,LPM,25.851741,-80.1358073
120860201003,1741.0,22.98,10.17,63.76,Minority,Low_poverty,LPM,25.622873,-80.421583
120860111011,2385.0,3.77,53.71,96.23,Minority,High_poverty,HPM,25.4807448,-80.4741521
120860010042,903.0,0.89,50.17,99.12,Minority,High_poverty,HPM,25.841166,-80.216697
120860083053,598.0,30.6,0.0,64.55,Minority,Low_poverty,LPM,25.6373281,-80.3537985
120860044042,1101.0,17.53,47.77,80.65,Minority,High_poverty,HPM,25.7811436,-80.1334465
120860093121,2412.0,12.98,16.83,80.84,Minority,Low_poverty,LPM,25.913584,-80.3059339
120860087022,1248.0,11.94,33.97,88.06,Minority,High_poverty,HPM,25.7246533,-80.369341
120860100051,2107.0,13.29,29.31,86.71,Minority,Low_poverty,LPM,25.9366625,-80.2811372
120860061012,1483.0,21.92,1.96,71.54,Minority,Low_poverty,LPM,25.7594673,-80.2763955
120860003021,2610.0,5.63,18.09,90.04,Minority,Low_poverty,LPM,25.9109854,-80.2051872
120860102101,892.0,13.68,17.38,73.09,Minority,Low_poverty,LPM,25.5754883,-80.3763731
120860004091,1628.0,0.0,16.48,100.0,Minority,Low_poverty,LPM,25.8798629,-80.2164809
120860037031,2011.0,45.0,9.45,46.7,Other,Low_poverty,LPO,25.7722246,-80.1881444
120860002161,1464.0,1.37,17.35,93.85,Minority,Low_poverty,LPM,25.9179354,-80.1776933
120860008054,1570.0,1.53,16.56,98.47,Minority,Low_poverty,LPM,25.8325575,-80.2650965
120860079011,1582.0,38.69,8.91,58.97,Minority,Low_poverty,LPM,25.7068438,-80.2786027
120860100013,2299.0,1.61,25.75,98.39,Minority,Low_poverty,LPM,25.9665942,-80.2724777
120860089022,917.0,10.47,21.26,89.53,Minority,Low_poverty,LPM,25.7511968,-80.3387891
120860062063,451.0,18.63,15.52,71.62,Minority,Low_poverty,LPM,25.7516351,-80.2578014
120860053024,1671.0,1.8,30.42,98.21,Minority,High_poverty,HPM,25.7716324,-80.213001
120860084123,630.0,16.19,3.49,83.81,Minority,Low_poverty,LPM,25.6923261,-80.3852149
120860134002,2945.0,3.33,19.66,94.06,Minority,Low_poverty,LPM,25.8811243,-80.333152
120860039191,506.0,62.06,2.17,33.4,White,Low_poverty,LPW,25.8204912,-80.1215167
120860080003,1504.0,19.08,0.0,78.99,Minority,Low_poverty,LPM,25.6990705,-80.2549248
120860114011,1480.0,3.31,41.15,96.69,Minority,High_poverty,HPM,25.4609839,-80.4668007
