origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,Race,Poverty,origin_geoid_type,latitude,longitude
360850207001,1668.0,12.95,19.42,85.25,Minority,Low_poverty,LPM,40.6390101,-74.1378562
360470336001,1011.0,62.02,9.38,26.61,White,Low_poverty,LPW,40.5769715,-74.0056138
360810361001,816.0,5.39,16.36,86.88,Minority,Low_poverty,LPM,40.7629203,-73.8729393
360610136002,1232.0,92.94,4.22,7.06,White,Low_poverty,LPW,40.7734997,-73.9503675
360470030002,725.0,51.72,10.62,28.41,White,Low_poverty,LPW,40.637753,-74.0296355
360050179023,1515.0,0.2,28.91,99.8,Minority,Low_poverty,LPM,40.8379269,-73.9137337
360050429021,2143.0,3.13,27.67,90.11,Minority,Low_poverty,LPM,40.877118,-73.8733682
360050411001,1457.0,7.89,11.68,85.38,Minority,Low_poverty,LPM,40.8772746,-73.8860964
360050153002,1072.0,0.0,59.56,100.0,Minority,High_poverty,HPM,40.8326223,-73.8953369
360050297003,1033.0,59.44,9.94,32.24,White,Low_poverty,LPW,40.8843517,-73.9133971
360470203002,812.0,33.0,10.59,52.83,Minority,Low_poverty,LPM,40.6802857,-73.9663685
360050127012,824.0,1.21,23.3,90.54,Minority,Low_poverty,LPM,40.8253679,-73.8933822
360050064004,1301.0,10.3,31.82,79.86,Minority,High_poverty,HPM,40.835148,-73.8725912
360810181011,973.0,26.0,7.81,43.47,Other,Low_poverty,LPO,40.7463797,-73.9237492
360050370003,676.0,1.78,18.79,96.15,Minority,Low_poverty,LPM,40.8741152,-73.8597875
360610153007,1701.0,85.83,5.29,5.47,White,Low_poverty,LPW,40.7736324,-73.9796988
360050200001,1423.0,5.2,15.53,85.66,Minority,Low_poverty,LPM,40.8419004,-73.8452652
360610175003,2099.0,90.09,6.05,3.33,White,Low_poverty,LPW,40.789748,-73.9788582
360810972043,957.0,4.91,0.0,87.15,Minority,Low_poverty,LPM,40.5934335,-73.7873843
360850277053,2018.0,58.13,4.62,15.81,White,Low_poverty,LPW,40.5857017,-74.1594826
360470267004,966.0,22.98,16.77,70.08,Minority,Low_poverty,LPM,40.6828739,-73.9438194
360470598002,1379.0,73.1,6.16,8.12,White,Low_poverty,LPW,40.5870644,-73.935179
360471012002,798.0,1.63,24.94,88.97,Minority,Low_poverty,LPM,40.6389103,-73.8927591
360470305001,868.0,58.99,30.07,37.44,White,High_poverty,HPW,40.6786379,-73.9585932
360470478001,861.0,57.96,29.38,10.34,White,Low_poverty,LPW,40.6327976,-73.9773273
360050338002,563.0,22.2,23.98,77.8,Minority,Low_poverty,LPM,40.8701718,-73.8647668
360470810002,894.0,8.17,10.96,72.7,Minority,Low_poverty,LPM,40.6585916,-73.9449582
360810407002,1578.0,3.93,21.86,90.62,Minority,Low_poverty,LPM,40.7510655,-73.8661355
360470227003,492.0,47.97,1.63,39.43,Other,Low_poverty,LPO,40.681092,-73.9599204
360810047001,1361.0,60.84,5.29,9.55,White,Low_poverty,LPW,40.7597041,-73.9319208
360811403001,995.0,29.05,4.02,5.93,Other,Low_poverty,LPO,40.7487685,-73.7681073
360610059003,2127.0,65.82,6.0,17.91,White,Low_poverty,LPW,40.7302178,-73.9949184
360811157003,651.0,7.37,25.5,18.43,Other,Low_poverty,LPO,40.7644331,-73.8151266
360470198001,781.0,32.14,8.34,3.97,Other,Low_poverty,LPO,40.620499,-74.0054318
360470419002,881.0,11.24,28.6,88.77,Minority,Low_poverty,LPM,40.6955319,-73.9214087
360810384002,961.0,0.52,5.78,99.48,Minority,Low_poverty,LPM,40.692397,-73.7491062
360810664007,2572.0,0.62,3.3,97.59,Minority,Low_poverty,LPM,40.6517203,-73.7293173
360470439003,791.0,14.54,43.99,74.46,Minority,High_poverty,HPM,40.699214,-73.9115926
360050119001,2136.0,1.4,21.68,96.96,Minority,Low_poverty,LPM,40.8227984,-73.891059
360810085001,798.0,36.47,38.72,45.37,Other,High_poverty,HPO,40.7622998,-73.9392235
360470261001,709.0,14.39,21.86,75.88,Minority,Low_poverty,LPM,40.6936609,-73.9445151
