origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,Race,Poverty,origin_geoid_type,latitude,longitude
421010149003,734.0,0.0,71.66,98.23,Minority,High_poverty,HPM,39.9814415,-75.1787628
421010305012,2416.0,10.55,33.73,82.37,Minority,High_poverty,HPM,40.0408809,-75.0998777
421010110004,1551.0,3.68,41.97,78.53,Minority,High_poverty,HPM,39.9731947,-75.2016854
421010318004,895.0,6.48,35.31,79.1,Minority,High_poverty,HPM,40.0311358,-75.0817104
421010315022,939.0,54.74,15.87,22.79,White,Low_poverty,LPW,40.0414531,-75.0526151
421010008034,376.0,97.34,0.0,0.0,White,Low_poverty,LPW,39.9496594,-75.1734583
421010169011,1274.0,0.71,40.5,99.29,Minority,High_poverty,HPM,39.9947971,-75.1734841
421010012014,897.0,81.27,5.57,6.02,White,Low_poverty,LPW,39.9464336,-75.1800053
421010372001,755.0,92.98,0.0,2.78,White,Low_poverty,LPW,39.9139961,-75.1690391
421010362021,1159.0,63.93,9.57,36.07,White,Low_poverty,LPW,40.0915151,-74.9795362
421010294001,876.0,2.4,56.16,97.6,Minority,High_poverty,HPM,40.0122674,-75.0830242
421010115001,1156.0,4.33,7.01,93.43,Minority,Low_poverty,LPM,39.9796773,-75.2510582
421010071021,894.0,0.56,30.65,97.32,Minority,High_poverty,HPM,39.9428894,-75.2254638
421010212002,1171.0,76.0,10.69,23.57,White,Low_poverty,LPW,40.0324461,-75.2103177
421010028022,1303.0,86.72,5.6,4.68,White,Low_poverty,LPW,39.9271524,-75.1642307
421010376001,855.0,12.05,60.41,58.13,Minority,High_poverty,HPM,39.9595825,-75.1517468
421010286002,299.0,0.0,19.06,100.0,Minority,Low_poverty,LPM,40.0251025,-75.1305046
421010084003,414.0,1.21,30.71,98.8,Minority,High_poverty,HPM,39.9571335,-75.2367224
421010180012,1263.0,73.48,15.12,14.56,White,Low_poverty,LPW,39.9828809,-75.111172
421010300002,880.0,6.59,26.48,89.77,Minority,Low_poverty,LPM,40.0201045,-75.074565
421010176021,1745.0,4.24,47.45,94.27,Minority,High_poverty,HPM,39.9967516,-75.12766
421010310004,1194.0,20.94,42.04,64.57,Minority,High_poverty,HPM,40.0450827,-75.0747364
421010289011,1889.0,4.08,41.93,77.29,Minority,High_poverty,HPM,40.0207631,-75.1183592
421010101005,455.0,0.0,0.0,100.0,Minority,Low_poverty,LPM,39.9704053,-75.2456527
421010179003,1185.0,23.04,24.22,76.96,Minority,Low_poverty,LPM,39.9847086,-75.1136157
421010001001,1910.0,74.19,6.65,16.29,White,Low_poverty,LPW,39.9503535,-75.1452986
421010290003,3372.0,3.2,51.6,76.98,Minority,High_poverty,HPM,40.0303486,-75.1204667
421010169022,690.0,0.0,64.64,100.0,Minority,High_poverty,HPM,39.9909531,-75.1832003
421010372004,1564.0,11.38,26.92,38.37,Other,Low_poverty,LPO,39.9121363,-75.1543358
421010019002,1647.0,69.1,19.61,28.54,White,Low_poverty,LPW,39.9401848,-75.1753318
421010210003,1143.0,86.61,7.61,13.38,White,Low_poverty,LPW,40.0244115,-75.2100133
421010028023,936.0,64.74,10.9,11.0,White,Low_poverty,LPW,39.9287981,-75.1600909
421010134023,1626.0,78.84,5.66,15.01,White,Low_poverty,LPW,39.9643154,-75.1690125
421010147002,1616.0,44.86,73.26,41.83,Other,High_poverty,HPO,39.9787263,-75.1610477
421010042013,899.0,85.98,9.79,14.02,White,Low_poverty,LPW,39.9204246,-75.1489595
421010341003,996.0,52.91,6.53,25.4,White,Low_poverty,LPW,40.072752,-75.0805688
421010027012,1232.0,31.01,20.7,62.99,Minority,Low_poverty,LPM,39.9261142,-75.1542479
421010172022,1026.0,0.0,22.32,100.0,Minority,Low_poverty,LPM,39.9984674,-75.1751387
421010164001,1081.0,0.0,33.95,100.0,Minority,High_poverty,HPM,39.9906068,-75.1410087
421010100002,1193.0,4.11,14.42,90.11,Minority,Low_poverty,LPM,39.9706075,-75.2485211
421010180011,1006.0,84.79,7.65,11.33,White,Low_poverty,LPW,39.9796236,-75.1133588
421010248002,1354.0,2.73,15.73,97.27,Minority,Low_poverty,LPM,40.0461452,-75.1679738
421010314011,2284.0,25.48,26.05,50.7,Minority,Low_poverty,LPM,40.048905,-75.0662618
421010109001,1106.0,4.52,44.12,89.15,Minority,High_poverty,HPM,39.9660014,-75.1922776
421010040011,1354.0,52.88,9.75,47.12,White,Low_poverty,LPW,39.9249151,-75.1641807
421010136022,1391.0,80.37,9.92,6.54,White,Low_poverty,LPW,39.9720481,-75.1830155
421010379002,732.0,100.0,3.55,0.0,White,Low_poverty,LPW,39.9880874,-75.0998424
421010337012,976.0,67.01,15.47,8.09,White,Low_poverty,LPW,40.0654581,-75.0516183
421010158004,809.0,100.0,13.1,0.0,White,Low_poverty,LPW,39.9704278,-75.1328532
421010067002,744.0,4.7,11.83,40.59,Other,Low_poverty,LPO,39.9195422,-75.2246281
421010202002,597.0,0.0,29.31,100.0,Minority,Low_poverty,LPM,40.0075532,-75.1665703
421010359001,2815.0,68.06,14.21,11.16,White,Low_poverty,LPW,40.1167479,-75.0163152
421010266001,880.0,0.0,18.75,100.0,Minority,Low_poverty,LPM,40.0616292,-75.1446125
421010040012,887.0,78.8,19.95,14.66,White,Low_poverty,LPW,39.9224562,-75.1647155
421010175003,1191.0,0.0,70.03,94.03,Minority,High_poverty,HPM,39.9934287,-75.1442938
421010013004,1183.0,30.43,1.94,67.88,Minority,Low_poverty,LPM,39.9429661,-75.1819568
421010195023,422.0,0.0,55.69,100.0,Minority,High_poverty,HPM,40.0026911,-75.1309215
421010071025,953.0,0.0,19.83,98.32,Minority,Low_poverty,LPM,39.9403532,-75.2313861
421010074004,1618.0,4.02,13.29,83.56,Minority,Low_poverty,LPM,39.9408443,-75.2181493
421010074003,1122.0,2.14,38.68,92.6,Minority,High_poverty,HPM,39.9410925,-75.2151804
421010298003,519.0,24.86,13.1,69.56,Minority,Low_poverty,LPM,40.0160718,-75.0683023
421010195012,1788.0,11.02,35.18,88.98,Minority,High_poverty,HPM,39.9998304,-75.1269981
421010012025,732.0,77.05,9.15,13.8,White,Low_poverty,LPW,39.9472612,-75.1729066
421010064002,1391.0,8.27,32.57,91.73,Minority,High_poverty,HPM,39.9282061,-75.241602
421010174001,1490.0,1.95,26.59,93.28,Minority,Low_poverty,LPM,39.9963476,-75.1486962
421010356021,1286.0,77.22,0.0,2.18,White,Low_poverty,LPW,40.1034947,-75.0464169
421010010023,1258.0,83.86,12.72,10.33,White,Low_poverty,LPW,39.9466591,-75.1468593
421010013003,621.0,55.56,2.42,39.77,White,Low_poverty,LPW,39.9405712,-75.1796252
421010263013,791.0,3.79,8.72,96.21,Minority,Low_poverty,LPM,40.0736319,-75.1611634
421010378002,443.0,78.33,16.08,18.51,White,Low_poverty,LPW,39.9825948,-75.0924344
421010190002,2046.0,12.07,20.09,85.83,Minority,Low_poverty,LPM,40.0111265,-75.0989041
421010085004,477.0,12.79,39.2,79.45,Minority,High_poverty,HPM,39.9544247,-75.2290774
421010164004,1316.0,10.41,43.31,89.59,Minority,High_poverty,HPM,39.9880032,-75.1437985
421010256002,723.0,50.35,0.0,45.37,White,Low_poverty,LPW,40.063575,-75.1895962
421010330002,763.0,38.4,18.35,51.51,Minority,Low_poverty,LPM,40.0359991,-75.0326434
421010102003,1312.0,0.0,33.54,97.56,Minority,High_poverty,HPM,39.969392,-75.2304648
421010365011,1948.0,72.95,18.32,23.61,White,Low_poverty,LPW,40.1261055,-75.0111649
421010201023,1002.0,0.0,39.32,100.0,Minority,High_poverty,HPM,40.0113183,-75.156507
421010365013,988.0,48.18,25.3,31.48,Other,Low_poverty,LPO,40.1262866,-75.0178343
421010262004,1198.0,2.25,13.44,96.49,Minority,Low_poverty,LPM,40.0647199,-75.1706407
421010372002,1688.0,65.4,10.55,1.24,White,Low_poverty,LPW,39.9134049,-75.1626612
421010300003,1391.0,2.95,76.06,90.44,Minority,High_poverty,HPM,40.0173532,-75.0770672
421010110002,709.0,2.96,29.06,97.04,Minority,Low_poverty,LPM,39.9753585,-75.2113476
421010207002,1028.0,79.38,19.84,5.93,White,Low_poverty,LPW,40.0141851,-75.1886079
421010320005,956.0,42.68,0.0,57.32,Minority,Low_poverty,LPM,40.026253,-75.0598548
421010388003,689.0,59.51,10.6,35.56,White,Low_poverty,LPW,40.0565026,-75.1916464
421010372003,695.0,94.1,10.07,0.0,White,Low_poverty,LPW,39.9147781,-75.165994
421010257001,1993.0,28.9,14.6,61.82,Minority,Low_poverty,LPM,40.0738157,-75.194458
421010119001,1436.0,0.0,33.91,98.89,Minority,High_poverty,HPM,39.9854144,-75.2305955
421010133002,1135.0,46.26,28.11,49.7,Other,Low_poverty,LPO,39.9683951,-75.1623497
421010039022,893.0,92.39,11.42,0.0,White,Low_poverty,LPW,39.9163814,-75.1731737
421010106001,759.0,6.32,47.46,81.82,Minority,High_poverty,HPM,39.9655363,-75.2098288
421010030022,710.0,34.37,35.07,60.85,Minority,High_poverty,HPM,39.9334004,-75.1716147
421010314014,880.0,32.73,33.86,16.6,Other,High_poverty,HPO,40.0438373,-75.0682869
421010062002,1415.0,7.14,39.22,92.87,Minority,High_poverty,HPM,39.9191022,-75.2316551
421010137005,1297.0,42.48,19.81,47.96,Other,Low_poverty,LPO,39.9779768,-75.1866322
421010209001,847.0,85.24,8.37,12.52,White,Low_poverty,LPW,40.0204913,-75.2090054
421010357012,2720.0,44.49,22.98,16.29,Other,Low_poverty,LPO,40.1127389,-75.0266948
421010166001,1723.0,11.38,37.61,84.62,Minority,High_poverty,HPM,39.9895152,-75.1531872
421010277005,409.0,7.58,18.34,92.42,Minority,Low_poverty,LPM,40.049722,-75.1555387
421010063003,1119.0,4.38,48.61,88.56,Minority,High_poverty,HPM,39.9229634,-75.2373256
421010122031,633.0,22.43,29.23,33.96,Other,Low_poverty,LPO,40.0074672,-75.2093449
421010104001,696.0,17.24,88.65,82.76,Minority,High_poverty,HPM,39.9682441,-75.2216924
421010149004,420.0,24.29,30.48,49.76,Other,High_poverty,HPO,39.9817402,-75.181082
421010078001,1136.0,42.96,54.03,50.44,Minority,High_poverty,HPM,39.9454443,-75.2133123
421010095003,346.0,0.0,28.32,93.06,Minority,Low_poverty,LPM,39.9631392,-75.2387501
421010210005,1231.0,80.91,17.66,12.83,White,Low_poverty,LPW,40.0229226,-75.2125741
421010301003,838.0,49.28,35.32,50.71,Minority,High_poverty,HPM,40.0199991,-75.0895926
421010329002,623.0,54.9,16.56,41.9,White,Low_poverty,LPW,40.034818,-75.0241337
421010252007,1371.0,0.0,29.32,95.92,Minority,Low_poverty,LPM,40.0497991,-75.1762204
