origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,Race,Poverty,origin_geoid_type,latitude,longitude
40131124021,3672.0,1.8,9.69,98.01,Minority,Low_poverty,LPM,33.4696048,-112.1821006
40134222211,1244.0,65.27,12.54,28.93,White,Low_poverty,LPW,33.3716293,-111.8693392
40134225022,592.0,100.0,0.0,0.0,White,Low_poverty,LPW,33.3973048,-111.7758023
40131092001,1433.0,8.16,35.73,82.9,Minority,High_poverty,HPM,33.5056518,-112.1399484
40131167254,2434.0,39.28,5.22,26.05,Other,Low_poverty,LPO,33.2942215,-112.0406334
40130610472,1011.0,36.8,0.0,53.02,Minority,Low_poverty,LPM,33.5104156,-112.3488734
40131117004,1118.0,78.09,22.27,9.84,White,Low_poverty,LPW,33.4766106,-112.0607245
40134206031,2732.0,77.23,8.38,18.67,White,Low_poverty,LPW,33.4477616,-111.7790553
40131126012,2234.0,6.36,34.78,92.03,Minority,High_poverty,HPM,33.4636498,-112.1419698
40131097051,1002.0,14.27,14.37,85.72,Minority,Low_poverty,LPM,33.4824354,-112.2237011
40130719153,1772.0,44.47,12.0,48.64,Other,Low_poverty,LPO,33.5779994,-112.2072033
40131158012,1459.0,6.72,31.78,93.28,Minority,High_poverty,HPM,33.3959184,-112.0689812
40131085021,766.0,69.71,0.0,5.87,White,Low_poverty,LPW,33.4966066,-112.0345565
40135229043,1778.0,34.36,36.9,61.7,Minority,High_poverty,HPM,33.3080138,-111.8284465
40134226341,2939.0,71.49,13.27,25.04,White,Low_poverty,LPW,33.3899776,-111.6588216
40132170023,1268.0,84.78,11.91,8.83,White,Low_poverty,LPW,33.5208882,-111.9038632
40136135002,1617.0,87.32,15.65,4.33,White,Low_poverty,LPW,33.6708323,-112.2849456
40132168521,2222.0,79.57,7.34,13.46,White,Low_poverty,LPW,33.6151953,-111.8805118
40131060021,1847.0,45.48,29.16,47.11,Other,Low_poverty,LPO,33.5494866,-112.1081234
40136118002,2252.0,71.98,0.0,19.23,White,Low_poverty,LPW,33.7091071,-112.1479748
40133197053,820.0,76.95,4.76,19.87,White,Low_poverty,LPW,33.3889228,-111.9454506
40133200071,569.0,49.03,0.0,41.48,Other,Low_poverty,LPO,33.3707139,-111.9578238
40130610411,659.0,45.37,11.08,39.0,Other,Low_poverty,LPO,33.6067844,-112.3287233
40131052003,1863.0,41.49,7.09,50.29,Minority,Low_poverty,LPM,33.5641193,-112.0609911
40134211012,1796.0,51.84,9.86,42.26,White,Low_poverty,LPW,33.4427453,-111.8484496
40136189005,1578.0,52.92,20.91,42.08,White,Low_poverty,LPW,33.641978,-112.0763506
40134203032,2143.0,64.16,0.47,20.58,White,Low_poverty,LPW,33.4628981,-111.7618639
40132168464,2048.0,89.94,4.74,6.05,White,Low_poverty,LPW,33.6354404,-111.8505205
40130931054,1818.0,9.85,20.5,89.88,Minority,Low_poverty,LPM,33.5202803,-112.1930042
40136123004,1510.0,61.66,4.72,21.0,White,Low_poverty,LPW,33.7355213,-112.1082699
40138102001,2949.0,47.81,6.21,23.2,Other,Low_poverty,LPO,33.3226953,-111.9022855
40130405256,391.0,95.14,0.0,2.3,White,Low_poverty,LPW,33.6564145,-112.4237727
40133200023,980.0,9.39,48.27,62.55,Minority,High_poverty,HPM,33.3600989,-111.9597964
40131053001,1395.0,75.2,6.74,22.43,White,Low_poverty,LPW,33.5549573,-112.0726403
40131032173,1263.0,76.96,11.33,9.42,White,Low_poverty,LPW,33.6307073,-111.9564045
40134223083,1997.0,62.49,1.6,17.62,White,Low_poverty,LPW,33.3754043,-111.7982257
40130719033,787.0,62.77,3.94,37.23,White,Low_poverty,LPW,33.5905667,-112.2158593
40131110001,1099.0,53.14,22.75,46.86,White,Low_poverty,LPW,33.4932405,-111.9930621
40131042022,2094.0,67.62,12.61,26.7,White,Low_poverty,LPW,33.6214884,-112.1422992
40138116002,1178.0,64.77,4.16,25.21,White,Low_poverty,LPW,33.3025566,-111.8197025
40131086024,1554.0,23.81,23.04,46.72,Other,Low_poverty,LPO,33.5055936,-112.05846
40132174001,515.0,90.87,10.68,6.8,White,Low_poverty,LPW,33.4887773,-111.949527
40136148003,1073.0,75.12,9.79,13.52,White,Low_poverty,LPW,33.6725707,-112.0785172
40131145001,1630.0,4.72,12.76,85.95,Minority,Low_poverty,LPM,33.4476211,-112.1217809
40133199053,1386.0,57.29,0.94,38.89,White,Low_poverty,LPW,33.3529161,-111.9155181
40133188003,1483.0,58.53,22.66,23.33,White,Low_poverty,LPW,33.4237297,-111.9565986
40134226102,1923.0,87.31,8.89,5.51,White,Low_poverty,LPW,33.4009529,-111.6621438
40136185003,1117.0,50.22,11.64,47.45,White,Low_poverty,LPW,33.6419064,-112.1288082
40136170002,2183.0,58.54,34.22,40.45,White,High_poverty,HPW,33.6659958,-112.017528
40131079003,1294.0,62.98,16.31,25.5,White,Low_poverty,LPW,33.5125458,-111.9907091
