origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,Race,Poverty,origin_geoid_type,latitude,longitude
420031516002,698.0,93.55,17.62,1.72,White,Low_poverty,LPW,40.4267884,-79.9459956
420031011002,411.0,80.29,25.55,11.68,White,Low_poverty,LPW,40.4837135,-79.9541965
420035638006,392.0,95.41,2.3,1.28,White,Low_poverty,LPW,40.5125416,-80.0730874
420034292023,1999.0,90.9,2.81,2.2,White,Low_poverty,LPW,40.5218037,-79.9993267
420034733004,1094.0,94.24,19.38,1.01,White,Low_poverty,LPW,40.3757667,-80.0337011
420032815002,967.0,84.28,6.04,9.72,White,Low_poverty,LPW,40.4407028,-80.0568585
420034753041,1099.0,80.71,2.64,2.0,White,Low_poverty,LPW,40.3079669,-80.0633077
420035190003,417.0,95.44,4.32,1.92,White,Low_poverty,LPW,40.4463623,-79.8420315
420035624004,248.0,9.68,8.47,81.85,Minority,Low_poverty,LPM,40.4187712,-80.0050308
420031920005,784.0,89.92,10.08,7.02,White,Low_poverty,LPW,40.4084166,-80.023601
420030501001,513.0,3.12,27.49,92.01,Minority,Low_poverty,LPM,40.4501583,-79.9675165
420030603001,1134.0,84.48,15.43,11.02,White,Low_poverty,LPW,40.4621221,-79.960947
420035624002,360.0,15.0,33.61,85.0,Minority,High_poverty,HPM,40.4142565,-80.0039647
420035003004,1177.0,89.29,10.45,8.58,White,Low_poverty,LPW,40.3382749,-79.8731167
420034994001,881.0,75.94,20.66,15.43,White,Low_poverty,LPW,40.3185685,-79.880932
420034070021,1371.0,99.27,4.74,0.73,White,Low_poverty,LPW,40.6072746,-79.8336622
420031706003,573.0,70.51,28.25,24.61,White,Low_poverty,LPW,40.4197333,-79.9840521
420035238003,1272.0,58.96,1.59,41.04,White,Low_poverty,LPW,40.4812649,-79.8381036
420034302001,896.0,90.96,4.13,3.35,White,Low_poverty,LPW,40.5245143,-80.0374833
420034900022,785.0,76.43,0.89,15.8,White,Low_poverty,LPW,40.2934437,-80.0170155
420034282001,535.0,96.64,4.86,1.31,White,Low_poverty,LPW,40.4891821,-79.9852104
420034133002,2072.0,95.95,1.88,1.74,White,Low_poverty,LPW,40.560058,-80.0498257
420034340001,965.0,91.81,7.39,2.7,White,Low_poverty,LPW,40.5065702,-80.0782814
420031018001,1182.0,76.82,9.82,21.32,White,Low_poverty,LPW,40.482941,-79.9336446
420034035003,1270.0,88.27,8.66,10.63,White,Low_poverty,LPW,40.6040681,-79.7532857
420034302005,814.0,100.0,0.0,0.0,White,Low_poverty,LPW,40.5161691,-80.0448613
420034782001,1271.0,86.55,4.88,0.87,White,Low_poverty,LPW,40.3652298,-79.9783264
420034761001,432.0,100.0,3.01,0.0,White,Low_poverty,LPW,40.3769753,-80.0111431
420031413001,1354.0,71.49,14.62,0.0,White,Low_poverty,LPW,40.4360169,-79.9284488
