origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,Race,Poverty,origin_geoid_type,latitude,longitude
60730033051,1087.0,5.89,39.45,77.37,Minority,High_poverty,HPM,32.7019416,-117.0903834
60730083472,1903.0,26.54,6.41,11.61,Other,Low_poverty,LPO,32.9269617,-117.1476478
60730080063,632.0,85.44,13.45,10.92,White,Low_poverty,LPW,32.807978,-117.2581191
60730158011,1834.0,51.69,35.28,44.82,White,High_poverty,HPW,32.7967726,-116.9569813
60730116012,1331.0,2.7,29.77,89.41,Minority,Low_poverty,LPM,32.6671217,-117.0990496
60730091061,1080.0,49.91,12.31,41.85,Other,Low_poverty,LPO,32.7705564,-117.2038745
60730024022,2385.0,2.35,31.61,81.55,Minority,High_poverty,HPM,32.7468056,-117.1070243
60730194052,1783.0,8.81,22.71,91.19,Minority,Low_poverty,LPM,33.1941198,-117.2730433
60730054004,2956.0,70.53,11.2,21.69,White,Low_poverty,LPW,32.708619,-117.159753
60730170391,672.0,43.75,0.0,10.71,Other,Low_poverty,LPO,32.9693497,-117.0699037
60730185042,1711.0,68.21,2.28,24.37,White,Low_poverty,LPW,33.1954823,-117.3413044
60730132031,967.0,9.2,11.48,67.94,Minority,Low_poverty,LPM,32.6058843,-117.0682339
60730166171,1147.0,82.39,2.35,13.86,White,Low_poverty,LPW,32.8353616,-116.9672115
60730148051,751.0,81.23,7.81,10.65,White,Low_poverty,LPW,32.776616,-117.0308024
60730195023,1418.0,22.28,13.68,74.26,Minority,Low_poverty,LPM,33.2066408,-117.2388682
60730018003,818.0,24.08,48.66,59.05,Minority,High_poverty,HPM,32.7622012,-117.1202
60730031013,1710.0,1.93,23.22,88.18,Minority,Low_poverty,LPM,32.6961383,-117.0810813
60730083572,1241.0,24.17,25.46,19.66,Other,Low_poverty,LPO,32.9157478,-117.1337445
60730212022,1541.0,60.48,10.41,38.93,White,Low_poverty,LPW,32.7782205,-116.6545595
60730028041,2953.0,68.1,52.27,21.33,White,High_poverty,HPW,32.7687115,-117.0738622
60730169013,1104.0,71.11,14.86,18.65,White,Low_poverty,LPW,32.8730518,-116.9416057
60730130003,1974.0,17.38,19.67,79.23,Minority,Low_poverty,LPM,32.620976,-117.0787498
60730008001,831.0,73.53,5.29,20.33,White,Low_poverty,LPW,32.7470238,-117.1400412
60730034032,1945.0,13.78,16.79,83.54,Minority,Low_poverty,LPM,32.7132794,-117.1066079
60730011002,1152.0,62.67,2.6,27.0,White,Low_poverty,LPW,32.7624523,-117.1311357
60730102004,1413.0,22.65,3.68,59.94,Minority,Low_poverty,LPM,32.5780507,-117.1270828
60730083521,943.0,40.19,11.03,14.0,Other,Low_poverty,LPO,32.9269424,-117.1339018
60730081022,1073.0,84.53,2.24,3.08,White,Low_poverty,LPW,32.8222254,-117.2725777
60730170222,716.0,69.13,10.2,2.23,White,Low_poverty,LPW,32.9056758,-117.094796
60730013002,1909.0,57.57,4.24,22.32,White,Low_poverty,LPW,32.7503339,-117.1289171
60730171092,1408.0,68.61,1.14,14.63,White,Low_poverty,LPW,33.0717093,-117.2382852
60730012004,1739.0,51.93,11.44,39.27,White,Low_poverty,LPW,32.7581423,-117.1357528
60730185044,2157.0,80.53,0.83,9.83,White,Low_poverty,LPW,33.1861433,-117.3459833
60730200293,2095.0,7.97,23.86,90.6,Minority,Low_poverty,LPM,33.1383596,-117.1686223
60730171072,1026.0,84.31,2.05,4.29,White,Low_poverty,LPW,33.0626645,-117.256971
60730170482,1366.0,59.74,21.3,34.92,White,Low_poverty,LPW,32.9539599,-117.0481369
60730163022,2713.0,46.0,27.24,41.84,Other,Low_poverty,LPO,32.8016675,-116.9433421
60730177012,1368.0,74.78,2.56,14.62,White,Low_poverty,LPW,33.077204,-117.3080922
60730209041,903.0,82.06,5.54,16.28,White,Low_poverty,LPW,33.0539458,-116.6401903
60730170302,1238.0,77.14,2.34,0.0,White,Low_poverty,LPW,33.0372508,-117.0821093
60730133095,1573.0,25.62,2.23,51.68,Minority,Low_poverty,LPM,32.61734,-117.0310465
60730027122,1680.0,16.07,15.89,43.22,Other,Low_poverty,LPO,32.7303521,-117.078762
60730100092,1905.0,5.14,6.19,84.93,Minority,Low_poverty,LPM,32.5470683,-117.0518661
60730151004,1126.0,76.47,6.57,19.8,White,Low_poverty,LPW,32.7911318,-117.0000529
60730083562,1906.0,38.93,5.09,25.39,Other,Low_poverty,LPO,32.9225587,-117.1401401
60730163011,2413.0,58.93,23.58,30.0,White,Low_poverty,LPW,32.8053889,-116.9565751
