origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,Race,Poverty,origin_geoid_type,latitude,longitude
60750108001,1680.0,44.64,5.18,10.96,Other,Low_poverty,LPO,37.7978519,-122.4145715
60750611002,2791.0,2.01,39.99,0.11,Other,High_poverty,HPO,37.7951383,-122.406523
60750128004,506.0,80.24,0.0,6.13,White,Low_poverty,LPW,37.7991925,-122.4437061
60750614003,1234.0,73.74,1.3,2.67,White,Low_poverty,LPW,37.7559232,-122.4005731
60750156002,1848.0,40.91,13.15,25.0,Other,Low_poverty,LPO,37.7757549,-122.4565014
60750256003,1089.0,25.53,11.66,16.71,Other,Low_poverty,LPO,37.7263781,-122.4211115
60750477011,1572.0,45.48,16.92,5.09,Other,Low_poverty,LPO,37.7791141,-122.4857354
60750112001,1192.0,50.17,16.36,6.8,White,Low_poverty,LPW,37.7939437,-122.4123832
60750263013,924.0,12.55,2.08,20.23,Other,Low_poverty,LPO,37.7120876,-122.4403679
60750154003,1390.0,53.09,8.63,9.64,White,Low_poverty,LPW,37.7833613,-122.4501091
60750231022,1292.0,9.13,46.16,86.14,Minority,High_poverty,HPM,37.7324117,-122.3854547
60750353006,1159.0,51.94,8.37,8.8,White,Low_poverty,LPW,37.7456926,-122.5005956
60750352023,1322.0,43.42,2.95,11.42,Other,Low_poverty,LPO,37.7594901,-122.5059572
60750426012,2569.0,50.29,11.37,11.09,White,Low_poverty,LPW,37.7842999,-122.4808734
60750326022,1237.0,33.63,10.75,11.08,Other,Low_poverty,LPO,37.7587336,-122.480542
60750205002,912.0,78.29,9.99,2.19,White,Low_poverty,LPW,37.7594438,-122.4366809
60750260041,2101.0,14.52,7.9,40.88,Other,Low_poverty,LPO,37.7187367,-122.4371867
60750104004,594.0,64.14,15.82,13.97,White,Low_poverty,LPW,37.8001078,-122.4042205
60750230013,1866.0,3.05,5.7,15.05,Other,Low_poverty,LPO,37.7314802,-122.4020223
60750129023,831.0,84.96,6.5,9.27,White,Low_poverty,LPW,37.8008396,-122.4341795
60750165001,1892.0,69.34,17.56,16.39,White,Low_poverty,LPW,37.7748244,-122.442852
60750312021,1530.0,6.21,4.44,15.17,Other,Low_poverty,LPO,37.7191312,-122.45563
60750352021,2069.0,40.79,3.19,17.69,Other,Low_poverty,LPO,37.7632405,-122.5063315
60750303023,1595.0,29.4,19.31,26.15,Other,Low_poverty,LPO,37.7506596,-122.4735059
60750230031,2882.0,8.47,3.52,37.13,Other,Low_poverty,LPO,37.733342,-122.3967655
60750309004,876.0,29.45,5.14,8.56,Other,Low_poverty,LPO,37.7263974,-122.470345
60750124021,1247.0,22.85,9.45,56.38,Minority,Low_poverty,LPM,37.7800821,-122.4153608
60750129012,1522.0,78.52,2.63,3.15,White,Low_poverty,LPW,37.8028932,-122.427439
60750605023,1751.0,3.08,14.85,40.32,Other,Low_poverty,LPO,37.7097323,-122.4209928
60750351001,1238.0,29.08,11.71,23.18,Other,Low_poverty,LPO,37.7635435,-122.49946
60750159002,2394.0,31.58,16.17,19.17,Other,Low_poverty,LPO,37.7829211,-122.4326339
60750328013,1266.0,26.38,8.53,11.37,Other,Low_poverty,LPO,37.7464979,-122.4823811
60750232001,1103.0,11.51,23.63,69.27,Minority,Low_poverty,LPM,37.7286345,-122.3904134
60759806001,690.0,14.06,15.65,55.07,Minority,Low_poverty,LPM,37.7231655,-122.3685424
60750154005,1410.0,73.33,1.93,1.91,White,Low_poverty,LPW,37.7836908,-122.4567599
60750165003,1322.0,70.27,3.18,13.92,White,Low_poverty,LPW,37.7739838,-122.4494251
60750427002,2191.0,29.71,14.92,19.58,Other,Low_poverty,LPO,37.7809706,-122.4874766
60750401004,831.0,61.85,8.66,3.61,White,Low_poverty,LPW,37.7858282,-122.4635618
60750119021,2112.0,57.05,6.82,8.52,White,Low_poverty,LPW,37.7905193,-122.409709
60750312014,1153.0,18.82,11.22,23.16,Other,Low_poverty,LPO,37.7200305,-122.4607252
60750232003,1422.0,8.65,6.41,78.62,Minority,Low_poverty,LPM,37.7313982,-122.3887899
60750452001,2070.0,40.63,13.29,7.15,Other,Low_poverty,LPO,37.7790909,-122.4657519
60750351004,835.0,24.31,10.18,5.99,Other,Low_poverty,LPO,37.7579183,-122.4990701
60750109002,2025.0,70.57,8.25,5.28,White,Low_poverty,LPW,37.7972166,-122.4195052
60750209003,785.0,66.11,5.61,17.84,White,Low_poverty,LPW,37.7493813,-122.4192817
60750107001,702.0,41.17,4.7,7.98,Other,Low_poverty,LPO,37.8002596,-122.4114035
60750351003,1289.0,49.96,15.59,3.1,Other,Low_poverty,LPO,37.7597848,-122.4992014
60750209002,761.0,28.91,37.98,49.28,Other,High_poverty,HPO,37.7494665,-122.4170794
60750133001,538.0,88.48,1.67,3.16,White,Low_poverty,LPW,37.7906045,-122.4493014
60750124011,1981.0,37.56,22.26,22.96,Other,Low_poverty,LPO,37.7829458,-122.4166093
60750162003,1041.0,66.67,5.76,16.81,White,Low_poverty,LPW,37.7765701,-122.4254434
60750213001,960.0,75.94,0.0,8.55,White,Low_poverty,LPW,37.7495297,-122.4356472
