origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,Race,Poverty,origin_geoid_type,latitude,longitude
295101076001,792.0,2.53,31.57,96.72,Minority,High_poverty,HPM,38.688712,-90.2382937
295101022002,1014.0,89.35,0.1,10.55,White,Low_poverty,LPW,38.5772768,-90.2864963
295101122003,338.0,21.3,35.53,72.19,Minority,High_poverty,HPM,38.6543147,-90.2745048
295101096002,363.0,14.88,51.79,78.51,Minority,High_poverty,HPM,38.6740312,-90.2214766
295101067001,459.0,0.0,44.01,100.0,Minority,High_poverty,HPM,38.6727593,-90.2485175
295101231001,525.0,29.52,40.89,70.48,Minority,High_poverty,HPM,38.6169857,-90.2239879
295101066003,689.0,2.18,21.95,96.81,Minority,Low_poverty,LPM,38.6645726,-90.2720361
295101233002,1407.0,53.3,15.28,40.72,White,Low_poverty,LPW,38.6034637,-90.2189587
295101162001,866.0,80.72,5.89,15.59,White,Low_poverty,LPW,38.6060123,-90.255452
295101276002,776.0,82.47,18.04,13.79,White,Low_poverty,LPW,38.6023024,-90.2091011
295101267001,522.0,20.5,23.18,78.35,Minority,Low_poverty,LPM,38.667002,-90.1950636
295101172004,1123.0,57.61,11.31,29.57,White,Low_poverty,LPW,38.6091222,-90.2500417
295101155006,918.0,23.09,28.54,72.11,Minority,Low_poverty,LPM,38.5667223,-90.248557
295101124002,1397.0,75.59,12.67,13.03,White,Low_poverty,LPW,38.6453875,-90.2603816
295101269005,464.0,0.0,38.79,100.0,Minority,High_poverty,HPM,38.6792269,-90.2381802
295101051981,708.0,52.4,19.77,26.41,White,Low_poverty,LPW,38.6561754,-90.2979393
295101075003,639.0,4.85,6.89,93.58,Minority,Low_poverty,LPM,38.6903871,-90.2456769
295101202001,1323.0,8.62,36.02,91.01,Minority,High_poverty,HPM,38.6596094,-90.2086098
295101154001,540.0,66.48,20.93,33.52,White,Low_poverty,LPW,38.5763635,-90.2605461
295101061002,389.0,0.0,21.34,100.0,Minority,Low_poverty,LPM,38.6685276,-90.2795119
295101172001,610.0,43.77,14.26,51.14,Minority,Low_poverty,LPM,38.6180633,-90.2496991
295101014003,905.0,63.54,12.15,32.92,White,Low_poverty,LPW,38.5649911,-90.2538323
295101231004,1107.0,24.93,17.07,73.36,Minority,Low_poverty,LPM,38.6075011,-90.2247996
295101191022,797.0,69.26,12.67,29.23,White,Low_poverty,LPW,38.6421827,-90.2500703
295101171002,1069.0,53.51,23.11,37.61,White,Low_poverty,LPW,38.6141425,-90.2600017
295101193002,933.0,59.81,54.47,14.15,White,High_poverty,HPW,38.638283,-90.2369253
295101053003,754.0,22.28,19.32,74.54,Minority,Low_poverty,LPM,38.6585722,-90.2929936
295101037002,1005.0,75.62,4.68,13.63,White,Low_poverty,LPW,38.6094374,-90.2891158
295101274003,2250.0,41.6,12.85,56.67,Minority,Low_poverty,LPM,38.6211507,-90.2190346
295101161004,494.0,38.46,37.25,26.11,Other,High_poverty,HPO,38.5881006,-90.2551049
