origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,Race,Poverty,origin_geoid_type,latitude,longitude
110010008021,2152.0,60.04,5.81,26.02,White,Low_poverty,LPW,38.909217,-77.0883241
110010075021,4161.0,0.67,38.82,98.65,Minority,High_poverty,HPM,38.8591832,-76.9721952
110010071001,563.0,39.61,12.26,51.51,Minority,Low_poverty,LPM,38.8755533,-76.9882261
110010010023,946.0,81.29,10.04,9.94,White,Low_poverty,LPW,38.9396333,-77.0783599
110010095093,1115.0,15.25,1.52,82.78,Minority,Low_poverty,LPM,38.9494226,-76.998372
110010076033,830.0,1.81,62.65,95.06,Minority,High_poverty,HPM,38.8596786,-76.9556517
110010073041,2506.0,1.44,42.62,97.73,Minority,High_poverty,HPM,38.8400357,-76.9864232
110010050021,2083.0,31.97,27.22,57.56,Minority,Low_poverty,LPM,38.9064438,-77.0283291
110010078092,1130.0,0.0,42.58,96.37,Minority,High_poverty,HPM,38.9013442,-76.9361406
110010076014,1098.0,8.01,20.22,90.8,Minority,Low_poverty,LPM,38.8701634,-76.9805316
110010108001,1835.0,63.81,55.84,17.71,White,High_poverty,HPW,38.9005669,-77.0474728
110010032004,1618.0,20.83,18.36,74.78,Minority,Low_poverty,LPM,38.9289472,-77.0206759
110010067002,1409.0,82.54,1.7,11.08,White,Low_poverty,LPW,38.8873709,-76.9899824
110010007012,1157.0,58.86,3.03,30.34,White,Low_poverty,LPW,38.9307909,-77.0784921
110010111001,1961.0,16.98,8.01,79.14,Minority,Low_poverty,LPM,38.9240418,-76.9650923
110010001001,1508.0,63.79,4.2,17.31,White,Low_poverty,LPW,38.9141506,-77.0614173
110010005012,2268.0,72.97,2.45,16.27,White,Low_poverty,LPW,38.9225481,-77.053884
110010099022,2352.0,0.55,9.65,98.85,Minority,Low_poverty,LPM,38.8669413,-76.9468286
110010024004,994.0,50.91,9.72,43.16,White,Low_poverty,LPW,38.9400054,-77.0218078
110010024002,1094.0,18.1,4.2,73.21,Minority,Low_poverty,LPM,38.9446113,-77.0228806
110010078062,1155.0,4.85,19.01,91.52,Minority,Low_poverty,LPM,38.9053043,-76.9353959
110010071002,2806.0,32.04,36.96,60.62,Minority,High_poverty,HPM,38.8799174,-76.9879365
110010108002,2364.0,59.35,46.75,23.23,White,High_poverty,HPW,38.8963906,-77.0427686
110010099012,1926.0,8.72,9.87,78.25,Minority,Low_poverty,LPM,38.8755968,-76.954295
110010036002,1573.0,43.99,28.68,51.88,Minority,Low_poverty,LPM,38.9252743,-77.0309948
110010095082,1717.0,6.81,8.44,91.96,Minority,Low_poverty,LPM,38.9557112,-76.9949901
110010016003,896.0,32.25,1.03,62.5,Minority,Low_poverty,LPM,38.9803947,-77.0334379
110010076053,1110.0,2.43,28.56,97.39,Minority,Low_poverty,LPM,38.8670199,-76.9809626
110010096031,2048.0,0.0,27.15,98.88,Minority,Low_poverty,LPM,38.8914068,-76.9434021
110010044001,3416.0,67.27,5.42,21.39,White,Low_poverty,LPW,38.9186825,-77.0282129
110010104001,2298.0,5.4,38.29,94.04,Minority,High_poverty,HPM,38.8425118,-77.0032897
110010033011,1440.0,50.42,9.44,38.4,White,Low_poverty,LPW,38.9222945,-77.0105483
110010027021,1524.0,36.09,2.95,52.63,Minority,Low_poverty,LPM,38.9304399,-77.0377074
