city,origin_geoid,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_NH_White_alone_ACS_15_19,total_flow,od_flow,do_flow,num_connections,weighted_avg_asymmetry,net_flow
Phoenix,40130101011,2.23,97.77,100725.0,81807.0,18918.0,2101,0.7341077190369819,62889.0
Phoenix,40130101012,7.57,91.23,69085.0,44562.0,24523.0,2086,0.6581602373887241,20039.0
Phoenix,40130101013,2.85,100.0,17904.0,11389.0,6515.0,1187,0.709562109025916,4874.0
Phoenix,40130101021,1.14,97.63,123370.0,36628.0,86742.0,2465,0.6587176785280052,-50114.0
Phoenix,40130101022,9.55,89.31,63279.0,48999.0,14280.0,1945,0.7861217781570505,34719.0
Phoenix,40130101023,10.52,99.2,72639.0,33598.0,39041.0,2086,0.7176998582028937,-5443.0
Phoenix,40130304011,6.47,97.9,96770.0,34918.0,61852.0,2270,0.5552340601426062,-26934.0
Phoenix,40130304012,0.0,97.57,40563.0,24316.0,16247.0,1842,0.6817789611222049,8069.0
Phoenix,40130304013,0.0,81.83,63740.0,40841.0,22899.0,1948,0.7076561029181048,17942.0
Phoenix,40130304021,12.21,98.3,40858.0,23787.0,17071.0,1718,0.4629203583141612,6716.0
Phoenix,40130304022,15.31,91.31,96096.0,28273.0,67823.0,2300,0.5850607725607726,-39550.0
Phoenix,40130304023,10.09,93.03,129149.0,49708.0,79441.0,2335,0.5417540979798527,-29733.0
Phoenix,40130405021,0.0,89.0,57337.0,8159.0,49178.0,2318,0.7361215271116383,-41019.0
Phoenix,40130405022,8.7,72.14,31119.0,15672.0,15447.0,1428,0.3556990905877438,225.0
Phoenix,40130405023,19.94,83.15,77922.0,38542.0,39380.0,1886,0.4018377351710685,-838.0
Phoenix,40130405024,7.52,91.77,46125.0,22163.0,23962.0,1524,0.3684552845528455,-1799.0
Phoenix,40130405061,9.98,100.0,82808.0,18686.0,64122.0,1701,0.7008260071490677,-45436.0
Phoenix,40130405062,6.51,100.0,26037.0,17403.0,8634.0,1305,0.6595613934016976,8769.0
Phoenix,40130405063,7.72,100.0,22501.0,10892.0,11609.0,1126,0.6121950135549531,-717.0
Phoenix,40130405064,6.73,95.69,24392.0,17383.0,7009.0,1262,0.6894883568383077,10374.0
Phoenix,40130405071,11.09,94.44,85896.0,18014.0,67882.0,1882,0.7498835801434293,-49868.0
Phoenix,40130405072,10.84,98.82,122008.0,23412.0,98596.0,1984,0.7458199462330339,-75184.0
Phoenix,40130405073,11.18,95.17,34938.0,8287.0,26651.0,1328,0.7501287995878413,-18364.0
Phoenix,40130405074,9.63,89.36,19575.0,14981.0,4594.0,1152,0.7725670498084292,10387.0
Phoenix,40130405075,2.45,89.27,61821.0,6159.0,55662.0,1495,0.8466216981284677,-49503.0
Phoenix,40130405121,5.41,96.23,20653.0,13125.0,7528.0,1154,0.6598072919188496,5597.0
Phoenix,40130405131,5.45,97.03,31036.0,16684.0,14352.0,1233,0.5942131718004897,2332.0
Phoenix,40130405132,3.06,98.44,26427.0,16493.0,9934.0,1155,0.6590608090210769,6559.0
Phoenix,40130405141,4.25,97.93,36600.0,26591.0,10009.0,1527,0.6712021857923497,16582.0
Phoenix,40130405142,5.62,97.09,28031.0,17838.0,10193.0,1235,0.6660126288751739,7645.0
Phoenix,40130405151,22.61,59.03,62795.0,33429.0,29366.0,1806,0.4111633091806672,4063.0
Phoenix,40130405152,12.7,91.92,70168.0,51459.0,18709.0,2030,0.5914946984380345,32750.0
Phoenix,40130405161,7.2,86.03,92728.0,75264.0,17464.0,1922,0.7198041583987577,57800.0
Phoenix,40130405162,4.37,92.41,86789.0,64518.0,22271.0,1918,0.763011441542131,42247.0
Phoenix,40130405171,13.72,82.22,157940.0,131780.0,26160.0,2280,0.7208053691275168,105620.0
Phoenix,40130405172,5.05,63.15,192349.0,152470.0,39879.0,2331,0.6843757960790022,112591.0
Phoenix,40130405181,8.76,93.97,53496.0,34069.0,19427.0,1930,0.5496485718558397,14642.0
Phoenix,40130405182,2.22,67.39,74870.0,60877.0,13993.0,2013,0.7464939227995192,46884.0
