city,flow_type,ratio
Phoenix,LPW_to_HPM,0.026792268
Phoenix,HPM_to_LPW,0.027429781
Los Angeles,LPW_to_HPM,0.006962719
Los Angeles,HPM_to_LPW,0.011000255
San Diego,LPW_to_HPM,0.012105666
San Diego,HPM_to_LPW,0.01088651
San Francisco,LPW_to_HPM,0.000864987
San Francisco,HPM_to_LPW,0.004304181
"Washington, D.C",LPW_to_HPM,0.015230721
"Washington, D.C",HPM_to_LPW,0.054843417
Miami,LPW_to_HPM,0.003672833
Miami,HPM_to_LPW,0.004520035
Atlanta,LPW_to_HPM,0.019137704
Atlanta,HPM_to_LPW,0.030286364
Chicago,LPW_to_HPM,0.013518151
Chicago,HPM_to_LPW,0.02703358
Boston,LPW_to_HPM,0.012174061
Boston,HPM_to_LPW,0.034905764
Detroit,LPW_to_HPM,0.030243902
Detroit,HPM_to_LPW,0.030881555
St. Louis,LPW_to_HPM,0.043533178
St. Louis,HPM_to_LPW,0.054807714
New York,LPW_to_HPM,0.013141724
New York,HPM_to_LPW,0.031076114
Pittsburgh,LPW_to_HPM,0.020475326
Pittsburgh,HPM_to_LPW,0.021231289
Philadelphia,LPW_to_HPM,0.031889481
Philadelphia,HPM_to_LPW,0.061332876
Dallas,LPW_to_HPM,0.012265892
Dallas,HPM_to_LPW,0.021998937
Houston,LPW_to_HPM,0.021951351
Houston,HPM_to_LPW,0.022624267
