origin_geoid,Tot_Population_ACS_15_19,pct_NH_White_alone_ACS_15_19,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_Minority,pct_Other,Race,Poverty,latitude,longitude,origin_geoid_type
250250201011,847,72.26,0.0,14.17,13.57,White,Low_poverty,42.3568011,-71.070054,LPW
250250303004,917,56.71,0.0,0.0,43.29,White,Low_poverty,42.3576569,-71.0572611,LPW
250250605012,1362,90.23,0.0,3.01,6.76,White,Low_poverty,42.336399,-71.0395143,LPW
250250605013,806,82.13,0.0,12.41,5.46,White,Low_poverty,42.3369024,-71.0417058,LPW
250250608001,683,100.0,0.0,0.0,0.0,White,Low_poverty,42.3351348,-71.0483041,LPW
250250701015,235,58.72,0.0,23.83,17.45,White,Low_poverty,42.3528137,-71.0635099,LPW
250251106071,1051,56.99,0.0,20.27,22.74,White,Low_poverty,42.2907944,-71.13624,LPW
250251301004,976,93.75,0.0,6.25,0.0,White,Low_poverty,42.2909418,-71.1636268,LPW
250251301005,952,100.0,0.0,0.0,0.0,White,Low_poverty,42.2876239,-71.1687164,LPW
250251301007,838,94.51,0.0,1.91,3.58,White,Low_poverty,42.2819386,-71.1664553,LPW
250251302004,490,88.16,0.0,8.37,3.47,White,Low_poverty,42.2849451,-71.1600751,LPW
250251303001,750,76.93,0.0,10.8,12.27,White,Low_poverty,42.2794156,-71.146616,LPW
250251303002,1116,79.84,0.0,18.19,1.97,White,Low_poverty,42.2833882,-71.1512024,LPW
250251304024,962,77.65,0.0,17.05,5.3,White,Low_poverty,42.2643799,-71.1648688,LPW
250251402025,873,62.66,0.0,30.81,6.53,White,Low_poverty,42.2502819,-71.1121845,LPW
250251702003,1186,59.27,0.0,40.72,0.01,White,Low_poverty,42.4169017,-71.0268954,LPW
250251703003,294,96.6,0.0,0.0,3.4,White,Low_poverty,42.4284073,-71.022738,LPW
250251803012,821,86.24,0.0,13.76,0.0,White,Low_poverty,42.3712373,-70.9920608,LPW
