city,City_Total_White_Population,log_HPM,City_Total_Minority_Population,log_LPM
Phoenix,4328729,-2.442622628,4328729,-0.650909342
Los Angeles,10080801,-2.449930848,10080801,-1.379171991
San Diego,3316050,-3.248298846,3316050,-0.829112447
San Francisco,874898,-4.011988985,874898,-0.928466132
"Washington, D.C",692625,-1.897098391,692625,-1.06445475
Miami,2699168,-1.968718237,2699168,-2.087445801
Atlanta,1036200,-2.042494441,1036200,-0.980308227
Chicago,5197952,-2.232693703,5197952,-0.896941157
Boston,796502,-2.305982484,796502,-0.940315577
Detroit,1756880,-1.531983212,1756880,-0.874662046
St. Louis,308107,-1.500910059,308107,-0.986295541
New York,8418220,-1.974966087,8418220,-1.227878874
Pittsburgh,1221670,-3.098414656,1221670,-0.305192167
Philadelphia,1578959,-1.34592203,1578959,-1.221605045
Dallas,2606644,-2.057462964,2606644,-1.294280751
Houston,4646533,-1.907298808,4646533,-1.267335037
