Date,Day of Week,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,origin_total_flow_HPM_to_LPW,flow_share_HPM_to_LPW,log_flow_share_HPM_to_LPW
2019/1/1,Tuesday,HPM_to_LPW,1468.0,805.0,2273.0,6396.0,0.2295184490306441,-1.471771864779384
2019/1/2,Wednesday,HPM_to_LPW,1679.0,996.0,2675.0,6918.0,0.2427002023706273,-1.4159283324195733
2019/1/3,Thursday,HPM_to_LPW,1726.0,1026.0,2752.0,7599.0,0.2271351493617581,-1.4822100670264118
2019/1/4,Friday,HPM_to_LPW,1861.0,1089.0,2950.0,7984.0,0.2330911823647294,-1.4563255613490491
2019/1/5,Saturday,HPM_to_LPW,1717.0,964.0,2681.0,7649.0,0.2244737874231925,-1.4939963384243908
2019/1/6,Sunday,HPM_to_LPW,1555.0,847.0,2402.0,6803.0,0.2285756283992356,-1.4758881457317263
2019/1/7,Monday,HPM_to_LPW,1673.0,976.0,2649.0,7528.0,0.2222369819341126,-1.504010980278392
2019/1/8,Tuesday,HPM_to_LPW,1711.0,1143.0,2854.0,7478.0,0.2288044931799946,-1.4748873816448658
2019/1/9,Wednesday,HPM_to_LPW,1959.0,1243.0,3202.0,8301.0,0.2359956631731116,-1.443941850510495
2019/1/10,Thursday,HPM_to_LPW,2036.0,1451.0,3487.0,8681.0,0.2345351917981799,-1.4501496307213948
2019/1/11,Friday,HPM_to_LPW,2194.0,1362.0,3556.0,9055.0,0.2422970734400883,-1.4175907294823384
2019/1/12,Saturday,HPM_to_LPW,1822.0,1157.0,2979.0,7457.0,0.2443341826471771,-1.4092183897238917
2019/1/13,Sunday,HPM_to_LPW,1564.0,1160.0,2724.0,6701.0,0.2333980002984629,-1.4550101268679143
2019/1/14,Monday,HPM_to_LPW,1782.0,1400.0,3182.0,8436.0,0.2112375533428165,-1.5547719335679109
2019/1/15,Tuesday,HPM_to_LPW,1932.0,1439.0,3371.0,8342.0,0.2315991368976264,-1.4627472599844276
2019/1/16,Wednesday,HPM_to_LPW,1913.0,1289.0,3202.0,8414.0,0.2273591632992631,-1.4812242947102134
2019/1/17,Thursday,HPM_to_LPW,1948.0,1422.0,3370.0,8149.0,0.2390477359185176,-1.431092015117739
2019/1/18,Friday,HPM_to_LPW,2227.0,1198.0,3425.0,9015.0,0.247032723239046,-1.3982344683800505
2019/1/19,Saturday,HPM_to_LPW,1818.0,974.0,2792.0,7234.0,0.2513132430190766,-1.381055137774619
2019/1/20,Sunday,HPM_to_LPW,1609.0,829.0,2438.0,6630.0,0.2426847662141779,-1.4159919361875253
2019/1/21,Monday,HPM_to_LPW,1699.0,893.0,2592.0,6874.0,0.2471632237416351,-1.3977063357378474
2019/1/22,Tuesday,HPM_to_LPW,1785.0,1188.0,2973.0,7842.0,0.2276205049732211,-1.4800754886385377
2019/1/23,Wednesday,HPM_to_LPW,1729.0,1219.0,2948.0,7766.0,0.2226371362348699,-1.5022120246083224
2019/1/24,Thursday,HPM_to_LPW,1898.0,1293.0,3191.0,8104.0,0.2342053307008884,-1.4515570667586464
2019/1/25,Friday,HPM_to_LPW,1987.0,1250.0,3237.0,8465.0,0.2347312463083284,-1.4493140520154189
2019/1/26,Saturday,HPM_to_LPW,1743.0,1158.0,2901.0,7368.0,0.2365635179153094,-1.441538532415122
2019/1/27,Sunday,HPM_to_LPW,1443.0,956.0,2399.0,6232.0,0.2315468549422336,-1.4629730287767135
2019/1/28,Monday,HPM_to_LPW,1821.0,1379.0,3200.0,8366.0,0.2176667463542911,-1.5247900722745362
2019/1/29,Tuesday,HPM_to_LPW,1469.0,909.0,2378.0,6117.0,0.2401504005231322,-1.4264898830686878
2019/1/30,Wednesday,HPM_to_LPW,1712.0,1393.0,3105.0,7741.0,0.2211600568402015,-1.508868600503026
