Date,Day of Week,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,origin_total_flow_HPM_to_LPW,flow_share_HPM_to_LPW,log_flow_share_HPM_to_LPW
2019/1/1,Tuesday,HPM_to_LPW,570.0,270.0,840.0,2269.0,0.251211987659762,-1.381458123951246
2019/1/2,Wednesday,HPM_to_LPW,872.0,328.0,1200.0,2948.0,0.2957937584803256,-1.2180928294002478
2019/1/3,Thursday,HPM_to_LPW,997.0,423.0,1420.0,3497.0,0.2851015155847869,-1.2549099671015376
2019/1/4,Friday,HPM_to_LPW,1127.0,385.0,1512.0,4069.0,0.2769722290489063,-1.283838033961914
2019/1/5,Saturday,HPM_to_LPW,737.0,265.0,1002.0,2818.0,0.2615330021291696,-1.341194800269289
2019/1/6,Sunday,HPM_to_LPW,687.0,294.0,981.0,2680.0,0.2563432835820896,-1.361237781282553
2019/1/7,Monday,HPM_to_LPW,954.0,379.0,1333.0,3265.0,0.2921898928024502,-1.2303513702622448
2019/1/8,Tuesday,HPM_to_LPW,1081.0,394.0,1475.0,3564.0,0.3033108866442199,-1.1929969709514918
2019/1/9,Wednesday,HPM_to_LPW,1251.0,435.0,1686.0,4023.0,0.3109619686800894,-1.1680846614828773
2019/1/10,Thursday,HPM_to_LPW,1296.0,473.0,1769.0,4286.0,0.3023798413439104,-1.1960712991213025
2019/1/11,Friday,HPM_to_LPW,1204.0,445.0,1649.0,4348.0,0.2769089236430543,-1.2840666223723336
2019/1/12,Saturday,HPM_to_LPW,769.0,343.0,1112.0,3232.0,0.2379331683168316,-1.4357654501353423
2019/1/13,Sunday,HPM_to_LPW,688.0,312.0,1000.0,2767.0,0.2486447415973979,-1.391730141853582
2019/1/14,Monday,HPM_to_LPW,1130.0,427.0,1557.0,3771.0,0.2996552638557412,-1.2051225855519707
2019/1/15,Tuesday,HPM_to_LPW,1104.0,423.0,1527.0,3651.0,0.3023829087921117,-1.1960611548185964
2019/1/16,Wednesday,HPM_to_LPW,1185.0,440.0,1625.0,3899.0,0.3039240830982303,-1.1909773354133657
2019/1/17,Thursday,HPM_to_LPW,1167.0,396.0,1563.0,3840.0,0.30390625,-1.191036013295217
2019/1/18,Friday,HPM_to_LPW,1187.0,429.0,1616.0,4133.0,0.2872005806919913,-1.2475744199020644
2019/1/19,Saturday,HPM_to_LPW,815.0,296.0,1111.0,3177.0,0.256531318854265,-1.3605045210286535
2019/1/20,Sunday,HPM_to_LPW,521.0,206.0,727.0,1908.0,0.2730607966457023,-1.298060810254865
2019/1/21,Monday,HPM_to_LPW,665.0,239.0,904.0,2215.0,0.3002257336343115,-1.203220641823382
2019/1/22,Tuesday,HPM_to_LPW,1038.0,377.0,1415.0,3436.0,0.3020954598370198,-1.197012219378312
2019/1/23,Wednesday,HPM_to_LPW,1057.0,373.0,1430.0,3593.0,0.2941831338714166,-1.2235528012432813
2019/1/24,Thursday,HPM_to_LPW,1104.0,369.0,1473.0,3712.0,0.2974137931034483,-1.2126308670690504
2019/1/25,Friday,HPM_to_LPW,1260.0,398.0,1658.0,4250.0,0.2964705882352941,-1.215807261972939
2019/1/26,Saturday,HPM_to_LPW,843.0,298.0,1141.0,3432.0,0.2456293706293706,-1.4039315026059975
2019/1/27,Sunday,HPM_to_LPW,689.0,242.0,931.0,2822.0,0.2441530829199149,-1.4099598613991011
2019/1/28,Monday,HPM_to_LPW,1103.0,380.0,1483.0,3838.0,0.2873892652423137,-1.246917657314143
2019/1/29,Tuesday,HPM_to_LPW,1069.0,420.0,1489.0,3588.0,0.2979375696767001,-1.2108713121536416
2019/1/30,Wednesday,HPM_to_LPW,1087.0,421.0,1508.0,3639.0,0.2987084363836219,-1.2082873104909504
2019/1/31,Thursday,HPM_to_LPW,1155.0,432.0,1587.0,3832.0,0.3014091858037578,-1.1992865161348574
2019/2/1,Friday,HPM_to_LPW,1219.0,379.0,1598.0,4137.0,0.2946579647087261,-1.22194003698014
2019/2/2,Saturday,HPM_to_LPW,773.0,284.0,1057.0,3225.0,0.2396899224806201,-1.428409180642451
2019/2/3,Sunday,HPM_to_LPW,676.0,295.0,971.0,2739.0,0.2468054034319094,-1.3991550932201142
2019/2/4,Monday,HPM_to_LPW,1105.0,421.0,1526.0,3861.0,0.2861952861952861,-1.2510808823123831
2019/2/5,Tuesday,HPM_to_LPW,1174.0,423.0,1597.0,4074.0,0.2881688757977417,-1.2442085963987095
2019/2/6,Wednesday,HPM_to_LPW,1144.0,392.0,1536.0,3811.0,0.3001836788244555,-1.203360728934117
2019/2/7,Thursday,HPM_to_LPW,1132.0,387.0,1519.0,3851.0,0.2939496234744222,-1.2243468750517807
2019/2/8,Friday,HPM_to_LPW,1207.0,417.0,1624.0,4101.0,0.2943184589124604,-1.2230929042945278
2019/2/9,Saturday,HPM_to_LPW,806.0,319.0,1125.0,3141.0,0.25660617637695,-1.3602127570320184
2019/2/10,Sunday,HPM_to_LPW,709.0,280.0,989.0,2627.0,0.2698896079177769,-1.3097422631534126
2019/2/11,Monday,HPM_to_LPW,1168.0,394.0,1562.0,3826.0,0.3052796654469419,-1.186526986612026
2019/2/12,Tuesday,HPM_to_LPW,1126.0,405.0,1531.0,3740.0,0.3010695187165775,-1.200414081708942
2019/2/13,Wednesday,HPM_to_LPW,1078.0,447.0,1525.0,3651.0,0.2952615721720076,-1.2198936301866947
2019/2/14,Thursday,HPM_to_LPW,1129.0,412.0,1541.0,3879.0,0.2910543954627481,-1.2342451032903052
2019/2/15,Friday,HPM_to_LPW,1161.0,389.0,1550.0,4165.0,0.2787515006002401,-1.2774345729030514
2019/2/16,Saturday,HPM_to_LPW,865.0,347.0,1212.0,3465.0,0.2496392496392496,-1.3877384046921244
2019/2/17,Sunday,HPM_to_LPW,647.0,276.0,923.0,2774.0,0.2332372025955299,-1.4556993063738763
2019/2/18,Monday,HPM_to_LPW,751.0,251.0,1002.0,2597.0,0.2891798228725452,-1.240706559898614
2019/2/19,Tuesday,HPM_to_LPW,1038.0,391.0,1429.0,3537.0,0.2934690415606446,-1.2259831254796467
2019/2/20,Wednesday,HPM_to_LPW,1093.0,393.0,1486.0,3638.0,0.3004398020890599,-1.202507870901529
2019/2/21,Thursday,HPM_to_LPW,1015.0,380.0,1395.0,3435.0,0.2954876273653566,-1.219128313180562
2019/2/22,Friday,HPM_to_LPW,1109.0,385.0,1494.0,3793.0,0.2923807012918534,-1.229698554338532
2019/2/23,Saturday,HPM_to_LPW,862.0,325.0,1187.0,3361.0,0.2564712883070514,-1.3607385570614128
2019/2/24,Sunday,HPM_to_LPW,637.0,296.0,933.0,2512.0,0.2535828025477707,-1.372064872015926
2019/2/25,Monday,HPM_to_LPW,1152.0,426.0,1578.0,3804.0,0.3028391167192429,-1.1945535824094444
2019/2/26,Tuesday,HPM_to_LPW,1094.0,419.0,1513.0,3669.0,0.2981738893431452,-1.210078441373356
2019/2/27,Wednesday,HPM_to_LPW,1124.0,418.0,1542.0,3802.0,0.2956338769068911,-1.2186334925947382
2019/2/28,Thursday,HPM_to_LPW,1089.0,427.0,1516.0,3605.0,0.3020804438280166,-1.1970619267860891
2019/3/1,Friday,HPM_to_LPW,1215.0,461.0,1676.0,4355.0,0.2789896670493685,-1.2765805335119544
2019/3/2,Saturday,HPM_to_LPW,782.0,306.0,1088.0,3019.0,0.2590261676051673,-1.3508261891615276
2019/3/3,Sunday,HPM_to_LPW,695.0,300.0,995.0,2792.0,0.2489255014326647,-1.3906016183174712
2019/3/4,Monday,HPM_to_LPW,797.0,299.0,1096.0,2636.0,0.3023520485584218,-1.196163216832183
2019/3/5,Tuesday,HPM_to_LPW,1196.0,456.0,1652.0,3962.0,0.3018677435638566,-1.1977662927479191
2019/3/6,Wednesday,HPM_to_LPW,1150.0,429.0,1579.0,3994.0,0.2879318978467701,-1.245031292618465
2019/3/7,Thursday,HPM_to_LPW,1209.0,440.0,1649.0,3985.0,0.3033877038895859,-1.192743740609523
2019/3/8,Friday,HPM_to_LPW,1280.0,458.0,1738.0,4305.0,0.29732868757259,-1.2129170599481682
2019/3/9,Saturday,HPM_to_LPW,805.0,354.0,1159.0,3174.0,0.2536231884057971,-1.371905623667791
2019/3/10,Sunday,HPM_to_LPW,617.0,283.0,900.0,2424.0,0.2545379537953795,-1.3683053232838174
2019/3/11,Monday,HPM_to_LPW,1192.0,445.0,1637.0,4017.0,0.2967388598456559,-1.2149027867339874
2019/3/12,Tuesday,HPM_to_LPW,1147.0,403.0,1550.0,3920.0,0.2926020408163265,-1.2289418156551375
2019/3/13,Wednesday,HPM_to_LPW,1112.0,430.0,1542.0,3848.0,0.288981288981289,-1.2413933369750694
2019/3/14,Thursday,HPM_to_LPW,1151.0,424.0,1575.0,3927.0,0.2930990578049401,-1.2272446458561272
2019/3/15,Friday,HPM_to_LPW,1314.0,459.0,1773.0,4596.0,0.2859007832898172,-1.2521104399240903
2019/3/16,Saturday,HPM_to_LPW,907.0,374.0,1281.0,3528.0,0.2570861678004535,-1.3583439670115454
2019/3/17,Sunday,HPM_to_LPW,690.0,348.0,1038.0,2780.0,0.2482014388489208,-1.393514609093378
2019/3/18,Monday,HPM_to_LPW,1097.0,421.0,1518.0,3874.0,0.2831698502839442,-1.2617083836917111
2019/3/19,Tuesday,HPM_to_LPW,1173.0,424.0,1597.0,4054.0,0.2893438579181056,-1.2401394783584698
2019/3/20,Wednesday,HPM_to_LPW,1222.0,472.0,1694.0,4231.0,0.2888206097849208,-1.241949510988527
2019/3/21,Thursday,HPM_to_LPW,1253.0,460.0,1713.0,4202.0,0.2981913374583532,-1.2100199265088774
2019/3/22,Friday,HPM_to_LPW,1170.0,458.0,1628.0,4238.0,0.2760736196319018,-1.2870877110364427
2019/3/23,Saturday,HPM_to_LPW,916.0,377.0,1293.0,3683.0,0.2487102905240293,-1.3914665517709353
2019/3/24,Sunday,HPM_to_LPW,772.0,313.0,1085.0,3184.0,0.2424623115577889,-1.4169089969394977
2019/3/25,Monday,HPM_to_LPW,1251.0,471.0,1722.0,4370.0,0.2862700228832951,-1.250819777622725
2019/3/26,Tuesday,HPM_to_LPW,1174.0,445.0,1619.0,4165.0,0.2818727490996398,-1.2662995542129016
2019/3/27,Wednesday,HPM_to_LPW,1256.0,473.0,1729.0,4195.0,0.2994040524433849,-1.2059612718731627
2019/3/28,Thursday,HPM_to_LPW,1265.0,463.0,1728.0,4253.0,0.2974371032212556,-1.212552494092013
2019/3/29,Friday,HPM_to_LPW,1236.0,468.0,1704.0,4408.0,0.2803992740471869,-1.2715407128151144
2019/3/30,Saturday,HPM_to_LPW,972.0,366.0,1338.0,3791.0,0.2563967290952255,-1.361029311055896
2019/3/31,Sunday,HPM_to_LPW,732.0,304.0,1036.0,2954.0,0.2477995937711577,-1.3951349491300138
2019/4/1,Monday,HPM_to_LPW,1135.0,445.0,1580.0,4148.0,0.273625843780135,-1.2959936394339149
2019/4/2,Tuesday,HPM_to_LPW,1166.0,417.0,1583.0,4258.0,0.2738374823860968,-1.295220478542987
2019/4/3,Wednesday,HPM_to_LPW,1153.0,446.0,1599.0,4196.0,0.2747855100095329,-1.2917644492471287
2019/4/4,Thursday,HPM_to_LPW,1256.0,426.0,1682.0,4315.0,0.2910776361529548,-1.2341652564893844
2019/4/5,Friday,HPM_to_LPW,1222.0,449.0,1671.0,4583.0,0.2666375736417194,-1.3218649447775834
2019/4/6,Saturday,HPM_to_LPW,923.0,365.0,1288.0,3758.0,0.2456093666844066,-1.4040129454705583
2019/4/7,Sunday,HPM_to_LPW,742.0,304.0,1046.0,3160.0,0.2348101265822784,-1.4489780634135776
2019/4/8,Monday,HPM_to_LPW,1099.0,433.0,1532.0,3891.0,0.2824466718067335,-1.2642655185809322
2019/4/9,Tuesday,HPM_to_LPW,1286.0,478.0,1764.0,4193.0,0.3067016455998092,-1.181879842373198
2019/4/10,Wednesday,HPM_to_LPW,1270.0,439.0,1709.0,4361.0,0.2912176106397615,-1.2336844883901297
2019/4/11,Thursday,HPM_to_LPW,1258.0,435.0,1693.0,4339.0,0.2899285549665821,-1.238120748537965
2019/4/12,Friday,HPM_to_LPW,1292.0,453.0,1745.0,4473.0,0.2888441761681198,-1.241867919090301
2019/4/13,Saturday,HPM_to_LPW,1008.0,361.0,1369.0,3893.0,0.2589262779347547,-1.3512118989791415
2019/4/14,Sunday,HPM_to_LPW,817.0,317.0,1134.0,3280.0,0.2490853658536585,-1.3899596065181867
2019/4/15,Monday,HPM_to_LPW,911.0,300.0,1211.0,3297.0,0.2763117986047922,-1.2862253458117727
2019/4/16,Tuesday,HPM_to_LPW,1164.0,389.0,1553.0,3983.0,0.292242028621642,-1.230172954890261
2019/4/17,Wednesday,HPM_to_LPW,1141.0,364.0,1505.0,3846.0,0.296671866874675,-1.2151285762866493
2019/4/18,Thursday,HPM_to_LPW,1065.0,358.0,1423.0,3615.0,0.2946058091286307,-1.2221170564493395
2019/4/19,Friday,HPM_to_LPW,1209.0,358.0,1567.0,4203.0,0.2876516773733047,-1.2460049843903245
2019/4/20,Saturday,HPM_to_LPW,829.0,303.0,1132.0,3373.0,0.2457752742365846,-1.4033376799263555
2019/4/21,Sunday,HPM_to_LPW,686.0,301.0,987.0,2977.0,0.2304333221363789,-1.4677937332898912
2019/4/22,Monday,HPM_to_LPW,1256.0,468.0,1724.0,4173.0,0.3009825065899832,-1.2007031335634086
2019/4/23,Tuesday,HPM_to_LPW,1397.0,449.0,1846.0,4494.0,0.3108589230084557,-1.1684160934883128
2019/4/24,Wednesday,HPM_to_LPW,1377.0,489.0,1866.0,4611.0,0.2986337020169161,-1.2085375334780506
2019/4/25,Thursday,HPM_to_LPW,1433.0,466.0,1899.0,4644.0,0.3085701981050818,-1.1758059149896103
2019/4/26,Friday,HPM_to_LPW,1473.0,437.0,1910.0,4771.0,0.3087403060155104,-1.1752547890534766
2019/4/27,Saturday,HPM_to_LPW,1082.0,378.0,1460.0,3929.0,0.2753881394756935,-1.2895737601520332
2019/4/28,Sunday,HPM_to_LPW,879.0,338.0,1217.0,3316.0,0.2650784077201447,-1.327729618570009
2019/4/29,Monday,HPM_to_LPW,1361.0,443.0,1804.0,4541.0,0.2997137194450561,-1.204927528446485
2019/4/30,Tuesday,HPM_to_LPW,1344.0,436.0,1780.0,4280.0,0.314018691588785,-1.1583027674927475
