Date,Day of Week,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,origin_total_flow_HPM_to_LPW,flow_share_HPM_to_LPW,log_flow_share_HPM_to_LPW
2019/1/1,Tuesday,HPM_to_LPW,5727.0,2836.0,8563.0,31642.0,0.1809936160798938,-1.709293518615152
2019/1/2,Wednesday,HPM_to_LPW,8196.0,3975.0,12171.0,34926.0,0.2346675828895378,-1.4495853071410003
2019/1/3,Thursday,HPM_to_LPW,8801.0,4028.0,12829.0,37687.0,0.2335288030355295,-1.4544498560093804
2019/1/4,Friday,HPM_to_LPW,9740.0,4400.0,14140.0,42033.0,0.231722694073704,-1.4622139064027604
2019/1/5,Saturday,HPM_to_LPW,8192.0,3823.0,12015.0,39599.0,0.2068739109573474,-1.57564579711918
2019/1/6,Sunday,HPM_to_LPW,6342.0,3447.0,9789.0,34207.0,0.1854006489899728,-1.6852361253712187
2019/1/7,Monday,HPM_to_LPW,8416.0,4050.0,12466.0,36793.0,0.2287391623406626,-1.4751729536946043
2019/1/8,Tuesday,HPM_to_LPW,9151.0,4280.0,13431.0,38789.0,0.2359173992626775,-1.4442735383461642
2019/1/9,Wednesday,HPM_to_LPW,10111.0,4777.0,14888.0,42251.0,0.239307945374074,-1.4300040820528763
2019/1/10,Thursday,HPM_to_LPW,10298.0,4597.0,14895.0,42886.0,0.2401249825117754,-1.4265957307230894
2019/1/11,Friday,HPM_to_LPW,10942.0,4881.0,15823.0,46074.0,0.2374875200763988,-1.4376402039348275
2019/1/12,Saturday,HPM_to_LPW,8100.0,4118.0,12218.0,38510.0,0.2103349779278109,-1.5590538861484249
2019/1/13,Sunday,HPM_to_LPW,6968.0,3423.0,10391.0,34377.0,0.2026936614596969,-1.5960594965622192
2019/1/14,Monday,HPM_to_LPW,9889.0,4391.0,14280.0,40817.0,0.2422765024377098,-1.4176756330074785
2019/1/15,Tuesday,HPM_to_LPW,9550.0,4372.0,13922.0,40306.0,0.2369374286706694,-1.4399591867526584
2019/1/16,Wednesday,HPM_to_LPW,9629.0,4780.0,14409.0,41206.0,0.2336795612289472,-1.4538044985621206
2019/1/17,Thursday,HPM_to_LPW,9650.0,5009.0,14659.0,41684.0,0.2315036944631033,-1.4631594467792868
2019/1/18,Friday,HPM_to_LPW,10126.0,4863.0,14989.0,44556.0,0.2272645659394918,-1.4816404514352264
2019/1/19,Saturday,HPM_to_LPW,6419.0,3655.0,10074.0,31085.0,0.2064983110825156,-1.5774630453916605
2019/1/20,Sunday,HPM_to_LPW,5923.0,3611.0,9534.0,31249.0,0.189542065346091,-1.6631442983755718
2019/1/21,Monday,HPM_to_LPW,7569.0,3911.0,11480.0,33399.0,0.2266235516033414,-1.4844650010876497
2019/1/22,Tuesday,HPM_to_LPW,8763.0,4858.0,13621.0,38193.0,0.2294399497290079,-1.4721139406739046
2019/1/23,Wednesday,HPM_to_LPW,8932.0,4613.0,13545.0,39154.0,0.2281248403739081,-1.4778622543764397
2019/1/24,Thursday,HPM_to_LPW,9473.0,4640.0,14113.0,40479.0,0.23402257960918,-1.452337674223363
2019/1/25,Friday,HPM_to_LPW,8693.0,4599.0,13292.0,38450.0,0.2260858257477243,-1.4868405918547258
2019/1/26,Saturday,HPM_to_LPW,7459.0,3878.0,11337.0,36363.0,0.2051260897065698,-1.584130417183459
2019/1/27,Sunday,HPM_to_LPW,5738.0,3491.0,9229.0,30906.0,0.1856597424448327,-1.6838396222523302
2019/1/28,Monday,HPM_to_LPW,7940.0,3920.0,11860.0,35798.0,0.2218001005642773,-1.505978750665264
2019/1/29,Tuesday,HPM_to_LPW,8019.0,4145.0,12164.0,35427.0,0.226352781776611,-1.4856605154623628
2019/1/30,Wednesday,HPM_to_LPW,3476.0,2299.0,5775.0,19461.0,0.1786136375314732,-1.7225302554958826
2019/1/31,Thursday,HPM_to_LPW,6153.0,3570.0,9723.0,29835.0,0.2062342885872297,-1.5787424332156923
2019/2/1,Friday,HPM_to_LPW,9054.0,4596.0,13650.0,41144.0,0.2200563873225743,-1.5138714594588485
2019/2/2,Saturday,HPM_to_LPW,7899.0,4247.0,12146.0,39659.0,0.1991729493935802,-1.6135817392697471
2019/2/3,Sunday,HPM_to_LPW,6042.0,3408.0,9450.0,34890.0,0.1731728288907996,-1.7534651722342027
2019/2/4,Monday,HPM_to_LPW,8901.0,4267.0,13168.0,40322.0,0.2207479787708943,-1.510733595730725
2019/2/5,Tuesday,HPM_to_LPW,9045.0,4466.0,13511.0,40561.0,0.2229974606148763,-1.5005948949640913
2019/2/6,Wednesday,HPM_to_LPW,9115.0,4433.0,13548.0,40210.0,0.2266849042526734,-1.4841943127785566
2019/2/7,Thursday,HPM_to_LPW,8997.0,4710.0,13707.0,40108.0,0.2243193377879724,-1.4946846272266976
2019/2/8,Friday,HPM_to_LPW,9186.0,4751.0,13937.0,41685.0,0.2203670385030586,-1.5124607659589753
2019/2/9,Saturday,HPM_to_LPW,7860.0,4187.0,12047.0,39415.0,0.1994164658125079,-1.6123598480707564
