Date,Day of Week,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,origin_total_flow_HPM_to_LPW,flow_share_HPM_to_LPW,log_flow_share_HPM_to_LPW
2019/1/1,Tuesday,HPM_to_LPW,1996.0,1317.0,3313.0,19981.0,0.0998949001551473,-2.303636644128724
2019/1/2,Wednesday,HPM_to_LPW,3085.0,1714.0,4799.0,20081.0,0.1536278073801105,-1.873222437022972
2019/1/3,Thursday,HPM_to_LPW,3478.0,1811.0,5289.0,21850.0,0.1591762013729977,-1.837743505609508
2019/1/4,Friday,HPM_to_LPW,4170.0,2016.0,6186.0,26174.0,0.1593184075800412,-1.8368505158225792
2019/1/5,Saturday,HPM_to_LPW,3577.0,1708.0,5285.0,24169.0,0.1479995034962141,-1.91054635997896
2019/1/6,Sunday,HPM_to_LPW,3246.0,1726.0,4972.0,22604.0,0.1436029021412139,-1.9407034126751976
2019/1/7,Monday,HPM_to_LPW,3841.0,1871.0,5712.0,23306.0,0.1648073457478761,-1.802978088787304
2019/1/8,Tuesday,HPM_to_LPW,4182.0,2168.0,6350.0,24569.0,0.1702144979445642,-1.7706958846576772
2019/1/9,Wednesday,HPM_to_LPW,4346.0,2357.0,6703.0,26727.0,0.1626071014330078,-1.816418408572379
2019/1/10,Thursday,HPM_to_LPW,4330.0,2206.0,6536.0,27281.0,0.158718522048312,-1.8406229471805111
2019/1/11,Friday,HPM_to_LPW,4351.0,2325.0,6676.0,28285.0,0.153827116846385,-1.871925925056576
2019/1/12,Saturday,HPM_to_LPW,3532.0,1815.0,5347.0,25498.0,0.1385206682877088,-1.9767357349742167
2019/1/13,Sunday,HPM_to_LPW,2942.0,1725.0,4667.0,22762.0,0.1292505052280116,-2.0460028566804525
2019/1/14,Monday,HPM_to_LPW,4079.0,2072.0,6151.0,26144.0,0.1560205018359853,-1.857767858342171
2019/1/15,Tuesday,HPM_to_LPW,3970.0,2513.0,6483.0,25460.0,0.1559308719560094,-1.8583424984301613
2019/1/16,Wednesday,HPM_to_LPW,4490.0,2592.0,7082.0,26935.0,0.1666976053462038,-1.7915738543783344
2019/1/17,Thursday,HPM_to_LPW,4643.0,2729.0,7372.0,26745.0,0.1736025425313142,-1.750986830945429
2019/1/18,Friday,HPM_to_LPW,4781.0,2901.0,7682.0,29109.0,0.164244735305232,-1.806397675067306
2019/1/19,Saturday,HPM_to_LPW,3464.0,2397.0,5861.0,24168.0,0.1433300231711353,-1.9426054533841828
2019/1/20,Sunday,HPM_to_LPW,3140.0,2341.0,5481.0,23015.0,0.1364327612426678,-1.991923377349043
2019/1/21,Monday,HPM_to_LPW,3834.0,2558.0,6392.0,24500.0,0.1564897959183673,-1.8547644729272288
2019/1/22,Tuesday,HPM_to_LPW,4643.0,2831.0,7474.0,26865.0,0.1728270984552391,-1.7554636151430003
2019/1/23,Wednesday,HPM_to_LPW,4517.0,2743.0,7260.0,26476.0,0.1706073424988669,-1.7683906055842094
2019/1/24,Thursday,HPM_to_LPW,4512.0,2617.0,7129.0,26907.0,0.1676887055413089,-1.7856459616082183
2019/1/25,Friday,HPM_to_LPW,4781.0,2567.0,7348.0,28811.0,0.1659435632223803,-1.796107529020167
2019/1/26,Saturday,HPM_to_LPW,3799.0,2235.0,6034.0,25714.0,0.1477405304503383,-1.9122977164565689
2019/1/27,Sunday,HPM_to_LPW,3324.0,2139.0,5463.0,22858.0,0.1454195467669962,-1.9281322884822047
2019/1/28,Monday,HPM_to_LPW,4407.0,2447.0,6854.0,26173.0,0.1683796278607725,-1.7815341591904403
2019/1/29,Tuesday,HPM_to_LPW,4229.0,2449.0,6678.0,24785.0,0.1706273956021787,-1.7682730729821858
2019/1/30,Wednesday,HPM_to_LPW,4310.0,2628.0,6938.0,25644.0,0.1680705038215567,-1.7833717220093546
2019/1/31,Thursday,HPM_to_LPW,4643.0,2823.0,7466.0,28588.0,0.1624108017349937,-1.817626340319948
2019/2/1,Friday,HPM_to_LPW,4823.0,2691.0,7514.0,30994.0,0.1556107633735561,-1.860397496278309
2019/2/2,Saturday,HPM_to_LPW,3860.0,2376.0,6236.0,28068.0,0.1375231580447484,-1.9839629539133032
2019/2/3,Sunday,HPM_to_LPW,3256.0,2032.0,5288.0,25490.0,0.1277363672028246,-2.0577867702477306
