Date,Day of Week,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,origin_total_flow_HPM_to_LPW,flow_share_HPM_to_LPW,log_flow_share_HPM_to_LPW
2019/1/1,Tuesday,HPM_to_LPW,2206.0,2258.0,4464.0,18524.0,0.1190887497300799,-2.127886267787195
2019/1/2,Wednesday,HPM_to_LPW,2977.0,3186.0,6163.0,20364.0,0.1461893537615399,-1.9228525540064507
2019/1/3,Thursday,HPM_to_LPW,3303.0,3343.0,6646.0,22175.0,0.1489515219842164,-1.904134381786991
2019/1/4,Friday,HPM_to_LPW,3510.0,3661.0,7171.0,23467.0,0.1495717390377977,-1.899979141462684
2019/1/5,Saturday,HPM_to_LPW,3143.0,3129.0,6272.0,21743.0,0.1445522696959941,-1.9341141088374911
2019/1/6,Sunday,HPM_to_LPW,2660.0,2813.0,5473.0,19656.0,0.1353276353276353,-2.0000565124252705
2019/1/7,Monday,HPM_to_LPW,2931.0,2996.0,5927.0,20845.0,0.1406092588150635,-1.9617704496040047
2019/1/8,Tuesday,HPM_to_LPW,3212.0,3694.0,6906.0,22040.0,0.1457350272232304,-1.9259651882001991
2019/1/9,Wednesday,HPM_to_LPW,3695.0,3837.0,7532.0,23559.0,0.1568402733562545,-1.8525273586606823
2019/1/10,Thursday,HPM_to_LPW,3925.0,3948.0,7873.0,24673.0,0.1590807765573704,-1.83834317710207
2019/1/11,Friday,HPM_to_LPW,4194.0,4268.0,8462.0,26038.0,0.1610722789768799,-1.8259020769954768
2019/1/12,Saturday,HPM_to_LPW,3467.0,3431.0,6898.0,22586.0,0.153502169485522,-1.874040578598592
2019/1/13,Sunday,HPM_to_LPW,3101.0,3121.0,6222.0,21297.0,0.1456073625393248,-1.9268415776070469
2019/1/14,Monday,HPM_to_LPW,3769.0,3892.0,7661.0,23544.0,0.1600832483860007,-1.832061296646173
2019/1/15,Tuesday,HPM_to_LPW,3700.0,4003.0,7703.0,23153.0,0.1598065045566449,-1.8337915421188824
2019/1/16,Wednesday,HPM_to_LPW,3683.0,3740.0,7423.0,22837.0,0.1612733721592153,-1.8246543901865264
2019/1/17,Thursday,HPM_to_LPW,3485.0,3694.0,7179.0,22460.0,0.1551647373107747,-1.8632679050978096
2019/1/18,Friday,HPM_to_LPW,3963.0,3956.0,7919.0,24188.0,0.1638415743343806,-1.8088553282026687
2019/1/19,Saturday,HPM_to_LPW,2594.0,2469.0,5063.0,18058.0,0.1436482445453538,-1.940387713991036
2019/1/20,Sunday,HPM_to_LPW,2548.0,2403.0,4951.0,17638.0,0.1444608232225876,-1.934746927756072
2019/1/21,Monday,HPM_to_LPW,2995.0,2845.0,5840.0,18424.0,0.162559704732957,-1.816709930950972
2019/1/22,Tuesday,HPM_to_LPW,3457.0,3590.0,7047.0,21696.0,0.1593381268436578,-1.8367267508184977
2019/1/23,Wednesday,HPM_to_LPW,2743.0,3480.0,6223.0,19265.0,0.1423825590449,-1.949237766122656
2019/1/24,Thursday,HPM_to_LPW,3263.0,4188.0,7451.0,22485.0,0.1451189682010229,-1.930201402611487
2019/1/25,Friday,HPM_to_LPW,3516.0,4052.0,7568.0,23017.0,0.1527566581222574,-1.8789090935186268
2019/1/26,Saturday,HPM_to_LPW,2991.0,3402.0,6393.0,20256.0,0.147659952606635,-1.9128432663139552
2019/1/27,Sunday,HPM_to_LPW,2477.0,2744.0,5221.0,17675.0,0.1401414427157001,-1.9651030612754143
2019/1/28,Monday,HPM_to_LPW,2487.0,3115.0,5602.0,17554.0,0.1416771106300558,-1.9542046793486585
2019/1/29,Tuesday,HPM_to_LPW,2937.0,3462.0,6399.0,19004.0,0.1545464112818354,-1.867260831108192
2019/1/30,Wednesday,HPM_to_LPW,2398.0,2645.0,5043.0,16507.0,0.1452717029139153,-1.9291494767600808
2019/1/31,Thursday,HPM_to_LPW,2942.0,3167.0,6109.0,19738.0,0.1490525889147836,-1.90345608957057
2019/2/1,Friday,HPM_to_LPW,3707.0,4013.0,7720.0,26008.0,0.1425330667486927,-1.948181258833009
2019/2/2,Saturday,HPM_to_LPW,3422.0,3525.0,6947.0,24482.0,0.1397761620782615,-1.96771297818332
2019/2/3,Sunday,HPM_to_LPW,3000.0,2932.0,5932.0,23250.0,0.1290322580645161,-2.047692843365256
2019/2/4,Monday,HPM_to_LPW,3527.0,4047.0,7574.0,25966.0,0.1358314719248247,-1.9963403386841472
2019/2/5,Tuesday,HPM_to_LPW,3781.0,4136.0,7917.0,26576.0,0.1422712221553281,-1.950020027962144
2019/2/6,Wednesday,HPM_to_LPW,3255.0,3307.0,6562.0,22058.0,0.1475655091123402,-1.9134830722234224
2019/2/7,Thursday,HPM_to_LPW,3797.0,3913.0,7710.0,25375.0,0.1496354679802955,-1.8995531561122865
2019/2/8,Friday,HPM_to_LPW,4076.0,4064.0,8140.0,25767.0,0.1581868281134784,-1.84397848809172
2019/2/9,Saturday,HPM_to_LPW,3735.0,3547.0,7282.0,24597.0,0.1518477863154043,-1.88487666569737
2019/2/10,Sunday,HPM_to_LPW,3034.0,2756.0,5790.0,20982.0,0.144600133447717,-1.933783046382954
2019/2/11,Monday,HPM_to_LPW,3494.0,3632.0,7126.0,23173.0,0.1507789237474647,-1.891940596123879
2019/2/12,Tuesday,HPM_to_LPW,3180.0,3318.0,6498.0,21285.0,0.1494009866102889,-1.9011214024880303
2019/2/13,Wednesday,HPM_to_LPW,3409.0,3391.0,6800.0,22831.0,0.1493145284919627,-1.9017002684415505
2019/2/14,Thursday,HPM_to_LPW,3840.0,3786.0,7626.0,24850.0,0.1545271629778672,-1.8673853859430023
2019/2/15,Friday,HPM_to_LPW,3744.0,3754.0,7498.0,25038.0,0.1495327102803738,-1.9002401122221253
2019/2/16,Saturday,HPM_to_LPW,3324.0,3084.0,6408.0,22053.0,0.1507277921371242,-1.8922797700668583
2019/2/17,Sunday,HPM_to_LPW,2734.0,2650.0,5384.0,18803.0,0.1454023294155188,-1.92825069327158
2019/2/18,Monday,HPM_to_LPW,3226.0,3047.0,6273.0,21153.0,0.1525079184985581,-1.880538759701996
2019/2/19,Tuesday,HPM_to_LPW,3518.0,3561.0,7079.0,23075.0,0.1524593716143012,-1.8808571340735487
2019/2/20,Wednesday,HPM_to_LPW,3425.0,3634.0,7059.0,23197.0,0.1476484028107083,-1.9129214882519443
2019/2/21,Thursday,HPM_to_LPW,3539.0,3748.0,7287.0,23463.0,0.1508332267825938,-1.891580510924258
2019/2/22,Friday,HPM_to_LPW,3882.0,4002.0,7884.0,25417.0,0.1527324231813353,-1.8790677567406937
2019/2/23,Saturday,HPM_to_LPW,3353.0,3446.0,6799.0,23289.0,0.1439735497445145,-1.938125678607562
2019/2/24,Sunday,HPM_to_LPW,2575.0,2752.0,5327.0,20270.0,0.1270350271336951,-2.0632924263482093
2019/2/25,Monday,HPM_to_LPW,3386.0,3656.0,7042.0,23882.0,0.1417804204003014,-1.95347575340025
2019/2/26,Tuesday,HPM_to_LPW,3370.0,3708.0,7078.0,23039.0,0.1462737097964321,-1.9222756877437148
2019/2/27,Wednesday,HPM_to_LPW,3371.0,3406.0,6777.0,22978.0,0.1467055444338062,-1.9193278001792493
2019/2/28,Thursday,HPM_to_LPW,3491.0,3660.0,7151.0,23498.0,0.1485658353902459,-1.9067270830224825
2019/3/1,Friday,HPM_to_LPW,3890.0,3912.0,7802.0,26793.0,0.1451871757548613,-1.9297315017395045
2019/3/2,Saturday,HPM_to_LPW,3309.0,3312.0,6621.0,24414.0,0.1355369869746866,-1.998510709308133
2019/3/3,Sunday,HPM_to_LPW,2839.0,2749.0,5588.0,21050.0,0.1348693586698337,-2.0034486826375564
2019/3/4,Monday,HPM_to_LPW,3404.0,3358.0,6762.0,23373.0,0.1456381294656227,-1.9266302993057032
2019/3/5,Tuesday,HPM_to_LPW,3404.0,3542.0,6946.0,22681.0,0.1500815660685155,-1.8965763588871711
2019/3/6,Wednesday,HPM_to_LPW,3547.0,3651.0,7198.0,22771.0,0.1557683017873611,-1.859385620755043
2019/3/7,Thursday,HPM_to_LPW,3803.0,3796.0,7599.0,23832.0,0.1595753608593487,-1.835238986464859
2019/3/8,Friday,HPM_to_LPW,4006.0,3766.0,7772.0,25897.0,0.1546897324014364,-1.86633389463721
2019/3/9,Saturday,HPM_to_LPW,3373.0,3259.0,6632.0,22399.0,0.1505870797803473,-1.8932137589278164
2019/3/10,Sunday,HPM_to_LPW,2906.0,2649.0,5555.0,19433.0,0.1495394432151494,-1.900195086734476
2019/3/11,Monday,HPM_to_LPW,3665.0,3486.0,7151.0,23235.0,0.1577361738756186,-1.8468314271983275
2019/3/12,Tuesday,HPM_to_LPW,3568.0,3454.0,7022.0,22247.0,0.1603811749898862,-1.830201953343234
2019/3/13,Wednesday,HPM_to_LPW,3445.0,3734.0,7179.0,21899.0,0.1573131193205169,-1.849517069213832
2019/3/14,Thursday,HPM_to_LPW,3510.0,3807.0,7317.0,21825.0,0.1608247422680412,-1.827440064247892
2019/3/15,Friday,HPM_to_LPW,3772.0,3910.0,7682.0,23668.0,0.1593713030251816,-1.836518560043237
2019/3/16,Saturday,HPM_to_LPW,3342.0,3254.0,6596.0,21799.0,0.1533097848525161,-1.8752946670100767
2019/3/17,Sunday,HPM_to_LPW,2875.0,2765.0,5640.0,19798.0,0.1452166885543994,-1.929528248248302
2019/3/18,Monday,HPM_to_LPW,3408.0,3496.0,6904.0,22423.0,0.1519867992686081,-1.8839616088243245
2019/3/19,Tuesday,HPM_to_LPW,3554.0,3672.0,7226.0,23240.0,0.1529259896729776,-1.8778012022512511
2019/3/20,Wednesday,HPM_to_LPW,3748.0,3578.0,7326.0,22836.0,0.164126817306008,-1.8071158737258373
2019/3/21,Thursday,HPM_to_LPW,3845.0,3622.0,7467.0,22893.0,0.1679552701699209,-1.7840575840179986
2019/3/22,Friday,HPM_to_LPW,4452.0,3668.0,8120.0,25380.0,0.1754137115839243,-1.7406080288729435
2019/3/23,Saturday,HPM_to_LPW,3836.0,3199.0,7035.0,23774.0,0.161352738285522,-1.824162389537241
2019/3/24,Sunday,HPM_to_LPW,3246.0,2712.0,5958.0,20800.0,0.1560576923076923,-1.857529517614873
