Date,Day of Week,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,origin_total_flow_HPM_to_LPW,flow_share_HPM_to_LPW,log_flow_share_HPM_to_LPW
2019/1/1,Tuesday,HPM_to_LPW,5217.0,5128.0,10345.0,37521.0,0.139042136403614,-1.9729782521946235
2019/1/2,Wednesday,HPM_to_LPW,7001.0,7846.0,14847.0,40108.0,0.1745537049965094,-1.7455228196666184
2019/1/3,Thursday,HPM_to_LPW,7927.0,8201.0,16128.0,44772.0,0.1770526221745734,-1.7313082901720025
2019/1/4,Friday,HPM_to_LPW,9323.0,8795.0,18118.0,51792.0,0.1800084955205437,-1.714751231869332
2019/1/5,Saturday,HPM_to_LPW,7641.0,7095.0,14736.0,47969.0,0.159290375033876,-1.837026484268945
2019/1/6,Sunday,HPM_to_LPW,6188.0,6398.0,12586.0,43680.0,0.1416666666666666,-1.9542783987258303
2019/1/7,Monday,HPM_to_LPW,8201.0,7327.0,15528.0,46607.0,0.175960692599824,-1.7374946463885188
2019/1/8,Tuesday,HPM_to_LPW,8947.0,8300.0,17247.0,48769.0,0.1834567040538046,-1.6957765845378363
2019/1/9,Wednesday,HPM_to_LPW,9719.0,9461.0,19180.0,53602.0,0.181317861273833,-1.70750364829213
2019/1/10,Thursday,HPM_to_LPW,9989.0,9932.0,19921.0,56314.0,0.1773804027417693,-1.729458684533706
2019/1/11,Friday,HPM_to_LPW,10285.0,10392.0,20677.0,58519.0,0.1757548830294434,-1.7386649647260155
2019/1/12,Saturday,HPM_to_LPW,8414.0,7949.0,16363.0,54347.0,0.1548199532632896,-1.8654924290833468
2019/1/13,Sunday,HPM_to_LPW,6483.0,6941.0,13424.0,47198.0,0.1373575151489469,-1.98516815261954
2019/1/14,Monday,HPM_to_LPW,9213.0,9172.0,18385.0,53221.0,0.1731083594821593,-1.753837525174818
2019/1/15,Tuesday,HPM_to_LPW,9403.0,9446.0,18849.0,51389.0,0.1829769016715639,-1.6983953544811456
2019/1/16,Wednesday,HPM_to_LPW,10046.0,8946.0,18992.0,53201.0,0.1888310370105825,-1.6669026478355655
2019/1/17,Thursday,HPM_to_LPW,10083.0,8806.0,18889.0,52811.0,0.1909261328132396,-1.655868664936096
2019/1/18,Friday,HPM_to_LPW,10672.0,9584.0,20256.0,58366.0,0.1828461775691327,-1.6991100393406506
2019/1/19,Saturday,HPM_to_LPW,7996.0,6972.0,14968.0,49295.0,0.1622071203976062,-1.818881239388852
2019/1/20,Sunday,HPM_to_LPW,6487.0,5901.0,12388.0,44097.0,0.1471075129827425,-1.9165915786970429
2019/1/21,Monday,HPM_to_LPW,8712.0,7772.0,16484.0,47932.0,0.1817574897771843,-1.705081954189611
2019/1/22,Tuesday,HPM_to_LPW,9910.0,8679.0,18589.0,52702.0,0.1880384046146256,-1.671109057149449
2019/1/23,Wednesday,HPM_to_LPW,8902.0,8705.0,17607.0,50110.0,0.1776491718219916,-1.7279446183779708
2019/1/24,Thursday,HPM_to_LPW,9519.0,9215.0,18734.0,53530.0,0.1778255184008967,-1.7269524431361216
2019/1/25,Friday,HPM_to_LPW,10209.0,9637.0,19846.0,58125.0,0.1756387096774193,-1.7393261797206423
2019/1/26,Saturday,HPM_to_LPW,8077.0,7403.0,15480.0,52696.0,0.153275390921512,-1.875519034878233
2019/1/27,Sunday,HPM_to_LPW,6557.0,6371.0,12928.0,45709.0,0.1434509615174254,-1.9417620337718915
2019/1/28,Monday,HPM_to_LPW,9156.0,8728.0,17884.0,52936.0,0.1729635786610246,-1.7546742346194382
2019/1/29,Tuesday,HPM_to_LPW,8914.0,8317.0,17231.0,49143.0,0.1813890075900942,-1.7071113407662402
2019/1/30,Wednesday,HPM_to_LPW,9004.0,8367.0,17371.0,50011.0,0.1800403911139549,-1.714574058187209
2019/1/31,Thursday,HPM_to_LPW,10257.0,8792.0,19049.0,55247.0,0.1856571397541948,-1.6838536409558298
2019/2/1,Friday,HPM_to_LPW,10312.0,9151.0,19463.0,58252.0,0.1770239648424088,-1.731470160983448
2019/2/2,Saturday,HPM_to_LPW,8329.0,7126.0,15455.0,52757.0,0.1578747843888014,-1.8459530640207191
2019/2/3,Sunday,HPM_to_LPW,6637.0,5562.0,12199.0,45166.0,0.1469468184032236,-1.917684537231325
2019/2/4,Monday,HPM_to_LPW,9184.0,8231.0,17415.0,51554.0,0.1781433060480273,-1.7251669624438355
2019/2/5,Tuesday,HPM_to_LPW,9782.0,8522.0,18304.0,53855.0,0.1816358741063968,-1.705751287685568
2019/2/6,Wednesday,HPM_to_LPW,9526.0,8629.0,18155.0,54311.0,0.1753972491760417,-1.740701882313891
2019/2/7,Thursday,HPM_to_LPW,8914.0,8829.0,17743.0,52616.0,0.1694161471795651,-1.775397181474686
2019/2/8,Friday,HPM_to_LPW,9376.0,9161.0,18537.0,55019.0,0.1704138570312074,-1.7695253472875856
2019/2/9,Saturday,HPM_to_LPW,7833.0,7167.0,15000.0,51992.0,0.1506577935066933,-1.8927442822069465
2019/2/10,Sunday,HPM_to_LPW,6275.0,6111.0,12386.0,45632.0,0.1375131486676016,-1.984035739773984
2019/2/11,Monday,HPM_to_LPW,8454.0,8280.0,16734.0,51795.0,0.1632203880683463,-1.812653917365468
2019/2/12,Tuesday,HPM_to_LPW,9509.0,8575.0,18084.0,55058.0,0.1727087798321769,-1.756148456487251
2019/2/13,Wednesday,HPM_to_LPW,9541.0,8531.0,18072.0,54255.0,0.1758547599299603,-1.7380968523024625
2019/2/14,Thursday,HPM_to_LPW,9941.0,8842.0,18783.0,56657.0,0.1754593430644051,-1.740347926365022
2019/2/15,Friday,HPM_to_LPW,10000.0,9134.0,19134.0,57885.0,0.1727563272004837,-1.7558731906636462
