Date,Day of Week,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,origin_total_flow_HPM_to_LPW,flow_share_HPM_to_LPW,log_flow_share_HPM_to_LPW
2019/1/1,Tuesday,HPM_to_LPW,4336.0,2257.0,6593.0,45675.0,0.0949315818281335,-2.354598838126726
2019/1/2,Wednesday,HPM_to_LPW,6948.0,3889.0,10837.0,57278.0,0.1213031181256328,-2.1094627574628304
2019/1/3,Thursday,HPM_to_LPW,7714.0,4083.0,11797.0,61017.0,0.1264237835357359,-2.068115654085432
2019/1/4,Friday,HPM_to_LPW,8564.0,4184.0,12748.0,67037.0,0.127750346823396,-2.057677335041766
2019/1/5,Saturday,HPM_to_LPW,6214.0,3112.0,9326.0,58284.0,0.1066158808592409,-2.238522802180753
2019/1/6,Sunday,HPM_to_LPW,5510.0,2923.0,8433.0,56966.0,0.0967243619000807,-2.335889975469989
2019/1/7,Monday,HPM_to_LPW,7439.0,3989.0,11428.0,63219.0,0.1176703206314557,-2.1398684576739813
2019/1/8,Tuesday,HPM_to_LPW,8195.0,4428.0,12623.0,66120.0,0.123941318814277,-2.087947060757031
2019/1/9,Wednesday,HPM_to_LPW,9000.0,4779.0,13779.0,71791.0,0.1253639035533702,-2.076534542671803
2019/1/10,Thursday,HPM_to_LPW,9526.0,4854.0,14380.0,73758.0,0.1291520919764635,-2.046764561534591
2019/1/11,Friday,HPM_to_LPW,9485.0,4757.0,14242.0,74862.0,0.1266997942881568,-2.065934815269962
2019/1/12,Saturday,HPM_to_LPW,6869.0,3641.0,10510.0,64366.0,0.1067178323959854,-2.237567008153168
2019/1/13,Sunday,HPM_to_LPW,5846.0,3371.0,9217.0,61612.0,0.0948841134843861,-2.3550989900731576
2019/1/14,Monday,HPM_to_LPW,7599.0,4299.0,11898.0,62453.0,0.1216754999759819,-2.106397614160876
2019/1/15,Tuesday,HPM_to_LPW,7676.0,4421.0,12097.0,63270.0,0.1213213213213213,-2.10931270501334
2019/1/16,Wednesday,HPM_to_LPW,7940.0,4735.0,12675.0,64983.0,0.1221858024406383,-2.1022124219679066
2019/1/17,Thursday,HPM_to_LPW,7517.0,4622.0,12139.0,61979.0,0.1212830152148308,-2.1096284957972617
