Date,Day of Week,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,origin_total_flow_HPM_to_LPW,flow_share_HPM_to_LPW,log_flow_share_HPM_to_LPW
2019/1/1,Tuesday,HPM_to_LPW,869.0,619.0,1488.0,21957.0,0.039577355740766,-3.229498149003946
2019/1/2,Wednesday,HPM_to_LPW,1078.0,888.0,1966.0,26713.0,0.0403548833901096,-3.210042865812018
2019/1/3,Thursday,HPM_to_LPW,1134.0,867.0,2001.0,28571.0,0.0396905953589303,-3.226641012074664
2019/1/4,Friday,HPM_to_LPW,1207.0,966.0,2173.0,30969.0,0.038974458329297,-3.244848762036169
2019/1/5,Saturday,HPM_to_LPW,1024.0,765.0,1789.0,29019.0,0.0352872256108067,-3.344234261251204
2019/1/6,Sunday,HPM_to_LPW,837.0,721.0,1558.0,25365.0,0.0329982259018332,-3.4113014795113163
2019/1/7,Monday,HPM_to_LPW,1144.0,767.0,1911.0,27990.0,0.0408717399071096,-3.197316410569758
2019/1/8,Tuesday,HPM_to_LPW,1131.0,928.0,2059.0,30409.0,0.0371929363017527,-3.2916364200948407
2019/1/9,Wednesday,HPM_to_LPW,1249.0,988.0,2237.0,32697.0,0.0381992231703214,-3.2649400994318447
2019/1/10,Thursday,HPM_to_LPW,1316.0,1028.0,2344.0,34254.0,0.0384188707888129,-3.259206513307054
2019/1/11,Friday,HPM_to_LPW,1294.0,1075.0,2369.0,34870.0,0.0371092629767708,-3.2938886646088528
2019/1/12,Saturday,HPM_to_LPW,1032.0,882.0,1914.0,31025.0,0.0332634971796938,-3.4032946640313
2019/1/13,Sunday,HPM_to_LPW,864.0,727.0,1591.0,27114.0,0.0318654569595043,-3.44623270983528
2019/1/14,Monday,HPM_to_LPW,1265.0,1013.0,2278.0,32620.0,0.0387798896382587,-3.2498534750133854
2019/1/15,Tuesday,HPM_to_LPW,1204.0,1009.0,2213.0,32121.0,0.037483266398929,-3.2838606749576145
2019/1/16,Wednesday,HPM_to_LPW,1237.0,1007.0,2244.0,31980.0,0.0386804252657911,-3.2524216139954576
2019/1/17,Thursday,HPM_to_LPW,1233.0,1089.0,2322.0,31717.0,0.0388750512343538,-3.2474025905581074
2019/1/18,Friday,HPM_to_LPW,1199.0,1020.0,2219.0,31759.0,0.037753077867691,-3.2766882736917644
2019/1/19,Saturday,HPM_to_LPW,996.0,909.0,1905.0,29253.0,0.0340477899702594,-3.3799901539186323
2019/1/20,Sunday,HPM_to_LPW,835.0,800.0,1635.0,24780.0,0.0336965294592413,-3.3903604303322785
2019/1/21,Monday,HPM_to_LPW,1062.0,863.0,1925.0,28010.0,0.0379150303463048,-3.2724076664522723
2019/1/22,Tuesday,HPM_to_LPW,1207.0,1048.0,2255.0,31542.0,0.0382664383995941,-3.263182048949974
2019/1/23,Wednesday,HPM_to_LPW,1156.0,1053.0,2209.0,32213.0,0.0358861329276999,-3.327404327532556
2019/1/24,Thursday,HPM_to_LPW,1202.0,1107.0,2309.0,32716.0,0.0367404328157476,-3.303877418759713
2019/1/25,Friday,HPM_to_LPW,1246.0,1081.0,2327.0,34339.0,0.036285273304406,-3.316343314120944
2019/1/26,Saturday,HPM_to_LPW,828.0,886.0,1714.0,27731.0,0.0298582813457863,-3.5112930456010307
2019/1/27,Sunday,HPM_to_LPW,759.0,791.0,1550.0,24785.0,0.0306233609037724,-3.485992133059046
2019/1/28,Monday,HPM_to_LPW,1126.0,992.0,2118.0,31062.0,0.0362500804841929,-3.3173136774303207
2019/1/29,Tuesday,HPM_to_LPW,1117.0,981.0,2098.0,29554.0,0.0377952223049333,-3.27557257839438
2019/1/30,Wednesday,HPM_to_LPW,1141.0,1002.0,2143.0,30101.0,0.0379057174180259,-3.272653322914397
2019/1/31,Thursday,HPM_to_LPW,1296.0,1013.0,2309.0,33599.0,0.0385725765647787,-3.25521370669142
2019/2/1,Friday,HPM_to_LPW,1286.0,1074.0,2360.0,34483.0,0.0372937389438273,-3.288929823155738
2019/2/2,Saturday,HPM_to_LPW,961.0,861.0,1822.0,31251.0,0.030751015967489,-3.4818322456822672
2019/2/3,Sunday,HPM_to_LPW,931.0,785.0,1716.0,27592.0,0.0337416642505073,-3.389021877339613
2019/2/4,Monday,HPM_to_LPW,1189.0,992.0,2181.0,32135.0,0.0370001555935895,-3.296833161114606
2019/2/5,Tuesday,HPM_to_LPW,1192.0,1070.0,2262.0,33317.0,0.0357775309901851,-3.3304352085875952
2019/2/6,Wednesday,HPM_to_LPW,1184.0,1052.0,2236.0,33434.0,0.0354130525812047,-3.3406748098186267
2019/2/7,Thursday,HPM_to_LPW,1227.0,1046.0,2273.0,32903.0,0.037291432392183,-3.288991673295752
2019/2/8,Friday,HPM_to_LPW,1287.0,1082.0,2369.0,34938.0,0.0368366821226172,-3.3012611334690485
2019/2/9,Saturday,HPM_to_LPW,984.0,875.0,1859.0,32123.0,0.0306322572611524,-3.485701666397895
2019/2/10,Sunday,HPM_to_LPW,777.0,828.0,1605.0,26900.0,0.0288847583643122,-3.5444412152222853
2019/2/11,Monday,HPM_to_LPW,1100.0,983.0,2083.0,31469.0,0.0349550351139216,-3.3536927544722306
2019/2/12,Tuesday,HPM_to_LPW,1265.0,1064.0,2329.0,33843.0,0.0373784829950063,-3.286660061111411
2019/2/13,Wednesday,HPM_to_LPW,1085.0,980.0,2065.0,31628.0,0.0343050461616289,-3.3724628172162587
2019/2/14,Thursday,HPM_to_LPW,1239.0,1022.0,2261.0,34508.0,0.0359047177466094,-3.326886578567329
2019/2/15,Friday,HPM_to_LPW,1282.0,1011.0,2293.0,34751.0,0.0368910247187131,-3.299786990076692
2019/2/16,Saturday,HPM_to_LPW,998.0,841.0,1839.0,30605.0,0.0326090508086913,-3.423165396973709
2019/2/17,Sunday,HPM_to_LPW,969.0,712.0,1681.0,26471.0,0.0366060972384874,-3.307540461234089
