Date,Day of Week,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,origin_total_flow_HPM_to_LPW,flow_share_HPM_to_LPW,log_flow_share_HPM_to_LPW
2019/1/1,Tuesday,HPM_to_LPW,9296.0,4877.0,14173.0,63791.0,0.1457258860967848,-1.926027914459748
2019/1/2,Wednesday,HPM_to_LPW,17210.0,6942.0,24152.0,82746.0,0.207985884514055,-1.5702850644968078
2019/1/3,Thursday,HPM_to_LPW,18637.0,7158.0,25795.0,89181.0,0.2089794911472174,-1.565519160314454
2019/1/4,Friday,HPM_to_LPW,20222.0,7459.0,27681.0,97011.0,0.2084505880776407,-1.5680532534665033
2019/1/5,Saturday,HPM_to_LPW,12386.0,5520.0,17906.0,73370.0,0.168815592203898,-1.778948330210034
2019/1/6,Sunday,HPM_to_LPW,11171.0,5419.0,16590.0,69440.0,0.1608726958525345,-1.827141935763384
2019/1/7,Monday,HPM_to_LPW,16740.0,6266.0,23006.0,81588.0,0.2051772319458744,-1.5838811272709936
2019/1/8,Tuesday,HPM_to_LPW,18649.0,7212.0,25861.0,86955.0,0.2144672531769306,-1.5395982181104966
2019/1/9,Wednesday,HPM_to_LPW,21012.0,7750.0,28762.0,98362.0,0.2136190805392326,-1.5435608475184446
2019/1/10,Thursday,HPM_to_LPW,21325.0,7783.0,29108.0,100321.0,0.2125676578184029,-1.54849495155926
2019/1/11,Friday,HPM_to_LPW,21057.0,7768.0,28825.0,101393.0,0.2076770585740633,-1.5717710088271928
2019/1/12,Saturday,HPM_to_LPW,13835.0,6305.0,20140.0,84201.0,0.1643092124796617,-1.806005184423428
2019/1/13,Sunday,HPM_to_LPW,11275.0,5739.0,17014.0,72262.0,0.1560294483961141,-1.8577105177777864
2019/1/14,Monday,HPM_to_LPW,19788.0,7340.0,27128.0,94003.0,0.2105039200876567,-1.5582510032888897
2019/1/15,Tuesday,HPM_to_LPW,20197.0,7440.0,27637.0,94106.0,0.214619684185918,-1.5388877279877422
2019/1/16,Wednesday,HPM_to_LPW,20679.0,7364.0,28043.0,96171.0,0.21502323985401,-1.5370091643517982
2019/1/17,Thursday,HPM_to_LPW,20049.0,7396.0,27445.0,95111.0,0.2107958070044474,-1.5568653533834986
2019/1/18,Friday,HPM_to_LPW,20514.0,7482.0,27996.0,98473.0,0.2083210626263036,-1.5686748190422255
2019/1/19,Saturday,HPM_to_LPW,12673.0,5723.0,18396.0,77728.0,0.1630429188966653,-1.8137418067198348
2019/1/20,Sunday,HPM_to_LPW,9816.0,4778.0,14594.0,62218.0,0.157767848532579,-1.846630639539108
2019/1/21,Monday,HPM_to_LPW,11389.0,4790.0,16179.0,62395.0,0.1825306514945107,-1.700837166667604
2019/1/22,Tuesday,HPM_to_LPW,18798.0,6986.0,25784.0,88814.0,0.2116558200283739,-1.55279381403101
2019/1/23,Wednesday,HPM_to_LPW,19964.0,7389.0,27353.0,92382.0,0.2161027039899547,-1.532001502868474
2019/1/24,Thursday,HPM_to_LPW,19772.0,7309.0,27081.0,89645.0,0.2205588711026828,-1.5115906306026778
2019/1/25,Friday,HPM_to_LPW,21479.0,7801.0,29280.0,101165.0,0.2123165126278851,-1.5496771336090318
2019/1/26,Saturday,HPM_to_LPW,14282.0,6076.0,20358.0,83253.0,0.1715493735961467,-1.7628841611203887
