Date,Day of Week,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,origin_total_flow_HPM_to_LPW,flow_share_HPM_to_LPW,log_flow_share_HPM_to_LPW
2019/1/1,Tuesday,HPM_to_LPW,3612.0,1654.0,5266.0,20751.0,0.1740639005349139,-1.7483328027318188
2019/1/2,Wednesday,HPM_to_LPW,4633.0,2303.0,6936.0,24119.0,0.1920892242630291,-1.6497953051951926
2019/1/3,Thursday,HPM_to_LPW,5058.0,2503.0,7561.0,26385.0,0.1916998294485503,-1.651824518609858
2019/1/4,Friday,HPM_to_LPW,5573.0,2624.0,8197.0,28622.0,0.1947103626580951,-1.6362421443012851
2019/1/5,Saturday,HPM_to_LPW,3866.0,1813.0,5679.0,22802.0,0.1695465310060521,-1.7746278706253888
2019/1/6,Sunday,HPM_to_LPW,3442.0,1691.0,5133.0,21090.0,0.1632053105737316,-1.812746296701336
2019/1/7,Monday,HPM_to_LPW,4399.0,2085.0,6484.0,23707.0,0.1855570084785084,-1.6843931208145129
2019/1/8,Tuesday,HPM_to_LPW,4954.0,2458.0,7412.0,25278.0,0.1959806946752116,-1.629739121157767
2019/1/9,Wednesday,HPM_to_LPW,5668.0,2646.0,8314.0,28451.0,0.1992197110822115,-1.6133469875110666
2019/1/10,Thursday,HPM_to_LPW,5890.0,2778.0,8668.0,29487.0,0.1997490419506901,-1.6106934905891068
2019/1/11,Friday,HPM_to_LPW,5982.0,2803.0,8785.0,30512.0,0.1960540115364446,-1.6293650886503073
2019/1/12,Saturday,HPM_to_LPW,4580.0,2168.0,6748.0,25498.0,0.1796219311318534,-1.716901019589837
2019/1/13,Sunday,HPM_to_LPW,3547.0,1745.0,5292.0,20889.0,0.1698022882857006,-1.7731205288370346
2019/1/14,Monday,HPM_to_LPW,5459.0,2756.0,8215.0,27376.0,0.1994082407948568,-1.6124010943502172
2019/1/15,Tuesday,HPM_to_LPW,5474.0,2745.0,8219.0,27436.0,0.1995188803032512,-1.6118464090185876
2019/1/16,Wednesday,HPM_to_LPW,5562.0,2671.0,8233.0,27636.0,0.2012592270950933,-1.6031615148147755
2019/1/17,Thursday,HPM_to_LPW,5369.0,2643.0,8012.0,28010.0,0.1916815423063191,-1.651919917831585
2019/1/18,Friday,HPM_to_LPW,5159.0,2584.0,7743.0,26957.0,0.1913788626330823,-1.6535002416255724
2019/1/19,Saturday,HPM_to_LPW,4032.0,2087.0,6119.0,23186.0,0.1738980419218494,-1.749286117479142
2019/1/20,Sunday,HPM_to_LPW,3133.0,1610.0,4743.0,19514.0,0.1605513989955929,-1.829141144715704
2019/1/21,Monday,HPM_to_LPW,3397.0,1913.0,5310.0,19821.0,0.1713838857777105,-1.7638492925374116
2019/1/22,Tuesday,HPM_to_LPW,4924.0,2650.0,7574.0,25540.0,0.1927956147220047,-1.646124642282186
2019/1/23,Wednesday,HPM_to_LPW,5149.0,2728.0,7877.0,26372.0,0.1952449567723343,-1.6335003201870488
2019/1/24,Thursday,HPM_to_LPW,5305.0,2684.0,7989.0,25882.0,0.2049687041186925,-1.584897974333532
2019/1/25,Friday,HPM_to_LPW,5702.0,2804.0,8506.0,28617.0,0.1992521927525596,-1.6131839563407009
2019/1/26,Saturday,HPM_to_LPW,4331.0,2176.0,6507.0,24059.0,0.1800157945051747,-1.7147106846905211
2019/1/27,Sunday,HPM_to_LPW,3541.0,1812.0,5353.0,21184.0,0.1671544561933534,-1.7888370066248316
2019/1/28,Monday,HPM_to_LPW,5182.0,2628.0,7810.0,26167.0,0.1980356938128176,-1.6193079927527
