Date,Day of Week,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,origin_total_flow_HPM_to_LPW,flow_share_HPM_to_LPW,log_flow_share_HPM_to_LPW
2019/1/1,Tuesday,HPM_to_LPW,5688.0,5076.0,10764.0,17674.0,0.3218286748896684,-1.133735940594873
2019/1/2,Wednesday,HPM_to_LPW,8080.0,8181.0,16261.0,21693.0,0.3724703821509242,-0.9875977553279206
2019/1/3,Thursday,HPM_to_LPW,8895.0,8579.0,17474.0,23500.0,0.3785106382978723,-0.9715111000323148
2019/1/4,Friday,HPM_to_LPW,9696.0,8882.0,18578.0,26238.0,0.3695403613080265,-0.99549531233188
2019/1/5,Saturday,HPM_to_LPW,7645.0,7238.0,14883.0,22994.0,0.332478037748978,-1.101181472950523
2019/1/6,Sunday,HPM_to_LPW,6305.0,6113.0,12418.0,20509.0,0.3074260080940075,-1.179520844774713
2019/1/7,Monday,HPM_to_LPW,8520.0,7901.0,16421.0,23712.0,0.3593117408906882,-1.0235649082724525
2019/1/8,Tuesday,HPM_to_LPW,9255.0,9331.0,18586.0,24536.0,0.3772008477339419,-0.9749774807864896
2019/1/9,Wednesday,HPM_to_LPW,10173.0,9682.0,19855.0,27473.0,0.3702908309977068,-0.9934665523799124
2019/1/10,Thursday,HPM_to_LPW,10656.0,10029.0,20685.0,28508.0,0.3737898133857162,-0.9840616358415912
2019/1/11,Friday,HPM_to_LPW,10715.0,10276.0,20991.0,29023.0,0.3691899527960583,-0.9964439901688616
2019/1/12,Saturday,HPM_to_LPW,8983.0,8266.0,17249.0,26252.0,0.3421834526893189,-1.0724082743644068
2019/1/13,Sunday,HPM_to_LPW,7266.0,6822.0,14088.0,23103.0,0.3145046097909362,-1.1567565454262128
2019/1/14,Monday,HPM_to_LPW,9835.0,9575.0,19410.0,27005.0,0.3641918163303092,-1.010074582203832
2019/1/15,Tuesday,HPM_to_LPW,9415.0,9727.0,19142.0,25783.0,0.3651630919598185,-1.0074111979100568
2019/1/16,Wednesday,HPM_to_LPW,9892.0,10015.0,19907.0,26507.0,0.3731844418455502,-0.9856824993946852
2019/1/17,Thursday,HPM_to_LPW,9610.0,9991.0,19601.0,25766.0,0.3729721338197624,-0.986251570387132
2019/1/18,Friday,HPM_to_LPW,10306.0,10344.0,20650.0,28113.0,0.3665919681286237,-1.003505852903764
2019/1/19,Saturday,HPM_to_LPW,8234.0,8380.0,16614.0,24841.0,0.3314681373535686,-1.1042235905562012
2019/1/20,Sunday,HPM_to_LPW,6867.0,6725.0,13592.0,21880.0,0.3138482632541133,-1.1588456479152414
2019/1/21,Monday,HPM_to_LPW,8967.0,8409.0,17376.0,24062.0,0.3726622890865265,-0.9870826606414222
2019/1/22,Tuesday,HPM_to_LPW,9666.0,9837.0,19503.0,26354.0,0.3667754420581316,-1.003005492700168
2019/1/23,Wednesday,HPM_to_LPW,9683.0,9800.0,19483.0,26618.0,0.3637763919152453,-1.0112159080349703
2019/1/24,Thursday,HPM_to_LPW,9764.0,9858.0,19622.0,27163.0,0.3594595589588779,-1.0231536006136612
2019/1/25,Friday,HPM_to_LPW,10372.0,10246.0,20618.0,29150.0,0.3558147512864494,-1.0333450451200834
2019/1/26,Saturday,HPM_to_LPW,8256.0,8176.0,16432.0,25731.0,0.3208581088958843,-1.1367562819371877
2019/1/27,Sunday,HPM_to_LPW,6754.0,6607.0,13361.0,22360.0,0.3020572450805009,-1.1971387263235225
2019/1/28,Monday,HPM_to_LPW,9237.0,9075.0,18312.0,26050.0,0.3545873320537428,-1.036800610588903
2019/1/29,Tuesday,HPM_to_LPW,9008.0,9246.0,18254.0,24913.0,0.3615782924577529,-1.0172766841860346
2019/1/30,Wednesday,HPM_to_LPW,9335.0,9425.0,18760.0,25786.0,0.3620181493833863,-1.01606093199496
2019/1/31,Thursday,HPM_to_LPW,10229.0,9897.0,20126.0,28386.0,0.3603536954836891,-1.0206692424021957
2019/2/1,Friday,HPM_to_LPW,10371.0,9858.0,20229.0,28394.0,0.3652532225117982,-1.0071644056337852
2019/2/2,Saturday,HPM_to_LPW,8498.0,7792.0,16290.0,25518.0,0.3330198291402148,-1.0995532438069315
2019/2/3,Sunday,HPM_to_LPW,6590.0,5774.0,12364.0,21185.0,0.3110691527023838,-1.1677400355641063
2019/2/4,Monday,HPM_to_LPW,9159.0,8879.0,18038.0,25041.0,0.3657601533485084,-1.005777479115859
2019/2/5,Tuesday,HPM_to_LPW,9704.0,9316.0,19020.0,25925.0,0.3743105110896818,-0.982669582473842
2019/2/6,Wednesday,HPM_to_LPW,9743.0,9468.0,19211.0,26279.0,0.370752311731801,-0.9922210626988388
2019/2/7,Thursday,HPM_to_LPW,9647.0,9131.0,18778.0,25692.0,0.3754865327728476,-0.9795326732071294
2019/2/8,Friday,HPM_to_LPW,10081.0,9825.0,19906.0,27930.0,0.3609380594343,-1.019048915885281
2019/2/9,Saturday,HPM_to_LPW,8404.0,8097.0,16501.0,25024.0,0.3358375959079284,-1.0911275813801466
2019/2/10,Sunday,HPM_to_LPW,6662.0,6310.0,12972.0,21898.0,0.3042286966846287,-1.1899755686797453
2019/2/11,Monday,HPM_to_LPW,9255.0,8934.0,18189.0,25375.0,0.3647290640394088,-1.0086004913364908
2019/2/12,Tuesday,HPM_to_LPW,10156.0,9597.0,19753.0,27076.0,0.37509233269316,-0.9805830628039292
2019/2/13,Wednesday,HPM_to_LPW,9787.0,9438.0,19225.0,26319.0,0.3718606330027736,-0.9892361373706742
2019/2/14,Thursday,HPM_to_LPW,9914.0,9309.0,19223.0,27101.0,0.3658167595291686,-1.005622727975475
2019/2/15,Friday,HPM_to_LPW,10173.0,9930.0,20103.0,28103.0,0.3619898231505533,-1.0161391803953148
2019/2/16,Saturday,HPM_to_LPW,8181.0,7530.0,15711.0,24656.0,0.3318056456846204,-1.1032058860461986
2019/2/17,Sunday,HPM_to_LPW,6633.0,6140.0,12773.0,21300.0,0.3114084507042253,-1.1666498821719606
2019/2/18,Monday,HPM_to_LPW,8195.0,8060.0,16255.0,22976.0,0.3566765320334262,-1.0309259806700206
2019/2/19,Tuesday,HPM_to_LPW,9941.0,9614.0,19555.0,26299.0,0.3779991634662915,-0.9728632964171372
2019/2/20,Wednesday,HPM_to_LPW,10180.0,9720.0,19900.0,26836.0,0.379341183484871,-0.9693192585782652
2019/2/21,Thursday,HPM_to_LPW,8983.0,9082.0,18065.0,24601.0,0.3651477582212105,-1.0074531902715462
2019/2/22,Friday,HPM_to_LPW,9969.0,9672.0,19641.0,27827.0,0.3582491824487009,-1.0265264943456829
2019/2/23,Saturday,HPM_to_LPW,8718.0,7763.0,16481.0,25115.0,0.347123233127613,-1.0580754233858072
2019/2/24,Sunday,HPM_to_LPW,7020.0,6092.0,13112.0,22040.0,0.3185117967332123,-1.1440957662469942
2019/2/25,Monday,HPM_to_LPW,9848.0,9247.0,19095.0,26429.0,0.3726209845245752,-0.987193503225594
2019/2/26,Tuesday,HPM_to_LPW,10021.0,9410.0,19431.0,26199.0,0.382495515095996,-0.961038351023514
2019/2/27,Wednesday,HPM_to_LPW,9952.0,9406.0,19358.0,26482.0,0.3758024318404954,-0.9786917209207416
2019/2/28,Thursday,HPM_to_LPW,9916.0,9496.0,19412.0,26674.0,0.3717477693634251,-0.9895396940272588
2019/3/1,Friday,HPM_to_LPW,10461.0,10199.0,20660.0,28721.0,0.3642282650325545,-1.0099745061537386
2019/3/2,Saturday,HPM_to_LPW,8914.0,8316.0,17230.0,26651.0,0.3344715020074293,-1.09520359883566
