Date,Day of Week,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,origin_total_flow_HPM_to_LPW,flow_share_HPM_to_LPW,log_flow_share_HPM_to_LPW
2019/1/1,Tuesday,HPM_to_LPW,983.0,1092.0,2075.0,1961.0,0.5012748597654259,-0.6906007060491797
2019/1/2,Wednesday,HPM_to_LPW,1271.0,1370.0,2641.0,2408.0,0.5278239202657807,-0.6389925352392576
2019/1/3,Thursday,HPM_to_LPW,1516.0,1498.0,3014.0,2760.0,0.5492753623188406,-0.5991553925088787
2019/1/4,Friday,HPM_to_LPW,1600.0,1536.0,3136.0,2960.0,0.5405405405405406,-0.6151856390902334
2019/1/5,Saturday,HPM_to_LPW,1394.0,1338.0,2732.0,2543.0,0.5481714510420763,-0.6011671741016504
2019/1/6,Sunday,HPM_to_LPW,1110.0,1074.0,2184.0,2169.0,0.5117565698478561,-0.6699062165204946
2019/1/7,Monday,HPM_to_LPW,1283.0,1166.0,2449.0,2377.0,0.5397559949516197,-0.6166381027445574
2019/1/8,Tuesday,HPM_to_LPW,1486.0,1361.0,2847.0,2638.0,0.5633055344958302,-0.5739331079995553
2019/1/9,Wednesday,HPM_to_LPW,1523.0,1418.0,2941.0,2754.0,0.5530137981118374,-0.5923723263934383
2019/1/10,Thursday,HPM_to_LPW,1616.0,1549.0,3165.0,2957.0,0.5464998309097058,-0.6042212807714366
2019/1/11,Friday,HPM_to_LPW,1702.0,1690.0,3392.0,3161.0,0.5384372034166403,-0.6190844030822984
2019/1/12,Saturday,HPM_to_LPW,1433.0,1392.0,2825.0,2602.0,0.5507302075326672,-0.5965102312442787
2019/1/13,Sunday,HPM_to_LPW,1182.0,1154.0,2336.0,2208.0,0.5353260869565217,-0.6248792094309424
2019/1/14,Monday,HPM_to_LPW,1507.0,1410.0,2917.0,2833.0,0.5319449346981998,-0.631215301204021
2019/1/15,Tuesday,HPM_to_LPW,1493.0,1401.0,2894.0,2738.0,0.5452885317750182,-0.6064402083092039
2019/1/16,Wednesday,HPM_to_LPW,1599.0,1478.0,3077.0,2887.0,0.5538621406304122,-0.5908394668289809
2019/1/17,Thursday,HPM_to_LPW,1435.0,1416.0,2851.0,2732.0,0.5252562225475842,-0.6438690924969592
2019/1/18,Friday,HPM_to_LPW,1661.0,1596.0,3257.0,3013.0,0.5512777962163956,-0.5955164295170063
2019/1/19,Saturday,HPM_to_LPW,1200.0,1129.0,2329.0,2185.0,0.5491990846681922,-0.5992942717535988
2019/1/20,Sunday,HPM_to_LPW,858.0,828.0,1686.0,1681.0,0.5104104699583581,-0.6725400339206533
