Date,Day of Week,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,origin_total_flow_HPM_to_LPW,flow_share_HPM_to_LPW,log_flow_share_HPM_to_LPW
2019/1/1,Tuesday,HPM_to_LPW,1505.0,1502.0,3007.0,4769.0,0.3155797861186831,-1.1533437411152485
2019/1/2,Wednesday,HPM_to_LPW,1903.0,2110.0,4013.0,6052.0,0.3144415069398546,-1.1569572076120969
2019/1/3,Thursday,HPM_to_LPW,2083.0,2181.0,4264.0,6483.0,0.3213018664198673,-1.1353742039140238
2019/1/4,Friday,HPM_to_LPW,2291.0,2343.0,4634.0,7047.0,0.3251028806584362,-1.123613590873527
2019/1/5,Saturday,HPM_to_LPW,1750.0,2049.0,3799.0,5867.0,0.2982785069030169,-1.2097276420083
2019/1/6,Sunday,HPM_to_LPW,1701.0,1672.0,3373.0,5624.0,0.3024537695590327,-1.195826841094639
2019/1/7,Monday,HPM_to_LPW,2106.0,2050.0,4156.0,6470.0,0.3255023183925811,-1.1223856948010256
2019/1/8,Tuesday,HPM_to_LPW,2261.0,2359.0,4620.0,6933.0,0.3261214481465455,-1.1204854266645206
2019/1/9,Wednesday,HPM_to_LPW,2418.0,2588.0,5006.0,7412.0,0.3262277388019428,-1.1201595562305124
2019/1/10,Thursday,HPM_to_LPW,2554.0,2480.0,5034.0,7568.0,0.3374735729386892,-1.0862680741392297
2019/1/11,Friday,HPM_to_LPW,2540.0,2731.0,5271.0,7762.0,0.3272352486472558,-1.1170759519162696
2019/1/12,Saturday,HPM_to_LPW,1989.0,2227.0,4216.0,6641.0,0.2995030868845053,-1.2056305546867416
2019/1/13,Sunday,HPM_to_LPW,1777.0,1886.0,3663.0,6159.0,0.2885208637765871,-1.242987877532392
2019/1/14,Monday,HPM_to_LPW,2184.0,2232.0,4416.0,6834.0,0.3195785776997366,-1.1407520958104416
2019/1/15,Tuesday,HPM_to_LPW,2102.0,2489.0,4591.0,6822.0,0.308120785693345,-1.177263411541695
2019/1/16,Wednesday,HPM_to_LPW,2331.0,2561.0,4892.0,7269.0,0.3206768468840281,-1.1373213704488785
2019/1/17,Thursday,HPM_to_LPW,2233.0,2350.0,4583.0,6798.0,0.3284789644012945,-1.1132824784159034
2019/1/18,Friday,HPM_to_LPW,2469.0,2539.0,5008.0,7582.0,0.3256396729095225,-1.1219638067311009
2019/1/19,Saturday,HPM_to_LPW,2070.0,2498.0,4568.0,6465.0,0.3201856148491879,-1.1388544049465432
2019/1/20,Sunday,HPM_to_LPW,1843.0,2011.0,3854.0,5976.0,0.3084002677376171,-1.17635676914283
2019/1/21,Monday,HPM_to_LPW,2070.0,2102.0,4172.0,6403.0,0.3232859597063876,-1.1292180232593874
