Date,Day of Week,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,origin_total_flow_HPM_to_LPW,flow_share_HPM_to_LPW,log_flow_share_HPM_to_LPW
2019/1/1,Tuesday,HPM_to_LPW,101.0,21.0,122.0,380.0,0.2657894736842105,-1.325050735879172
2019/1/2,Wednesday,HPM_to_LPW,150.0,18.0,168.0,484.0,0.3099173553719008,-1.1714496126203762
2019/1/3,Thursday,HPM_to_LPW,150.0,24.0,174.0,522.0,0.2873563218390804,-1.2470322937863831
2019/1/4,Friday,HPM_to_LPW,197.0,27.0,224.0,622.0,0.3167202572347267,-1.1497363640011908
2019/1/5,Saturday,HPM_to_LPW,122.0,26.0,148.0,450.0,0.2711111111111111,-1.305226538031109
2019/1/6,Sunday,HPM_to_LPW,102.0,25.0,127.0,341.0,0.2991202346041056,-1.2069096639992456
2019/1/7,Monday,HPM_to_LPW,148.0,26.0,174.0,540.0,0.2740740740740741,-1.294356865794205
2019/1/8,Tuesday,HPM_to_LPW,178.0,31.0,209.0,605.0,0.2942148760330578,-1.2234449077387566
2019/1/9,Wednesday,HPM_to_LPW,198.0,26.0,224.0,636.0,0.3113207547169811,-1.166931532645587
2019/1/10,Thursday,HPM_to_LPW,201.0,39.0,240.0,715.0,0.2811188811188811,-1.268977634634932
2019/1/11,Friday,HPM_to_LPW,210.0,34.0,244.0,688.0,0.3052325581395348,-1.1866813072158753
2019/1/12,Saturday,HPM_to_LPW,133.0,35.0,168.0,516.0,0.2577519379844961,-1.355757637259809
2019/1/13,Sunday,HPM_to_LPW,114.0,29.0,143.0,435.0,0.2620689655172414,-1.3391475826941883
2019/1/14,Monday,HPM_to_LPW,181.0,30.0,211.0,678.0,0.2669616519174041,-1.32065025667457
2019/1/15,Tuesday,HPM_to_LPW,165.0,23.0,188.0,564.0,0.2925531914893617,-1.2291087775974785
2019/1/16,Wednesday,HPM_to_LPW,185.0,26.0,211.0,626.0,0.2955271565495208,-1.2189945460217737
2019/1/17,Thursday,HPM_to_LPW,188.0,33.0,221.0,703.0,0.267425320056899,-1.3189149289807156
2019/1/18,Friday,HPM_to_LPW,208.0,37.0,245.0,703.0,0.2958748221906117,-1.217818812109347
2019/1/19,Saturday,HPM_to_LPW,142.0,26.0,168.0,531.0,0.2674199623352166,-1.318934963640678
2019/1/20,Sunday,HPM_to_LPW,115.0,23.0,138.0,425.0,0.2705882352941176,-1.307157040561167
2019/1/21,Monday,HPM_to_LPW,125.0,31.0,156.0,502.0,0.249003984063745,-1.3902863823894285
2019/1/22,Tuesday,HPM_to_LPW,183.0,37.0,220.0,656.0,0.2789634146341463,-1.2766746361026682
2019/1/23,Wednesday,HPM_to_LPW,181.0,36.0,217.0,654.0,0.2767584097859327,-1.284610320191373
2019/1/24,Thursday,HPM_to_LPW,188.0,30.0,218.0,638.0,0.2946708463949843,-1.2218963205148408
2019/1/25,Friday,HPM_to_LPW,201.0,33.0,234.0,712.0,0.2823033707865168,-1.2647730033529003
2019/1/26,Saturday,HPM_to_LPW,128.0,26.0,154.0,527.0,0.2428842504743833,-1.415170284621745
2019/1/27,Sunday,HPM_to_LPW,100.0,19.0,119.0,429.0,0.2331002331002331,-1.4562867329399256
2019/1/28,Monday,HPM_to_LPW,181.0,27.0,208.0,628.0,0.2882165605095541,-1.244043135202373
2019/1/29,Tuesday,HPM_to_LPW,185.0,21.0,206.0,646.0,0.2863777089783281,-1.2504436787042774
2019/1/30,Wednesday,HPM_to_LPW,193.0,20.0,213.0,674.0,0.2863501483679525,-1.2505399220074216
2019/1/31,Thursday,HPM_to_LPW,206.0,29.0,235.0,731.0,0.2818057455540356,-1.2665372909601973
2019/2/1,Friday,HPM_to_LPW,198.0,37.0,235.0,693.0,0.2857142857142857,-1.252762968495368
2019/2/2,Saturday,HPM_to_LPW,123.0,19.0,142.0,464.0,0.2650862068965517,-1.3277001968538378
2019/2/3,Sunday,HPM_to_LPW,112.0,21.0,133.0,384.0,0.2916666666666667,-1.2321436812926323
2019/2/4,Monday,HPM_to_LPW,168.0,29.0,197.0,581.0,0.2891566265060241,-1.2407867774486523
2019/2/5,Tuesday,HPM_to_LPW,169.0,28.0,197.0,541.0,0.3123844731977819,-1.163520563923408
2019/2/6,Wednesday,HPM_to_LPW,171.0,30.0,201.0,650.0,0.2630769230769231,-1.3353088063870229
2019/2/7,Thursday,HPM_to_LPW,199.0,40.0,239.0,648.0,0.3070987654320987,-1.1805858716277826
2019/2/8,Friday,HPM_to_LPW,185.0,34.0,219.0,636.0,0.2908805031446541,-1.2348427382617972
2019/2/9,Saturday,HPM_to_LPW,119.0,20.0,139.0,428.0,0.2780373831775701,-1.2799997024702674
2019/2/10,Sunday,HPM_to_LPW,95.0,20.0,115.0,404.0,0.2351485148514851,-1.4475379863606097
2019/2/11,Monday,HPM_to_LPW,167.0,24.0,191.0,611.0,0.2733224222585925,-1.2971031467548402
2019/2/12,Tuesday,HPM_to_LPW,199.0,37.0,236.0,700.0,0.2842857142857143,-1.257775510318912
2019/2/13,Wednesday,HPM_to_LPW,157.0,34.0,191.0,537.0,0.292364990689013,-1.2297522891605568
2019/2/14,Thursday,HPM_to_LPW,168.0,25.0,193.0,631.0,0.2662440570522979,-1.3233418831379542
2019/2/15,Friday,HPM_to_LPW,175.0,25.0,200.0,614.0,0.2850162866449511,-1.2552089542236289
2019/2/16,Saturday,HPM_to_LPW,126.0,21.0,147.0,421.0,0.2992874109263658,-1.2063509267309034
2019/2/17,Sunday,HPM_to_LPW,100.0,24.0,124.0,380.0,0.2631578947368421,-1.3350010667323402
2019/2/18,Monday,HPM_to_LPW,113.0,26.0,139.0,405.0,0.2790123456790123,-1.2764992483941988
2019/2/19,Tuesday,HPM_to_LPW,191.0,31.0,222.0,627.0,0.3046251993620414,-1.188673112586291
2019/2/20,Wednesday,HPM_to_LPW,179.0,33.0,212.0,612.0,0.2924836601307189,-1.2293464766715712
2019/2/21,Thursday,HPM_to_LPW,178.0,29.0,207.0,667.0,0.2668665667166416,-1.3210064956235388
2019/2/22,Friday,HPM_to_LPW,183.0,32.0,215.0,645.0,0.2837209302325581,-1.2597641639543515
2019/2/23,Saturday,HPM_to_LPW,128.0,30.0,158.0,466.0,0.2746781115879828,-1.2921553702060289
2019/2/24,Sunday,HPM_to_LPW,109.0,28.0,137.0,427.0,0.2552693208430913,-1.3654361309994811
2019/2/25,Monday,HPM_to_LPW,166.0,30.0,196.0,561.0,0.2959001782531194,-1.2177331171661532
2019/2/26,Tuesday,HPM_to_LPW,175.0,35.0,210.0,576.0,0.3038194444444444,-1.1913216867723773
2019/2/27,Wednesday,HPM_to_LPW,181.0,30.0,211.0,586.0,0.3088737201365187,-1.174822758311187
2019/2/28,Thursday,HPM_to_LPW,201.0,36.0,237.0,671.0,0.2995529061102832,-1.205464228912606
2019/3/1,Friday,HPM_to_LPW,195.0,37.0,232.0,690.0,0.2826086956521739,-1.2636920390275583
2019/3/2,Saturday,HPM_to_LPW,123.0,25.0,148.0,488.0,0.2520491803278688,-1.3781310504807298
2019/3/3,Sunday,HPM_to_LPW,133.0,28.0,161.0,409.0,0.3251833740831296,-1.123366027821048
2019/3/4,Monday,HPM_to_LPW,160.0,37.0,197.0,582.0,0.274914089347079,-1.291296632497611
2019/3/5,Tuesday,HPM_to_LPW,173.0,36.0,209.0,613.0,0.2822185970636215,-1.2650733414384323
2019/3/6,Wednesday,HPM_to_LPW,175.0,35.0,210.0,598.0,0.2926421404682274,-1.2288047800271178
2019/3/7,Thursday,HPM_to_LPW,181.0,39.0,220.0,641.0,0.2823712948517941,-1.2645324256548442
2019/3/8,Friday,HPM_to_LPW,166.0,36.0,202.0,673.0,0.2466567607726597,-1.3997575412881849
2019/3/9,Saturday,HPM_to_LPW,107.0,24.0,131.0,406.0,0.2635467980295566,-1.3335243251398263
2019/3/10,Sunday,HPM_to_LPW,87.0,31.0,118.0,377.0,0.2307692307692307,-1.4663370687934274
2019/3/11,Monday,HPM_to_LPW,159.0,39.0,198.0,611.0,0.2602291325695581,-1.346192756951364
2019/3/12,Tuesday,HPM_to_LPW,155.0,27.0,182.0,575.0,0.2695652173913043,-1.310944923878104
2019/3/13,Wednesday,HPM_to_LPW,164.0,35.0,199.0,629.0,0.2607313195548489,-1.3442648288762424
2019/3/14,Thursday,HPM_to_LPW,152.0,24.0,176.0,566.0,0.2685512367491166,-1.3147135573569066
2019/3/15,Friday,HPM_to_LPW,174.0,33.0,207.0,645.0,0.2697674418604651,-1.3101950175812436
2019/3/16,Saturday,HPM_to_LPW,123.0,28.0,151.0,484.0,0.2541322314049586,-1.3699005513442144
2019/3/17,Sunday,HPM_to_LPW,112.0,26.0,138.0,428.0,0.2616822429906542,-1.3406243242867024
2019/3/18,Monday,HPM_to_LPW,157.0,20.0,177.0,590.0,0.2661016949152542,-1.3238767315514572
2019/3/19,Tuesday,HPM_to_LPW,180.0,32.0,212.0,669.0,0.2690582959641255,-1.3128272092380182
2019/3/20,Wednesday,HPM_to_LPW,151.0,23.0,174.0,592.0,0.2550675675675675,-1.3662267980690816
2019/3/21,Thursday,HPM_to_LPW,170.0,26.0,196.0,618.0,0.2750809061488673,-1.290690020407429
2019/3/22,Friday,HPM_to_LPW,156.0,30.0,186.0,594.0,0.2626262626262626,-1.337023312113108
2019/3/23,Saturday,HPM_to_LPW,110.0,30.0,140.0,483.0,0.2277432712215321,-1.4795362878601563
2019/3/24,Sunday,HPM_to_LPW,93.0,37.0,130.0,381.0,0.2440944881889764,-1.410199881973445
2019/3/25,Monday,HPM_to_LPW,141.0,29.0,170.0,523.0,0.2695984703632887,-1.3108215736867546
2019/3/26,Tuesday,HPM_to_LPW,153.0,20.0,173.0,545.0,0.2807339449541284,-1.270347873270809
2019/3/27,Wednesday,HPM_to_LPW,153.0,22.0,175.0,521.0,0.2936660268714011,-1.2253121203609316
2019/3/28,Thursday,HPM_to_LPW,167.0,22.0,189.0,542.0,0.3081180811808118,-1.1772721890228912
2019/3/29,Friday,HPM_to_LPW,144.0,35.0,179.0,513.0,0.2807017543859649,-1.270462545594769
2019/3/30,Saturday,HPM_to_LPW,120.0,27.0,147.0,439.0,0.2733485193621868,-1.2970076702931252
2019/3/31,Sunday,HPM_to_LPW,89.0,23.0,112.0,364.0,0.2445054945054945,-1.408517497904601
2019/4/1,Monday,HPM_to_LPW,182.0,25.0,207.0,647.0,0.2812982998454404,-1.2683396074241056
