Date,Day of Week,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,origin_total_flow_HPM_to_LPW,flow_share_HPM_to_LPW,log_flow_share_HPM_to_LPW
2019/1/1,Tuesday,HPM_to_LPW,478.0,346.0,824.0,2257.0,0.2117855560478511,-1.55218104432608
2019/1/2,Wednesday,HPM_to_LPW,562.0,402.0,964.0,2551.0,0.2203057624460995,-1.5127388682481206
2019/1/3,Thursday,HPM_to_LPW,712.0,425.0,1137.0,3032.0,0.2348284960422163,-1.4488998353502869
2019/1/4,Friday,HPM_to_LPW,744.0,428.0,1172.0,3184.0,0.2336683417085427,-1.4538525121311818
2019/1/5,Saturday,HPM_to_LPW,614.0,418.0,1032.0,2847.0,0.2156656129258869,-1.534026159130895
2019/1/6,Sunday,HPM_to_LPW,526.0,382.0,908.0,2428.0,0.2166392092257001,-1.5295219394416792
2019/1/7,Monday,HPM_to_LPW,632.0,422.0,1054.0,2767.0,0.2284062161185399,-1.4766295856400686
2019/1/8,Tuesday,HPM_to_LPW,693.0,427.0,1120.0,2804.0,0.2471469329529244,-1.3977722489645774
2019/1/9,Wednesday,HPM_to_LPW,697.0,481.0,1178.0,2974.0,0.234364492266308,-1.4508777162595765
2019/1/10,Thursday,HPM_to_LPW,799.0,501.0,1300.0,3433.0,0.2327410428196912,-1.4578288476914174
2019/1/11,Friday,HPM_to_LPW,692.0,478.0,1170.0,3095.0,0.2235864297253635,-1.4979572295010268
2019/1/12,Saturday,HPM_to_LPW,394.0,336.0,730.0,1959.0,0.2011230219499744,-1.6038385086466074
2019/1/13,Sunday,HPM_to_LPW,442.0,389.0,831.0,2071.0,0.2134234669241912,-1.544476979317886
2019/1/14,Monday,HPM_to_LPW,713.0,536.0,1249.0,3117.0,0.2287455887070901,-1.4751448593530414
2019/1/15,Tuesday,HPM_to_LPW,679.0,521.0,1200.0,2898.0,0.2342995169082125,-1.4511549953219318
