Date,Day of Week,flow_type_HPM_to_LPW,total_od_flow_HPM_to_LPW,total_do_flow_HPM_to_LPW,total_flow_HPM_to_LPW,origin_total_flow_HPM_to_LPW,flow_share_HPM_to_LPW,log_flow_share_HPM_to_LPW
2019/1/1,Tuesday,HPM_to_LPW,1960.0,580.0,2540.0,8157.0,0.2402844182910383,-1.4259319810760178
2019/1/2,Wednesday,HPM_to_LPW,3191.0,719.0,3910.0,10887.0,0.2931018646091669,-1.2272350696029366
2019/1/3,Thursday,HPM_to_LPW,3591.0,792.0,4383.0,12022.0,0.2987023789718849,-1.2083075893730244
2019/1/4,Friday,HPM_to_LPW,3803.0,802.0,4605.0,12478.0,0.3047764064753967,-1.188176864742472
2019/1/5,Saturday,HPM_to_LPW,2496.0,784.0,3280.0,8858.0,0.2817791826597426,-1.2666315549938252
2019/1/6,Sunday,HPM_to_LPW,2185.0,756.0,2941.0,7958.0,0.2745664739884393,-1.2925618834571837
2019/1/7,Monday,HPM_to_LPW,3396.0,745.0,4141.0,11356.0,0.2990489609017259,-1.207147970161624
2019/1/8,Tuesday,HPM_to_LPW,3787.0,779.0,4566.0,12163.0,0.3113541067170928,-1.1668244077166416
2019/1/9,Wednesday,HPM_to_LPW,3932.0,917.0,4849.0,12535.0,0.3136816912644595,-1.1593765293253366
2019/1/10,Thursday,HPM_to_LPW,3925.0,986.0,4911.0,12455.0,0.3151344841429145,-1.154755797479772
2019/1/11,Friday,HPM_to_LPW,4225.0,1050.0,5275.0,13045.0,0.3238788807972403,-1.127385657779555
2019/1/12,Saturday,HPM_to_LPW,2453.0,1031.0,3484.0,8695.0,0.2821161587119034,-1.2654363825298942
2019/1/13,Sunday,HPM_to_LPW,1599.0,744.0,2343.0,5432.0,0.2943667157584683,-1.222928956404578
2019/1/14,Monday,HPM_to_LPW,2103.0,744.0,2847.0,7040.0,0.2987215909090909,-1.2082432734493884
2019/1/15,Tuesday,HPM_to_LPW,3857.0,980.0,4837.0,12043.0,0.3202690359544964,-1.138593899052252
2019/1/16,Wednesday,HPM_to_LPW,4005.0,815.0,4820.0,12705.0,0.3152302243211334,-1.154452036251805
2019/1/17,Thursday,HPM_to_LPW,4028.0,716.0,4744.0,12547.0,0.3210329162349565,-1.136211618321247
2019/1/18,Friday,HPM_to_LPW,3312.0,668.0,3980.0,10459.0,0.3166650731427479,-1.149910615249118
2019/1/19,Saturday,HPM_to_LPW,1855.0,573.0,2428.0,6128.0,0.3027088772845953,-1.1949837363788918
2019/1/20,Sunday,HPM_to_LPW,1527.0,506.0,2033.0,5145.0,0.2967930029154519,-1.2147203430495177
2019/1/21,Monday,HPM_to_LPW,1280.0,443.0,1723.0,4909.0,0.2607455693623956,-1.3442101771443895
2019/1/22,Tuesday,HPM_to_LPW,2291.0,477.0,2768.0,7190.0,0.3186369958275382,-1.143702768261597
2019/1/23,Wednesday,HPM_to_LPW,2207.0,537.0,2744.0,7360.0,0.2998641304347826,-1.2044258054661856
2019/1/24,Thursday,HPM_to_LPW,2282.0,573.0,2855.0,7383.0,0.3090884464309901,-1.1741278086371447
2019/1/25,Friday,HPM_to_LPW,2467.0,621.0,3088.0,7969.0,0.3095746015811269,-1.1725561768683914
2019/1/26,Saturday,HPM_to_LPW,1673.0,593.0,2266.0,5838.0,0.2865707434052758,-1.249769850427236
2019/1/27,Sunday,HPM_to_LPW,1425.0,526.0,1951.0,4987.0,0.2857429316222177,-1.2526627128433718
2019/1/28,Monday,HPM_to_LPW,2239.0,524.0,2763.0,7380.0,0.3033875338753387,-1.1927443009957637
2019/1/29,Tuesday,HPM_to_LPW,2139.0,523.0,2662.0,6816.0,0.3138204225352112,-1.1589343594267465
2019/1/30,Wednesday,HPM_to_LPW,2031.0,465.0,2496.0,6640.0,0.3058734939759036,-1.184583680890095
2019/1/31,Thursday,HPM_to_LPW,2166.0,470.0,2636.0,7077.0,0.3060618906316236,-1.1839679405148489
2019/2/1,Friday,HPM_to_LPW,2184.0,509.0,2693.0,7294.0,0.2994241842610364,-1.20589403450383
2019/2/2,Saturday,HPM_to_LPW,1492.0,536.0,2028.0,5585.0,0.2671441360787824,-1.3199669307395951
2019/2/3,Sunday,HPM_to_LPW,1339.0,454.0,1793.0,5079.0,0.2636345737349872,-1.3331913251100724
2019/2/4,Monday,HPM_to_LPW,2111.0,502.0,2613.0,7256.0,0.2909316427783903,-1.234666943946652
2019/2/5,Tuesday,HPM_to_LPW,2302.0,510.0,2812.0,7830.0,0.2939974457215836,-1.224184199703021
2019/2/6,Wednesday,HPM_to_LPW,2236.0,502.0,2738.0,7224.0,0.3095238095238095,-1.1727202608218317
2019/2/7,Thursday,HPM_to_LPW,2238.0,500.0,2738.0,7166.0,0.3123081216857382,-1.1637650089930287
2019/2/8,Friday,HPM_to_LPW,2280.0,491.0,2771.0,7178.0,0.3176372248537197,-1.146845349759066
2019/2/9,Saturday,HPM_to_LPW,1533.0,526.0,2059.0,5504.0,0.2785247093023256,-1.2782485007413655
2019/2/10,Sunday,HPM_to_LPW,1239.0,463.0,1702.0,4617.0,0.2683560753736192,-1.3154405408778465
2019/2/11,Monday,HPM_to_LPW,1880.0,431.0,2311.0,6159.0,0.3052443578503003,-1.186642649863049
2019/2/12,Tuesday,HPM_to_LPW,2066.0,520.0,2586.0,7064.0,0.2924688561721404,-1.229397092604212
2019/2/13,Wednesday,HPM_to_LPW,2137.0,509.0,2646.0,7002.0,0.3051985147100828,-1.1867928461954635
