Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,origin_total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,log_flow_share_LPW_to_HPM
2019/1/1,Tuesday,LPW_to_HPM,805.0,1468.0,2273.0,16985.0,0.0473947600824256,-3.0492436031761225
2019/1/2,Wednesday,LPW_to_HPM,996.0,1679.0,2675.0,23144.0,0.0430349118562046,-3.1457435890713734
2019/1/3,Thursday,LPW_to_HPM,1026.0,1726.0,2752.0,25179.0,0.0407482425831049,-3.200342567020224
2019/1/4,Friday,LPW_to_HPM,1089.0,1861.0,2950.0,27023.0,0.0402990045516782,-3.2114285112854866
2019/1/5,Saturday,LPW_to_HPM,964.0,1717.0,2681.0,27740.0,0.0347512617159336,-3.3595393992582787
2019/1/6,Sunday,LPW_to_HPM,847.0,1555.0,2402.0,25002.0,0.0338772898168146,-3.385010405998456
2019/1/7,Monday,LPW_to_HPM,976.0,1673.0,2649.0,21793.0,0.0447850227137154,-3.105881509882719
2019/1/8,Tuesday,LPW_to_HPM,1143.0,1711.0,2854.0,28579.0,0.0399944014836068,-3.219015797573753
2019/1/9,Wednesday,LPW_to_HPM,1243.0,1959.0,3202.0,29990.0,0.0414471490496832,-3.1833361802323443
2019/1/10,Thursday,LPW_to_HPM,1451.0,2036.0,3487.0,29973.0,0.0484102358789577,-3.028044002516941
2019/1/11,Friday,LPW_to_HPM,1362.0,2194.0,3556.0,33147.0,0.041089691374785,-3.1919980070718283
2019/1/12,Saturday,LPW_to_HPM,1157.0,1822.0,2979.0,29646.0,0.0390271874789178,-3.243496760880131
2019/1/13,Sunday,LPW_to_HPM,1160.0,1564.0,2724.0,24675.0,0.0470111448834853,-3.057370580201272
2019/1/14,Monday,LPW_to_HPM,1400.0,1782.0,3182.0,28115.0,0.0497954828383425,-2.9998310051229526
2019/1/15,Tuesday,LPW_to_HPM,1439.0,1932.0,3371.0,29289.0,0.0491310730991157,-3.0132635910064134
2019/1/16,Wednesday,LPW_to_HPM,1289.0,1913.0,3202.0,29671.0,0.0434430925819824,-3.136303413855904
2019/1/17,Thursday,LPW_to_HPM,1422.0,1948.0,3370.0,29355.0,0.0484414920797138,-3.027398558135101
2019/1/18,Friday,LPW_to_HPM,1198.0,2227.0,3425.0,32285.0,0.0371070156419389,-3.293949226385175
2019/1/19,Saturday,LPW_to_HPM,974.0,1818.0,2792.0,27174.0,0.035843085302127,-3.3286046091417347
2019/1/20,Sunday,LPW_to_HPM,829.0,1609.0,2438.0,23543.0,0.035212164974727,-3.346363660209658
2019/1/21,Monday,LPW_to_HPM,893.0,1699.0,2592.0,24185.0,0.0369237130452759,-3.298901304380588
2019/1/22,Tuesday,LPW_to_HPM,1188.0,1785.0,2973.0,28452.0,0.041754533951919,-3.175947235930816
2019/1/23,Wednesday,LPW_to_HPM,1219.0,1729.0,2948.0,28896.0,0.0421857696566998,-3.1656723267354425
2019/1/24,Thursday,LPW_to_HPM,1293.0,1898.0,3191.0,29292.0,0.044141745186399,-3.1203493414091032
2019/1/25,Friday,LPW_to_HPM,1250.0,1987.0,3237.0,32482.0,0.0384828520411304,-3.257542538438204
2019/1/26,Saturday,LPW_to_HPM,1158.0,1743.0,2901.0,30432.0,0.0380520504731861,-3.2688003072121767
2019/1/27,Sunday,LPW_to_HPM,956.0,1443.0,2399.0,24774.0,0.0385888431420037,-3.2547920820627443
2019/1/28,Monday,LPW_to_HPM,1379.0,1821.0,3200.0,30651.0,0.0449903755179276,-3.101306689466232
2019/1/29,Tuesday,LPW_to_HPM,909.0,1469.0,2378.0,19822.0,0.0458581374230652,-3.0822026167891767
2019/1/30,Wednesday,LPW_to_HPM,1393.0,1712.0,3105.0,28163.0,0.0494620601498419,-3.006549364908731
2019/1/31,Thursday,LPW_to_HPM,1597.0,1928.0,3525.0,30253.0,0.0527881532410008,-2.941468483880324
2019/2/1,Friday,LPW_to_HPM,1713.0,2178.0,3891.0,33030.0,0.0518619436875567,-2.9591700200607165
2019/2/2,Saturday,LPW_to_HPM,2246.0,2049.0,4295.0,32008.0,0.0701699575106223,-2.656835015238684
2019/2/3,Sunday,LPW_to_HPM,1541.0,1719.0,3260.0,25346.0,0.0607985480943738,-2.800189370321895
2019/2/4,Monday,LPW_to_HPM,1254.0,1873.0,3127.0,28116.0,0.0446009389671361,-3.110000367102931
2019/2/5,Tuesday,LPW_to_HPM,1257.0,1882.0,3139.0,29549.0,0.0425395106433381,-3.1573219727238344
2019/2/6,Wednesday,LPW_to_HPM,1218.0,1900.0,3118.0,29607.0,0.0411389198500354,-3.190800650570276
2019/2/7,Thursday,LPW_to_HPM,1337.0,2139.0,3476.0,30612.0,0.0436756827387952,-3.1309637908278694
2019/2/8,Friday,LPW_to_HPM,1179.0,2135.0,3314.0,32497.0,0.03628027202511,-3.316481155827533
2019/2/9,Saturday,LPW_to_HPM,1072.0,1988.0,3060.0,30072.0,0.0356477786645384,-3.334068443613268
2019/2/10,Sunday,LPW_to_HPM,743.0,1605.0,2348.0,23941.0,0.0310346267908608,-3.4726517046162217
2019/2/11,Monday,LPW_to_HPM,1126.0,1739.0,2865.0,28003.0,0.0402099775024104,-3.2136401175754634
2019/2/12,Tuesday,LPW_to_HPM,1292.0,1945.0,3237.0,29036.0,0.0444964871194379,-3.112345034062185
2019/2/13,Wednesday,LPW_to_HPM,1235.0,1986.0,3221.0,31226.0,0.0395503746877602,-3.230180111039388
2019/2/14,Thursday,LPW_to_HPM,1338.0,2137.0,3475.0,31822.0,0.0420463830054679,-3.1689819127796284
2019/2/15,Friday,LPW_to_HPM,1179.0,2183.0,3362.0,28316.0,0.0416372368978669,-3.178760394356709
2019/2/16,Saturday,LPW_to_HPM,854.0,1931.0,2785.0,25486.0,0.0335085929529938,-3.3959533669836546
2019/2/17,Sunday,LPW_to_HPM,811.0,1595.0,2406.0,20990.0,0.038637446403049,-3.253533358699268
2019/2/18,Monday,LPW_to_HPM,1023.0,1857.0,2880.0,25115.0,0.0407326299024487,-3.20072579023252
2019/2/19,Tuesday,LPW_to_HPM,1167.0,1718.0,2885.0,26785.0,0.0435691618443158,-3.133405676028506
2019/2/20,Wednesday,LPW_to_HPM,1212.0,1842.0,3054.0,28993.0,0.0418031938743834,-3.174782533892334
2019/2/21,Thursday,LPW_to_HPM,1248.0,1871.0,3119.0,29311.0,0.0425778717887482,-3.1564206022420067
2019/2/22,Friday,LPW_to_HPM,1259.0,2131.0,3390.0,31798.0,0.03959368513743,-3.229085639664308
2019/2/23,Saturday,LPW_to_HPM,1276.0,2068.0,3344.0,29192.0,0.0437106056453822,-3.1301645142115504
2019/2/24,Sunday,LPW_to_HPM,1026.0,1741.0,2767.0,24281.0,0.0422552613154318,-3.164026404756043
2019/2/25,Monday,LPW_to_HPM,1241.0,1836.0,3077.0,29028.0,0.0427518258233429,-3.1523433751934222
2019/2/26,Tuesday,LPW_to_HPM,1272.0,1838.0,3110.0,30839.0,0.0412464736210642,-3.1881896578299536
2019/2/27,Wednesday,LPW_to_HPM,1234.0,1952.0,3186.0,30528.0,0.0404219077568134,-3.2083833697826805
2019/2/28,Thursday,LPW_to_HPM,1179.0,1882.0,3061.0,29870.0,0.0394710411784399,-3.2321880106727847
2019/3/1,Friday,LPW_to_HPM,1239.0,2260.0,3499.0,32303.0,0.0383555706900287,-3.2608555025255628
2019/3/2,Saturday,LPW_to_HPM,973.0,2050.0,3023.0,28428.0,0.0342268186295201,-3.374745771760783
2019/3/3,Sunday,LPW_to_HPM,771.0,1524.0,2295.0,22093.0,0.0348979314715068,-3.355327721687699
2019/3/4,Monday,LPW_to_HPM,1115.0,1833.0,2948.0,26581.0,0.0419472555584816,-3.171342269937703
2019/3/5,Tuesday,LPW_to_HPM,1231.0,1874.0,3105.0,27865.0,0.0441772833303427,-3.119544573819184
2019/3/6,Wednesday,LPW_to_HPM,1313.0,1776.0,3089.0,27902.0,0.0470575585979499,-3.0563837755252585
2019/3/7,Thursday,LPW_to_HPM,1258.0,1999.0,3257.0,28341.0,0.0443879891323524,-3.1147863611768587
2019/3/8,Friday,LPW_to_HPM,1254.0,2202.0,3456.0,30277.0,0.0414175776992436,-3.184049906153013
2019/3/9,Saturday,LPW_to_HPM,1052.0,2017.0,3069.0,27860.0,0.0377602297200287,-3.276498854036142
2019/3/10,Sunday,LPW_to_HPM,1547.0,1698.0,3245.0,25177.0,0.0614449696151249,-2.789613307750949
2019/3/11,Monday,LPW_to_HPM,1201.0,1857.0,3058.0,28282.0,0.0424651721943285,-3.15907101678774
2019/3/12,Tuesday,LPW_to_HPM,1385.0,1997.0,3382.0,29699.0,0.0466345668204316,-3.065413235568835
2019/3/13,Wednesday,LPW_to_HPM,1522.0,2006.0,3528.0,31138.0,0.0488791829918427,-3.01840367882799
2019/3/14,Thursday,LPW_to_HPM,1303.0,1929.0,3232.0,31304.0,0.0416240736008177,-3.1790765867654054
2019/3/15,Friday,LPW_to_HPM,1302.0,2215.0,3517.0,33397.0,0.0389855376231398,-3.2445645318029057
2019/3/16,Saturday,LPW_to_HPM,979.0,1923.0,2902.0,31144.0,0.0314346262522476,-3.459845246759782
2019/3/17,Sunday,LPW_to_HPM,1312.0,1659.0,2971.0,26545.0,0.0494255038613674,-3.00728871551374
2019/3/18,Monday,LPW_to_HPM,1114.0,1709.0,2823.0,29477.0,0.0377921769515215,-3.2756531567300127
2019/3/19,Tuesday,LPW_to_HPM,1218.0,1890.0,3108.0,31041.0,0.0392384265970812,-3.23809874200322
2019/3/20,Wednesday,LPW_to_HPM,1377.0,2062.0,3439.0,31889.0,0.0431810342124243,-3.1423539029913723
