Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,origin_total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,log_flow_share_LPW_to_HPM
2019/1/1,Tuesday,LPW_to_HPM,270.0,570.0,840.0,6301.0,0.04285034121568,-3.150041670943682
2019/1/2,Wednesday,LPW_to_HPM,328.0,872.0,1200.0,8529.0,0.0384570289600187,-3.2582137919349674
2019/1/3,Thursday,LPW_to_HPM,423.0,997.0,1420.0,9174.0,0.0461085676913015,-3.07675649611084
2019/1/4,Friday,LPW_to_HPM,385.0,1127.0,1512.0,9630.0,0.0399792315680166,-3.2193951705043875
2019/1/5,Saturday,LPW_to_HPM,265.0,737.0,1002.0,7948.0,0.0333417211877201,-3.400945777685488
2019/1/6,Sunday,LPW_to_HPM,294.0,687.0,981.0,7327.0,0.0401255629862153,-3.215741666821284
2019/1/7,Monday,LPW_to_HPM,379.0,954.0,1333.0,8328.0,0.0455091258405379,-3.08984240521238
2019/1/8,Tuesday,LPW_to_HPM,394.0,1081.0,1475.0,9130.0,0.0431544359255202,-3.142970064291082
2019/1/9,Wednesday,LPW_to_HPM,435.0,1251.0,1686.0,10155.0,0.0428360413589364,-3.150375442925803
2019/1/10,Thursday,LPW_to_HPM,473.0,1296.0,1769.0,10508.0,0.0450133231823372,-3.100796762313499
2019/1/11,Friday,LPW_to_HPM,445.0,1204.0,1649.0,10689.0,0.0416315838712695,-3.1788961721077063
2019/1/12,Saturday,LPW_to_HPM,343.0,769.0,1112.0,8979.0,0.0382002450161487,-3.264913349354871
2019/1/13,Sunday,LPW_to_HPM,312.0,688.0,1000.0,7572.0,0.0412044374009508,-3.189209324519733
2019/1/14,Monday,LPW_to_HPM,427.0,1130.0,1557.0,10026.0,0.042589267903451,-3.156152984594825
2019/1/15,Tuesday,LPW_to_HPM,423.0,1104.0,1527.0,10023.0,0.0422029332535169,-3.1652655519785884
2019/1/16,Wednesday,LPW_to_HPM,440.0,1185.0,1625.0,10223.0,0.04304020346278,-3.145620635844707
