Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,origin_total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,log_flow_share_LPW_to_HPM
2019/1/1,Tuesday,LPW_to_HPM,2836.0,5727.0,8563.0,86155.0,0.0329174162846033,-3.4137533909251827
2019/1/2,Wednesday,LPW_to_HPM,3975.0,8196.0,12171.0,115083.0,0.0345402883136518,-3.365628859058958
2019/1/3,Thursday,LPW_to_HPM,4028.0,8801.0,12829.0,120521.0,0.0334215613876419,-3.3985540367493927
2019/1/4,Friday,LPW_to_HPM,4400.0,9740.0,14140.0,130579.0,0.0336960767045237,-3.3903738666643446
2019/1/5,Saturday,LPW_to_HPM,3823.0,8192.0,12015.0,129373.0,0.0295502152690283,-3.5216642502486697
2019/1/6,Sunday,LPW_to_HPM,3447.0,6342.0,9789.0,108046.0,0.0319030783184939,-3.4450527748347204
2019/1/7,Monday,LPW_to_HPM,4050.0,8416.0,12466.0,111181.0,0.0364270873620492,-3.3124426227898853
2019/1/8,Tuesday,LPW_to_HPM,4280.0,9151.0,13431.0,132305.0,0.0323494954839197,-3.431156853708008
2019/1/9,Wednesday,LPW_to_HPM,4777.0,10111.0,14888.0,142713.0,0.0334727740289952,-3.3970228861358267
2019/1/10,Thursday,LPW_to_HPM,4597.0,10298.0,14895.0,142539.0,0.0322508225818898,-3.434211729650451
2019/1/11,Friday,LPW_to_HPM,4881.0,10942.0,15823.0,154764.0,0.0315383422501356,-3.456551259065247
2019/1/12,Saturday,LPW_to_HPM,4118.0,8100.0,12218.0,131889.0,0.0312232255912168,-3.466593051127481
2019/1/13,Sunday,LPW_to_HPM,3423.0,6968.0,10391.0,116545.0,0.0293706293706293,-3.527760104970587
2019/1/14,Monday,LPW_to_HPM,4391.0,9889.0,14280.0,138331.0,0.0317427040938039,-3.4500923723708743
2019/1/15,Tuesday,LPW_to_HPM,4372.0,9550.0,13922.0,139963.0,0.0312368268756742,-3.4661575316511053
2019/1/16,Wednesday,LPW_to_HPM,4780.0,9629.0,14409.0,142126.0,0.0336321292374372,-3.392273441602389
2019/1/17,Thursday,LPW_to_HPM,5009.0,9650.0,14659.0,145687.0,0.0343819283807065,-3.3702241904111774
2019/1/18,Friday,LPW_to_HPM,4863.0,10126.0,14989.0,152602.0,0.0318672101283076,-3.446177693502719
2019/1/19,Saturday,LPW_to_HPM,3655.0,6419.0,10074.0,108314.0,0.0337444836309249,-3.388938322995269
2019/1/20,Sunday,LPW_to_HPM,3611.0,5923.0,9534.0,110351.0,0.0327228570651829,-3.41968145244158
2019/1/21,Monday,LPW_to_HPM,3911.0,7569.0,11480.0,117552.0,0.0332703824690349,-3.403087693104547
2019/1/22,Tuesday,LPW_to_HPM,4858.0,8763.0,13621.0,129988.0,0.0373726805551281,-3.2868153079226783
2019/1/23,Wednesday,LPW_to_HPM,4613.0,8932.0,13545.0,136744.0,0.0337345697068975,-3.389232160078285
2019/1/24,Thursday,LPW_to_HPM,4640.0,9473.0,14113.0,145509.0,0.0318880619068236,-3.4455235741305046
2019/1/25,Friday,LPW_to_HPM,4599.0,8693.0,13292.0,141776.0,0.0324384945265771,-3.428409458747161
2019/1/26,Saturday,LPW_to_HPM,3878.0,7459.0,11337.0,134098.0,0.0289191486823069,-3.5432513191128545
2019/1/27,Sunday,LPW_to_HPM,3491.0,5738.0,9229.0,111705.0,0.0312519582829774,-3.4656732397078223
2019/1/28,Monday,LPW_to_HPM,3920.0,7940.0,11860.0,118441.0,0.0330966472758588,-3.408323292488928
2019/1/29,Tuesday,LPW_to_HPM,4145.0,8019.0,12164.0,131533.0,0.0315130043411159,-3.457354982118076
2019/1/30,Wednesday,LPW_to_HPM,2299.0,3476.0,5775.0,56172.0,0.0409278644164352,-3.19594416632489
2019/1/31,Thursday,LPW_to_HPM,3570.0,6153.0,9723.0,98236.0,0.0363410562319312,-3.3148071511659647
2019/2/1,Friday,LPW_to_HPM,4596.0,9054.0,13650.0,145745.0,0.0315345294864317,-3.4566721593383303
2019/2/2,Saturday,LPW_to_HPM,4247.0,7899.0,12146.0,141774.0,0.0299561273576255,-3.508021389114353
2019/2/3,Sunday,LPW_to_HPM,3408.0,6042.0,9450.0,115322.0,0.0295520369053606,-3.521602606698184
2019/2/4,Monday,LPW_to_HPM,4267.0,8901.0,13168.0,138045.0,0.030910210438625,-3.4766687147530697
2019/2/5,Tuesday,LPW_to_HPM,4466.0,9045.0,13511.0,137690.0,0.0324351804778851,-3.428511628038315
2019/2/6,Wednesday,LPW_to_HPM,4433.0,9115.0,13548.0,140613.0,0.0315262457951967,-3.45693488022134
2019/2/7,Thursday,LPW_to_HPM,4710.0,8997.0,13707.0,142446.0,0.0330651615348974,-3.409275072493261
2019/2/8,Friday,LPW_to_HPM,4751.0,9186.0,13937.0,148707.0,0.0319487313979839,-3.443622804800291
2019/2/9,Saturday,LPW_to_HPM,4187.0,7860.0,12047.0,143999.0,0.0290765908096584,-3.537821868070437
2019/2/10,Sunday,LPW_to_HPM,3469.0,5847.0,9316.0,115507.0,0.030032811864216,-3.505464766198369
2019/2/11,Monday,LPW_to_HPM,4472.0,8699.0,13171.0,135199.0,0.0330771677305305,-3.408912031279009
2019/2/12,Tuesday,LPW_to_HPM,4435.0,9273.0,13708.0,141025.0,0.0314483247651125,-3.459409563864499
2019/2/13,Wednesday,LPW_to_HPM,4688.0,9346.0,14034.0,147613.0,0.0317587204379018,-3.449587931893967
2019/2/14,Thursday,LPW_to_HPM,4949.0,10051.0,15000.0,149877.0,0.0330204100695903,-3.410629421742607
2019/2/15,Friday,LPW_to_HPM,4688.0,9766.0,14454.0,146497.0,0.0320006553035215,-3.44199889815704
2019/2/16,Saturday,LPW_to_HPM,4216.0,8013.0,12229.0,134006.0,0.0314612778532304,-3.4589977638288345
2019/2/17,Sunday,LPW_to_HPM,3108.0,5873.0,8981.0,102799.0,0.0302337571377153,-3.498796192841892
2019/2/18,Monday,LPW_to_HPM,4103.0,7789.0,11892.0,121334.0,0.0338157482651194,-3.3868286599989825
2019/2/19,Tuesday,LPW_to_HPM,4703.0,9435.0,14138.0,144519.0,0.0325424338668271,-3.4252103838350774
2019/2/20,Wednesday,LPW_to_HPM,4464.0,9518.0,13982.0,142982.0,0.0312207130967534,-3.466673523132212
2019/2/21,Thursday,LPW_to_HPM,4778.0,9435.0,14213.0,146122.0,0.0326987038228329,-3.4204198403100303
2019/2/22,Friday,LPW_to_HPM,5044.0,10060.0,15104.0,156145.0,0.0323033078228569,-3.4325856446206338
2019/2/23,Saturday,LPW_to_HPM,4214.0,7963.0,12177.0,139158.0,0.0302821253539142,-3.497197662852507
2019/2/24,Sunday,LPW_to_HPM,3442.0,6149.0,9591.0,109847.0,0.0313344925214161,-3.4630357907002107
2019/2/25,Monday,LPW_to_HPM,4558.0,8815.0,13373.0,135531.0,0.0336306822793309,-3.39231646561741
2019/2/26,Tuesday,LPW_to_HPM,4463.0,8850.0,13313.0,138955.0,0.0321183116836385,-3.4383289540609345
2019/2/27,Wednesday,LPW_to_HPM,4412.0,9168.0,13580.0,141673.0,0.0311421371750439,-3.469193483748127
2019/2/28,Thursday,LPW_to_HPM,4528.0,9084.0,13612.0,143069.0,0.0316490644374392,-3.4530466904674184
2019/3/1,Friday,LPW_to_HPM,5005.0,9935.0,14940.0,155345.0,0.0322186101902217,-3.43521103716608
2019/3/2,Saturday,LPW_to_HPM,4405.0,8423.0,12828.0,143172.0,0.0307671891151901,-3.481306445293521
2019/3/3,Sunday,LPW_to_HPM,3629.0,6633.0,10262.0,116625.0,0.0311168274383708,-3.470006530936576
2019/3/4,Monday,LPW_to_HPM,4177.0,8771.0,12948.0,132212.0,0.0315931988019241,-3.4548134093413068
2019/3/5,Tuesday,LPW_to_HPM,4411.0,8741.0,13152.0,137893.0,0.0319885708484114,-3.442376600966731
2019/3/6,Wednesday,LPW_to_HPM,4652.0,8912.0,13564.0,141111.0,0.0329669550920906,-3.4122495800581154
2019/3/7,Thursday,LPW_to_HPM,4910.0,9484.0,14394.0,145007.0,0.0338604343238602,-3.385508075310973
2019/3/8,Friday,LPW_to_HPM,4891.0,9816.0,14707.0,156324.0,0.0312875822010695,-3.4645339949462093
2019/3/9,Saturday,LPW_to_HPM,3855.0,7964.0,11819.0,139221.0,0.0276897881785075,-3.5866915915754563
2019/3/10,Sunday,LPW_to_HPM,3296.0,6219.0,9515.0,115344.0,0.028575391871272,-3.5552093556149984
2019/3/11,Monday,LPW_to_HPM,4616.0,9021.0,13637.0,140701.0,0.0328071584423707,-3.4171085422098284
2019/3/12,Tuesday,LPW_to_HPM,4648.0,8903.0,13551.0,139175.0,0.0333968025866714,-3.399295114519963
2019/3/13,Wednesday,LPW_to_HPM,4507.0,9060.0,13567.0,145225.0,0.0310346014804613,-3.472652520170086
2019/3/14,Thursday,LPW_to_HPM,4748.0,9391.0,14139.0,149969.0,0.0316598763744507,-3.452705129323669
2019/3/15,Friday,LPW_to_HPM,4968.0,10126.0,15094.0,161250.0,0.0308093023255813,-3.4799386110447075
