Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,origin_total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,log_flow_share_LPW_to_HPM
2019/1/1,Tuesday,LPW_to_HPM,1317.0,1996.0,3313.0,24138.0,0.054561272682078,-2.908430939434563
2019/1/2,Wednesday,LPW_to_HPM,1714.0,3085.0,4799.0,29878.0,0.0573666242720396,-2.858292603444538
2019/1/3,Thursday,LPW_to_HPM,1811.0,3478.0,5289.0,32625.0,0.0555095785440613,-2.891199686741581
2019/1/4,Friday,LPW_to_HPM,2016.0,4170.0,6186.0,38067.0,0.0529592560485459,-2.938232414873766
2019/1/5,Saturday,LPW_to_HPM,1708.0,3577.0,5285.0,34580.0,0.0493927125506072,-3.0079523848887684
2019/1/6,Sunday,LPW_to_HPM,1726.0,3246.0,4972.0,32231.0,0.0535509292296236,-2.9271221296782683
2019/1/7,Monday,LPW_to_HPM,1871.0,3841.0,5712.0,31361.0,0.0596600873696629,-2.8190920354369537
2019/1/8,Tuesday,LPW_to_HPM,2168.0,4182.0,6350.0,38608.0,0.0561541649399088,-2.8796544253052767
2019/1/9,Wednesday,LPW_to_HPM,2357.0,4346.0,6703.0,41258.0,0.0571283145087013,-2.862455409416823
2019/1/10,Thursday,LPW_to_HPM,2206.0,4330.0,6536.0,40787.0,0.0540858606909064,-2.9171824823553134
2019/1/11,Friday,LPW_to_HPM,2325.0,4351.0,6676.0,43794.0,0.0530894643101794,-2.935776782658232
2019/1/12,Saturday,LPW_to_HPM,1815.0,3532.0,5347.0,39461.0,0.0459947796558627,-3.079227374675152
2019/1/13,Sunday,LPW_to_HPM,1725.0,2942.0,4667.0,32694.0,0.0527619746742521,-2.9419645243456944
2019/1/14,Monday,LPW_to_HPM,2072.0,4079.0,6151.0,38995.0,0.0531350173099115,-2.934919108385225
2019/1/15,Tuesday,LPW_to_HPM,2513.0,3970.0,6483.0,40354.0,0.0622738761956683,-2.7762132638310315
2019/1/16,Wednesday,LPW_to_HPM,2592.0,4490.0,7082.0,41113.0,0.0630457519519373,-2.7638945947024864
2019/1/17,Thursday,LPW_to_HPM,2729.0,4643.0,7372.0,41860.0,0.0651935021500238,-2.7303954752916537
2019/1/18,Friday,LPW_to_HPM,2901.0,4781.0,7682.0,44898.0,0.064613123078979,-2.73933774518701
2019/1/19,Saturday,LPW_to_HPM,2397.0,3464.0,5861.0,37495.0,0.0639285238031737,-2.749989635301106
2019/1/20,Sunday,LPW_to_HPM,2341.0,3140.0,5481.0,32941.0,0.0710664521417079,-2.6441398940069987
2019/1/21,Monday,LPW_to_HPM,2558.0,3834.0,6392.0,35873.0,0.0713071111978368,-2.640759220240174
2019/1/22,Tuesday,LPW_to_HPM,2831.0,4643.0,7474.0,39626.0,0.0714429919749659,-2.6388554623423053
2019/1/23,Wednesday,LPW_to_HPM,2743.0,4517.0,7260.0,40560.0,0.0676282051282051,-2.693730147327462
2019/1/24,Thursday,LPW_to_HPM,2617.0,4512.0,7129.0,41625.0,0.0628708708708708,-2.7666723247526
2019/1/25,Friday,LPW_to_HPM,2567.0,4781.0,7348.0,45321.0,0.0566404095231791,-2.8710325993406944
2019/1/26,Saturday,LPW_to_HPM,2235.0,3799.0,6034.0,41591.0,0.0537375874588252,-2.923642569641635
2019/1/27,Sunday,LPW_to_HPM,2139.0,3324.0,5463.0,34942.0,0.0612157289222139,-2.793351113951985
2019/1/28,Monday,LPW_to_HPM,2447.0,4407.0,6854.0,39173.0,0.0624664947795675,-2.77312494951085
2019/1/29,Tuesday,LPW_to_HPM,2449.0,4229.0,6678.0,39122.0,0.0625990491283676,-2.771005190634138
2019/1/30,Wednesday,LPW_to_HPM,2628.0,4310.0,6938.0,40587.0,0.064749796732944,-2.7372247176669697
2019/1/31,Thursday,LPW_to_HPM,2823.0,4643.0,7466.0,41992.0,0.0672270908744522,-2.699678974678648
2019/2/1,Friday,LPW_to_HPM,2691.0,4823.0,7514.0,45692.0,0.0588943359887945,-2.8320103561269327
2019/2/2,Saturday,LPW_to_HPM,2376.0,3860.0,6236.0,42116.0,0.0564156140184253,-2.8750093144941147
2019/2/3,Sunday,LPW_to_HPM,2032.0,3256.0,5288.0,34861.0,0.0582886319956398,-2.842348196137464
2019/2/4,Monday,LPW_to_HPM,2420.0,4483.0,6903.0,40448.0,0.0598299050632911,-2.816249658355798
2019/2/5,Tuesday,LPW_to_HPM,2626.0,4563.0,7189.0,42011.0,0.0625074385280045,-2.7724697128736047
2019/2/6,Wednesday,LPW_to_HPM,2671.0,4743.0,7414.0,41886.0,0.0637683235448598,-2.7524987080884964
2019/2/7,Thursday,LPW_to_HPM,2645.0,4567.0,7212.0,41116.0,0.0643301877614554,-2.7437262748404128
2019/2/8,Friday,LPW_to_HPM,2734.0,4758.0,7492.0,44859.0,0.0609465213223656,-2.797758498968059
2019/2/9,Saturday,LPW_to_HPM,2402.0,3963.0,6365.0,40463.0,0.0593628747250574,-2.824086252639014
2019/2/10,Sunday,LPW_to_HPM,2084.0,3307.0,5391.0,33044.0,0.0630674252511802,-2.763550882809139
2019/2/11,Monday,LPW_to_HPM,2543.0,4247.0,6790.0,39393.0,0.0645546163023887,-2.740243649104996
2019/2/12,Tuesday,LPW_to_HPM,2654.0,4877.0,7531.0,43203.0,0.0614309191491331,-2.7898420013733403
2019/2/13,Wednesday,LPW_to_HPM,2627.0,4783.0,7410.0,43670.0,0.0601557133043279,-2.810818856794067
2019/2/14,Thursday,LPW_to_HPM,2554.0,5112.0,7666.0,44627.0,0.0572299280704506,-2.8606782994123336
2019/2/15,Friday,LPW_to_HPM,2600.0,4911.0,7511.0,42141.0,0.0616976341330295,-2.7855096934894474
2019/2/16,Saturday,LPW_to_HPM,2015.0,3863.0,5878.0,36495.0,0.0552130428825866,-2.89655606950495
2019/2/17,Sunday,LPW_to_HPM,1963.0,3332.0,5295.0,33485.0,0.058623264148126,-2.83662366206769
2019/2/18,Monday,LPW_to_HPM,2263.0,4033.0,6296.0,36292.0,0.062355340019839,-2.7749059646559835
2019/2/19,Tuesday,LPW_to_HPM,2548.0,4525.0,7073.0,40114.0,0.0635189709328414,-2.756416662853938
2019/2/20,Wednesday,LPW_to_HPM,2553.0,4719.0,7272.0,43565.0,0.0586020888327786,-2.836984937423904
2019/2/21,Thursday,LPW_to_HPM,2454.0,4736.0,7190.0,42508.0,0.0577303095887832,-2.8519729472217303
2019/2/22,Friday,LPW_to_HPM,2625.0,5070.0,7695.0,45974.0,0.0570974898855875,-2.862995123258638
2019/2/23,Saturday,LPW_to_HPM,2350.0,4152.0,6502.0,42728.0,0.0549990638457217,-2.900439114881403
2019/2/24,Sunday,LPW_to_HPM,1960.0,3511.0,5471.0,34991.0,0.0560144037038095,-2.8821464123229528
2019/2/25,Monday,LPW_to_HPM,2472.0,4658.0,7130.0,41211.0,0.0599839848584115,-2.8136776714157348
2019/2/26,Tuesday,LPW_to_HPM,2552.0,4418.0,6970.0,42370.0,0.0602312957281095,-2.8095631991559245
2019/2/27,Wednesday,LPW_to_HPM,2521.0,4415.0,6936.0,43049.0,0.0585611744755975,-2.837683353594449
2019/2/28,Thursday,LPW_to_HPM,2525.0,4330.0,6855.0,42360.0,0.0596081208687441,-2.8199634580058826
2019/3/1,Friday,LPW_to_HPM,2785.0,5019.0,7804.0,46517.0,0.0598705849474385,-2.8155699637996623
2019/3/2,Saturday,LPW_to_HPM,2472.0,4218.0,6690.0,40241.0,0.0614298849432171,-2.7898588367818937
2019/3/3,Sunday,LPW_to_HPM,2119.0,3592.0,5711.0,33343.0,0.063551570044687,-2.755903575991948
2019/3/4,Monday,LPW_to_HPM,2487.0,4446.0,6933.0,39881.0,0.0623605225545999,-2.774822855183669
2019/3/5,Tuesday,LPW_to_HPM,2558.0,4656.0,7214.0,42226.0,0.0605787903187609,-2.803810441909241
2019/3/6,Wednesday,LPW_to_HPM,2652.0,4917.0,7569.0,43267.0,0.0612938267039545,-2.792076147408834
2019/3/7,Thursday,LPW_to_HPM,2562.0,5201.0,7763.0,43906.0,0.0583519336764906,-2.84126278152719
2019/3/8,Friday,LPW_to_HPM,2632.0,5248.0,7880.0,46230.0,0.0569327276660177,-2.865884924537064
2019/3/9,Saturday,LPW_to_HPM,2182.0,4128.0,6310.0,37202.0,0.0586527606042685,-2.8361206358638813
2019/3/10,Sunday,LPW_to_HPM,1732.0,3341.0,5073.0,28510.0,0.0607506138197123,-2.800978092784338
2019/3/11,Monday,LPW_to_HPM,2194.0,4237.0,6431.0,32106.0,0.0683361365476857,-2.6833165667041854
2019/3/12,Tuesday,LPW_to_HPM,2088.0,4018.0,6106.0,30548.0,0.0683514469032342,-2.6830925470057463
2019/3/13,Wednesday,LPW_to_HPM,2162.0,4003.0,6165.0,32949.0,0.0656165589243983,-2.7239271922573023
2019/3/14,Thursday,LPW_to_HPM,2166.0,4096.0,6262.0,34065.0,0.0635843240863056,-2.7553883156468326
2019/3/15,Friday,LPW_to_HPM,2243.0,4519.0,6762.0,36921.0,0.0607513339292001,-2.8009662393202395
2019/3/16,Saturday,LPW_to_HPM,1932.0,4134.0,6066.0,36711.0,0.0526272779275966,-2.944520701881315
2019/3/17,Sunday,LPW_to_HPM,1812.0,3342.0,5154.0,34537.0,0.0524654718128384,-2.94760000550622
2019/3/18,Monday,LPW_to_HPM,2369.0,4441.0,6810.0,41608.0,0.0569361661218996,-2.865824531294124
2019/3/19,Tuesday,LPW_to_HPM,2534.0,4647.0,7181.0,43846.0,0.0577931852392464,-2.8508844126900272
2019/3/20,Wednesday,LPW_to_HPM,2595.0,4663.0,7258.0,44780.0,0.057949977668602,-2.848175094552758
2019/3/21,Thursday,LPW_to_HPM,2499.0,4531.0,7030.0,44898.0,0.0556594948550046,-2.8885025984734627
2019/3/22,Friday,LPW_to_HPM,2801.0,4799.0,7600.0,48789.0,0.0574104818709135,-2.8575283813364494
2019/3/23,Saturday,LPW_to_HPM,2444.0,3906.0,6350.0,42803.0,0.0570988014858771,-2.8629721522799154
2019/3/24,Sunday,LPW_to_HPM,2160.0,3595.0,5755.0,38103.0,0.0566884497283678,-2.870184797494219
2019/3/25,Monday,LPW_to_HPM,2626.0,4570.0,7196.0,43295.0,0.0606536551564845,-2.802575379019161
2019/3/26,Tuesday,LPW_to_HPM,2734.0,4520.0,7254.0,44319.0,0.0616891175342404,-2.785647740705823
2019/3/27,Wednesday,LPW_to_HPM,3059.0,4756.0,7815.0,46042.0,0.066439337995743,-2.7114659582279383
2019/3/28,Thursday,LPW_to_HPM,2929.0,4643.0,7572.0,45926.0,0.063776510037887,-2.752370337651082
2019/3/29,Friday,LPW_to_HPM,3082.0,4805.0,7887.0,48473.0,0.0635817877993934,-2.755428204999034
2019/3/30,Saturday,LPW_to_HPM,2694.0,3891.0,6585.0,41360.0,0.0651353965183752,-2.731287152212002
2019/3/31,Sunday,LPW_to_HPM,2440.0,3459.0,5899.0,35835.0,0.0680898562857541,-2.686927030140773
2019/4/1,Monday,LPW_to_HPM,2960.0,4595.0,7555.0,43178.0,0.0685534299874936,-2.680141837938298
2019/4/2,Tuesday,LPW_to_HPM,2986.0,4828.0,7814.0,45030.0,0.0663113479902287,-2.7133942351964824
2019/4/3,Wednesday,LPW_to_HPM,2586.0,4530.0,7116.0,44531.0,0.0580719049650805,-2.8460732955025123
2019/4/4,Thursday,LPW_to_HPM,2486.0,4071.0,6557.0,45043.0,0.0551917057034389,-2.896942595984773
2019/4/5,Friday,LPW_to_HPM,2594.0,4358.0,6952.0,48360.0,0.0536393713813068,-2.925471939852341
2019/4/6,Saturday,LPW_to_HPM,2158.0,3230.0,5388.0,41155.0,0.0524359130117847,-2.948163559588665
2019/4/7,Sunday,LPW_to_HPM,1898.0,2900.0,4798.0,36050.0,0.0526490984743411,-2.9441061635432235
2019/4/8,Monday,LPW_to_HPM,2187.0,3972.0,6159.0,41907.0,0.0521869854678216,-2.952922135718893
2019/4/9,Tuesday,LPW_to_HPM,2336.0,4250.0,6586.0,44193.0,0.0528590500758038,-2.940126340534932
2019/4/10,Wednesday,LPW_to_HPM,2207.0,4233.0,6440.0,43998.0,0.0501613709714077,-2.99251005106512
2019/4/11,Thursday,LPW_to_HPM,2162.0,3811.0,5973.0,44458.0,0.0486301677988213,-3.0235112040517027
2019/4/12,Friday,LPW_to_HPM,2372.0,4273.0,6645.0,49258.0,0.0481546144788663,-3.0333383098394564
2019/4/13,Saturday,LPW_to_HPM,1792.0,2777.0,4569.0,38953.0,0.046004158858111,-3.0790234766208413
2019/4/14,Sunday,LPW_to_HPM,1778.0,2798.0,4576.0,37655.0,0.0472181649183375,-3.0529766104616027
2019/4/15,Monday,LPW_to_HPM,2078.0,3968.0,6046.0,44191.0,0.0470231495100812,-3.057115255763767
2019/4/16,Tuesday,LPW_to_HPM,2285.0,4045.0,6330.0,45467.0,0.0502562297930367,-2.990620763746509
2019/4/17,Wednesday,LPW_to_HPM,2140.0,4029.0,6169.0,44235.0,0.0483779812365773,-3.0287105019015907
2019/4/18,Thursday,LPW_to_HPM,2337.0,4138.0,6475.0,48393.0,0.0482921083627797,-3.03048711960704
2019/4/19,Friday,LPW_to_HPM,2258.0,4155.0,6413.0,45361.0,0.0497784440378298,-3.0001732393044005
2019/4/20,Saturday,LPW_to_HPM,1898.0,3234.0,5132.0,40358.0,0.0470290896476535,-3.056988940055956
2019/4/21,Sunday,LPW_to_HPM,1504.0,2597.0,4101.0,31018.0,0.0484879747243536,-3.026439455609613
2019/4/22,Monday,LPW_to_HPM,2844.0,4710.0,7554.0,44925.0,0.0633055091819699,-2.7597829207286293
2019/4/23,Tuesday,LPW_to_HPM,4000.0,5651.0,9651.0,50050.0,0.0799200799200799,-2.526728144641339
2019/4/24,Wednesday,LPW_to_HPM,3943.0,5669.0,9612.0,50736.0,0.0777160201829076,-2.554693862900501
2019/4/25,Thursday,LPW_to_HPM,4079.0,6149.0,10228.0,53492.0,0.0762543931802886,-2.573680249675129
2019/4/26,Friday,LPW_to_HPM,4174.0,6254.0,10428.0,56763.0,0.0735338160421401,-2.6100098963627247
2019/4/27,Saturday,LPW_to_HPM,3789.0,5344.0,9133.0,52287.0,0.0724654311779218,-2.6246456421711915
2019/4/28,Sunday,LPW_to_HPM,3597.0,4540.0,8137.0,43708.0,0.0822961471584149,-2.4974309869950124
2019/4/29,Monday,LPW_to_HPM,3765.0,5651.0,9416.0,49522.0,0.076026816364444,-2.576669154031056
2019/4/30,Tuesday,LPW_to_HPM,3696.0,5630.0,9326.0,49170.0,0.0751677852348993,-2.588032527644411
2019/5/1,Wednesday,LPW_to_HPM,4236.0,5751.0,9987.0,54167.0,0.0782025956763343,-2.5484524391897416
2019/5/2,Thursday,LPW_to_HPM,3484.0,5248.0,8732.0,51822.0,0.0672301339199567,-2.699633710535948
2019/5/3,Friday,LPW_to_HPM,3336.0,5177.0,8513.0,53987.0,0.0617926537870228,-2.7839707923443298
2019/5/4,Saturday,LPW_to_HPM,2729.0,4094.0,6823.0,47936.0,0.0569300734312416,-2.8659315461685537
2019/5/5,Sunday,LPW_to_HPM,2291.0,3409.0,5700.0,40825.0,0.0561175750153092,-2.880306235385171
2019/5/6,Monday,LPW_to_HPM,2759.0,4406.0,7165.0,46802.0,0.0589504722020426,-2.831057641818072
2019/5/7,Tuesday,LPW_to_HPM,2787.0,4214.0,7001.0,47739.0,0.0583799409288003,-2.840782925396346
2019/5/8,Wednesday,LPW_to_HPM,2877.0,4367.0,7244.0,47978.0,0.0599649839509775,-2.81399448793832
2019/5/9,Thursday,LPW_to_HPM,2876.0,4946.0,7822.0,49704.0,0.0578625462739417,-2.849684972902593
2019/5/10,Friday,LPW_to_HPM,3022.0,5335.0,8357.0,53715.0,0.056259890161035,-2.87777342826796
2019/5/11,Saturday,LPW_to_HPM,2414.0,4079.0,6493.0,46092.0,0.0523735138418814,-2.9493542764764293
2019/5/12,Sunday,LPW_to_HPM,2254.0,3865.0,6119.0,41064.0,0.0548899279173972,-2.902425409640418
