Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,origin_total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,log_flow_share_LPW_to_HPM
2019/1/1,Tuesday,LPW_to_HPM,2258.0,2206.0,4464.0,37556.0,0.0601235488337416,-2.811353686668831
2019/1/2,Wednesday,LPW_to_HPM,3186.0,2977.0,6163.0,48882.0,0.0651773659015588,-2.730643019068704
2019/1/3,Thursday,LPW_to_HPM,3343.0,3303.0,6646.0,52789.0,0.0633275871867245,-2.7594342282365174
2019/1/4,Friday,LPW_to_HPM,3661.0,3510.0,7171.0,57680.0,0.0634708737864077,-2.757174158838596
2019/1/5,Saturday,LPW_to_HPM,3129.0,3143.0,6272.0,53676.0,0.0582942097026604,-2.842252509551966
2019/1/6,Sunday,LPW_to_HPM,2813.0,2660.0,5473.0,45826.0,0.0613843669532579,-2.7906000861294324
2019/1/7,Monday,LPW_to_HPM,2996.0,2931.0,5927.0,45188.0,0.0663007878197751,-2.71355349920971
2019/1/8,Tuesday,LPW_to_HPM,3694.0,3212.0,6906.0,56124.0,0.0658185446511296,-2.7208536467547018
2019/1/9,Wednesday,LPW_to_HPM,3837.0,3695.0,7532.0,58476.0,0.06561666324646,-2.7239256023845555
2019/1/10,Thursday,LPW_to_HPM,3948.0,3925.0,7873.0,60455.0,0.0653047721445703,-2.728690165054976
2019/1/11,Friday,LPW_to_HPM,4268.0,4194.0,8462.0,66353.0,0.0643226380118457,-2.743843641086712
2019/1/12,Saturday,LPW_to_HPM,3431.0,3467.0,6898.0,57920.0,0.0592368784530386,-2.8262109842011496
2019/1/13,Sunday,LPW_to_HPM,3121.0,3101.0,6222.0,49589.0,0.0629373449757002,-2.765615571653159
2019/1/14,Monday,LPW_to_HPM,3892.0,3769.0,7661.0,57883.0,0.0672390857419276,-2.6995005674715853
2019/1/15,Tuesday,LPW_to_HPM,4003.0,3700.0,7703.0,59069.0,0.0677682032876805,-2.6916621720982006
2019/1/16,Wednesday,LPW_to_HPM,3740.0,3683.0,7423.0,59935.0,0.062400934345541,-2.7741750302326227
2019/1/17,Thursday,LPW_to_HPM,3694.0,3485.0,7179.0,59996.0,0.0615707713847589,-2.787568011556066
2019/1/18,Friday,LPW_to_HPM,3956.0,3963.0,7919.0,67048.0,0.0590025056675814,-2.83017536703614
2019/1/19,Saturday,LPW_to_HPM,2469.0,2594.0,5063.0,43157.0,0.0572097226405913,-2.8610314188065944
2019/1/20,Sunday,LPW_to_HPM,2403.0,2548.0,4951.0,43812.0,0.054847986852917,-2.9031897957071684
2019/1/21,Monday,LPW_to_HPM,2845.0,2995.0,5840.0,48626.0,0.0585077941841813,-2.838595299701548
2019/1/22,Tuesday,LPW_to_HPM,3590.0,3457.0,7047.0,57520.0,0.0624130737134909,-2.773980510912605
2019/1/23,Wednesday,LPW_to_HPM,3480.0,2743.0,6223.0,49058.0,0.0709364425781727,-2.645970977804509
2019/1/24,Thursday,LPW_to_HPM,4188.0,3263.0,7451.0,61358.0,0.0682551582515727,-2.6845022689953777
2019/1/25,Friday,LPW_to_HPM,4052.0,3516.0,7568.0,65604.0,0.0617645265532589,-2.7844260833144263
2019/1/26,Saturday,LPW_to_HPM,3402.0,2991.0,6393.0,57434.0,0.0592332068112964,-2.826272968485793
2019/1/27,Sunday,LPW_to_HPM,2744.0,2477.0,5221.0,46602.0,0.0588815930646753,-2.832226748801927
2019/1/28,Monday,LPW_to_HPM,3115.0,2487.0,5602.0,40287.0,0.07732022736863,-2.5597996840277326
2019/1/29,Tuesday,LPW_to_HPM,3462.0,2937.0,6399.0,57713.0,0.0599864848474347,-2.813635994675956
2019/1/30,Wednesday,LPW_to_HPM,2645.0,2398.0,5043.0,39482.0,0.0669925535687148,-2.7031738065332145
2019/1/31,Thursday,LPW_to_HPM,3167.0,2942.0,6109.0,47813.0,0.0662372158199652,-2.7145128014919138
2019/2/1,Friday,LPW_to_HPM,4013.0,3707.0,7720.0,62902.0,0.0637976534927347,-2.752038868418502
2019/2/2,Saturday,LPW_to_HPM,3525.0,3422.0,6947.0,59527.0,0.0592168259781275,-2.826549554872264
2019/2/3,Sunday,LPW_to_HPM,2932.0,3000.0,5932.0,50112.0,0.0585089399744572,-2.838575716343933
2019/2/4,Monday,LPW_to_HPM,4047.0,3527.0,7574.0,58680.0,0.0689672801635991,-2.6741230873810538
2019/2/5,Tuesday,LPW_to_HPM,4136.0,3781.0,7917.0,62820.0,0.0658389048073861,-2.720544356904373
2019/2/6,Wednesday,LPW_to_HPM,3307.0,3255.0,6562.0,48639.0,0.0679907070457863,-2.688384244236386
2019/2/7,Thursday,LPW_to_HPM,3913.0,3797.0,7710.0,61753.0,0.0633653425744498,-2.758838214095648
2019/2/8,Friday,LPW_to_HPM,4064.0,4076.0,8140.0,65963.0,0.0616102966814729,-2.786926268491308
