Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,origin_total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,log_flow_share_LPW_to_HPM
2019/1/1,Tuesday,LPW_to_HPM,5128.0,5217.0,10345.0,70121.0,0.073130731164701,-2.615506601599374
2019/1/2,Wednesday,LPW_to_HPM,7846.0,7001.0,14847.0,92625.0,0.0847071524966261,-2.468555235828892
2019/1/3,Thursday,LPW_to_HPM,8201.0,7927.0,16128.0,101438.0,0.0808474141840336,-2.515191676351949
2019/1/4,Friday,LPW_to_HPM,8795.0,9323.0,18118.0,114551.0,0.0767780290001833,-2.566836760484188
2019/1/5,Saturday,LPW_to_HPM,7095.0,7641.0,14736.0,101121.0,0.0701634675289999,-2.656927508978149
2019/1/6,Sunday,LPW_to_HPM,6398.0,6188.0,12586.0,91156.0,0.0701873711000921,-2.6565868829932
2019/1/7,Monday,LPW_to_HPM,7327.0,8201.0,15528.0,90235.0,0.0811990912617055,-2.510851223235435
2019/1/8,Tuesday,LPW_to_HPM,8300.0,8947.0,17247.0,112481.0,0.073790240129444,-2.6065288036897005
2019/1/9,Wednesday,LPW_to_HPM,9461.0,9719.0,19180.0,118544.0,0.079810028343906,-2.5281061139519947
2019/1/10,Thursday,LPW_to_HPM,9932.0,9989.0,19921.0,120908.0,0.0821451020610712,-2.4992680581744144
2019/1/11,Friday,LPW_to_HPM,10392.0,10285.0,20677.0,131161.0,0.0792308689320758,-2.535389296854779
2019/1/12,Saturday,LPW_to_HPM,7949.0,8414.0,16363.0,113610.0,0.069967432444327,-2.6597253959908387
2019/1/13,Sunday,LPW_to_HPM,6941.0,6483.0,13424.0,95045.0,0.0730285654163817,-2.6169046073006705
2019/1/14,Monday,LPW_to_HPM,9172.0,9213.0,18385.0,113547.0,0.0807771231296291,-2.516061483127633
2019/1/15,Tuesday,LPW_to_HPM,9446.0,9403.0,18849.0,117201.0,0.0805965819404271,-2.5182990380557944
2019/1/16,Wednesday,LPW_to_HPM,8946.0,10046.0,18992.0,116964.0,0.0764850723299476,-2.570659690132418
2019/1/17,Thursday,LPW_to_HPM,8806.0,10083.0,18889.0,120647.0,0.0729897966795693,-2.617435619115444
2019/1/18,Friday,LPW_to_HPM,9584.0,10672.0,20256.0,129350.0,0.0740935446463084,-2.602426867258945
2019/1/19,Saturday,LPW_to_HPM,6972.0,7996.0,14968.0,109232.0,0.0638274498315512,-2.75157193301815
2019/1/20,Sunday,LPW_to_HPM,5901.0,6487.0,12388.0,90347.0,0.065314841666021,-2.728535984206068
