Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,origin_total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,log_flow_share_LPW_to_HPM
2019/1/1,Tuesday,LPW_to_HPM,619.0,869.0,1488.0,8704.0,0.0711167279411764,-2.6434326964111285
2019/1/2,Wednesday,LPW_to_HPM,888.0,1078.0,1966.0,11187.0,0.0793778492893537,-2.5335359258547605
2019/1/3,Thursday,LPW_to_HPM,867.0,1134.0,2001.0,11606.0,0.0747027399620885,-2.594238507970013
2019/1/4,Friday,LPW_to_HPM,966.0,1207.0,2173.0,12042.0,0.0802192326856004,-2.522991983811876
2019/1/5,Saturday,LPW_to_HPM,765.0,1024.0,1789.0,11081.0,0.0690370905152964,-2.6731113751097904
2019/1/6,Sunday,LPW_to_HPM,721.0,837.0,1558.0,10426.0,0.0691540379819681,-2.671418828043103
2019/1/7,Monday,LPW_to_HPM,767.0,1144.0,1911.0,10311.0,0.0743865774415672,-2.5984797641506883
2019/1/8,Tuesday,LPW_to_HPM,928.0,1131.0,2059.0,12911.0,0.0718766942916892,-2.632803207388519
2019/1/9,Wednesday,LPW_to_HPM,988.0,1249.0,2237.0,13728.0,0.0719696969696969,-2.6315101239798766
2019/1/10,Thursday,LPW_to_HPM,1028.0,1316.0,2344.0,13399.0,0.0767221434435405,-2.5675649102734983
2019/1/11,Friday,LPW_to_HPM,1075.0,1294.0,2369.0,14291.0,0.0752221677979147,-2.5873093069200324
2019/1/12,Saturday,LPW_to_HPM,882.0,1032.0,1914.0,12314.0,0.0716257917817118,-2.6363000494643654
2019/1/13,Sunday,LPW_to_HPM,727.0,864.0,1591.0,10870.0,0.0668813247470101,-2.704835502581736
2019/1/14,Monday,LPW_to_HPM,1013.0,1265.0,2278.0,13264.0,0.0763721351025331,-2.572137373126394
2019/1/15,Tuesday,LPW_to_HPM,1009.0,1204.0,2213.0,13290.0,0.0759217456734386,-2.578052131353683
2019/1/16,Wednesday,LPW_to_HPM,1007.0,1237.0,2244.0,13109.0,0.0768174536577923,-2.5663234034792475
2019/1/17,Thursday,LPW_to_HPM,1089.0,1233.0,2322.0,13625.0,0.0799266055045871,-2.526646496598485
2019/1/18,Friday,LPW_to_HPM,1020.0,1199.0,2219.0,13582.0,0.0750993962597555,-2.5889427593954206
2019/1/19,Saturday,LPW_to_HPM,909.0,996.0,1905.0,11960.0,0.0760033444816053,-2.5769779333271448
2019/1/20,Sunday,LPW_to_HPM,800.0,835.0,1635.0,10126.0,0.0790045427612087,-2.538249924861928
2019/1/21,Monday,LPW_to_HPM,863.0,1062.0,1925.0,11711.0,0.0736914012466911,-2.6078691589587097
2019/1/22,Tuesday,LPW_to_HPM,1048.0,1207.0,2255.0,13131.0,0.0798111339578097,-2.5280922609780183
2019/1/23,Wednesday,LPW_to_HPM,1053.0,1156.0,2209.0,13387.0,0.0786583999402405,-2.5426408536519225
2019/1/24,Thursday,LPW_to_HPM,1107.0,1202.0,2309.0,13428.0,0.0824396782841823,-2.4956884253912888
2019/1/25,Friday,LPW_to_HPM,1081.0,1246.0,2327.0,14398.0,0.0750798722044728,-2.5892027693900403
2019/1/26,Saturday,LPW_to_HPM,886.0,828.0,1714.0,11428.0,0.0775288764438222,-2.5571048127455827
2019/1/27,Sunday,LPW_to_HPM,791.0,759.0,1550.0,10634.0,0.0743840511566673,-2.59851372629663
2019/1/28,Monday,LPW_to_HPM,992.0,1126.0,2118.0,12681.0,0.078227269142812,-2.548136981950028
2019/1/29,Tuesday,LPW_to_HPM,981.0,1117.0,2098.0,12886.0,0.0761291323917429,-2.5753242701332257
2019/1/30,Wednesday,LPW_to_HPM,1002.0,1141.0,2143.0,13035.0,0.0768699654775604,-2.5656400447227923
2019/1/31,Thursday,LPW_to_HPM,1013.0,1296.0,2309.0,13367.0,0.0757836462931099,-2.57987275772279
2019/2/1,Friday,LPW_to_HPM,1074.0,1286.0,2360.0,14138.0,0.0759654830952044,-2.577476211662089
2019/2/2,Saturday,LPW_to_HPM,861.0,961.0,1822.0,12223.0,0.0704409719381494,-2.652980197349532
2019/2/3,Sunday,LPW_to_HPM,785.0,931.0,1716.0,10701.0,0.0733576301280254,-2.612408756244593
2019/2/4,Monday,LPW_to_HPM,992.0,1189.0,2181.0,12746.0,0.0778283383022124,-2.5532496685893675
2019/2/5,Tuesday,LPW_to_HPM,1070.0,1192.0,2262.0,13319.0,0.0803363615887078,-2.52153293874508
2019/2/6,Wednesday,LPW_to_HPM,1052.0,1184.0,2236.0,13342.0,0.0788487483135961,-2.5402238399718065
2019/2/7,Thursday,LPW_to_HPM,1046.0,1227.0,2273.0,13361.0,0.0782875533268468,-2.547366649964026
2019/2/8,Friday,LPW_to_HPM,1082.0,1287.0,2369.0,14008.0,0.0772415762421473,-2.5608174145592617
2019/2/9,Saturday,LPW_to_HPM,875.0,984.0,1859.0,12246.0,0.0714519026620937,-2.638730745680286
2019/2/10,Sunday,LPW_to_HPM,828.0,777.0,1605.0,10546.0,0.0785131803527403,-2.5444887657051565
2019/2/11,Monday,LPW_to_HPM,983.0,1100.0,2083.0,12141.0,0.080965324108393,-2.5137343133968093
2019/2/12,Tuesday,LPW_to_HPM,1064.0,1265.0,2329.0,12999.0,0.081852450188476,-2.5028370405064297
2019/2/13,Wednesday,LPW_to_HPM,980.0,1085.0,2065.0,12320.0,0.0795454545454545,-2.531426665422894
2019/2/14,Thursday,LPW_to_HPM,1022.0,1239.0,2261.0,13584.0,0.0752355712603062,-2.5871311377874795
2019/2/15,Friday,LPW_to_HPM,1011.0,1282.0,2293.0,12698.0,0.0796188376122224,-2.530504560709924
2019/2/16,Saturday,LPW_to_HPM,841.0,998.0,1839.0,10835.0,0.0776188278726349,-2.5559452539975123
2019/2/17,Sunday,LPW_to_HPM,712.0,969.0,1681.0,9831.0,0.0724239650086461,-2.6252180259549487
