Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,origin_total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,log_flow_share_LPW_to_HPM
2019/1/1,Tuesday,LPW_to_HPM,4877.0,9296.0,14173.0,99693.0,0.0489201849678513,-3.0175651871431
2019/1/2,Wednesday,LPW_to_HPM,6942.0,17210.0,24152.0,138894.0,0.0499805607153656,-2.996121134843431
2019/1/3,Thursday,LPW_to_HPM,7158.0,18637.0,25795.0,145737.0,0.0491158731138969,-3.01357301508372
2019/1/4,Friday,LPW_to_HPM,7459.0,20222.0,27681.0,157762.0,0.0472800801206881,-3.051666211285728
2019/1/5,Saturday,LPW_to_HPM,5520.0,12386.0,17906.0,123777.0,0.0445963304975884,-3.110103699179786
2019/1/6,Sunday,LPW_to_HPM,5419.0,11171.0,16590.0,120007.0,0.045155699250877,-3.09763877783008
2019/1/7,Monday,LPW_to_HPM,6266.0,16740.0,23006.0,119911.0,0.0522554227718891,-2.951611608414593
2019/1/8,Tuesday,LPW_to_HPM,7212.0,18649.0,25861.0,148844.0,0.0484534143129719,-3.027152472272342
2019/1/9,Wednesday,LPW_to_HPM,7750.0,21012.0,28762.0,159972.0,0.048445978046158,-3.027305956554286
2019/1/10,Thursday,LPW_to_HPM,7783.0,21325.0,29108.0,161337.0,0.0482406391590273,-3.031553477085739
2019/1/11,Friday,LPW_to_HPM,7768.0,21057.0,28825.0,166898.0,0.0465433977639037,-3.0673701163834792
2019/1/12,Saturday,LPW_to_HPM,6305.0,13835.0,20140.0,140340.0,0.0449266068120279,-3.1027250804072604
2019/1/13,Sunday,LPW_to_HPM,5739.0,11275.0,17014.0,120905.0,0.0474670195608122,-3.047720134132335
2019/1/14,Monday,LPW_to_HPM,7340.0,19788.0,27128.0,153777.0,0.0477314552891524,-3.042164658398714
2019/1/15,Tuesday,LPW_to_HPM,7440.0,20197.0,27637.0,156449.0,0.0475554334000217,-3.045859229430991
2019/1/16,Wednesday,LPW_to_HPM,7364.0,20679.0,28043.0,157231.0,0.046835547697337,-3.061112798200522
2019/1/17,Thursday,LPW_to_HPM,7396.0,20049.0,27445.0,159232.0,0.0464479501607717,-3.0694229447117265
2019/1/18,Friday,LPW_to_HPM,7482.0,20514.0,27996.0,162505.0,0.0460416602566074,-3.078208634601246
2019/1/19,Saturday,LPW_to_HPM,5723.0,12673.0,18396.0,132487.0,0.0431966909960977,-3.141991383978349
2019/1/20,Sunday,LPW_to_HPM,4778.0,9816.0,14594.0,105213.0,0.0454126391225418,-3.0919648179098247
2019/1/21,Monday,LPW_to_HPM,4790.0,11389.0,16179.0,100750.0,0.0475434243176178,-3.04611178940397
2019/1/22,Tuesday,LPW_to_HPM,6986.0,18798.0,25784.0,148132.0,0.0471606405098155,-3.054195621772128
2019/1/23,Wednesday,LPW_to_HPM,7389.0,19964.0,27353.0,155906.0,0.0473939425038164,-3.049260853725753
2019/1/24,Thursday,LPW_to_HPM,7309.0,19772.0,27081.0,152056.0,0.0480678171200084,-3.035142408550282
2019/1/25,Friday,LPW_to_HPM,7801.0,21479.0,29280.0,168347.0,0.0463388120964436,-3.0717753948243103
2019/1/26,Saturday,LPW_to_HPM,6076.0,14282.0,20358.0,140448.0,0.0432615629984051,-3.1404907287722974
2019/1/27,Sunday,LPW_to_HPM,5439.0,11399.0,16838.0,124321.0,0.0437496480884162,-3.1292717099042084
2019/1/28,Monday,LPW_to_HPM,7059.0,19469.0,26528.0,150246.0,0.0469829479653368,-3.05797055235143
2019/1/29,Tuesday,LPW_to_HPM,7140.0,19546.0,26686.0,153762.0,0.0464354001638896,-3.0696931760699755
2019/1/30,Wednesday,LPW_to_HPM,7226.0,18365.0,25591.0,148647.0,0.0486118118764589,-3.023888734880296
2019/1/31,Thursday,LPW_to_HPM,7649.0,18486.0,26135.0,149483.0,0.0511696982265541,-2.97260775365069
2019/2/1,Friday,LPW_to_HPM,8121.0,20129.0,28250.0,167447.0,0.0484989280190149,-3.0262135839836914
2019/2/2,Saturday,LPW_to_HPM,6428.0,13375.0,19803.0,139812.0,0.045976024947787,-3.079635215150539
2019/2/3,Sunday,LPW_to_HPM,6020.0,11310.0,17330.0,130288.0,0.0462053297310573,-3.074660125404047
2019/2/4,Monday,LPW_to_HPM,7970.0,19797.0,27767.0,159984.0,0.0498174817481748,-2.9993893174313704
2019/2/5,Tuesday,LPW_to_HPM,7906.0,19948.0,27854.0,161234.0,0.0490343227855167,-3.01523476107208
2019/2/6,Wednesday,LPW_to_HPM,7664.0,20338.0,28002.0,162530.0,0.047154371500646,-3.054328559446526
2019/2/7,Thursday,LPW_to_HPM,7770.0,20632.0,28402.0,165290.0,0.0470082884627019,-3.057431342549706
2019/2/8,Friday,LPW_to_HPM,7879.0,20660.0,28539.0,171789.0,0.0458644034251319,-3.0820659872972653
2019/2/9,Saturday,LPW_to_HPM,5986.0,13843.0,19829.0,140315.0,0.0426611552578127,-3.1544664857192783
2019/2/10,Sunday,LPW_to_HPM,5251.0,11194.0,16445.0,124239.0,0.0422653112146749,-3.1637885952147773
2019/2/11,Monday,LPW_to_HPM,7541.0,19596.0,27137.0,159709.0,0.047217126148182,-3.0529986100794115
2019/2/12,Tuesday,LPW_to_HPM,7169.0,18213.0,25382.0,144303.0,0.0496801868291026,-3.0021490807137714
2019/2/13,Wednesday,LPW_to_HPM,7889.0,20311.0,28200.0,164664.0,0.0479096827478987,-3.038437649943748
2019/2/14,Thursday,LPW_to_HPM,7939.0,21631.0,29570.0,169993.0,0.0467019230203596,-3.0639699369889244
2019/2/15,Friday,LPW_to_HPM,7678.0,21092.0,28770.0,164573.0,0.0466540684073329,-3.064995144187441
2019/2/16,Saturday,LPW_to_HPM,5728.0,13720.0,19448.0,128921.0,0.0444303100348275,-3.113833384007181
2019/2/17,Sunday,LPW_to_HPM,5082.0,11009.0,16091.0,112244.0,0.0452763622108976,-3.094970188179965
2019/2/18,Monday,LPW_to_HPM,5507.0,13323.0,18830.0,117863.0,0.0467237385778403,-3.063502922733868
2019/2/19,Tuesday,LPW_to_HPM,7277.0,18521.0,25798.0,142759.0,0.0509740191511568,-2.9764392044692385
2019/2/20,Wednesday,LPW_to_HPM,6849.0,18024.0,24873.0,132941.0,0.0515190949368516,-2.9658027645598395
2019/2/21,Thursday,LPW_to_HPM,7169.0,19374.0,26543.0,149222.0,0.048042513838442,-3.035668955111899
2019/2/22,Friday,LPW_to_HPM,7101.0,19830.0,26931.0,152732.0,0.0464932037817877,-3.068449132300915
2019/2/23,Saturday,LPW_to_HPM,5937.0,13933.0,19870.0,132676.0,0.0447481081732943,-3.1067061106120155
2019/2/24,Sunday,LPW_to_HPM,5115.0,10498.0,15613.0,107655.0,0.0475128883934791,-3.0467542701465566
2019/2/25,Monday,LPW_to_HPM,7301.0,19108.0,26409.0,150311.0,0.0485726260885763,-3.0246951559663606
2019/2/26,Tuesday,LPW_to_HPM,7591.0,19255.0,26846.0,157095.0,0.048321079601515,-3.0298873828585875
2019/2/27,Wednesday,LPW_to_HPM,7590.0,19138.0,26728.0,156783.0,0.0484108608713955,-3.028031092263726
2019/2/28,Thursday,LPW_to_HPM,7447.0,19270.0,26717.0,159341.0,0.0467362449087177,-3.063235293092058
2019/3/1,Friday,LPW_to_HPM,7812.0,19494.0,27306.0,167859.0,0.0465390595678515,-3.067463328277099
2019/3/2,Saturday,LPW_to_HPM,6027.0,12871.0,18898.0,133556.0,0.0451271376800742,-3.0982714910395126
2019/3/3,Sunday,LPW_to_HPM,5527.0,10939.0,16466.0,124585.0,0.0443632861098848,-3.115343041022599
2019/3/4,Monday,LPW_to_HPM,6489.0,15197.0,21686.0,128113.0,0.0506505975193774,-2.9828042513308217
2019/3/5,Tuesday,LPW_to_HPM,7623.0,19614.0,27237.0,157896.0,0.0482786137710898,-3.0307665954456704
2019/3/6,Wednesday,LPW_to_HPM,7718.0,18801.0,26519.0,159849.0,0.0482830671446177,-3.030674356505983
2019/3/7,Thursday,LPW_to_HPM,7969.0,19600.0,27569.0,164179.0,0.0485384854335816,-3.0253982816100926
2019/3/8,Friday,LPW_to_HPM,8389.0,20736.0,29125.0,176000.0,0.0476647727272727,-3.0435626711739947
2019/3/9,Saturday,LPW_to_HPM,6530.0,13726.0,20256.0,146593.0,0.0445451010621243,-3.111253096047387
2019/3/10,Sunday,LPW_to_HPM,5464.0,10257.0,15721.0,116217.0,0.0470154968722303,-3.057278010932248
2019/3/11,Monday,LPW_to_HPM,8002.0,19702.0,27704.0,162419.0,0.0492676349441875,-3.0104879055230374
2019/3/12,Tuesday,LPW_to_HPM,7623.0,19137.0,26760.0,157131.0,0.0485136605762071,-3.02590985933272
2019/3/13,Wednesday,LPW_to_HPM,7545.0,19488.0,27033.0,163898.0,0.0460347289167653,-3.0783591908929817
2019/3/14,Thursday,LPW_to_HPM,7828.0,19969.0,27797.0,171939.0,0.0455277743851016,-3.0894327132132378
2019/3/15,Friday,LPW_to_HPM,7951.0,21016.0,28967.0,178723.0,0.0444878387224923,-3.112539414294681
2019/3/16,Saturday,LPW_to_HPM,6336.0,14408.0,20744.0,148276.0,0.0427311230408157,-3.1528277474151825
2019/3/17,Sunday,LPW_to_HPM,5356.0,10957.0,16313.0,126583.0,0.0423121588206947,-3.1626807916639907
2019/3/18,Monday,LPW_to_HPM,7457.0,18246.0,25703.0,152719.0,0.0488282401011007,-3.019446442903543
2019/3/19,Tuesday,LPW_to_HPM,7948.0,19628.0,27576.0,161147.0,0.04932142702005,-3.0093966672025028
2019/3/20,Wednesday,LPW_to_HPM,7999.0,20156.0,28155.0,163306.0,0.0489816663196698,-3.016309207627041
2019/3/21,Thursday,LPW_to_HPM,7595.0,18874.0,26469.0,154069.0,0.0492960946069618,-3.009910417968644
2019/3/22,Friday,LPW_to_HPM,7984.0,19599.0,27583.0,166952.0,0.0478221285159806,-3.040266806943368
2019/3/23,Saturday,LPW_to_HPM,6362.0,13871.0,20233.0,141702.0,0.0448970374447784,-3.1033834675961187
2019/3/24,Sunday,LPW_to_HPM,5746.0,11687.0,17433.0,131200.0,0.043795731707317,-3.1282189159528926
2019/3/25,Monday,LPW_to_HPM,7864.0,19035.0,26899.0,158145.0,0.0497265168041986,-3.0012169508521587
