Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,origin_total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,log_flow_share_LPW_to_HPM
2019/1/1,Tuesday,LPW_to_HPM,1654.0,3612.0,5266.0,15748.0,0.1050292100584201,-2.253516776479992
2019/1/2,Wednesday,LPW_to_HPM,2303.0,4633.0,6936.0,18186.0,0.1266358737490377,-2.066439446465173
2019/1/3,Thursday,LPW_to_HPM,2503.0,5058.0,7561.0,19793.0,0.1264588490880614,-2.0678383273889613
2019/1/4,Friday,LPW_to_HPM,2624.0,5573.0,8197.0,21439.0,0.1223937683660618,-2.100511822241952
2019/1/5,Saturday,LPW_to_HPM,1813.0,3866.0,5679.0,17078.0,0.1061599718936643,-2.242808153712701
2019/1/6,Sunday,LPW_to_HPM,1691.0,3442.0,5133.0,15917.0,0.1062386128039203,-2.2420676505312747
2019/1/7,Monday,LPW_to_HPM,2085.0,4399.0,6484.0,16528.0,0.126149564375605,-2.070287057126518
2019/1/8,Tuesday,LPW_to_HPM,2458.0,4954.0,7412.0,19494.0,0.1260900789986662,-2.070758714771176
2019/1/9,Wednesday,LPW_to_HPM,2646.0,5668.0,8314.0,21238.0,0.1245880026367831,-2.08274296428889
2019/1/10,Thursday,LPW_to_HPM,2778.0,5890.0,8668.0,21694.0,0.1280538397713653,-2.055304480285874
2019/1/11,Friday,LPW_to_HPM,2803.0,5982.0,8785.0,23159.0,0.1210328597953279,-2.1116932016970327
2019/1/12,Saturday,LPW_to_HPM,2168.0,4580.0,6748.0,20022.0,0.1082808910198781,-2.2230265854198925
2019/1/13,Sunday,LPW_to_HPM,1745.0,3547.0,5292.0,15545.0,0.1122547442907687,-2.1869844878563267
2019/1/14,Monday,LPW_to_HPM,2756.0,5459.0,8215.0,20738.0,0.13289613270325,-2.018187412984675
2019/1/15,Tuesday,LPW_to_HPM,2745.0,5474.0,8219.0,21416.0,0.1281751961150541,-2.054357231256558
2019/1/16,Wednesday,LPW_to_HPM,2671.0,5562.0,8233.0,21594.0,0.1236917662313605,-2.0899625641971253
2019/1/17,Thursday,LPW_to_HPM,2643.0,5369.0,8012.0,22364.0,0.1181810051869075,-2.135537887542247
2019/1/18,Friday,LPW_to_HPM,2584.0,5159.0,7743.0,21699.0,0.1190838287478685,-2.1279275906148984
