Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,origin_total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,log_flow_share_LPW_to_HPM
2019/1/1,Tuesday,LPW_to_HPM,5076.0,5688.0,10764.0,134765.0,0.0376655659852335,-3.2790089709958354
2019/1/2,Wednesday,LPW_to_HPM,8181.0,8080.0,16261.0,181161.0,0.0451587262159074,-3.097571746123553
2019/1/3,Thursday,LPW_to_HPM,8579.0,8895.0,17474.0,190174.0,0.0451113191077644,-3.0986220859640032
2019/1/4,Friday,LPW_to_HPM,8882.0,9696.0,18578.0,205800.0,0.0431584062196307,-3.142878066530039
2019/1/5,Saturday,LPW_to_HPM,7238.0,7645.0,14883.0,183663.0,0.0394091352095958,-3.2337576314416183
2019/1/6,Sunday,LPW_to_HPM,6113.0,6305.0,12418.0,150960.0,0.0404941706412294,-3.206597250013708
2019/1/7,Monday,LPW_to_HPM,7901.0,8520.0,16421.0,169036.0,0.0467415225159137,-3.063122376248898
2019/1/8,Tuesday,LPW_to_HPM,9331.0,9255.0,18586.0,204494.0,0.0456297006269132,-3.08719644494725
2019/1/9,Wednesday,LPW_to_HPM,9682.0,10173.0,19855.0,215974.0,0.0448294702140072,-3.1048895385511988
2019/1/10,Thursday,LPW_to_HPM,10029.0,10656.0,20685.0,219523.0,0.045685417928873,-3.085976114518827
2019/1/11,Friday,LPW_to_HPM,10276.0,10715.0,20991.0,236783.0,0.04339838586385,-3.137333030644609
2019/1/12,Saturday,LPW_to_HPM,8266.0,8983.0,17249.0,209422.0,0.0394705427319001,-3.2322006389104034
2019/1/13,Sunday,LPW_to_HPM,6822.0,7266.0,14088.0,169169.0,0.0403265373679574,-3.2107455312597053
2019/1/14,Monday,LPW_to_HPM,9575.0,9835.0,19410.0,207519.0,0.0461403534134223,-3.076067366677171
2019/1/15,Tuesday,LPW_to_HPM,9727.0,9415.0,19142.0,210204.0,0.0462740956404254,-3.073172963870209
2019/1/16,Wednesday,LPW_to_HPM,10015.0,9892.0,19907.0,219271.0,0.0456740745470217,-3.086224438619633
2019/1/17,Thursday,LPW_to_HPM,9991.0,9610.0,19601.0,218161.0,0.0457964530782312,-3.083548634567659
2019/1/18,Friday,LPW_to_HPM,10344.0,10306.0,20650.0,233306.0,0.0443366222900396,-3.1159442551868373
2019/1/19,Saturday,LPW_to_HPM,8380.0,8234.0,16614.0,205957.0,0.0406881047985744,-3.201819494642733
2019/1/20,Sunday,LPW_to_HPM,6725.0,6867.0,13592.0,165826.0,0.0405545571864484,-3.2051071203593264
2019/1/21,Monday,LPW_to_HPM,8409.0,8967.0,17376.0,187631.0,0.0448166880739323,-3.1051747072724383
2019/1/22,Tuesday,LPW_to_HPM,9837.0,9666.0,19503.0,212331.0,0.0463286095765573,-3.0719955913020653
2019/1/23,Wednesday,LPW_to_HPM,9800.0,9683.0,19483.0,216191.0,0.0453302866446799,-3.093779890539999
2019/1/24,Thursday,LPW_to_HPM,9858.0,9764.0,19622.0,218231.0,0.0451723174067845,-3.097270826518629
2019/1/25,Friday,LPW_to_HPM,10246.0,10372.0,20618.0,236145.0,0.043388595989752,-3.1375586376176927
2019/1/26,Saturday,LPW_to_HPM,8176.0,8256.0,16432.0,212778.0,0.0384250251435768,-3.259046335203058
2019/1/27,Sunday,LPW_to_HPM,6607.0,6754.0,13361.0,167886.0,0.0393540855104058,-3.2351554845931445
2019/1/28,Monday,LPW_to_HPM,9075.0,9237.0,18312.0,202622.0,0.0447878315286592,-3.105818794119813
2019/1/29,Tuesday,LPW_to_HPM,9246.0,9008.0,18254.0,207412.0,0.0445779414884384,-3.110516127764873
2019/1/30,Wednesday,LPW_to_HPM,9425.0,9335.0,18760.0,214027.0,0.0440365000677484,-3.1227364419535366
2019/1/31,Thursday,LPW_to_HPM,9897.0,10229.0,20126.0,221898.0,0.0446015736960224,-3.1099861359144283
2019/2/1,Friday,LPW_to_HPM,9858.0,10371.0,20229.0,233891.0,0.0421478380955231,-3.166571886584608
2019/2/2,Saturday,LPW_to_HPM,7792.0,8498.0,16290.0,212934.0,0.0365934984549203,-3.3078846921979945
2019/2/3,Sunday,LPW_to_HPM,5774.0,6590.0,12364.0,154642.0,0.0373378512952496,-3.287747686840056
2019/2/4,Monday,LPW_to_HPM,8879.0,9159.0,18038.0,201026.0,0.0441684160257877,-3.1197453148773087
2019/2/5,Tuesday,LPW_to_HPM,9316.0,9704.0,19020.0,213314.0,0.0436727078391479,-3.1310319065568204
2019/2/6,Wednesday,LPW_to_HPM,9468.0,9743.0,19211.0,215944.0,0.0438447004779016,-3.1271014231596785
2019/2/7,Thursday,LPW_to_HPM,9131.0,9647.0,18778.0,217197.0,0.0420401755088698,-3.169129558175493
2019/2/8,Friday,LPW_to_HPM,9825.0,10081.0,19906.0,236576.0,0.0415299945894765,-3.181339351619365
2019/2/9,Saturday,LPW_to_HPM,8097.0,8404.0,16501.0,213851.0,0.0378628110226279,-3.273785888132896
2019/2/10,Sunday,LPW_to_HPM,6310.0,6662.0,12972.0,174754.0,0.0361079002483491,-3.321243594141462
2019/2/11,Monday,LPW_to_HPM,8934.0,9255.0,18189.0,207622.0,0.0430301220487231,-3.145854895772112
2019/2/12,Tuesday,LPW_to_HPM,9597.0,10156.0,19753.0,219444.0,0.0437332531306392,-3.1296465250450067
2019/2/13,Wednesday,LPW_to_HPM,9438.0,9787.0,19225.0,225169.0,0.0419151837064604,-3.1721071380685584
2019/2/14,Thursday,LPW_to_HPM,9309.0,9914.0,19223.0,220459.0,0.04222553853551,-3.164730062420285
2019/2/15,Friday,LPW_to_HPM,9930.0,10173.0,20103.0,226712.0,0.0438000635167084,-3.128120011447628
2019/2/16,Saturday,LPW_to_HPM,7530.0,8181.0,15711.0,201530.0,0.0373641641442961,-3.2870432118675965
2019/2/17,Sunday,LPW_to_HPM,6140.0,6633.0,12773.0,166550.0,0.0368658060642449,-3.3004708224806394
2019/2/18,Monday,LPW_to_HPM,8060.0,8195.0,16255.0,189706.0,0.0424867953570261,-3.158561948809967
2019/2/19,Tuesday,LPW_to_HPM,9614.0,9941.0,19555.0,223116.0,0.0430896932537334,-3.144471446114159
2019/2/20,Wednesday,LPW_to_HPM,9720.0,10180.0,19900.0,231535.0,0.0419806940635325,-3.1705454315311696
2019/2/21,Thursday,LPW_to_HPM,9082.0,8983.0,18065.0,211431.0,0.0429549120043891,-3.1476042714476065
2019/2/22,Friday,LPW_to_HPM,9672.0,9969.0,19641.0,237378.0,0.0407451406617293,-3.200418693970746
2019/2/23,Saturday,LPW_to_HPM,7763.0,8718.0,16481.0,212333.0,0.0365604969552542,-3.3087869396205667
