Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,origin_total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,log_flow_share_LPW_to_HPM
2019/1/1,Tuesday,LPW_to_HPM,1092.0,983.0,2075.0,33925.0,0.0321886514369933,-3.4361413283982216
2019/1/2,Wednesday,LPW_to_HPM,1370.0,1271.0,2641.0,49045.0,0.0279335304312366,-3.577927504176246
2019/1/3,Thursday,LPW_to_HPM,1498.0,1516.0,3014.0,52524.0,0.0285202954839692,-3.557139322901732
2019/1/4,Friday,LPW_to_HPM,1536.0,1600.0,3136.0,56712.0,0.0270842149809564,-3.608804193827236
2019/1/5,Saturday,LPW_to_HPM,1338.0,1394.0,2732.0,50199.0,0.0266539174087133,-3.62481914447451
2019/1/6,Sunday,LPW_to_HPM,1074.0,1110.0,2184.0,42203.0,0.0254484278368836,-3.67110131247591
2019/1/7,Monday,LPW_to_HPM,1166.0,1283.0,2449.0,43231.0,0.0269713862737387,-3.6129787425679
2019/1/8,Tuesday,LPW_to_HPM,1361.0,1486.0,2847.0,53526.0,0.0254268953405821,-3.671947793490374
2019/1/9,Wednesday,LPW_to_HPM,1418.0,1523.0,2941.0,55460.0,0.0255679769203029,-3.666414612077697
2019/1/10,Thursday,LPW_to_HPM,1549.0,1616.0,3165.0,57013.0,0.0271692421026783,-3.60566975057121
2019/1/11,Friday,LPW_to_HPM,1690.0,1702.0,3392.0,61252.0,0.0275909358061777,-3.590267973017981
2019/1/12,Saturday,LPW_to_HPM,1392.0,1433.0,2825.0,51393.0,0.0270854007355087,-3.608760414504204
2019/1/13,Sunday,LPW_to_HPM,1154.0,1182.0,2336.0,42504.0,0.027150385846038,-3.6063640210627352
2019/1/14,Monday,LPW_to_HPM,1410.0,1507.0,2917.0,53993.0,0.0261144963235975,-3.645264704141921
2019/1/15,Tuesday,LPW_to_HPM,1401.0,1493.0,2894.0,55313.0,0.0253285846003651,-3.675821694920448
2019/1/16,Wednesday,LPW_to_HPM,1478.0,1599.0,3077.0,56577.0,0.026123689838627,-3.644912719672328
2019/1/17,Thursday,LPW_to_HPM,1416.0,1435.0,2851.0,56492.0,0.0250654959994335,-3.6862630399352914
2019/1/18,Friday,LPW_to_HPM,1596.0,1661.0,3257.0,61390.0,0.0259977194982896,-3.6497464564117887
2019/1/19,Saturday,LPW_to_HPM,1129.0,1200.0,2329.0,44216.0,0.0255337434412882,-3.6677544293634377
2019/1/20,Sunday,LPW_to_HPM,828.0,858.0,1686.0,31559.0,0.0262365727684654,-3.640600934394476
2019/1/21,Monday,LPW_to_HPM,1068.0,1148.0,2216.0,44562.0,0.0239666083209909,-3.7310937373772144
2019/1/22,Tuesday,LPW_to_HPM,1352.0,1476.0,2828.0,53684.0,0.0251844124878921,-3.6815300279147873
2019/1/23,Wednesday,LPW_to_HPM,1432.0,1399.0,2831.0,55065.0,0.0260056297103423,-3.6494422370784543
2019/1/24,Thursday,LPW_to_HPM,1394.0,1495.0,2889.0,55506.0,0.0251144020466255,-3.684313810678908
2019/1/25,Friday,LPW_to_HPM,1507.0,1595.0,3102.0,59560.0,0.0253022162525184,-3.676863288171453
2019/1/26,Saturday,LPW_to_HPM,1297.0,1398.0,2695.0,52073.0,0.0249073416165767,-3.692592674930212
2019/1/27,Sunday,LPW_to_HPM,1119.0,1108.0,2227.0,42472.0,0.0263467696364663,-3.636409605951586
2019/1/28,Monday,LPW_to_HPM,1322.0,1392.0,2714.0,53528.0,0.0246973546555074,-3.701059140051021
2019/1/29,Tuesday,LPW_to_HPM,1358.0,1403.0,2761.0,53833.0,0.0252261623910983,-3.679873632888466
2019/1/30,Wednesday,LPW_to_HPM,979.0,1015.0,1994.0,41549.0,0.0235625406146959,-3.748097090074771
2019/1/31,Thursday,LPW_to_HPM,1177.0,1295.0,2472.0,47623.0,0.0247149486592612,-3.700347009536268
2019/2/1,Friday,LPW_to_HPM,1260.0,1366.0,2626.0,49731.0,0.0253363093442721,-3.675516760147455
2019/2/2,Saturday,LPW_to_HPM,1439.0,1489.0,2928.0,53906.0,0.0266946165547434,-3.623293361068591
2019/2/3,Sunday,LPW_to_HPM,1115.0,1276.0,2391.0,44737.0,0.0249234414466772,-3.691946494811378
2019/2/4,Monday,LPW_to_HPM,1479.0,1525.0,3004.0,54807.0,0.0269856040286824,-3.612451739293882
2019/2/5,Tuesday,LPW_to_HPM,1363.0,1578.0,2941.0,55951.0,0.024360601240371,-3.7147881549848014
2019/2/6,Wednesday,LPW_to_HPM,1399.0,1530.0,2929.0,54829.0,0.0255156942493935,-3.668461555375526
2019/2/7,Thursday,LPW_to_HPM,1406.0,1519.0,2925.0,56712.0,0.0247919311609535,-3.697237035164247
2019/2/8,Friday,LPW_to_HPM,1456.0,1672.0,3128.0,59894.0,0.024309613650783,-3.71688338338496
2019/2/9,Saturday,LPW_to_HPM,1369.0,1457.0,2826.0,54371.0,0.0251788637325044,-3.6817503771782416
2019/2/10,Sunday,LPW_to_HPM,1099.0,1215.0,2314.0,44038.0,0.0249557200599482,-3.6906522221411104
2019/2/11,Monday,LPW_to_HPM,1334.0,1442.0,2776.0,52792.0,0.0252689801485073,-3.6781777165876894
2019/2/12,Tuesday,LPW_to_HPM,1362.0,1623.0,2985.0,55795.0,0.0244107894972667,-3.712730051910347
2019/2/13,Wednesday,LPW_to_HPM,1439.0,1538.0,2977.0,56704.0,0.0253773984198645,-3.673896327077387
2019/2/14,Thursday,LPW_to_HPM,1514.0,1731.0,3245.0,58635.0,0.0258207555214462,-3.656576632897772
2019/2/15,Friday,LPW_to_HPM,1483.0,1737.0,3220.0,58221.0,0.0254719087614434,-3.6701790512422754
2019/2/16,Saturday,LPW_to_HPM,1416.0,1353.0,2769.0,51478.0,0.0275068961498115,-3.593318536662868
2019/2/17,Sunday,LPW_to_HPM,1031.0,1104.0,2135.0,42169.0,0.024449239963006,-3.711156148902044
2019/2/18,Monday,LPW_to_HPM,1141.0,1429.0,2570.0,50451.0,0.0226160036471031,-3.789097497328785
2019/2/19,Tuesday,LPW_to_HPM,1452.0,1586.0,3038.0,58312.0,0.0249005350528193,-3.692865987677308
2019/2/20,Wednesday,LPW_to_HPM,1257.0,1283.0,2540.0,45726.0,0.0274898307308752,-3.593939134303925
2019/2/21,Thursday,LPW_to_HPM,1495.0,1662.0,3157.0,59783.0,0.0250071090443771,-3.688595132761999
2019/2/22,Friday,LPW_to_HPM,1585.0,1756.0,3341.0,63465.0,0.0249743953360119,-3.6899041655109
2019/2/23,Saturday,LPW_to_HPM,1477.0,1441.0,2918.0,55013.0,0.0268481995164779,-3.617556517390109
2019/2/24,Sunday,LPW_to_HPM,1196.0,1222.0,2418.0,44018.0,0.0271707028942705,-3.605615985644041
2019/2/25,Monday,LPW_to_HPM,1411.0,1544.0,2955.0,55761.0,0.0253044242391635,-3.676776027423652
2019/2/26,Tuesday,LPW_to_HPM,1462.0,1548.0,3010.0,57114.0,0.0255979269531113,-3.665243909169637
2019/2/27,Wednesday,LPW_to_HPM,1491.0,1607.0,3098.0,57974.0,0.0257184255010866,-3.660547598396091
2019/2/28,Thursday,LPW_to_HPM,1513.0,1595.0,3108.0,58812.0,0.0257260423042916,-3.6602514809091935
2019/3/1,Friday,LPW_to_HPM,1522.0,1712.0,3234.0,62250.0,0.0244497991967871,-3.7111332759053246
2019/3/2,Saturday,LPW_to_HPM,1482.0,1540.0,3022.0,56033.0,0.0264486998732889,-3.6325482760148966
2019/3/3,Sunday,LPW_to_HPM,1111.0,1138.0,2249.0,41505.0,0.0267678592940609,-3.620553391249508
