Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,origin_total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,log_flow_share_LPW_to_HPM
2019/1/1,Tuesday,LPW_to_HPM,1502.0,1505.0,3007.0,61429.0,0.0244509922023799,-3.711084483010204
2019/1/2,Wednesday,LPW_to_HPM,2110.0,1903.0,4013.0,84693.0,0.0249135111520432,-3.692345006126682
2019/1/3,Thursday,LPW_to_HPM,2181.0,2083.0,4264.0,88888.0,0.0245364953649536,-3.7075936630622177
2019/1/4,Friday,LPW_to_HPM,2343.0,2291.0,4634.0,94879.0,0.0246946110308919,-3.701170236039213
2019/1/5,Saturday,LPW_to_HPM,2049.0,1750.0,3799.0,82782.0,0.0247517576284699,-3.698858777197191
2019/1/6,Sunday,LPW_to_HPM,1672.0,1701.0,3373.0,72992.0,0.022906619903551,-3.776329331439471
2019/1/7,Monday,LPW_to_HPM,2050.0,2106.0,4156.0,83193.0,0.024641496279735,-3.703323416521949
2019/1/8,Tuesday,LPW_to_HPM,2359.0,2261.0,4620.0,95480.0,0.0247067448680351,-3.700679001045095
2019/1/9,Wednesday,LPW_to_HPM,2588.0,2418.0,5006.0,101250.0,0.0255604938271604,-3.666707329347998
2019/1/10,Thursday,LPW_to_HPM,2480.0,2554.0,5034.0,102823.0,0.0241191173181097,-3.724750503227703
2019/1/11,Friday,LPW_to_HPM,2731.0,2540.0,5271.0,109497.0,0.024941322593313,-3.691229309129404
2019/1/12,Saturday,LPW_to_HPM,2227.0,1989.0,4216.0,91672.0,0.0242931320359542,-3.71756160084892
2019/1/13,Sunday,LPW_to_HPM,1886.0,1777.0,3663.0,79317.0,0.0237780047152565,-3.738994297242477
2019/1/14,Monday,LPW_to_HPM,2232.0,2184.0,4416.0,92449.0,0.0241430410280262,-3.723759096597919
2019/1/15,Tuesday,LPW_to_HPM,2489.0,2102.0,4591.0,96948.0,0.0256735569583694,-3.662293728900118
2019/1/16,Wednesday,LPW_to_HPM,2561.0,2331.0,4892.0,100978.0,0.0253619600308978,-3.674504864115084
2019/1/17,Thursday,LPW_to_HPM,2350.0,2233.0,4583.0,96496.0,0.0243533410711324,-3.715086228552567
2019/1/18,Friday,LPW_to_HPM,2539.0,2469.0,5008.0,106791.0,0.0237754117856373,-3.739103350589747
2019/1/19,Saturday,LPW_to_HPM,2498.0,2070.0,4568.0,94111.0,0.0265431246081754,-3.62898452497421
2019/1/20,Sunday,LPW_to_HPM,2011.0,1843.0,3854.0,77760.0,0.0258616255144032,-3.654995049361672
2019/1/21,Monday,LPW_to_HPM,2102.0,2070.0,4172.0,86575.0,0.0242795264221773,-3.718121817833728
2019/1/22,Tuesday,LPW_to_HPM,2495.0,2432.0,4927.0,99823.0,0.0249942398044538,-3.689109888483745
2019/1/23,Wednesday,LPW_to_HPM,2434.0,2417.0,4851.0,102252.0,0.0238039353753471,-3.737904360068488
2019/1/24,Thursday,LPW_to_HPM,2560.0,2442.0,5002.0,103806.0,0.024661387588386,-3.70251651403797
2019/1/25,Friday,LPW_to_HPM,2718.0,2588.0,5306.0,109966.0,0.0247167306258298,-3.700274911375933
2019/1/26,Saturday,LPW_to_HPM,2443.0,2081.0,4524.0,96700.0,0.0252637021716649,-3.678386610183647
2019/1/27,Sunday,LPW_to_HPM,2012.0,1796.0,3808.0,82134.0,0.0244965544110843,-3.7092228076039375
2019/1/28,Monday,LPW_to_HPM,2289.0,2300.0,4589.0,95683.0,0.0239227448972126,-3.732925603255403
2019/1/29,Tuesday,LPW_to_HPM,2490.0,2239.0,4729.0,98129.0,0.0253747617931498,-3.674000229126325
2019/1/30,Wednesday,LPW_to_HPM,2431.0,2408.0,4839.0,101560.0,0.0239365892083497,-3.732347061502493
2019/1/31,Thursday,LPW_to_HPM,2524.0,2478.0,5002.0,99318.0,0.0254133188344509,-3.672481878827119
