Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,origin_total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,log_flow_share_LPW_to_HPM
2019/1/1,Tuesday,LPW_to_HPM,21.0,101.0,122.0,6686.0,0.0031408914148967,-5.763248629256652
2019/1/2,Wednesday,LPW_to_HPM,18.0,150.0,168.0,8551.0,0.002105016957081,-6.163431756259811
2019/1/3,Thursday,LPW_to_HPM,24.0,150.0,174.0,9024.0,0.0026595744680851,-5.929589143389897
2019/1/4,Friday,LPW_to_HPM,27.0,197.0,224.0,9586.0,0.0028166075526809,-5.872222113715281
2019/1/5,Saturday,LPW_to_HPM,26.0,122.0,148.0,8185.0,0.0031765424557116,-5.751961951783774
2019/1/6,Sunday,LPW_to_HPM,25.0,102.0,127.0,7130.0,0.0035063113604488,-5.653190688540144
2019/1/7,Monday,LPW_to_HPM,26.0,148.0,174.0,9767.0,0.0026620251868536,-5.928668097426029
2019/1/8,Tuesday,LPW_to_HPM,31.0,178.0,209.0,10315.0,0.0030053320407174,-5.807367221020207
2019/1/9,Wednesday,LPW_to_HPM,26.0,198.0,224.0,11478.0,0.0022652029970378,-6.090090900646831
2019/1/10,Thursday,LPW_to_HPM,39.0,201.0,240.0,11252.0,0.0034660504799146,-5.664739523480125
2019/1/11,Friday,LPW_to_HPM,34.0,210.0,244.0,11458.0,0.0029673590504451,-5.820082930352363
2019/1/12,Saturday,LPW_to_HPM,35.0,133.0,168.0,10326.0,0.0033895022273871,-5.687072203950204
2019/1/13,Sunday,LPW_to_HPM,29.0,114.0,143.0,9058.0,0.0032015897549127,-5.744107794129712
2019/1/14,Monday,LPW_to_HPM,30.0,181.0,211.0,11267.0,0.0026626431170675,-5.928435996502026
2019/1/15,Tuesday,LPW_to_HPM,23.0,165.0,188.0,10757.0,0.0021381426048154,-6.147817768502888
