Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,origin_total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,log_flow_share_LPW_to_HPM
2019/1/1,Tuesday,LPW_to_HPM,346.0,478.0,824.0,2957.0,0.1170104835982414,-2.1454917447947537
2019/1/2,Wednesday,LPW_to_HPM,402.0,562.0,964.0,3418.0,0.1176126389701579,-2.140358775056516
2019/1/3,Thursday,LPW_to_HPM,425.0,712.0,1137.0,3776.0,0.1125529661016949,-2.1843313583409745
2019/1/4,Friday,LPW_to_HPM,428.0,744.0,1172.0,4050.0,0.105679012345679,-2.247348964518788
2019/1/5,Saturday,LPW_to_HPM,418.0,614.0,1032.0,3990.0,0.1047619047619047,-2.2560650773591533
2019/1/6,Sunday,LPW_to_HPM,382.0,526.0,908.0,3390.0,0.1126843657817109,-2.183164591767921
2019/1/7,Monday,LPW_to_HPM,422.0,632.0,1054.0,3578.0,0.1179429849077697,-2.1375539500326526
2019/1/8,Tuesday,LPW_to_HPM,427.0,693.0,1120.0,4002.0,0.1066966516741629,-2.2377655019150544
2019/1/9,Wednesday,LPW_to_HPM,481.0,697.0,1178.0,4332.0,0.111034164358264,-2.1979173380151207
2019/1/10,Thursday,LPW_to_HPM,501.0,799.0,1300.0,4604.0,0.1088184187662901,-2.218074668756909
2019/1/11,Friday,LPW_to_HPM,478.0,692.0,1170.0,4309.0,0.1109306103504293,-2.1988504051243822
2019/1/12,Saturday,LPW_to_HPM,336.0,394.0,730.0,2763.0,0.1216069489685124,-2.106961164960213
2019/1/13,Sunday,LPW_to_HPM,389.0,442.0,831.0,3072.0,0.1266276041666666,-2.066504750649117
2019/1/14,Monday,LPW_to_HPM,536.0,713.0,1249.0,4210.0,0.1273159144893111,-2.0610837656056256
2019/1/15,Tuesday,LPW_to_HPM,521.0,679.0,1200.0,4248.0,0.1226459510357815,-2.098453521168408
2019/1/16,Wednesday,LPW_to_HPM,551.0,720.0,1271.0,4335.0,0.1271049596309112,-2.0627420800617275
2019/1/17,Thursday,LPW_to_HPM,517.0,691.0,1208.0,4310.0,0.119953596287703,-2.1206503085893647
2019/1/18,Friday,LPW_to_HPM,572.0,709.0,1281.0,4648.0,0.1230636833046471,-2.0950533071519497
