Date,Day of Week,flow_type_LPW_to_HPM,total_od_flow_LPW_to_HPM,total_do_flow_LPW_to_HPM,total_flow_LPW_to_HPM,origin_total_flow_LPW_to_HPM,flow_share_LPW_to_HPM,log_flow_share_LPW_to_HPM
2019/1/1,Tuesday,LPW_to_HPM,580.0,1960.0,2540.0,11076.0,0.0523654749006861,-2.949507780750389
2019/1/2,Wednesday,LPW_to_HPM,719.0,3191.0,3910.0,14424.0,0.0498474764281752,-2.998787407162108
2019/1/3,Thursday,LPW_to_HPM,792.0,3591.0,4383.0,15254.0,0.0519208076570079,-2.95803565090976
2019/1/4,Friday,LPW_to_HPM,802.0,3803.0,4605.0,16501.0,0.0486031149627295,-3.024067656246291
2019/1/5,Saturday,LPW_to_HPM,784.0,2496.0,3280.0,14736.0,0.0532030401737242,-2.9336397381446804
2019/1/6,Sunday,LPW_to_HPM,756.0,2185.0,2941.0,13773.0,0.0548900021781746,-2.902424056737801
2019/1/7,Monday,LPW_to_HPM,745.0,3396.0,4141.0,15429.0,0.0482856957677101,-3.0306199160634675
2019/1/8,Tuesday,LPW_to_HPM,779.0,3787.0,4566.0,17207.0,0.0452722729121869,-3.0950605108824094
2019/1/9,Wednesday,LPW_to_HPM,917.0,3932.0,4849.0,18167.0,0.0504761380525127,-2.9862545681822823
2019/1/10,Thursday,LPW_to_HPM,986.0,3925.0,4911.0,18457.0,0.0534214661104188,-2.9295426267046563
2019/1/11,Friday,LPW_to_HPM,1050.0,4225.0,5275.0,19408.0,0.0541014014839241,-2.916895188032264
2019/1/12,Saturday,LPW_to_HPM,1031.0,2453.0,3484.0,16603.0,0.0620972113473468,-2.779054196890828
2019/1/13,Sunday,LPW_to_HPM,744.0,1599.0,2343.0,11424.0,0.065126050420168,-2.7314306497462746
2019/1/14,Monday,LPW_to_HPM,744.0,2103.0,2847.0,13292.0,0.055973517905507,-2.8828765946413943
2019/1/15,Tuesday,LPW_to_HPM,980.0,3857.0,4837.0,19020.0,0.0515247108307045,-2.9656937644347643
2019/1/16,Wednesday,LPW_to_HPM,815.0,4005.0,4820.0,19295.0,0.0422389220005182,-3.164413160730858
2019/1/17,Thursday,LPW_to_HPM,716.0,4028.0,4744.0,18869.0,0.037945837087286,-3.271595475827069
2019/1/18,Friday,LPW_to_HPM,668.0,3312.0,3980.0,15652.0,0.0426782519805775,-3.154065809793659
2019/1/19,Saturday,LPW_to_HPM,573.0,1855.0,2428.0,11324.0,0.0506004945249028,-2.983793929517052
2019/1/20,Sunday,LPW_to_HPM,506.0,1527.0,2033.0,9466.0,0.053454468624551,-2.9289250411787284
2019/1/21,Monday,LPW_to_HPM,443.0,1280.0,1723.0,7901.0,0.056068852044045,-2.8811748426775985
2019/1/22,Tuesday,LPW_to_HPM,477.0,2291.0,2768.0,10739.0,0.0444175435329174,-3.1141207629698755
2019/1/23,Wednesday,LPW_to_HPM,537.0,2207.0,2744.0,11429.0,0.0469857380348236,-3.057911169388736
2019/1/24,Thursday,LPW_to_HPM,573.0,2282.0,2855.0,11793.0,0.0485881455100483,-3.024375697375231
2019/1/25,Friday,LPW_to_HPM,621.0,2467.0,3088.0,12758.0,0.0486753409625333,-3.022582722868422
2019/1/26,Saturday,LPW_to_HPM,593.0,1673.0,2266.0,10603.0,0.0559275676695274,-2.8836978599280743
2019/1/27,Sunday,LPW_to_HPM,526.0,1425.0,1951.0,9051.0,0.0581151254005082,-2.8453293150894616
2019/1/28,Monday,LPW_to_HPM,524.0,2239.0,2763.0,10920.0,0.0479853479853479,-3.036859564977856
2019/1/29,Tuesday,LPW_to_HPM,523.0,2139.0,2662.0,10725.0,0.0487645687645687,-3.020751279731296
2019/1/30,Wednesday,LPW_to_HPM,465.0,2031.0,2496.0,10068.0,0.0461859356376638,-3.075079950667852
2019/1/31,Thursday,LPW_to_HPM,470.0,2166.0,2636.0,11471.0,0.0409728881527329,-3.194844695577165
2019/2/1,Friday,LPW_to_HPM,509.0,2184.0,2693.0,11716.0,0.043444861727552,-3.136262691397103
2019/2/2,Saturday,LPW_to_HPM,536.0,1492.0,2028.0,10454.0,0.0512722402907977,-2.9706057982020666
2019/2/3,Sunday,LPW_to_HPM,454.0,1339.0,1793.0,9511.0,0.0477342025023656,-3.0421071044410395
2019/2/4,Monday,LPW_to_HPM,502.0,2111.0,2613.0,11270.0,0.0445430346051464,-3.1112994873420927
2019/2/5,Tuesday,LPW_to_HPM,510.0,2302.0,2812.0,12293.0,0.0414870251362564,-3.1823745479489696
2019/2/6,Wednesday,LPW_to_HPM,502.0,2236.0,2738.0,11502.0,0.0436445835506868,-3.131676092581971
2019/2/7,Thursday,LPW_to_HPM,500.0,2238.0,2738.0,11748.0,0.0425604358188627,-3.156830193896321
2019/2/8,Friday,LPW_to_HPM,491.0,2280.0,2771.0,12102.0,0.0405718063130061,-3.2046818793877465
2019/2/9,Saturday,LPW_to_HPM,526.0,1533.0,2059.0,10614.0,0.0495571886188053,-3.004627950650131
2019/2/10,Sunday,LPW_to_HPM,463.0,1239.0,1702.0,8925.0,0.0518767507002801,-2.958884552561606
2019/2/11,Monday,LPW_to_HPM,431.0,1880.0,2311.0,10378.0,0.0415301599537483,-3.181335369823937
2019/2/12,Tuesday,LPW_to_HPM,520.0,2066.0,2586.0,11050.0,0.0470588235294117,-3.056356895370427
2019/2/13,Wednesday,LPW_to_HPM,509.0,2137.0,2646.0,11481.0,0.0443341172371744,-3.116000757543291
2019/2/14,Thursday,LPW_to_HPM,512.0,2315.0,2827.0,11980.0,0.0427378964941569,-3.1526692466299333
2019/2/15,Friday,LPW_to_HPM,526.0,2207.0,2733.0,11689.0,0.0449995722474121,-3.1011022948700604
2019/2/16,Saturday,LPW_to_HPM,502.0,1425.0,1927.0,9048.0,0.0554818744473916,-2.8916988981042286
2019/2/17,Sunday,LPW_to_HPM,385.0,1173.0,1558.0,7930.0,0.0485498108448928,-3.02516498034111
2019/2/18,Monday,LPW_to_HPM,447.0,1345.0,1792.0,8076.0,0.0553491827637444,-2.89409338481916
2019/2/19,Tuesday,LPW_to_HPM,518.0,1916.0,2434.0,10608.0,0.0488310708898944,-3.0193884701661613
2019/2/20,Wednesday,LPW_to_HPM,360.0,977.0,1337.0,6715.0,0.0536113179448994,-2.925995077507184
2019/2/21,Thursday,LPW_to_HPM,469.0,1893.0,2362.0,10710.0,0.0437908496732026,-3.1283303949955155
2019/2/22,Friday,LPW_to_HPM,522.0,2008.0,2530.0,11802.0,0.0442297915607524,-3.118356699734476
2019/2/23,Saturday,LPW_to_HPM,536.0,1338.0,1874.0,10121.0,0.0529591937555577,-2.9382335911181
2019/2/24,Sunday,LPW_to_HPM,420.0,1109.0,1529.0,8737.0,0.0480714203960169,-3.0350674490206813
2019/2/25,Monday,LPW_to_HPM,475.0,1879.0,2354.0,10536.0,0.045083523158694,-3.0992384393884755
2019/2/26,Tuesday,LPW_to_HPM,500.0,2084.0,2584.0,11246.0,0.0444602525342343,-3.113159690429957
2019/2/27,Wednesday,LPW_to_HPM,517.0,1985.0,2502.0,10752.0,0.0480840773809523,-3.034804188254504
2019/2/28,Thursday,LPW_to_HPM,510.0,1962.0,2472.0,10919.0,0.0467075739536587,-3.063848944295696
2019/3/1,Friday,LPW_to_HPM,513.0,2003.0,2516.0,11017.0,0.0465644004719978,-3.066918968169296
2019/3/2,Saturday,LPW_to_HPM,606.0,1491.0,2097.0,10160.0,0.0596456692913385,-2.81933373506316
2019/3/3,Sunday,LPW_to_HPM,540.0,1086.0,1626.0,7999.0,0.0675084385548193,-2.6955026732905023
2019/3/4,Monday,LPW_to_HPM,518.0,1811.0,2329.0,10240.0,0.0505859375,-2.984081656334016
