city,flow_type,Sum_Observed_Flow,Sum_Predicted_Flow,Realization_Ratio_R
Los Angeles,HPM_to_LPW,2524982,2201007.518904,1.1471937184736765
Los Angeles,LPW_to_HPM,1598212,3394534.905,0.4708191386488892
San Diego,HPM_to_LPW,857183,840588.9016369999,1.0197410390866262
San Diego,LPW_to_HPM,953177,1251331.805,0.7617300191106717
"Washington, D.C",HPM_to_LPW,587715,474106.2463,1.2396272030111632
"Washington, D.C",LPW_to_HPM,163216,259571.4262,0.6287903193540229
Miami,HPM_to_LPW,393939,303943.0545,1.2960947590071616
Miami,LPW_to_HPM,320102,604214.5581130001,0.5297820049217261
Atlanta,HPM_to_LPW,670292,689240.2026,0.9725085644619652
Atlanta,LPW_to_HPM,423552,760841.1308,0.5566891468315484
Chicago,HPM_to_LPW,3346127,2748137.8643369987,1.2175979391074945
Chicago,LPW_to_HPM,1673232,2782390.563,0.6013648918757382
Boston,HPM_to_LPW,407229,381996.2803,1.0660548831597827
Boston,LPW_to_HPM,142029,297102.4748,0.4780471791967619
Detroit,HPM_to_LPW,1224796,1388299.78,0.8822273239179913
Detroit,LPW_to_HPM,1199506,2145674.3735350003,0.5590344997334394
New York,HPM_to_LPW,6177457,5378194.213505002,1.1486117374653366
New York,LPW_to_HPM,2612374,4845998.505551997,0.5390785814331222
Pittsburgh,HPM_to_LPW,545244,660817.7883439999,0.8251049073094322
Pittsburgh,LPW_to_HPM,525830,803082.8304920001,0.6547643406569356
Philadelphia,HPM_to_LPW,1716458,1473611.968278,1.1647964572422544
Philadelphia,LPW_to_HPM,892457,1345917.631103,0.663084411241881
Dallas,HPM_to_LPW,1500491,1573930.9866070002,0.9533397669707752
Dallas,LPW_to_HPM,836625,1681085.171,0.4976696091556672
San Francisco,HPM_to_LPW,53925,55214.67105,0.976642601877702
San Francisco,LPW_to_HPM,10837,27189.138360000004,0.3985782799186873
Houston,HPM_to_LPW,3269804,3280269.756,0.9968094832581316
Houston,LPW_to_HPM,3172550,4903364.940707001,0.6470148639482175
Phoenix,HPM_to_LPW,3323260,3266902.280782,1.0172511187584434
Phoenix,LPW_to_HPM,3246022,5698457.462804998,0.569631697909031
St. Louis,HPM_to_LPW,229847,226322.98122900003,1.015570750932422
St. Louis,LPW_to_HPM,182565,210308.0525,0.8680837361869849
