city,flow_type,total_flow,od_flow,do_flow,total_od_pairs,weighted_avg_asymmetry
"Washington, D.C",LPW_to_HPM,733677.6725,259571.4262,474106.2463,10899,0.3521694319123084
"Washington, D.C",HPM_to_LPW,733677.6725,474106.2463,259571.4262,10899,0.3521694319123084
Miami,LPW_to_HPM,908157.6126,604214.5581,303943.0545,28084,0.3916557048988121
Miami,HPM_to_LPW,908157.6126,303943.0545,604214.5581,28084,0.3916557048988121
Atlanta,LPW_to_HPM,1450081.333,760841.1308,689240.2026,22344,0.2721524148163552
Atlanta,HPM_to_LPW,1450081.333,689240.2026,760841.1308,22344,0.2721524148163552
Chicago,LPW_to_HPM,5530528.427,2782390.563,2748137.864,860669,0.2747094962324631
Chicago,HPM_to_LPW,5530528.427,2748137.864,2782390.563,860669,0.2747094962324631
Boston,LPW_to_HPM,679098.7551,297102.4748,381996.2803,19379,0.2798817829365235
Boston,HPM_to_LPW,679098.7551,381996.2803,297102.4748,19379,0.2798817829365235
Detroit,LPW_to_HPM,3533974.154,2145674.374,1388299.78,371330,0.3620524202872902
Detroit,HPM_to_LPW,3533974.154,1388299.78,2145674.374,371330,0.3620524202872902
St. Louis,LPW_to_HPM,436631.0338,210308.0525,226322.9812,12555,0.2567250878302131
St. Louis,HPM_to_LPW,436631.0338,226322.9812,210308.052541,12555,0.2567250878302131
New York,LPW_to_HPM,10224192.719057,4845998.506,5378194.214,1610636,0.2739670256060423
New York,HPM_to_LPW,10224192.719057,5378194.214,4845998.506,1610636,0.2739670256060423
Phoenix,LPW_to_HPM,8965359.744,5698457.463,3266902.281,395910,0.3301933949147473
Phoenix,HPM_to_LPW,8965359.744,3266902.281,5698457.463,395910,0.3301933949147473
Pittsburgh,LPW_to_HPM,1463900.619,803082.8305,660817.7883,56034,0.277845278459826
Pittsburgh,HPM_to_LPW,1463900.619,660817.7883,803082.8305,56034,0.277845278459826
Philadelphia,LPW_to_HPM,2819529.599,1345917.631,1473611.968,145923,0.29946615406427
Philadelphia,HPM_to_LPW,2819529.599,1473611.968,1345917.631,145923,0.29946615406427
Dallas,LPW_to_HPM,3255016.158,1681085.171,1573930.987,94424,0.2894260236959334
Dallas,HPM_to_LPW,3255016.158,1573930.987,1681085.171,94424,0.2894260236959334
Houston,LPW_to_HPM,8183634.696,4903364.941,3280269.756,237006,0.3262877422888622
Houston,HPM_to_LPW,8183634.696,3280269.756,4903364.941,237006,0.3262877422888622
Los Angeles,LPW_to_HPM,5595542.424,3394534.905,2201007.519,867212,0.3025579064765413
Los Angeles,HPM_to_LPW,5595542.424,2201007.519,3394534.905,867212,0.3025579064765413
San Diego,LPW_to_HPM,2091920.707,1251331.805,840588.9016,74347,0.2930475894591265
San Diego,HPM_to_LPW,2091920.707,840588.9016,1251331.805,74347,0.2930475894591265
San Francisco,LPW_to_HPM,82403.80941,27189.13836,55214.67105,1638,0.3996263405803813
San Francisco,HPM_to_LPW,82403.80941,55214.67105,27189.13836,1638,0.3996263405803813
