Date,Day of Week,total_flow,weighted_avg_asymmetry
2019/1/1,Tuesday,2273,0.8249010118785746
2019/1/2,Wednesday,2675,0.8429906542056075
2019/1/3,Thursday,2752,0.8510174418604651
2019/1/4,Friday,2950,0.8386440677966102
2019/1/5,Saturday,2681,0.8366281238343901
2019/1/6,Sunday,2402,0.855120732722731
2019/1/7,Monday,2649,0.855039637599094
2019/1/8,Tuesday,2854,0.8416257883672039
2019/1/9,Wednesday,3202,0.8388507183010618
2019/1/10,Thursday,3487,0.8474333237740178
2019/1/11,Friday,3556,0.8464566929133859
2019/1/12,Saturday,2979,0.8388721047331319
2019/1/13,Sunday,2724,0.8355359765051396
2019/1/14,Monday,3182,0.84098051539912
2019/1/15,Tuesday,3371,0.8374369623257194
2019/1/16,Wednesday,3202,0.8332292317301686
2019/1/17,Thursday,3370,0.8367952522255193
2019/1/18,Friday,3425,0.84
2019/1/19,Saturday,2792,0.8345272206303725
2019/1/20,Sunday,2438,0.8252666119770303
2019/1/21,Monday,2592,0.8325617283950617
2019/1/22,Tuesday,2973,0.853346787756475
2019/1/23,Wednesday,2948,0.8398914518317503
2019/1/24,Thursday,3191,0.8263867126292698
2019/1/25,Friday,3237,0.8362681495211616
2019/1/26,Saturday,2901,0.8214408824543261
2019/1/27,Sunday,2399,0.8299291371404752
2019/1/28,Monday,3200,0.8225
2019/1/29,Tuesday,2378,0.8410428931875525
2019/1/30,Wednesday,3105,0.8415458937198068
2019/1/31,Thursday,3525,0.8530496453900709
2019/2/1,Friday,3891,0.8370598817784631
2019/2/2,Saturday,4295,0.8472642607683353
2019/2/3,Sunday,3260,0.8564417177914111
2019/2/4,Monday,3127,0.8330668372241765
2019/2/5,Tuesday,3139,0.8426250398215992
2019/2/6,Wednesday,3118,0.8422065426555484
2019/2/7,Thursday,3476,0.8262370540851554
2019/2/8,Friday,3314,0.8346409173204586
2019/2/9,Saturday,3060,0.8483660130718954
2019/2/10,Sunday,2348,0.8509369676320273
2019/2/11,Monday,2865,0.8464223385689355
2019/2/12,Tuesday,3237,0.8455359901143034
2019/2/13,Wednesday,3221,0.8329711269791991
2019/2/14,Thursday,3475,0.8520863309352518
2019/2/15,Friday,3362,0.8340273646638905
2019/2/16,Saturday,2785,0.8391382405745063
2019/2/17,Sunday,2406,0.8412302576891105
2019/2/18,Monday,2880,0.8381944444444445
2019/2/19,Tuesday,2885,0.8571923743500867
2019/2/20,Wednesday,3054,0.8474132285527177
2019/2/21,Thursday,3119,0.846104520679705
2019/2/22,Friday,3390,0.8306784660766962
