Date,Day of Week,total_flow,weighted_avg_asymmetry
2019/1/1,Tuesday,840,0.9023809523809524
2019/1/2,Wednesday,1200,0.9033333333333332
2019/1/3,Thursday,1420,0.9140845070422536
2019/1/4,Friday,1512,0.902116402116402
2019/1/5,Saturday,1002,0.908183632734531
2019/1/6,Sunday,981,0.9041794087665648
2019/1/7,Monday,1333,0.905476369092273
2019/1/8,Tuesday,1475,0.9132203389830508
2019/1/9,Wednesday,1686,0.9157769869513642
2019/1/10,Thursday,1769,0.912945166760882
2019/1/11,Friday,1649,0.905397210430564
2019/1/12,Saturday,1112,0.8866906474820144
2019/1/13,Sunday,1000,0.894
2019/1/14,Monday,1557,0.903660886319846
2019/1/15,Tuesday,1527,0.903077930582842
2019/1/16,Wednesday,1625,0.9076923076923076
2019/1/17,Thursday,1563,0.9065898912348048
2019/1/18,Friday,1616,0.9096534653465348
2019/1/19,Saturday,1111,0.918991899189919
2019/1/20,Sunday,727,0.8954607977991746
2019/1/21,Monday,904,0.915929203539823
2019/1/22,Tuesday,1415,0.9123674911660776
2019/1/23,Wednesday,1430,0.9314685314685316
2019/1/24,Thursday,1473,0.9253224711473184
2019/1/25,Friday,1658,0.9107358262967432
2019/1/26,Saturday,1141,0.9246275197195444
2019/1/27,Sunday,931,0.9119226638023632
2019/1/28,Monday,1483,0.9150370869858396
2019/1/29,Tuesday,1489,0.9019476158495636
2019/1/30,Wednesday,1508,0.9018567639257294
2019/1/31,Thursday,1587,0.9168241965973536
2019/2/1,Friday,1598,0.904881101376721
2019/2/2,Saturday,1057,0.9053926206244088
2019/2/3,Sunday,971,0.8764160659114315
2019/2/4,Monday,1526,0.8990825688073395
2019/2/5,Tuesday,1597,0.9035691922354414
2019/2/6,Wednesday,1536,0.8971354166666666
2019/2/7,Thursday,1519,0.9065174456879526
2019/2/8,Friday,1624,0.9125615763546798
2019/2/9,Saturday,1125,0.9146666666666666
2019/2/10,Sunday,989,0.9009100101112234
2019/2/11,Monday,1562,0.9052496798975672
2019/2/12,Tuesday,1531,0.9046374918354017
2019/2/13,Wednesday,1525,0.8911475409836066
2019/2/14,Thursday,1541,0.890979883192732
2019/2/15,Friday,1550,0.92
2019/2/16,Saturday,1212,0.9042904290429042
2019/2/17,Sunday,923,0.9024918743228604
2019/2/18,Monday,1002,0.9101796407185628
2019/2/19,Tuesday,1429,0.9104268719384184
2019/2/20,Wednesday,1486,0.9071332436069988
2019/2/21,Thursday,1395,0.9082437275985664
2019/2/22,Friday,1494,0.8902275769745649
2019/2/23,Saturday,1187,0.9106992417860152
