Date,Day of Week,total_flow,weighted_avg_asymmetry
2019/1/1,Tuesday,8563,0.9397407450659816
2019/1/2,Wednesday,12171,0.9426505628132446
2019/1/3,Thursday,12829,0.9441889469171408
2019/1/4,Friday,14140,0.9489391796322488
2019/1/5,Saturday,12015,0.9449022055763628
2019/1/6,Sunday,9789,0.9368679129635304
2019/1/7,Monday,12466,0.9395154821113428
2019/1/8,Tuesday,13431,0.943712307348671
2019/1/9,Wednesday,14888,0.939817302525524
2019/1/10,Thursday,14895,0.9405169519973146
2019/1/11,Friday,15823,0.941224799342729
2019/1/12,Saturday,12218,0.9381240792273694
2019/1/13,Sunday,10391,0.9326340102011356
2019/1/14,Monday,14280,0.9417366946778712
2019/1/15,Tuesday,13922,0.943829909495762
2019/1/16,Wednesday,14409,0.9465611770421264
2019/1/17,Thursday,14659,0.9510198512858996
2019/1/18,Friday,14989,0.9484955634131697
2019/1/19,Saturday,10074,0.9499702203692674
2019/1/20,Sunday,9534,0.9504929725194042
2019/1/21,Monday,11480,0.945121951219512
2019/1/22,Tuesday,13621,0.9465531165112694
2019/1/23,Wednesday,13545,0.9446290143964564
2019/1/24,Thursday,14113,0.9522426131935096
2019/1/25,Friday,13292,0.9504965392717424
2019/1/26,Saturday,11337,0.9467231189909148
2019/1/27,Sunday,9229,0.9475566150178784
2019/1/28,Monday,11860,0.9446880269814504
2019/1/29,Tuesday,12164,0.9516606379480436
2019/1/30,Wednesday,5775,0.9442424242424242
2019/1/31,Thursday,9723,0.9475470533785868
2019/2/1,Friday,13650,0.9410989010989012
2019/2/2,Saturday,12146,0.9413798781491848
2019/2/3,Sunday,9450,0.9396825396825396
2019/2/4,Monday,13168,0.9501822600243012
2019/2/5,Tuesday,13511,0.9381244911553548
2019/2/6,Wednesday,13548,0.9458222615884264
2019/2/7,Thursday,13707,0.9419274823083096
2019/2/8,Friday,13937,0.9378632417306452
2019/2/9,Saturday,12047,0.9332613928778948
2019/2/10,Sunday,9316,0.9321597252039502
2019/2/11,Monday,13171,0.9400197403386228
2019/2/12,Tuesday,13708,0.9398891158447622
