Date,Day of Week,total_flow,weighted_avg_asymmetry
2019/1/1,Tuesday,3313,0.8853003320253546
2019/1/2,Wednesday,4799,0.8828922692227548
2019/1/3,Thursday,5289,0.8752127056154283
2019/1/4,Friday,6186,0.8813449725185903
2019/1/5,Saturday,5285,0.8800378429517502
2019/1/6,Sunday,4972,0.8829444891391794
2019/1/7,Monday,5712,0.8855042016806722
2019/1/8,Tuesday,6350,0.8768503937007874
2019/1/9,Wednesday,6703,0.866328509622557
2019/1/10,Thursday,6536,0.8751529987760098
2019/1/11,Friday,6676,0.8756740563211504
2019/1/12,Saturday,5347,0.8803067140452591
2019/1/13,Sunday,4667,0.859867152346261
2019/1/14,Monday,6151,0.882295561697285
2019/1/15,Tuesday,6483,0.8574733919481722
2019/1/16,Wednesday,7082,0.8890144027110986
2019/1/17,Thursday,7372,0.9007053716766142
2019/1/18,Friday,7682,0.8987242905493361
2019/1/19,Saturday,5861,0.8942160040948643
2019/1/20,Sunday,5481,0.8901660280970626
2019/1/21,Monday,6392,0.9061326658322904
2019/1/22,Tuesday,7474,0.8921594862188922
2019/1/23,Wednesday,7260,0.8608815426997245
2019/1/24,Thursday,7129,0.8630944031420956
2019/1/25,Friday,7348,0.8786064235166031
2019/1/26,Saturday,6034,0.8704010606562811
2019/1/27,Sunday,5463,0.8689364817865641
2019/1/28,Monday,6854,0.8742340239276335
2019/1/29,Tuesday,6678,0.8619347109913148
2019/1/30,Wednesday,6938,0.8639377342173538
2019/1/31,Thursday,7466,0.8706134476292526
2019/2/1,Friday,7514,0.8240617513973916
2019/2/2,Saturday,6236,0.8258499037844772
2019/2/3,Sunday,5288,0.8010590015128594
2019/2/4,Monday,6903,0.8212371432710416
2019/2/5,Tuesday,7189,0.7941299207121992
2019/2/6,Wednesday,7414,0.7868896681953061
2019/2/7,Thursday,7212,0.7983915696062118
2019/2/8,Friday,7492,0.8128670581954084
2019/2/9,Saturday,6365,0.7860172820109976
2019/2/10,Sunday,5391,0.775551845668707
2019/2/11,Monday,6790,0.7846833578792342
2019/2/12,Tuesday,7531,0.7976364360642677
2019/2/13,Wednesday,7410,0.786774628879892
2019/2/14,Thursday,7666,0.7967649360813984
2019/2/15,Friday,7511,0.8050858740513913
2019/2/16,Saturday,5878,0.782238856753998
2019/2/17,Sunday,5295,0.7726156751652502
2019/2/18,Monday,6296,0.786848792884371
2019/2/19,Tuesday,7073,0.7890569772373816
2019/2/20,Wednesday,7272,0.8223322332233224
2019/2/21,Thursday,7190,0.8333796940194715
2019/2/22,Friday,7695,0.8362573099415205
2019/2/23,Saturday,6502,0.8019071055059982
2019/2/24,Sunday,5471,0.8051544507402668
2019/2/25,Monday,7130,0.8159887798036466
2019/2/26,Tuesday,6970,0.8146341463414634
2019/2/27,Wednesday,6936,0.8117070357554786
2019/2/28,Thursday,6855,0.8077315827862874
2019/3/1,Friday,7804,0.7798564838544336
2019/3/2,Saturday,6690,0.7449925261584455
2019/3/3,Sunday,5711,0.724391525126948
2019/3/4,Monday,6933,0.7706620510601471
2019/3/5,Tuesday,7214,0.7807041863044081
2019/3/6,Wednesday,7569,0.8007662835249042
2019/3/7,Thursday,7763,0.8139894370732964
2019/3/8,Friday,7880,0.8053299492385787
2019/3/9,Saturday,6310,0.8117274167987322
2019/3/10,Sunday,5073,0.8158880346934753
2019/3/11,Monday,6431,0.82553257658218
2019/3/12,Tuesday,6106,0.8349164755977727
2019/3/13,Wednesday,6165,0.8167072181670721
2019/3/14,Thursday,6262,0.8192270839987225
2019/3/15,Friday,6762,0.8181011535048802
2019/3/16,Saturday,6066,0.7906363336630399
2019/3/17,Sunday,5154,0.7729918509895227
2019/3/18,Monday,6810,0.7935389133627019
2019/3/19,Tuesday,7181,0.7958501601448267
2019/3/20,Wednesday,7258,0.7894736842105263
2019/3/21,Thursday,7030,0.7795163584637269
2019/3/22,Friday,7600,0.785
2019/3/23,Saturday,6350,0.7486614173228346
2019/3/24,Sunday,5755,0.7522154648132059
2019/3/25,Monday,7196,0.7759866592551418
2019/3/26,Tuesday,7254,0.7805348773090709
2019/3/27,Wednesday,7815,0.7770953294945617
2019/3/28,Thursday,7572,0.7828843106180665
2019/3/29,Friday,7887,0.7748193229364777
2019/3/30,Saturday,6585,0.7609719058466211
2019/3/31,Sunday,5899,0.7287675877267333
2019/4/1,Monday,7555,0.7662475181998676
2019/4/2,Tuesday,7814,0.8098285129255183
2019/4/3,Wednesday,7116,0.8285553681843733
2019/4/4,Thursday,6557,0.8481012658227848
2019/4/5,Friday,6952,0.85385500575374
2019/4/6,Saturday,5388,0.856347438752784
2019/4/7,Sunday,4798,0.8382659441433931
2019/4/8,Monday,6159,0.8610163987660334
2019/4/9,Tuesday,6586,0.8612207713331309
2019/4/10,Wednesday,6440,0.8934782608695652
2019/4/11,Thursday,5973,0.8988782856186172
2019/4/12,Friday,6645,0.8874341610233258
2019/4/13,Saturday,4569,0.8971328518275333
2019/4/14,Sunday,4576,0.8959790209790209
2019/4/15,Monday,6046,0.9014224280516044
2019/4/16,Tuesday,6330,0.8992101105845182
2019/4/17,Wednesday,6169,0.8959312692494732
2019/4/18,Thursday,6475,0.8909652509652509
2019/4/19,Friday,6413,0.8936535162950258
2019/4/20,Saturday,5132,0.897116134060795
2019/4/21,Sunday,4101,0.917093391855645
2019/4/22,Monday,7554,0.7836907598623246
2019/4/23,Tuesday,9651,0.7073878354574655
2019/4/24,Wednesday,9612,0.6704119850187266
2019/4/25,Thursday,10228,0.7186155651153696
2019/4/26,Friday,10428,0.7027234369006521
2019/4/27,Saturday,9133,0.6984561480345998
2019/4/28,Sunday,8137,0.69374462332555
2019/4/29,Monday,9416,0.697536108751062
2019/4/30,Tuesday,9326,0.6901136607334334
2019/5/1,Wednesday,9987,0.6946029838790427
2019/5/2,Thursday,8732,0.7455336692624828
2019/5/3,Friday,8513,0.7965464583578057
2019/5/4,Saturday,6823,0.7783965997361865
2019/5/5,Sunday,5700,0.7926315789473685
2019/5/6,Monday,7165,0.7923237962316818
2019/5/7,Tuesday,7001,0.8017426081988287
2019/5/8,Wednesday,7244,0.7893429044726671
2019/5/9,Thursday,7822,0.8125799028381488
2019/5/10,Friday,8357,0.8008854852219696
2019/5/11,Saturday,6493,0.7899276143539196
2019/5/12,Sunday,6119,0.8002941657133519
2019/5/13,Monday,7452,0.8217928073000537
2019/5/14,Tuesday,7558,0.8150304313310399
2019/5/15,Wednesday,7374,0.8123135340385137
2019/5/16,Thursday,7426,0.8125504982493941
2019/5/17,Friday,7839,0.8285495598928435
2019/5/18,Saturday,6130,0.8
2019/5/19,Sunday,5522,0.803694313654473
2019/5/20,Monday,6687,0.8328099297143712
2019/5/21,Tuesday,7025,0.8209252669039145
2019/5/22,Wednesday,7348,0.8124659771366358
2019/5/23,Thursday,7426,0.8138971182332346
2019/5/24,Friday,7546,0.8242777630532733
2019/5/25,Saturday,6155,0.8034118602761983
2019/5/26,Sunday,5393,0.8149452994622659
2019/5/27,Monday,4905,0.8071355759429154
2019/5/28,Tuesday,7068,0.8019241652518393
2019/5/29,Wednesday,7094,0.8212574006202424
2019/5/30,Thursday,7190,0.8364394993045897
2019/5/31,Friday,7388,0.8280996210070385
2019/6/1,Saturday,6876,0.8138452588714369
2019/6/2,Sunday,6091,0.8000328353308159
