Date,Day of Week,total_flow,weighted_avg_asymmetry
2019/1/1,Tuesday,4464,0.9050179211469536
2019/1/2,Wednesday,6163,0.9240629563524256
2019/1/3,Thursday,6646,0.9163406560337044
2019/1/4,Friday,7171,0.9302747176126064
2019/1/5,Saturday,6272,0.9301658163265306
2019/1/6,Sunday,5473,0.938607710579207
2019/1/7,Monday,5927,0.9352117428716044
2019/1/8,Tuesday,6906,0.9244135534317984
2019/1/9,Wednesday,7532,0.9232607541157728
2019/1/10,Thursday,7873,0.9270925949447478
2019/1/11,Friday,8462,0.9272039706925076
2019/1/12,Saturday,6898,0.927225282690635
2019/1/13,Sunday,6222,0.9251044680167148
2019/1/14,Monday,7661,0.925336118000261
2019/1/15,Tuesday,7703,0.931455277164741
2019/1/16,Wednesday,7423,0.9374915802236292
2019/1/17,Thursday,7179,0.939545897757348
2019/1/18,Friday,7919,0.9295365576461676
2019/1/19,Saturday,5063,0.9344262295081968
2019/1/20,Sunday,4951,0.9402140981619876
2019/1/21,Monday,5840,0.9397260273972604
2019/1/22,Tuesday,7047,0.9310344827586208
2019/1/23,Wednesday,6223,0.9296159408645348
2019/1/24,Thursday,7451,0.9355791168970607
2019/1/25,Friday,7568,0.9331395348837208
2019/1/26,Saturday,6393,0.9405599874863132
2019/1/27,Sunday,5221,0.935261444167784
2019/1/28,Monday,5602,0.9371652981078188
2019/1/29,Tuesday,6399,0.9331145491483044
2019/1/30,Wednesday,5043,0.9302002776125322
2019/1/31,Thursday,6109,0.9243738746112292
2019/2/1,Friday,7720,0.917098445595855
2019/2/2,Saturday,6947,0.925435439758169
2019/2/3,Sunday,5932,0.913688469318948
2019/2/4,Monday,7574,0.917612886189596
2019/2/5,Tuesday,7917,0.9080459770114944
2019/2/6,Wednesday,6562,0.9216702224931425
2019/2/7,Thursday,7710,0.9115434500648508
2019/2/8,Friday,8140,0.9125307125307124
2019/2/9,Saturday,7282,0.918429003021148
2019/2/10,Sunday,5790,0.9088082901554404
2019/2/11,Monday,7126,0.9177659275891104
2019/2/12,Tuesday,6498,0.8984302862419206
2019/2/13,Wednesday,6800,0.9123529411764706
2019/2/14,Thursday,7626,0.9137162339365328
2019/2/15,Friday,7498,0.9021072285942918
2019/2/16,Saturday,6408,0.91729088639201
2019/2/17,Sunday,5384,0.9115898959881128
2019/2/18,Monday,6273,0.8992507572134545
2019/2/19,Tuesday,7079,0.9081791213448228
2019/2/20,Wednesday,7059,0.9113188836945744
2019/2/21,Thursday,7287,0.9151914368052696
2019/2/22,Friday,7884,0.9155251141552512
2019/2/23,Saturday,6799,0.9105750845712604
2019/2/24,Sunday,5327,0.9207809273512296
2019/2/25,Monday,7042,0.9176370349332575
2019/2/26,Tuesday,7078,0.920033907883583
2019/2/27,Wednesday,6777,0.917957798435886
2019/2/28,Thursday,7151,0.9166550132848552
2019/3/1,Friday,7802,0.9254037426300948
2019/3/2,Saturday,6621,0.9178371847152998
2019/3/3,Sunday,5588,0.9137437365783824
2019/3/4,Monday,6762,0.9207335107956226
2019/3/5,Tuesday,6946,0.9185142528073712
2019/3/6,Wednesday,7198,0.9327590997499304
2019/3/7,Thursday,7599,0.9331490985656008
2019/3/8,Friday,7772,0.9333504889346372
2019/3/9,Saturday,6632,0.9221954161640532
2019/3/10,Sunday,5555,0.9301530153015302
2019/3/11,Monday,7151,0.9272828974968536
2019/3/12,Tuesday,7022,0.9262318427798348
