Date,Day of Week,total_flow,weighted_avg_asymmetry
2019/1/1,Tuesday,10345,0.8903818269695505
2019/1/2,Wednesday,14847,0.9043577827170473
2019/1/3,Thursday,16128,0.9011656746031746
2019/1/4,Friday,18118,0.8965669499944806
2019/1/5,Saturday,14736,0.8931867535287731
2019/1/6,Sunday,12586,0.8962339106944224
2019/1/7,Monday,15528,0.9028851107676455
2019/1/8,Tuesday,17247,0.8991128891981214
2019/1/9,Wednesday,19180,0.8991657977059437
2019/1/10,Thursday,19921,0.8974951056673862
2019/1/11,Friday,20677,0.8952459254243846
2019/1/12,Saturday,16363,0.893540304345169
2019/1/13,Sunday,13424,0.8885578069129917
2019/1/14,Monday,18385,0.9016589611096002
2019/1/15,Tuesday,18849,0.8980317258209984
2019/1/16,Wednesday,18992,0.8984835720303286
2019/1/17,Thursday,18889,0.9000476467785483
2019/1/18,Friday,20256,0.8981042654028436
2019/1/19,Saturday,14968,0.889497594869054
2019/1/20,Sunday,12388,0.8942525024216984
2019/1/21,Monday,16484,0.9039068187333172
2019/1/22,Tuesday,18589,0.8990801011350799
2019/1/23,Wednesday,17607,0.9059464985517124
2019/1/24,Thursday,18734,0.9074410163339384
2019/1/25,Friday,19846,0.9009372165675704
2019/1/26,Saturday,15480,0.9001291989664083
2019/1/27,Sunday,12928,0.8971225247524752
2019/1/28,Monday,17884,0.9104227242227688
2019/1/29,Tuesday,17231,0.9125993848296676
2019/1/30,Wednesday,17371,0.9130735133268092
2019/1/31,Thursday,19049,0.9077116909024096
2019/2/1,Friday,19463,0.899501618455531
2019/2/2,Saturday,15455,0.897767712714332
2019/2/3,Sunday,12199,0.8909746700549225
2019/2/4,Monday,17415,0.9012345679012346
2019/2/5,Tuesday,18304,0.8967438811188811
2019/2/6,Wednesday,18155,0.8997521343982374
2019/2/7,Thursday,17743,0.8985515414529673
2019/2/8,Friday,18537,0.8989048929168689
2019/2/9,Saturday,15000,0.8934666666666666
2019/2/10,Sunday,12386,0.8974648797028904
2019/2/11,Monday,16734,0.897454284689853
2019/2/12,Tuesday,18084,0.9011280690112808
2019/2/13,Wednesday,18072,0.9077025232403718
2019/2/14,Thursday,18783,0.903742746100197
2019/2/15,Friday,19134,0.9011184279293404
2019/2/16,Saturday,14852,0.9016967411796392
2019/2/17,Sunday,12145,0.906134211609716
2019/2/18,Monday,17319,0.8994168254518159
2019/2/19,Tuesday,18032,0.8999556344276841
2019/2/20,Wednesday,19394,0.8936784572548211
2019/2/21,Thursday,18742,0.9044925835022944
2019/2/22,Friday,20187,0.9015207807004508
2019/2/23,Saturday,16122,0.8910805111028408
2019/2/24,Sunday,13382,0.8980720370647138
2019/2/25,Monday,18359,0.902935889754344
2019/2/26,Tuesday,18266,0.8998138618197744
2019/2/27,Wednesday,18972,0.8999578325954037
2019/2/28,Thursday,18821,0.9026619201955264
2019/3/1,Friday,20505,0.8962204340404779
2019/3/2,Saturday,17079,0.8894548861174542
2019/3/3,Sunday,13355,0.9004118307749907
2019/3/4,Monday,18061,0.904213498698854
2019/3/5,Tuesday,18440,0.9
2019/3/6,Wednesday,18937,0.8959708507155304
2019/3/7,Thursday,19632,0.8949674001629991
2019/3/8,Friday,20716,0.8957327669434254
2019/3/9,Saturday,16537,0.8986515087379815
2019/3/10,Sunday,13134,0.9040657834627684
2019/3/11,Monday,17680,0.9029411764705882
2019/3/12,Tuesday,17460,0.9065292096219932
2019/3/13,Wednesday,17357,0.906204989341476
2019/3/14,Thursday,17776,0.9063906390639064
2019/3/15,Friday,18761,0.9013911838388146
2019/3/16,Saturday,16112,0.900695134061569
2019/3/17,Sunday,13815,0.9022801302931596
2019/3/18,Monday,18185,0.9002474566950783
2019/3/19,Tuesday,19179,0.8964492413577351
2019/3/20,Wednesday,19463,0.8979602322355238
2019/3/21,Thursday,19199,0.8983280379186416
2019/3/22,Friday,20240,0.8969367588932806
2019/3/23,Saturday,16715,0.8868082560574334
2019/3/24,Sunday,13578,0.8980704080129621
2019/3/25,Monday,18623,0.8938946464049831
2019/3/26,Tuesday,18916,0.8980757031084796
2019/3/27,Wednesday,19282,0.8988694118867337
2019/3/28,Thursday,19520,0.8956967213114754
2019/3/29,Friday,20564,0.889612915775141
2019/3/30,Saturday,16294,0.8897753774395483
2019/3/31,Sunday,13086,0.8959193030719853
2019/4/1,Monday,18503,0.8954764092309355
2019/4/2,Tuesday,19127,0.8897893030794165
2019/4/3,Wednesday,18571,0.903290075924829
2019/4/4,Thursday,18879,0.8992531384077547
2019/4/5,Friday,20285,0.8930244022676855
2019/4/6,Saturday,16093,0.893991176287827
2019/4/7,Sunday,12278,0.8970516370744421
2019/4/8,Monday,18490,0.900054083288264
2019/4/9,Tuesday,18793,0.8976214547969988
2019/4/10,Wednesday,18684,0.8957396703061443
2019/4/11,Thursday,18884,0.901927557720822
2019/4/12,Friday,20093,0.8980739561041159
2019/4/13,Saturday,16530,0.8978826376285541
2019/4/14,Sunday,13577,0.9035132945422406
2019/4/15,Monday,18924,0.9010779961953076
2019/4/16,Tuesday,18920,0.8992600422832981
2019/4/17,Wednesday,19062,0.9020039869898226
2019/4/18,Thursday,19548,0.8981993042766523
2019/4/19,Friday,18408,0.8922207735767058
2019/4/20,Saturday,14592,0.8958333333333334
2019/4/21,Sunday,11333,0.9032912732727432
2019/4/22,Monday,19589,0.8966767063147685
2019/4/23,Tuesday,21909,0.8825140353279474
2019/4/24,Wednesday,22746,0.8831442891057768
2019/4/25,Thursday,23009,0.8859576687383198
2019/4/26,Friday,24363,0.8812133152731602
2019/4/27,Saturday,19147,0.8799811980989188
2019/4/28,Sunday,15609,0.8850663078992889
2019/4/29,Monday,21060,0.8897435897435897
2019/4/30,Tuesday,21096,0.8838642396662875
2019/5/1,Wednesday,22346,0.8799785196455742
2019/5/2,Thursday,21826,0.8853660771556858
2019/5/3,Friday,22551,0.8799166334087181
2019/5/4,Saturday,17618,0.8802361221478033
2019/5/5,Sunday,14455,0.90051885160844
2019/5/6,Monday,19570,0.8937148696985181
2019/5/7,Tuesday,18802,0.8992660355281353
2019/5/8,Wednesday,20723,0.8934517203107658
2019/5/9,Thursday,20767,0.8899215100881206
2019/5/10,Friday,20157,0.8819268740387954
2019/5/11,Saturday,16462,0.8780221115295833
2019/5/12,Sunday,14765,0.893125634947511
2019/5/13,Monday,19879,0.8928517531062931
2019/5/14,Tuesday,20360,0.8930255402750491
2019/5/15,Wednesday,20511,0.8961532836039199
2019/5/16,Thursday,21260,0.8947318908748824
2019/5/17,Friday,21770,0.890032154340836
2019/5/18,Saturday,17285,0.8918137113103847
2019/5/19,Sunday,13672,0.90081919251024
2019/5/20,Monday,19006,0.8922445543512575
2019/5/21,Tuesday,19426,0.8917945022135283
2019/5/22,Wednesday,19888,0.8949115044247787
2019/5/23,Thursday,19957,0.8980808738788395
2019/5/24,Friday,20632,0.8978286157425359
2019/5/25,Saturday,16372,0.8918885902760811
2019/5/26,Sunday,13041,0.8989341308181887
2019/5/27,Monday,12474,0.9095719095719096
2019/5/28,Tuesday,18416,0.8994352736750652
2019/5/29,Wednesday,19559,0.8994836136816811
2019/5/30,Thursday,20277,0.8956453124229422
2019/5/31,Friday,21285,0.8910030537937514
2019/6/1,Saturday,17279,0.8887667110365183
2019/6/2,Sunday,14846,0.9021958776774888
2019/6/3,Monday,19328,0.9003518211920529
2019/6/4,Tuesday,20255,0.8936558874352012
2019/6/5,Wednesday,18610,0.8958624395486298
2019/6/6,Thursday,20844,0.8949337938975245
2019/6/7,Friday,20897,0.8988371536584199
2019/6/8,Saturday,17171,0.892842583425543
2019/6/9,Sunday,14059,0.9001351447471371
2019/6/10,Monday,19363,0.9004286525848267
2019/6/11,Tuesday,19859,0.8948587542172315
2019/6/12,Wednesday,20268,0.8996447602131439
2019/6/13,Thursday,19252,0.8977768543527945
2019/6/14,Friday,20598,0.8985338382367221
2019/6/15,Saturday,17158,0.8948595407390139
2019/6/16,Sunday,14095,0.8957076977651649
2019/6/17,Monday,18911,0.8992120987784887
2019/6/18,Tuesday,20321,0.8956744254711875
2019/6/19,Wednesday,19790,0.9028802425467408
2019/6/20,Thursday,20381,0.9010843432608804
2019/6/21,Friday,20785,0.8983882607649747
2019/6/22,Saturday,17601,0.893187887051872
2019/6/23,Sunday,14350,0.9021602787456446
2019/6/24,Monday,17242,0.9056953949657812
2019/6/25,Tuesday,16762,0.9091993795489798
2019/6/26,Wednesday,17565,0.9075434101907202
2019/6/27,Thursday,18456,0.9026874729085392
2019/6/28,Friday,19551,0.899135594087259
2019/6/29,Saturday,15310,0.905943827563684
2019/6/30,Sunday,12893,0.9036686574109982
2019/7/1,Monday,17330,0.905135603000577
2019/7/2,Tuesday,17881,0.9011240982047984
2019/7/3,Wednesday,18585,0.8902340597255851
2019/7/4,Thursday,12442,0.8919787815463752
2019/7/5,Friday,16054,0.8962252398156223
2019/7/6,Saturday,14520,0.8917355371900827
2019/7/7,Sunday,12714,0.898851659587856
2019/7/8,Monday,17265,0.8972487691862149
2019/7/9,Tuesday,17883,0.9014706704691606
2019/7/10,Wednesday,18743,0.8975617563890519
2019/7/11,Thursday,18268,0.902233413619444
2019/7/12,Friday,18859,0.9040246036375206
2019/7/13,Saturday,15546,0.9031262060980316
2019/7/14,Sunday,12549,0.9066061040720376
2019/7/15,Monday,17048,0.9067339277334584
2019/7/16,Tuesday,18353,0.9019233912711818
2019/7/17,Wednesday,17827,0.9047512200594604
2019/7/18,Thursday,17799,0.918197651553458
2019/7/19,Friday,18156,0.90857016964089
2019/7/20,Saturday,15440,0.9073834196891192
2019/7/21,Sunday,12668,0.9145879381117776
2019/7/22,Monday,16434,0.916879639771206
2019/7/23,Tuesday,17280,0.911574074074074
2019/7/24,Wednesday,17386,0.9078568963533876
2019/7/25,Thursday,17266,0.913703231785011
2019/7/26,Friday,18018,0.912087912087912
2019/7/27,Saturday,14591,0.9065177164005208
2019/7/28,Sunday,12142,0.9145116125844176
2019/7/29,Monday,15999,0.9132445777861116
2019/7/30,Tuesday,15840,0.919949494949495
2019/7/31,Wednesday,16648,0.9143440653531956
2019/8/1,Thursday,17230,0.910272780034823
2019/8/2,Friday,17817,0.9055957793118932
2019/8/3,Saturday,14698,0.9010749761872364
2019/8/4,Sunday,12197,0.9155530048372552
2019/8/5,Monday,16293,0.9097772049346344
2019/8/6,Tuesday,16285,0.9089960085968682
2019/8/7,Wednesday,16441,0.9137522048537192
2019/8/8,Thursday,17058,0.9029194512838552
2019/8/9,Friday,19906,0.8877725308952075
2019/8/10,Saturday,16149,0.8892810700352963
2019/8/11,Sunday,14059,0.8820684259193399
2019/8/12,Monday,18292,0.8907719221517604
2019/8/13,Tuesday,18659,0.8869178412562302
2019/8/14,Wednesday,19386,0.8666047663262147
2019/8/15,Thursday,20389,0.8643386139585071
2019/8/16,Friday,21647,0.8694507322030767
2019/8/17,Saturday,18061,0.8640163889042689
2019/8/18,Sunday,14943,0.863748912534297
2019/8/19,Monday,20171,0.879133409350057
2019/8/20,Tuesday,20269,0.8739947703389412
2019/8/21,Wednesday,20008,0.8756497401039585
2019/8/22,Thursday,20145,0.8851327872921321
2019/8/23,Friday,20641,0.892253282302214
2019/8/24,Saturday,17099,0.8826831978478273
2019/8/25,Sunday,14494,0.9003725679591555
2019/8/26,Monday,20018,0.9013887501248876
2019/8/27,Tuesday,20027,0.8999350876316972
2019/8/28,Wednesday,20369,0.8966075899651431
2019/8/29,Thursday,20980,0.9051477597712106
2019/8/30,Friday,21758,0.9037595367221252
2019/8/31,Saturday,16701,0.8991677145081133
2019/9/1,Sunday,13889,0.8735690114479084
2019/9/2,Monday,14587,0.8605607732912868
2019/9/3,Tuesday,22054,0.8691393851455518
2019/9/4,Wednesday,21692,0.8710123547851742
2019/9/5,Thursday,21227,0.8762896311301644
2019/9/6,Friday,22343,0.8818421877097973
2019/9/7,Saturday,18639,0.8727399538601857
2019/9/8,Sunday,15119,0.8659964283352074
2019/9/9,Monday,21159,0.8752303984120232
2019/9/10,Tuesday,20993,0.8737674462916211
2019/9/11,Wednesday,21117,0.8799071837855756
2019/9/12,Thursday,21498,0.8788724532514652
2019/9/13,Friday,23218,0.8763028684641226
2019/9/14,Saturday,18647,0.8864160454764841
2019/9/15,Sunday,14948,0.8738292748193738
2019/9/16,Monday,20659,0.8867321748390532
2019/9/17,Tuesday,20365,0.8758654554382519
2019/9/18,Wednesday,19805,0.855793991416309
2019/9/19,Thursday,18130,0.8476558190843905
2019/9/20,Friday,20876,0.8631921824104235
2019/9/21,Saturday,18843,0.8658387730191583
2019/9/22,Sunday,15997,0.8676001750328186
2019/9/23,Monday,20685,0.8798162919990331
2019/9/24,Tuesday,20726,0.8830454501592203
2019/9/25,Wednesday,20405,0.8794413134035776
2019/9/26,Thursday,20217,0.8821783647425434
2019/9/27,Friday,21396,0.8670779584969153
2019/9/28,Saturday,17445,0.8704499856692463
2019/9/29,Sunday,14081,0.8738725942759747
2019/9/30,Monday,19603,0.8762434321277356
2019/10/1,Tuesday,21226,0.8694996702157731
2019/10/2,Wednesday,22814,0.8959410888051197
2019/10/3,Thursday,22323,0.9012677507503472
2019/10/4,Friday,21987,0.888661481784691
2019/10/5,Saturday,17939,0.8785885500864039
2019/10/6,Sunday,14280,0.8830532212885154
2019/10/7,Monday,18896,0.9028365791701948
2019/10/8,Tuesday,19316,0.9145785876993168
2019/10/9,Wednesday,16115,0.915730685696556
2019/10/10,Thursday,16502,0.9169797600290874
2019/10/11,Friday,17654,0.9134473773649032
2019/10/12,Saturday,13753,0.9178361084854214
2019/10/13,Sunday,11229,0.9246593641464066
2019/10/14,Monday,14940,0.925033467202142
2019/10/15,Tuesday,16795,0.9222387615361716
2019/10/16,Wednesday,18480,0.9158008658008658
2019/10/17,Thursday,18658,0.9144602851323828
2019/10/18,Friday,20025,0.9117103620474408
2019/10/19,Saturday,16406,0.9096671949286846
2019/10/20,Sunday,13308,0.9126840997896002
2019/10/21,Monday,17498,0.9181620756657904
2019/10/22,Tuesday,18732,0.9110612855007474
2019/10/23,Wednesday,18956,0.9160160371386368
2019/10/24,Thursday,19255,0.913580888081018
2019/10/25,Friday,19026,0.9077052454535898
2019/10/26,Saturday,15588,0.9065948165255324
2019/10/27,Sunday,12347,0.9135012553656758
2019/10/28,Monday,17266,0.913934900961427
2019/10/29,Tuesday,17199,0.9162742019884876
2019/10/30,Wednesday,17015,0.9148986188657068
2019/10/31,Thursday,18065,0.91120952117354
2019/11/1,Friday,18775,0.9089214380825564
2019/11/2,Saturday,14913,0.9079997317776436
2019/11/3,Sunday,12497,0.9137392974313836
2019/11/4,Monday,17631,0.912313538653508
2019/11/5,Tuesday,17618,0.9134975593143376
2019/11/6,Wednesday,17479,0.9172721551576176
2019/11/7,Thursday,17131,0.9192107874613274
2019/11/8,Friday,18864,0.912531806615776
2019/11/9,Saturday,15227,0.9047744138700992
2019/11/10,Sunday,12445,0.9159501807955002
2019/11/11,Monday,16857,0.9171857388621938
2019/11/12,Tuesday,17253,0.910856083000058
2019/11/13,Wednesday,17828,0.9118240969261836
2019/11/14,Thursday,17436,0.9178710713466391
2019/11/15,Friday,19752,0.9056298096395302
2019/11/16,Saturday,15864,0.907715582450832
2019/11/17,Sunday,12569,0.9153472829978518
2019/11/18,Monday,17661,0.9172187305362096
2019/11/19,Tuesday,17587,0.9169841360095524
2019/11/20,Wednesday,17593,0.919286079690786
2019/11/21,Thursday,17814,0.9211855843718424
2019/11/22,Friday,18739,0.918245370617429
2019/11/23,Saturday,14928,0.9142550911039656
2019/11/24,Sunday,12524,0.9161609709358032
2019/11/25,Monday,17341,0.9151144686004268
2019/11/26,Tuesday,17719,0.9186184321914328
2019/11/27,Wednesday,17849,0.9141688610006162
2019/11/28,Thursday,9323,0.9206264078086452
2019/11/29,Friday,13807,0.9187368726008548
2019/11/30,Saturday,13527,0.9186811562061064
2019/12/1,Sunday,12091,0.9278802415019436
2019/12/2,Monday,18011,0.9112764421742268
2019/12/3,Tuesday,18409,0.911782280406323
2019/12/4,Wednesday,18599,0.9104252916823484
2019/12/5,Thursday,19413,0.9046000103023748
2019/12/6,Friday,20244,0.9055522623987354
2019/12/7,Saturday,16433,0.91139779711556
2019/12/8,Sunday,12960,0.9112654320987654
2019/12/9,Monday,17997,0.905984330721787
2019/12/10,Tuesday,17841,0.9134577658203016
2019/12/11,Wednesday,18702,0.9084589883434928
2019/12/12,Thursday,19734,0.900476335258944
2019/12/13,Friday,20836,0.9019005567287388
2019/12/14,Saturday,17595,0.910997442455243
2019/12/15,Sunday,13736,0.919336051252184
2019/12/16,Monday,18536,0.9108761329305136
2019/12/17,Tuesday,18526,0.9068336392097592
2019/12/18,Wednesday,19474,0.9024340145835472
2019/12/19,Thursday,20340,0.903638151425762
2019/12/20,Friday,20324,0.9024798268057468
2019/12/21,Saturday,16553,0.9110735214160576
2019/12/22,Sunday,14460,0.9092669432918395
2019/12/23,Monday,18518,0.9056053569499946
2019/12/24,Tuesday,14581,0.8998696934366641
2019/12/25,Wednesday,8319,0.9110470008414472
2019/12/26,Thursday,15188,0.91822491440611
2019/12/27,Friday,16774,0.911887444855133
2019/12/28,Saturday,14142,0.9118936501202092
2019/12/29,Sunday,11936,0.9148793565683646
2019/12/30,Monday,16949,0.908431175880583
2019/12/31,Tuesday,16600,0.9004819277108433
