Date,Day of Week,total_flow,weighted_avg_asymmetry
2019/1/1,Tuesday,6593,0.9505536174730776
2019/1/2,Wednesday,10837,0.9529390052597584
2019/1/3,Thursday,11797,0.9549037890989236
2019/1/4,Friday,12748,0.9480702855349858
2019/1/5,Saturday,9326,0.953034527128458
2019/1/6,Sunday,8433,0.9464010435195068
2019/1/7,Monday,11428,0.948022401120056
2019/1/8,Tuesday,12623,0.9488235760120416
2019/1/9,Wednesday,13779,0.9477465708687132
2019/1/10,Thursday,14380,0.944923504867872
2019/1/11,Friday,14242,0.9490240134812526
2019/1/12,Saturday,10510,0.9455756422454804
2019/1/13,Sunday,9217,0.94314852989042
2019/1/14,Monday,11898,0.944192301227097
2019/1/15,Tuesday,12097,0.947590311647516
2019/1/16,Wednesday,12675,0.948086785009862
2019/1/17,Thursday,12139,0.9451355136337424
2019/1/18,Friday,13180,0.9433990895295904
2019/1/19,Saturday,10308,0.947419480015522
2019/1/20,Sunday,8601,0.9495407510754564
2019/1/21,Monday,10874,0.9540187603457788
2019/1/22,Tuesday,12700,0.9500787401574804
2019/1/23,Wednesday,12631,0.9479059456891774
2019/1/24,Thursday,13016,0.9452980946527352
2019/1/25,Friday,13017,0.945609587462549
2019/1/26,Saturday,10048,0.9506369426751592
2019/1/27,Sunday,8423,0.950136530927223
2019/1/28,Monday,11974,0.9495573743110072
2019/1/29,Tuesday,11962,0.9488379869587026
2019/1/30,Wednesday,12343,0.9512274163493478
2019/1/31,Thursday,12297,0.9455151663007236
2019/2/1,Friday,12684,0.9378744875433616
2019/2/2,Saturday,8436,0.9397818871503082
2019/2/3,Sunday,7276,0.9387025838372732
2019/2/4,Monday,10966,0.9432792267007112
2019/2/5,Tuesday,11821,0.9458590643769562
2019/2/6,Wednesday,12544,0.9403698979591836
2019/2/7,Thursday,12542,0.9441875298995376
2019/2/8,Friday,13016,0.9400737553779964
2019/2/9,Saturday,10050,0.9391044776119404
2019/2/10,Sunday,7865,0.936681500317864
2019/2/11,Monday,11948,0.9377301640441916
2019/2/12,Tuesday,13123,0.9433056465747162
2019/2/13,Wednesday,11976,0.9345357381429524
2019/2/14,Thursday,11771,0.9451193611417892
2019/2/15,Friday,12134,0.947090819185759
2019/2/16,Saturday,9933,0.9448303634350146
2019/2/17,Sunday,8196,0.945827232796486
2019/2/18,Monday,10429,0.939783296576853
2019/2/19,Tuesday,12512,0.9426150895140664
2019/2/20,Wednesday,12535,0.9451136816912644
2019/2/21,Thursday,12374,0.9508647163407145
2019/2/22,Friday,12747,0.9482231113203108
2019/2/23,Saturday,9718,0.9415517596213212
2019/2/24,Sunday,8103,0.9454523016166853
2019/2/25,Monday,11891,0.9431502817256748
2019/2/26,Tuesday,12027,0.9412987444915608
2019/2/27,Wednesday,11884,0.9432850891955572
2019/2/28,Thursday,11985,0.9437630371297456
2019/3/1,Friday,12369,0.9382326784703696
2019/3/2,Saturday,9204,0.9326379834854412
2019/3/3,Sunday,8081,0.941591387204554
2019/3/4,Monday,12123,0.9382991008826198
2019/3/5,Tuesday,11969,0.9435207619684184
2019/3/6,Wednesday,11070,0.941282746160795
2019/3/7,Thursday,12606,0.938759320958274
2019/3/8,Friday,12650,0.941501976284585
2019/3/9,Saturday,9688,0.9463253509496284
2019/3/10,Sunday,7988,0.9446670005007513
2019/3/11,Monday,11966,0.94584656526826
2019/3/12,Tuesday,11623,0.9416673836358944
2019/3/13,Wednesday,12100,0.9424793388429752
2019/3/14,Thursday,11971,0.942193634616991
2019/3/15,Friday,12748,0.9438343269532476
2019/3/16,Saturday,10398,0.9426812848624736
2019/3/17,Sunday,8654,0.9496186734458054
2019/3/18,Monday,11059,0.9405009494529344
2019/3/19,Tuesday,12086,0.9424127089194108
2019/3/20,Wednesday,11791,0.9445339665846832
2019/3/21,Thursday,11616,0.9526515151515152
2019/3/22,Friday,12348,0.9368318756073858
2019/3/23,Saturday,10016,0.9492811501597443
2019/3/24,Sunday,8571,0.9374635398436588
2019/3/25,Monday,11710,0.9426131511528608
2019/3/26,Tuesday,11797,0.9410019496482156
2019/3/27,Wednesday,12128,0.940963060686016
2019/3/28,Thursday,12430,0.93869670152856
2019/3/29,Friday,12388,0.9409105586051018
2019/3/30,Saturday,9880,0.94251012145749
2019/3/31,Sunday,8242,0.9466148992962872
2019/4/1,Monday,10705,0.9411489957963568
2019/4/2,Tuesday,11429,0.946277014611952
2019/4/3,Wednesday,11341,0.9465655585927168
2019/4/4,Thursday,11667,0.9473729322019372
2019/4/5,Friday,12003,0.9450137465633592
2019/4/6,Saturday,9702,0.947845804988662
2019/4/7,Sunday,8238,0.9395484340859432
2019/4/8,Monday,11177,0.9438131877963676
2019/4/9,Tuesday,11771,0.9491971795089628
2019/4/10,Wednesday,11661,0.9499185318583312
2019/4/11,Thursday,11430,0.9506561679790028
2019/4/12,Friday,12663,0.9436152570480928
2019/4/13,Saturday,10237,0.94471036436456
2019/4/14,Sunday,8224,0.9479571984435796
2019/4/15,Monday,11761,0.9471133407023212
2019/4/16,Tuesday,11803,0.9484876726256036
2019/4/17,Wednesday,11904,0.9457325268817204
2019/4/18,Thursday,12120,0.9437293729372938
2019/4/19,Friday,11953,0.9447837363005104
2019/4/20,Saturday,9309,0.9462885379740036
2019/4/21,Sunday,7302,0.9471377704738428
2019/4/22,Monday,11687,0.9399332591768632
2019/4/23,Tuesday,12370,0.9338722716248988
2019/4/24,Wednesday,12831,0.9306367391473774
2019/4/25,Thursday,12765,0.9343517430473952
2019/4/26,Friday,13554,0.929319758005017
2019/4/27,Saturday,10567,0.9420838459354596
2019/4/28,Sunday,8807,0.935960031792892
2019/4/29,Monday,11889,0.9389351501387836
2019/4/30,Tuesday,12059,0.9364789783564142
2019/5/1,Wednesday,13156,0.9294618425053208
2019/5/2,Thursday,12713,0.9397467159600408
2019/5/3,Friday,13189,0.9378269770263098
2019/5/4,Saturday,10378,0.942956253613413
2019/5/5,Sunday,8598,0.9385903698534545
2019/5/6,Monday,11833,0.943547705569171
2019/5/7,Tuesday,11757,0.9418218933401378
2019/5/8,Wednesday,12613,0.9408546737493064
2019/5/9,Thursday,13059,0.9364423003292748
2019/5/10,Friday,13315,0.9339091250469396
2019/5/11,Saturday,10435,0.9380929563967416
2019/5/12,Sunday,8743,0.9405238476495482
2019/5/13,Monday,11934,0.93815987933635
2019/5/14,Tuesday,12417,0.9375050334219216
2019/5/15,Wednesday,12460,0.9375601926163724
2019/5/16,Thursday,12172,0.9398619783108776
2019/5/17,Friday,12863,0.9371841716551348
2019/5/18,Saturday,10050,0.9391044776119404
2019/5/19,Sunday,8045,0.9410814170292108
2019/5/20,Monday,11132,0.9466403162055336
2019/5/21,Tuesday,11509,0.9459553392996786
2019/5/22,Wednesday,11878,0.9420777908738844
2019/5/23,Thursday,11753,0.9474176805921892
2019/5/24,Friday,12059,0.941454515299776
2019/5/25,Saturday,9619,0.9413660463665662
2019/5/26,Sunday,7204,0.9491948917268184
2019/5/27,Monday,7238,0.9557888919591048
2019/5/28,Tuesday,11068,0.9503071919045898
2019/5/29,Wednesday,12025,0.9462785862785864
2019/5/30,Thursday,11649,0.9450596617735428
2019/5/31,Friday,12750,0.9430588235294116
2019/6/1,Saturday,9676,0.9390243902439024
2019/6/2,Sunday,8168,0.944662095984329
2019/6/3,Monday,11671,0.9477336989118328
2019/6/4,Tuesday,12058,0.9464256095538232
2019/6/5,Wednesday,12334,0.9400032430679424
2019/6/6,Thursday,12418,0.9384764052182316
2019/6/7,Friday,12691,0.9375935702466316
2019/6/8,Saturday,10321,0.9379905047960468
2019/6/9,Sunday,8865,0.9460800902425268
2019/6/10,Monday,11446,0.9479294076533288
2019/6/11,Tuesday,11797,0.9486310078833602
2019/6/12,Wednesday,11927,0.9413096336044268
2019/6/13,Thursday,10848,0.9498525073746312
2019/6/14,Friday,11899,0.9445331540465586
2019/6/15,Saturday,9805,0.9467618561958184
2019/6/16,Sunday,7783,0.9457792624951818
2019/6/17,Monday,10780,0.9465677179962896
2019/6/18,Tuesday,11415,0.9498904949627685
2019/6/19,Wednesday,11548,0.9463110495323864
2019/6/20,Thursday,11830,0.9465765004226544
2019/6/21,Friday,11560,0.944636678200692
2019/6/22,Saturday,9434,0.947636209455162
2019/6/23,Sunday,8161,0.9443695625536086
2019/6/24,Monday,10999,0.9463587598872624
2019/6/25,Tuesday,11190,0.9481680071492404
2019/6/26,Wednesday,11259,0.9470645705657696
2019/6/27,Thursday,11635,0.9472281908036098
2019/6/28,Friday,12145,0.9425277892136682
2019/6/29,Saturday,9373,0.9453750133361783
2019/6/30,Sunday,7788,0.9494093477144324
2019/7/1,Monday,10674,0.9494097807757168
2019/7/2,Tuesday,11378,0.9437510986113552
2019/7/3,Wednesday,11462,0.941022509160705
2019/7/4,Thursday,7369,0.9457185506853032
2019/7/5,Friday,10418,0.9414474947206758
2019/7/6,Saturday,9276,0.9465286761535144
2019/7/7,Sunday,7788,0.9396507447354904
2019/7/8,Monday,11171,0.9410974845582312
2019/7/9,Tuesday,11396,0.947876447876448
2019/7/10,Wednesday,11757,0.945394233222761
2019/7/11,Thursday,11859,0.9391179694746606
2019/7/12,Friday,12228,0.9424272162250572
2019/7/13,Saturday,9996,0.943577430972389
2019/7/14,Sunday,8247,0.9519825391051292
2019/7/15,Monday,11266,0.9424818036570212
2019/7/16,Tuesday,12052,0.9427480916030534
2019/7/17,Wednesday,11659,0.9487091517282786
2019/7/18,Thursday,11781,0.945845004668534
2019/7/19,Friday,11662,0.943577430972389
2019/7/20,Saturday,9989,0.9437381119231154
2019/7/21,Sunday,8448,0.9417613636363636
