Date,Day of Week,total_flow,weighted_avg_asymmetry
2019/1/1,Tuesday,1488,0.8911290322580645
2019/1/2,Wednesday,1966,0.8942014242115972
2019/1/3,Thursday,2001,0.8990504747626187
2019/1/4,Friday,2173,0.8941555453290382
2019/1/5,Saturday,1789,0.8915595304639463
2019/1/6,Sunday,1558,0.9037227214377408
2019/1/7,Monday,1911,0.902668759811617
2019/1/8,Tuesday,2059,0.9018941233608548
2019/1/9,Wednesday,2237,0.8793026374608851
2019/1/10,Thursday,2344,0.9044368600682594
2019/1/11,Friday,2369,0.8995356690586745
2019/1/12,Saturday,1914,0.896551724137931
2019/1/13,Sunday,1591,0.9057196731615336
2019/1/14,Monday,2278,0.8999122036874452
2019/1/15,Tuesday,2213,0.8978761861726163
2019/1/16,Wednesday,2244,0.8903743315508021
2019/1/17,Thursday,2322,0.8888888888888888
2019/1/18,Friday,2219,0.8900405588102749
2019/1/19,Saturday,1905,0.8981627296587926
2019/1/20,Sunday,1635,0.8862385321100917
2019/1/21,Monday,1925,0.8950649350649351
2019/1/22,Tuesday,2255,0.8749445676274945
2019/1/23,Wednesday,2209,0.8750565866908103
2019/1/24,Thursday,2309,0.8839324382849718
2019/1/25,Friday,2327,0.8831113021057155
2019/1/26,Saturday,1714,0.8844807467911319
2019/1/27,Sunday,1550,0.8877419354838709
2019/1/28,Monday,2118,0.8942398489140698
2019/1/29,Tuesday,2098,0.9046711153479504
2019/1/30,Wednesday,2143,0.9001399906672889
2019/1/31,Thursday,2309,0.8925941966219142
2019/2/1,Friday,2360,0.8847457627118644
2019/2/2,Saturday,1822,0.9055982436882548
2019/2/3,Sunday,1716,0.8613053613053613
2019/2/4,Monday,2181,0.8762035763411279
2019/2/5,Tuesday,2262,0.8815207780725022
2019/2/6,Wednesday,2236,0.8899821109123435
2019/2/7,Thursday,2273,0.8944126704795424
2019/2/8,Friday,2369,0.856479527226678
2019/2/9,Saturday,1859,0.8730500268961807
2019/2/10,Sunday,1605,0.8866043613707165
2019/2/11,Monday,2083,0.8953432549207874
2019/2/12,Tuesday,2329,0.884070416487763
2019/2/13,Wednesday,2065,0.8895883777239709
2019/2/14,Thursday,2261,0.8894294559929234
2019/2/15,Friday,2293,0.8770170082860881
2019/2/16,Saturday,1839,0.8738444806960305
2019/2/17,Sunday,1681,0.8726948245092208
