Date,Day of Week,total_flow,weighted_avg_asymmetry
2019/1/1,Tuesday,14173,0.9146264023142596
2019/1/2,Wednesday,24152,0.9395495197085127
2019/1/3,Thursday,25795,0.945648381469277
2019/1/4,Friday,27681,0.9450886889924496
2019/1/5,Saturday,17906,0.9358874120406568
2019/1/6,Sunday,16590,0.9338155515370704
2019/1/7,Monday,23006,0.950447709293228
2019/1/8,Tuesday,25861,0.9470244770117164
2019/1/9,Wednesday,28762,0.9456226966135872
2019/1/10,Thursday,29108,0.9450322935275526
2019/1/11,Friday,28825,0.9469904596704248
2019/1/12,Saturday,20140,0.9388282025819266
2019/1/13,Sunday,17014,0.934759609733161
2019/1/14,Monday,27128,0.9492037746977292
2019/1/15,Tuesday,27637,0.9510800738140898
2019/1/16,Wednesday,28043,0.950290625111436
2019/1/17,Thursday,27445,0.9500819821461104
2019/1/18,Friday,27996,0.9506358051150164
2019/1/19,Saturday,18396,0.9444444444444444
2019/1/20,Sunday,14594,0.9403864601891188
2019/1/21,Monday,16179,0.9454848878175413
2019/1/22,Tuesday,25784,0.948883028234564
2019/1/23,Wednesday,27353,0.9499872043285928
2019/1/24,Thursday,27081,0.9494110261807172
2019/1/25,Friday,29280,0.9491803278688524
2019/1/26,Saturday,20358,0.9399744572158364
2019/1/27,Sunday,16838,0.937641050005939
2019/1/28,Monday,26528,0.946773220747889
2019/1/29,Tuesday,26686,0.9478378175822528
2019/1/30,Wednesday,25591,0.951389160251651
2019/1/31,Thursday,26135,0.9490338626363116
2019/2/1,Friday,28250,0.9454867256637168
2019/2/2,Saturday,19803,0.9411200323183356
2019/2/3,Sunday,17330,0.9327178303519909
2019/2/4,Monday,27767,0.942017502791083
2019/2/5,Tuesday,27854,0.9406189416241832
2019/2/6,Wednesday,28002,0.941718448682237
2019/2/7,Thursday,28402,0.9407788183930708
2019/2/8,Friday,28539,0.9421142997301938
2019/2/9,Saturday,19829,0.9334308336275152
2019/2/10,Sunday,16445,0.9254484645788994
2019/2/11,Monday,27137,0.9404503076979768
2019/2/12,Tuesday,25382,0.9410605941218186
2019/2/13,Wednesday,28200,0.9419858156028368
2019/2/14,Thursday,29570,0.9416976665539398
2019/2/15,Friday,28770,0.9434132777198472
2019/2/16,Saturday,19448,0.9334635952283012
2019/2/17,Sunday,16091,0.9274128394754833
2019/2/18,Monday,18830,0.9344662772172064
2019/2/19,Tuesday,25798,0.942631211721839
2019/2/20,Wednesday,24873,0.9429903911872312
2019/2/21,Thursday,26543,0.9436386241193536
2019/2/22,Friday,26931,0.9437822583639672
2019/2/23,Saturday,19870,0.9299446401610468
2019/2/24,Sunday,15613,0.9305706782809198
2019/2/25,Monday,26409,0.9425195955924116
2019/2/26,Tuesday,26846,0.9423377784399912
2019/2/27,Wednesday,26728,0.94268183178689
2019/2/28,Thursday,26717,0.9449039937118688
2019/3/1,Friday,27306,0.939061012231744
2019/3/2,Saturday,18898,0.930257170070907
2019/3/3,Sunday,16466,0.9244503826065832
2019/3/4,Monday,21686,0.9348888683943558
2019/3/5,Tuesday,27237,0.9375114733634394
2019/3/6,Wednesday,26519,0.9404200761718012
2019/3/7,Thursday,27569,0.9386992636657114
2019/3/8,Friday,29125,0.9386781115879828
2019/3/9,Saturday,20256,0.932365718799368
2019/3/10,Sunday,15721,0.9310476432796896
2019/3/11,Monday,27704,0.935965925498123
2019/3/12,Tuesday,26760,0.9396860986547084
2019/3/13,Wednesday,27033,0.9396293419154368
2019/3/14,Thursday,27797,0.9372594164837932
2019/3/15,Friday,28967,0.9395864259329582
2019/3/16,Saturday,20744,0.9327998457385268
2019/3/17,Sunday,16313,0.925458223502728
2019/3/18,Monday,25703,0.9374392094308056
2019/3/19,Tuesday,27576,0.940092834348709
2019/3/20,Wednesday,28155,0.9362812999467236
2019/3/21,Thursday,26469,0.9394763685821148
2019/3/22,Friday,27583,0.935322481238444
2019/3/23,Saturday,20233,0.93377156131073
2019/3/24,Sunday,17433,0.9277232834279814
2019/3/25,Monday,26899,0.9390311907505856
2019/3/26,Tuesday,27506,0.9393586853777358
2019/3/27,Wednesday,27573,0.938055343995938
2019/3/28,Thursday,28746,0.9354344952341196
2019/3/29,Friday,28342,0.9352903817655775
2019/3/30,Saturday,21306,0.9288463343659064
2019/3/31,Sunday,15974,0.9237510955302366
2019/4/1,Monday,26162,0.9341793440868436
2019/4/2,Tuesday,27166,0.9433851137451226
2019/4/3,Wednesday,27356,0.9417312472583712
2019/4/4,Thursday,28486,0.9417257600224672
2019/4/5,Friday,27555,0.9441117764471058
2019/4/6,Saturday,21511,0.9388219980475104
2019/4/7,Sunday,17461,0.9345971021132812
2019/4/8,Monday,27377,0.943967564013588
2019/4/9,Tuesday,27593,0.9460732794549342
