Date,Day of Week,total_flow,weighted_avg_asymmetry
2019/1/1,Tuesday,5266,0.9027725028484618
2019/1/2,Wednesday,6936,0.9077277970011534
2019/1/3,Thursday,7561,0.9264647533395054
2019/1/4,Friday,8197,0.9341222398438452
2019/1/5,Saturday,5679,0.9207606973058636
2019/1/6,Sunday,5133,0.9173972335865964
2019/1/7,Monday,6484,0.931832202344232
2019/1/8,Tuesday,7412,0.9293038316243928
2019/1/9,Wednesday,8314,0.923983642049555
2019/1/10,Thursday,8668,0.9213197969543148
2019/1/11,Friday,8785,0.92168468981218
2019/1/12,Saturday,6748,0.9155305275637226
2019/1/13,Sunday,5292,0.909297052154195
2019/1/14,Monday,8215,0.9252586731588558
2019/1/15,Tuesday,8219,0.9274850955104028
2019/1/16,Wednesday,8233,0.9278513300133608
2019/1/17,Thursday,8012,0.9316025961058412
2019/1/18,Friday,7743,0.9312927805760042
2019/1/19,Saturday,6119,0.9287465272103284
2019/1/20,Sunday,4743,0.919460257221168
2019/1/21,Monday,5310,0.92015065913371
2019/1/22,Tuesday,7574,0.9273831528914708
2019/1/23,Wednesday,7877,0.9299225593500065
2019/1/24,Thursday,7989,0.920140192765052
2019/1/25,Friday,8506,0.9261697625205736
2019/1/26,Saturday,6507,0.9167050868295682
2019/1/27,Sunday,5353,0.923781057351018
2019/1/28,Monday,7810,0.9357234314980792
2019/1/29,Tuesday,7452,0.9272678475577026
2019/1/30,Wednesday,7294,0.9240471620510008
2019/1/31,Thursday,7967,0.9319693736663738
2019/2/1,Friday,9056,0.9076855123674912
2019/2/2,Saturday,7166,0.9140385152107172
2019/2/3,Sunday,6356,0.8933291378225299
2019/2/4,Monday,8718,0.9098417068134892
2019/2/5,Tuesday,8977,0.9053135791467084
2019/2/6,Wednesday,8152,0.9099607458292444
2019/2/7,Thursday,8273,0.9083766469237278
2019/2/8,Friday,8420,0.9109263657957244
2019/2/9,Saturday,6672,0.9016786570743404
2019/2/10,Sunday,5520,0.8807971014492754
2019/2/11,Monday,7441,0.905389060610133
2019/2/12,Tuesday,7127,0.9090781535007716
2019/2/13,Wednesday,8366,0.9141764284006694
2019/2/14,Thursday,8715,0.9153184165232358
2019/2/15,Friday,8799,0.9058983975451756
2019/2/16,Saturday,6829,0.8963244984624396
2019/2/17,Sunday,5478,0.8933917488134355
2019/2/18,Monday,6720,0.8967261904761905
2019/2/19,Tuesday,8349,0.9096897832075698
2019/2/20,Wednesday,5509,0.8932655654383735
2019/2/21,Thursday,7970,0.910414052697616
2019/2/22,Friday,8607,0.9147205762751248
2019/2/23,Saturday,6718,0.914855611789223
2019/2/24,Sunday,5240,0.8973282442748092
2019/2/25,Monday,7940,0.909823677581864
2019/2/26,Tuesday,7798,0.9202359579379328
2019/2/27,Wednesday,8093,0.9159767700481898
2019/2/28,Thursday,8164,0.908623223909848
2019/3/1,Friday,8263,0.9106861914558876
