Date,Day of Week,total_flow,weighted_avg_asymmetry
2019/1/1,Tuesday,10764,0.8948346339650688
2019/1/2,Wednesday,16261,0.91919316155218
2019/1/3,Thursday,17474,0.9188508641410096
2019/1/4,Friday,18578,0.9176445257831845
2019/1/5,Saturday,14883,0.90942686286367
2019/1/6,Sunday,12418,0.8999838943469157
2019/1/7,Monday,16421,0.9157176785823032
2019/1/8,Tuesday,18586,0.9129452275906595
2019/1/9,Wednesday,19855,0.9095441954167716
2019/1/10,Thursday,20685,0.906115542663766
2019/1/11,Friday,20991,0.9030060502119956
2019/1/12,Saturday,17249,0.9075888457301872
2019/1/13,Sunday,14088,0.8952299829642248
2019/1/14,Monday,19410,0.9132405976300876
2019/1/15,Tuesday,19142,0.9072197262563996
2019/1/16,Wednesday,19907,0.9127944943989552
2019/1/17,Thursday,19601,0.9179633692158564
2019/1/18,Friday,20650,0.9142857142857144
2019/1/19,Saturday,16614,0.9042975803539184
2019/1/20,Sunday,13592,0.9027369040612124
2019/1/21,Monday,17376,0.9181629834254144
2019/1/22,Tuesday,19503,0.914372147874686
2019/1/23,Wednesday,19483,0.9136683262331264
2019/1/24,Thursday,19622,0.9136683314646824
2019/1/25,Friday,20618,0.9116306140265787
2019/1/26,Saturday,16432,0.9015335929892891
2019/1/27,Sunday,13361,0.9024025147818278
2019/1/28,Monday,18312,0.9156837046745304
2019/1/29,Tuesday,18254,0.9229757861290676
2019/1/30,Wednesday,18760,0.9198294243070364
2019/1/31,Thursday,20126,0.9174202524098182
2019/2/1,Friday,20229,0.9119086460032626
2019/2/2,Saturday,16290,0.90902394106814
2019/2/3,Sunday,12364,0.9006793917825946
2019/2/4,Monday,18038,0.9086373212107772
2019/2/5,Tuesday,19020,0.9099894847528917
2019/2/6,Wednesday,19211,0.915256884076831
2019/2/7,Thursday,18778,0.911492171690276
2019/2/8,Friday,19906,0.9126896413141766
2019/2/9,Saturday,16501,0.9127325616629296
2019/2/10,Sunday,12972,0.8993216157878507
2019/2/11,Monday,18189,0.90906591896201
2019/2/12,Tuesday,19753,0.913025869488179
2019/2/13,Wednesday,19225,0.9084525357607284
